ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-10 12:00:00+00:00,1775822459997500725,10,1,42004058,C,A,0,25270250000000,1,128,14939,391651526,25269250000000,25270250000000,2,2,2,2,25269000000000,25270500000000,5,4,3,4,25268750000000,25270750000000,2,4,2,4,25268500000000,25271000000000,2,5,2,5,25268250000000,25271250000000,3,2,3,2,25268000000000,25271500000000,4,2,4,2,25267750000000,25271750000000,3,3,3,3,25267500000000,25272000000000,3,6,3,6,25267250000000,25272250000000,6,4,6,4,25267000000000,25272500000000,2,4,2,4,NQ.c.0
2026-04-10 12:01:00+00:00,1775822519737152008,10,1,42004058,A,B,0,25274500000000,1,128,10929,391673731,25274500000000,25275250000000,1,1,1,1,25274250000000,25275500000000,1,3,1,3,25274000000000,25275750000000,2,3,2,3,25273750000000,25276000000000,3,4,3,4,25273500000000,25276250000000,3,3,3,3,25273250000000,25276500000000,3,4,3,3,25273000000000,25276750000000,4,2,4,2,25272500000000,25277000000000,3,4,3,4,25272250000000,25277250000000,5,5,5,5,25272000000000,25277500000000,4,4,4,4,NQ.c.0
2026-04-10 12:02:00+00:00,1775822579969605255,10,1,42004058,A,A,2,25280000000000,1,128,15175,391696940,25278250000000,25279500000000,1,3,1,3,25278000000000,25279750000000,4,5,4,5,25277750000000,25280000000000,4,6,4,3,25277500000000,25280250000000,3,3,3,3,25277250000000,25280500000000,5,2,5,2,25276250000000,25280750000000,4,3,4,3,25276000000000,25281000000000,4,3,4,3,25275750000000,25281250000000,3,2,3,2,25275500000000,25281500000000,3,5,3,4,25275250000000,25281750000000,2,3,2,3,NQ.c.0
2026-04-10 12:03:00+00:00,1775822639887769285,10,1,42004058,A,B,0,25274750000000,1,128,12451,391711269,25274750000000,25275500000000,1,1,1,1,25274500000000,25275750000000,2,1,2,1,25274250000000,25276000000000,5,3,5,3,25274000000000,25276250000000,4,2,4,2,25273750000000,25276750000000,5,4,5,4,25273500000000,25277000000000,4,5,4,5,25273250000000,25277250000000,2,4,2,4,25273000000000,25277500000000,4,4,4,4,25272750000000,25277750000000,2,4,2,4,25272500000000,25278000000000,4,1,4,1,NQ.c.0
2026-04-10 12:04:00+00:00,1775822699948581769,10,1,42004058,A,B,2,25272500000000,1,128,13480,391724589,25273000000000,25273750000000,1,1,1,1,25272750000000,25274000000000,2,1,2,1,25272500000000,25274250000000,3,2,3,2,25272250000000,25274500000000,2,4,2,3,25272000000000,25274750000000,3,5,3,5,25271750000000,25275000000000,5,3,5,3,25271500000000,25275250000000,3,3,3,3,25271250000000,25275500000000,5,2,5,2,25271000000000,25275750000000,4,2,4,2,25270750000000,25276000000000,2,5,2,5,NQ.c.0
2026-04-10 12:05:00+00:00,1775822759897784883,10,1,42004058,A,B,0,25268000000000,1,128,12515,391745078,25268000000000,25268500000000,1,1,1,1,25267750000000,25268750000000,2,2,2,2,25267500000000,25269000000000,3,1,3,1,25267250000000,25269250000000,4,3,4,3,25267000000000,25269500000000,3,3,3,3,25266750000000,25269750000000,6,4,6,4,25266500000000,25270000000000,5,5,5,5,25266250000000,25270250000000,1,4,1,4,25266000000000,25270500000000,3,4,3,4,25265750000000,25270750000000,4,4,4,4,NQ.c.0
2026-04-10 12:06:00+00:00,1775822819571799233,10,1,42004058,C,A,1,25270500000000,1,128,10907,391768970,25269500000000,25270250000000,1,2,1,2,25269250000000,25270500000000,3,3,3,3,25269000000000,25270750000000,2,2,2,2,25268750000000,25271000000000,3,5,3,5,25268500000000,25271250000000,1,5,1,5,25268250000000,25271500000000,3,5,3,5,25268000000000,25271750000000,3,4,3,4,25267750000000,25272000000000,3,3,3,3,25267500000000,25272250000000,2,4,2,4,25267250000000,25272500000000,4,5,4,5,NQ.c.0
2026-04-10 12:07:00+00:00,1775822879905370630,10,1,42004058,M,A,0,25277500000000,6,128,11018,391795172,25277000000000,25277500000000,1,6,1,1,25276750000000,25278250000000,2,1,2,1,25276500000000,25278500000000,5,4,5,4,25276250000000,25278750000000,4,2,4,2,25276000000000,25279000000000,3,3,3,3,25275750000000,25279250000000,4,3,4,3,25275500000000,25279500000000,4,3,4,3,25275250000000,25279750000000,2,4,2,4,25275000000000,25280000000000,4,6,4,5,25274750000000,25280250000000,4,3,4,3,NQ.c.0
2026-04-10 12:08:00+00:00,1775822939728311204,10,1,42004058,C,A,0,25279250000000,1,128,10865,391817573,25278500000000,25279250000000,1,1,1,1,25278250000000,25279500000000,1,2,1,2,25278000000000,25279750000000,3,2,3,2,25277750000000,25280000000000,3,7,3,7,25277500000000,25280250000000,3,4,3,4,25277250000000,25280500000000,3,1,3,1,25277000000000,25280750000000,3,9,3,9,25276750000000,25281000000000,2,3,2,3,25276500000000,25281250000000,3,2,3,2,25276000000000,25281500000000,4,5,4,5,NQ.c.0
2026-04-10 12:09:00+00:00,1775822999847776473,10,1,42004058,A,B,0,25277500000000,1,128,13315,391832132,25277500000000,25278250000000,1,1,1,1,25277250000000,25278500000000,2,3,2,3,25277000000000,25278750000000,4,4,4,4,25276750000000,25279000000000,2,3,2,3,25276500000000,25279250000000,3,4,3,4,25276000000000,25279500000000,4,4,4,4,25275750000000,25279750000000,3,1,3,1,25275500000000,25280000000000,2,7,2,7,25275000000000,25280250000000,5,3,5,3,25274750000000,25280500000000,2,2,2,2,NQ.c.0
2026-04-10 12:10:00+00:00,1775823059997909326,10,1,42004058,C,B,3,25279750000000,1,128,10111,391854719,25280500000000,25281000000000,1,1,1,1,25280250000000,25281250000000,1,2,1,2,25280000000000,25281500000000,3,3,3,3,25279500000000,25281750000000,3,4,3,4,25279250000000,25282000000000,3,4,3,4,25279000000000,25282250000000,4,5,4,5,25278750000000,25282500000000,4,4,4,4,25278500000000,25282750000000,4,4,4,4,25278250000000,25283000000000,4,5,4,5,25277750000000,25283250000000,2,6,2,6,NQ.c.0
