ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-01 12:00:00+00:00,1775044859744184192,10,1,42004058,C,A,0,24191750000000,1,128,11191,274047775,24191000000000,24192000000000,1,1,1,1,24190750000000,24192250000000,1,2,1,2,24190500000000,24192500000000,2,3,2,3,24190250000000,24192750000000,4,6,4,6,24190000000000,24193000000000,6,4,6,4,24189750000000,24193250000000,5,2,5,2,24189500000000,24193500000000,3,4,3,4,24189250000000,24193750000000,2,2,2,2,24188750000000,24194000000000,1,3,1,3,24188500000000,24194250000000,1,2,1,2,NQ.c.0
2026-04-01 12:01:00+00:00,1775044919899099434,10,1,42004058,A,A,0,24193250000000,1,128,13336,274085252,24192250000000,24193250000000,1,2,1,2,24192000000000,24193500000000,3,2,3,2,24191750000000,24193750000000,1,2,1,2,24191250000000,24194000000000,1,4,1,4,24191000000000,24194250000000,2,2,2,2,24190750000000,24194500000000,2,4,2,4,24190500000000,24194750000000,3,5,3,5,24190250000000,24195000000000,3,4,3,4,24190000000000,24195250000000,2,16,2,6,24189750000000,24195500000000,1,2,1,2,NQ.c.0
2026-04-01 12:02:00+00:00,1775044979888914803,10,1,42004058,C,B,5,24184000000000,1,128,11018,274118285,24185250000000,24186000000000,2,1,2,1,24185000000000,24186250000000,1,1,1,1,24184750000000,24186500000000,2,1,2,1,24184500000000,24186750000000,2,3,2,3,24184250000000,24187000000000,2,3,2,3,24184000000000,24187250000000,3,5,3,5,24183750000000,24187500000000,4,3,4,3,24183500000000,24187750000000,4,3,4,3,24183250000000,24188000000000,5,4,5,4,24183000000000,24188250000000,8,3,8,3,NQ.c.0
2026-04-01 12:03:00+00:00,1775045039970609358,10,1,42004058,C,B,2,24174000000000,1,128,13037,274151575,24174500000000,24175000000000,1,1,1,1,24174250000000,24175500000000,3,3,3,3,24174000000000,24175750000000,2,1,2,1,24173750000000,24176000000000,3,4,3,4,24173500000000,24176250000000,4,2,3,2,24173250000000,24176500000000,3,2,3,2,24173000000000,24176750000000,6,3,6,3,24172750000000,24177000000000,2,4,2,4,24172500000000,24177250000000,4,2,3,2,24172250000000,24177500000000,1,4,1,4,NQ.c.0
2026-04-01 12:04:00+00:00,1775045099990359691,10,1,42004058,M,A,5,24253000000000,1,128,13282,274186216,24176500000000,24177750000000,2,4,2,2,24176250000000,24178000000000,3,3,2,3,24176000000000,24178250000000,4,2,4,2,24175750000000,24178500000000,3,2,3,2,24175500000000,24178750000000,2,3,2,3,24175250000000,24179000000000,3,1,3,1,24175000000000,24179250000000,4,1,4,1,24174750000000,24179500000000,3,2,3,2,24174500000000,24179750000000,2,1,2,1,24174250000000,24180000000000,3,5,3,5,NQ.c.0
2026-04-01 12:05:00+00:00,1775045159565639073,10,1,42004058,M,A,1,24189000000000,1,128,10974,274222163,24187750000000,24188750000000,1,1,1,1,24187500000000,24189000000000,5,3,5,3,24187250000000,24189250000000,6,3,6,3,24187000000000,24189500000000,5,3,5,3,24186500000000,24189750000000,1,2,1,2,24186250000000,24190000000000,3,1,3,1,24186000000000,24190250000000,2,1,2,1,24185750000000,24190500000000,2,2,2,2,24185500000000,24190750000000,3,3,3,3,24185250000000,24191000000000,4,2,4,2,NQ.c.0
2026-04-01 12:06:00+00:00,1775045219948261766,10,1,42004058,A,A,0,24190250000000,1,128,14525,274257908,24189000000000,24190250000000,2,2,2,2,24188750000000,24190500000000,6,5,6,5,24188500000000,24190750000000,2,3,2,3,24188250000000,24191000000000,2,4,2,4,24188000000000,24191250000000,5,5,5,5,24187750000000,24191500000000,3,5,3,5,24187250000000,24191750000000,3,3,3,3,24187000000000,24192000000000,3,5,3,5,24186750000000,24192250000000,5,2,5,2,24186500000000,24192500000000,4,5,4,3,NQ.c.0
2026-04-01 12:07:00+00:00,1775045279969669671,10,1,42004058,C,B,3,24181750000000,1,128,11066,274291222,24182500000000,24183250000000,1,1,1,1,24182250000000,24183500000000,2,1,2,1,24182000000000,24183750000000,3,2,3,2,24181750000000,24184000000000,2,3,2,3,24181500000000,24184250000000,6,1,6,1,24181250000000,24184500000000,2,1,2,1,24181000000000,24184750000000,4,1,4,1,24180750000000,24185000000000,3,2,3,2,24180500000000,24185250000000,4,2,4,2,24180250000000,24185500000000,4,2,4,2,NQ.c.0
2026-04-01 12:08:00+00:00,1775045339978221182,10,1,42004058,C,B,0,24174250000000,1,128,9911,274328798,24174250000000,24175250000000,1,1,1,1,24174000000000,24175750000000,5,3,5,3,24173750000000,24176000000000,4,4,4,4,24173500000000,24176250000000,8,3,8,3,24173250000000,24176750000000,3,3,3,3,24173000000000,24177000000000,27,3,4,3,24172750000000,24177250000000,3,2,3,2,24172500000000,24177500000000,3,3,3,3,24172250000000,24178000000000,3,3,3,3,24172000000000,24178250000000,6,5,6,5,NQ.c.0
2026-04-01 12:09:00+00:00,1775045399280952756,10,1,42004058,C,B,1,24176750000000,1,128,13344,274355659,24177000000000,24177750000000,1,1,1,1,24176750000000,24178000000000,1,1,1,1,24176500000000,24178250000000,3,3,3,3,24176250000000,24178500000000,5,10,5,4,24176000000000,24178750000000,4,2,4,2,24175750000000,24179000000000,3,2,3,2,24175500000000,24179250000000,3,2,3,2,24175250000000,24179500000000,4,5,4,5,24174750000000,24179750000000,3,2,3,2,24174500000000,24180000000000,9,7,4,7,NQ.c.0
