ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-29 12:00:00+00:00,1780056059977840851,10,1,42004058,A,B,1,30345750000000,1,128,12418,305665858,30346000000000,30347250000000,3,1,3,1,30345750000000,30347500000000,4,2,4,2,30345500000000,30347750000000,3,3,3,3,30345250000000,30348000000000,3,2,3,2,30345000000000,30348250000000,3,2,3,2,30344750000000,30348500000000,4,3,4,3,30344500000000,30348750000000,5,4,5,4,30344250000000,30349000000000,5,4,5,4,30344000000000,30349250000000,6,4,6,4,30343750000000,30349500000000,1,5,1,4,NQ.c.0
2026-05-29 12:01:00+00:00,1780056119959164534,10,1,42004058,C,A,0,30339500000000,1,128,10891,305686743,30338750000000,30339750000000,1,1,1,1,30338500000000,30340000000000,2,5,2,4,30338250000000,30340250000000,3,3,3,3,30338000000000,30340500000000,5,4,5,4,30337750000000,30340750000000,3,3,3,3,30337500000000,30341000000000,4,5,4,4,30337250000000,30341250000000,4,5,4,5,30337000000000,30341500000000,6,4,5,4,30336750000000,30341750000000,6,3,6,3,30336500000000,30342000000000,2,4,2,4,NQ.c.0
2026-05-29 12:02:00+00:00,1780056179828653027,10,1,42004058,M,B,0,30335000000000,1,128,11501,305709511,30335000000000,30336000000000,3,2,3,2,30334750000000,30336250000000,3,5,3,4,30334500000000,30336500000000,5,2,5,2,30334250000000,30336750000000,2,4,2,4,30334000000000,30337000000000,2,4,2,4,30333750000000,30337250000000,2,2,2,2,30333500000000,30337500000000,4,4,4,4,30333250000000,30337750000000,4,4,4,4,30333000000000,30338000000000,4,5,4,5,30332750000000,30338500000000,4,4,4,4,NQ.c.0
2026-05-29 12:03:00+00:00,1780056239805154828,10,1,42004058,A,A,0,30336750000000,1,128,11113,305728128,30336000000000,30336750000000,1,1,1,1,30335750000000,30337000000000,3,2,3,2,30335500000000,30337250000000,4,1,4,1,30335250000000,30337500000000,4,3,4,3,30335000000000,30337750000000,3,3,3,3,30334750000000,30338000000000,5,5,1,5,30334500000000,30338500000000,3,4,3,4,30334250000000,30338750000000,2,5,2,5,30334000000000,30339000000000,1,3,1,3,30333750000000,30339500000000,2,2,2,2,NQ.c.0
2026-05-29 12:04:00+00:00,1780056299859151495,10,1,42004058,A,B,3,30328500000000,1,128,12713,305756531,30329250000000,30330000000000,2,3,2,2,30329000000000,30330250000000,5,2,5,2,30328750000000,30330500000000,4,4,4,4,30328500000000,30330750000000,2,2,2,2,30328250000000,30331000000000,3,3,3,3,30328000000000,30331250000000,4,5,4,5,30327750000000,30331500000000,1,4,1,4,30327500000000,30331750000000,4,3,4,3,30327250000000,30332000000000,4,8,4,7,30327000000000,30332250000000,2,4,2,4,NQ.c.0
2026-05-29 12:05:00+00:00,1780056359998792960,10,1,42004058,C,B,0,30320250000000,1,128,10750,305788096,30320250000000,30321250000000,1,2,1,2,30320000000000,30321500000000,8,3,6,3,30319750000000,30321750000000,4,3,4,3,30319500000000,30322000000000,4,3,4,3,30319250000000,30322250000000,2,4,2,4,30319000000000,30322500000000,2,5,2,5,30318750000000,30322750000000,4,3,4,3,30318500000000,30323000000000,5,3,4,3,30318250000000,30323250000000,2,2,2,2,30318000000000,30323500000000,4,2,4,2,NQ.c.0
2026-05-29 12:06:00+00:00,1780056419884111070,10,1,42004058,C,A,0,30320000000000,1,128,10867,305817978,30319250000000,30320000000000,1,1,1,1,30319000000000,30320250000000,1,1,1,1,30318750000000,30320500000000,3,3,3,3,30318500000000,30320750000000,3,1,3,1,30318250000000,30321000000000,4,2,4,2,30318000000000,30321250000000,5,2,5,2,30317750000000,30321500000000,2,2,2,2,30317500000000,30321750000000,2,3,2,3,30317250000000,30322000000000,3,1,3,1,30317000000000,30322250000000,2,4,2,4,NQ.c.0
2026-05-29 12:07:00+00:00,1780056479359262936,10,1,42004058,C,A,0,30316750000000,1,128,13033,305841420,30316250000000,30317000000000,1,1,1,1,30316000000000,30317250000000,2,2,2,2,30315750000000,30317500000000,3,3,3,3,30315500000000,30317750000000,4,4,4,4,30315250000000,30318000000000,4,4,4,4,30315000000000,30318250000000,9,4,5,4,30314750000000,30318500000000,3,3,3,3,30314500000000,30318750000000,3,4,3,4,30314250000000,30319000000000,5,2,5,2,30314000000000,30319250000000,3,3,3,3,NQ.c.0
2026-05-29 12:08:00+00:00,1780056539996508216,10,1,42004058,A,A,3,30325750000000,1,128,11128,305870747,30324000000000,30325000000000,1,1,1,1,30323750000000,30325250000000,5,5,5,5,30323500000000,30325500000000,4,3,4,3,30323250000000,30325750000000,6,3,6,3,30323000000000,30326000000000,4,5,4,5,30322750000000,30326250000000,2,4,2,4,30322500000000,30326500000000,4,4,4,4,30322250000000,30326750000000,4,3,4,3,30322000000000,30327000000000,4,7,4,4,30321750000000,30327250000000,1,3,1,3,NQ.c.0
2026-05-29 12:09:00+00:00,1780056599983880908,10,1,42004058,M,B,2,30320000000000,1,128,10966,305904580,30320500000000,30321500000000,2,2,2,2,30320250000000,30321750000000,5,2,5,2,30320000000000,30322000000000,7,4,7,4,30319750000000,30322250000000,3,4,3,4,30319500000000,30322500000000,6,5,6,5,30319250000000,30322750000000,4,3,4,3,30319000000000,30323000000000,1,2,1,2,30318750000000,30323250000000,3,2,3,2,30318500000000,30323500000000,4,1,4,1,30318250000000,30323750000000,5,5,5,5,NQ.c.0
