ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-11 13:00:00+00:00,1770814859917881519,10,1,42002475,M,B,6,25245250000000,1,128,12845,194739174,25246750000000,25247500000000,1,3,1,2,25246500000000,25247750000000,2,4,2,4,25246250000000,25248000000000,3,3,3,3,25246000000000,25248250000000,4,2,4,2,25245750000000,25248500000000,3,4,3,4,25245500000000,25248750000000,4,4,4,4,25245250000000,25249000000000,1,3,1,3,25245000000000,25249250000000,3,4,3,4,25244750000000,25249500000000,4,4,4,4,25244500000000,25249750000000,3,2,3,2,NQ.c.0
2026-02-11 13:01:00+00:00,1770814919806708056,10,1,42002475,A,A,9,25251250000000,1,128,12572,194762928,25248250000000,25249000000000,1,1,1,1,25248000000000,25249250000000,1,1,1,1,25247750000000,25249500000000,2,3,2,3,25247500000000,25249750000000,2,4,2,4,25247250000000,25250000000000,2,5,2,5,25247000000000,25250250000000,3,6,3,6,25246750000000,25250500000000,1,3,1,3,25246500000000,25250750000000,3,1,3,1,25246250000000,25251000000000,4,4,4,4,25246000000000,25251250000000,3,5,3,5,NQ.c.0
2026-02-11 13:02:00+00:00,1770814979963734203,10,1,42002475,C,A,0,25249000000000,1,128,12017,194790626,25248250000000,25249000000000,2,1,2,1,25248000000000,25249250000000,2,2,2,2,25247750000000,25249500000000,3,1,3,1,25247500000000,25249750000000,2,4,2,4,25247250000000,25250000000000,4,3,4,3,25247000000000,25250250000000,5,5,5,5,25246750000000,25250500000000,2,3,2,3,25246500000000,25250750000000,4,2,4,2,25246250000000,25251000000000,3,5,3,5,25246000000000,25251250000000,4,4,4,4,NQ.c.0
2026-02-11 13:03:00+00:00,1770815039946767350,10,1,42002475,A,B,9,25240500000000,1,128,12859,194809356,25242750000000,25243500000000,1,1,1,1,25242500000000,25243750000000,2,2,2,2,25242250000000,25244000000000,3,5,3,2,25242000000000,25244250000000,4,4,4,4,25241750000000,25244500000000,4,3,4,3,25241500000000,25244750000000,4,3,4,3,25241250000000,25245000000000,7,2,7,2,25241000000000,25245250000000,3,4,3,4,25240750000000,25245500000000,4,3,4,3,25240500000000,25245750000000,6,4,3,4,NQ.c.0
2026-02-11 13:04:00+00:00,1770815099506155963,10,1,42002475,A,A,0,25244500000000,1,128,12968,194830521,25243500000000,25244500000000,2,2,2,2,25243250000000,25244750000000,4,4,4,4,25243000000000,25245000000000,2,3,2,3,25242750000000,25245250000000,2,4,2,4,25242500000000,25245500000000,4,7,4,4,25242250000000,25245750000000,6,4,5,4,25242000000000,25246000000000,4,3,4,3,25241750000000,25246250000000,5,4,5,4,25241500000000,25246500000000,4,4,4,4,25241250000000,25246750000000,6,3,6,3,NQ.c.0
2026-02-11 13:05:00+00:00,1770815159714515139,10,1,42002475,A,B,0,25251750000000,1,128,12342,194855908,25251750000000,25252750000000,4,1,4,1,25251500000000,25253000000000,3,2,3,2,25251250000000,25253250000000,5,1,5,1,25251000000000,25253500000000,5,2,5,2,25250750000000,25253750000000,4,2,4,2,25250500000000,25254000000000,5,4,5,4,25250250000000,25254250000000,4,4,4,4,25250000000000,25254500000000,7,5,6,5,25249750000000,25254750000000,5,6,4,6,25249500000000,25255000000000,3,3,3,3,NQ.c.0
2026-02-11 13:06:00+00:00,1770815219538076303,10,1,42002475,A,B,0,25247000000000,1,128,12451,194876416,25247000000000,25247750000000,1,2,1,2,25246750000000,25248000000000,2,3,2,3,25246500000000,25248250000000,1,4,1,4,25246250000000,25248500000000,3,4,3,4,25246000000000,25248750000000,3,4,3,4,25245750000000,25249000000000,3,4,3,4,25245500000000,25249250000000,3,4,3,4,25245250000000,25249500000000,4,5,4,5,25245000000000,25249750000000,5,3,5,3,25244750000000,25250000000000,4,2,4,2,NQ.c.0
2026-02-11 13:07:00+00:00,1770815279929860266,10,1,42002475,C,B,1,25246500000000,1,128,10820,194891478,25246750000000,25247500000000,1,2,1,2,25246500000000,25247750000000,1,3,1,3,25246250000000,25248000000000,3,2,3,2,25246000000000,25248250000000,4,4,4,4,25245750000000,25248500000000,4,4,4,4,25245500000000,25248750000000,2,3,2,3,25245250000000,25249000000000,3,4,3,4,25245000000000,25249250000000,4,5,4,5,25244750000000,25249500000000,4,5,4,5,25244500000000,25249750000000,5,5,5,5,NQ.c.0
2026-02-11 13:08:00+00:00,1770815339706631519,10,1,42002475,A,B,8,25240750000000,1,128,16595,194908018,25242750000000,25243500000000,1,1,1,1,25242500000000,25243750000000,3,1,3,1,25242250000000,25244000000000,3,3,3,3,25242000000000,25244250000000,3,1,3,1,25241750000000,25244500000000,3,3,3,3,25241500000000,25244750000000,5,4,5,4,25241250000000,25245000000000,7,4,7,4,25241000000000,25245250000000,9,3,6,3,25240750000000,25245500000000,6,3,6,3,25240500000000,25245750000000,4,3,4,3,NQ.c.0
2026-02-11 13:09:00+00:00,1770815399403194843,10,1,42002475,A,A,0,25242750000000,1,128,10973,194926883,25242000000000,25242750000000,2,1,2,1,25241750000000,25243000000000,3,2,3,2,25241500000000,25243250000000,3,4,3,4,25241250000000,25243500000000,2,4,2,4,25241000000000,25243750000000,3,5,3,5,25240750000000,25244000000000,4,4,4,4,25240500000000,25244250000000,3,5,3,5,25240250000000,25244500000000,4,4,4,4,25240000000000,25244750000000,5,3,5,3,25239750000000,25245000000000,4,3,4,3,NQ.c.0
2026-02-11 13:10:00+00:00,1770815459838124024,10,1,42002475,A,B,0,25237500000000,1,128,12347,194946574,25237500000000,25238250000000,3,1,3,1,25237250000000,25238500000000,4,2,4,2,25237000000000,25238750000000,2,5,2,5,25236750000000,25239000000000,2,3,2,3,25236500000000,25239250000000,4,5,4,5,25236250000000,25239500000000,7,2,6,2,25236000000000,25239750000000,7,4,7,4,25235750000000,25240000000000,6,4,6,4,25235500000000,25240250000000,6,5,6,5,25235250000000,25240500000000,5,3,5,3,NQ.c.0
2026-02-11 13:11:00+00:00,1770815519106666365,10,1,42002475,C,B,8,25238250000000,1,128,12792,194963941,25240250000000,25241000000000,2,1,2,1,25240000000000,25241250000000,3,2,3,2,25239750000000,25241500000000,1,4,1,4,25239500000000,25241750000000,1,16,1,7,25239250000000,25242000000000,4,4,4,4,25239000000000,25242250000000,4,6,4,6,25238750000000,25242500000000,5,4,5,4,25238500000000,25242750000000,6,5,6,5,25238250000000,25243000000000,4,5,4,5,25238000000000,25243250000000,4,6,4,6,NQ.c.0
