ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-21 12:00:00+00:00,1776772859949914251,10,1,42004058,A,B,3,26872000000000,1,128,13135,86352209,26872750000000,26873500000000,1,1,1,1,26872500000000,26873750000000,3,3,3,3,26872250000000,26874000000000,4,3,4,3,26872000000000,26874250000000,5,4,5,3,26871750000000,26874500000000,2,5,2,4,26871500000000,26874750000000,4,8,3,5,26871250000000,26875000000000,6,3,5,3,26871000000000,26875250000000,5,1,4,1,26870750000000,26875500000000,4,5,3,5,26870500000000,26875750000000,4,4,3,3,NQ.c.0
2026-04-21 12:01:00+00:00,1776772918674584924,10,1,42004058,C,A,1,26872250000000,1,128,12762,86371475,26871250000000,26872000000000,1,1,1,1,26871000000000,26872250000000,3,2,3,2,26870750000000,26872500000000,3,1,3,1,26870500000000,26872750000000,4,2,4,2,26870250000000,26873250000000,4,1,4,1,26870000000000,26873500000000,5,4,4,4,26869750000000,26873750000000,5,5,4,4,26869500000000,26874000000000,5,2,4,2,26869000000000,26874250000000,5,3,4,3,26868750000000,26874500000000,3,5,3,4,NQ.c.0
2026-04-21 12:02:00+00:00,1776772979869456862,10,1,42004058,A,B,2,26868750000000,1,128,13487,86389184,26869250000000,26870000000000,3,1,2,1,26869000000000,26870250000000,5,4,4,4,26868750000000,26870500000000,7,5,6,5,26868500000000,26870750000000,5,2,4,2,26868250000000,26871000000000,4,2,3,2,26868000000000,26871250000000,6,2,5,2,26867750000000,26871500000000,4,1,3,1,26867500000000,26871750000000,4,7,4,7,26867250000000,26872000000000,4,8,4,7,26867000000000,26872250000000,4,5,3,4,NQ.c.0
2026-04-21 12:03:00+00:00,1776773039897058852,10,1,42004058,A,A,0,26867750000000,1,128,12527,86410352,26867000000000,26867750000000,1,1,1,1,26866750000000,26868000000000,4,1,4,1,26866500000000,26868250000000,4,3,4,3,26866250000000,26868500000000,3,5,3,5,26866000000000,26868750000000,3,4,3,4,26865750000000,26869000000000,9,3,5,2,26865500000000,26869250000000,5,2,4,2,26865250000000,26869500000000,3,2,2,2,26865000000000,26869750000000,8,6,4,5,26864750000000,26870000000000,5,5,4,4,NQ.c.0
2026-04-21 12:04:00+00:00,1776773099944509499,10,1,42004058,A,B,1,26866250000000,1,128,13056,86434642,26866500000000,26867250000000,2,2,2,2,26866250000000,26867500000000,3,2,3,2,26866000000000,26867750000000,2,3,2,3,26865750000000,26868000000000,4,8,4,7,26865500000000,26868250000000,3,4,3,3,26865250000000,26868500000000,3,5,3,4,26865000000000,26868750000000,5,3,4,2,26864750000000,26869000000000,5,3,4,3,26864500000000,26869250000000,5,5,4,4,26864250000000,26869500000000,6,4,5,3,NQ.c.0
2026-04-21 12:05:00+00:00,1776773159829241953,10,1,42004058,C,B,0,26870250000000,1,128,11109,86456615,26870000000000,26870750000000,2,1,2,1,26869750000000,26871000000000,5,2,3,2,26869500000000,26871250000000,1,3,1,3,26869250000000,26871500000000,1,5,1,4,26869000000000,26871750000000,4,4,4,4,26868750000000,26872000000000,3,7,3,7,26868500000000,26872250000000,3,8,3,7,26868250000000,26872500000000,4,4,4,3,26868000000000,26872750000000,4,4,4,3,26867750000000,26873000000000,2,3,2,2,NQ.c.0
2026-04-21 12:06:00+00:00,1776773219807926375,10,1,42004058,A,A,2,26873500000000,1,128,11810,86472533,26872250000000,26873000000000,1,2,1,2,26872000000000,26873250000000,2,5,2,5,26871750000000,26873500000000,2,5,2,5,26871500000000,26873750000000,1,4,1,4,26871250000000,26874000000000,3,4,3,3,26871000000000,26874250000000,3,5,3,4,26870750000000,26874500000000,2,20,2,5,26870500000000,26874750000000,3,5,3,4,26870250000000,26875000000000,5,7,5,5,26870000000000,26875250000000,4,3,4,2,NQ.c.0
2026-04-21 12:07:00+00:00,1776773279388782286,10,1,42004058,A,A,0,26873750000000,1,128,11279,86485464,26873000000000,26873750000000,1,2,1,2,26872750000000,26874000000000,4,4,4,4,26872500000000,26874250000000,2,4,2,3,26872250000000,26874500000000,4,18,4,3,26872000000000,26874750000000,6,5,6,4,26871750000000,26875000000000,9,7,7,5,26871500000000,26875250000000,5,4,5,3,26871250000000,26875500000000,7,6,6,5,26871000000000,26875750000000,5,5,4,4,26870750000000,26876000000000,6,12,5,7,NQ.c.0
2026-04-21 12:08:00+00:00,1776773339252962999,10,1,42004058,A,A,1,26875500000000,1,128,13502,86502716,26874500000000,26875250000000,1,6,1,5,26874000000000,26875500000000,3,6,3,6,26873750000000,26875750000000,3,6,3,6,26873500000000,26876000000000,4,6,4,5,26873250000000,26876250000000,5,4,5,3,26873000000000,26876500000000,2,6,2,5,26872750000000,26876750000000,3,5,3,4,26872500000000,26877000000000,4,4,4,3,26872250000000,26877250000000,4,6,4,5,26872000000000,26877500000000,8,2,7,2,NQ.c.0
2026-04-21 12:09:00+00:00,1776773399967248394,10,1,42004058,M,A,0,26955250000000,1,128,12742,86523149,26879000000000,26879750000000,1,3,1,3,26878750000000,26880000000000,1,5,1,5,26878500000000,26880250000000,5,7,5,6,26878250000000,26880500000000,4,7,4,6,26878000000000,26880750000000,3,3,3,2,26877750000000,26881000000000,2,7,2,6,26877500000000,26881250000000,3,5,3,4,26877250000000,26881500000000,4,6,3,5,26877000000000,26881750000000,4,2,4,2,26876750000000,26882000000000,6,3,5,3,NQ.c.0
