ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-09 12:00:00+00:00,1773057659769822661,10,1,42002475,C,B,2,24382000000000,1,128,12779,47814041,24382500000000,24383500000000,1,1,1,1,24382250000000,24383750000000,2,3,2,3,24381750000000,24384000000000,3,1,3,1,24381500000000,24384250000000,2,1,2,1,24381250000000,24384500000000,2,2,2,2,24381000000000,24384750000000,2,3,2,3,24380750000000,24385500000000,2,1,2,1,24380250000000,24386000000000,2,4,2,4,24380000000000,24386250000000,4,3,4,3,24379750000000,24386500000000,1,1,1,1,NQ.c.0
2026-03-09 12:01:00+00:00,1773057719981170824,10,1,42002475,A,A,1,24404500000000,1,128,13143,47883690,24403000000000,24404250000000,1,2,1,2,24402750000000,24404500000000,1,3,1,3,24402500000000,24404750000000,3,2,3,2,24402250000000,24405000000000,3,8,3,2,24402000000000,24405750000000,8,2,8,2,24401750000000,24406000000000,6,5,6,5,24401500000000,24406250000000,5,2,5,2,24401250000000,24406750000000,1,3,1,3,24401000000000,24407250000000,3,2,3,2,24400750000000,24407500000000,1,3,1,3,NQ.c.0
2026-03-09 12:02:00+00:00,1773057779989700378,10,1,42002475,M,B,0,24406750000000,1,128,15475,47943568,24406750000000,24408000000000,2,2,2,2,24406500000000,24408500000000,3,1,3,1,24406250000000,24409000000000,3,3,3,3,24406000000000,24409500000000,5,4,5,4,24405750000000,24410000000000,10,6,1,6,24405500000000,24410750000000,1,3,1,3,24405000000000,24411250000000,1,3,1,3,24404750000000,24411500000000,2,1,2,1,24404250000000,24411750000000,3,1,3,1,24404000000000,24412000000000,4,4,4,4,NQ.c.0
2026-03-09 12:03:00+00:00,1773057839994858965,10,1,42002475,A,B,0,24416750000000,1,128,12507,48001209,24416750000000,24418000000000,2,2,2,2,24416250000000,24418250000000,3,4,3,4,24416000000000,24418500000000,4,3,4,3,24415750000000,24418750000000,1,2,1,2,24415500000000,24419000000000,1,4,1,4,24415250000000,24419250000000,2,2,2,2,24415000000000,24419750000000,4,2,4,2,24414750000000,24420000000000,1,6,1,6,24414250000000,24420500000000,2,3,2,3,24414000000000,24420750000000,4,1,4,1,NQ.c.0
2026-03-09 12:04:00+00:00,1773057899997265404,10,1,42002475,A,A,1,24419500000000,1,128,12654,48060613,24417750000000,24419250000000,2,2,2,2,24417500000000,24419500000000,2,4,2,4,24417250000000,24419750000000,3,3,3,3,24417000000000,24420000000000,2,5,2,5,24416750000000,24420250000000,2,3,2,3,24416500000000,24420500000000,2,3,2,3,24416000000000,24420750000000,4,3,4,3,24415500000000,24421000000000,2,4,2,4,24415250000000,24421250000000,2,1,2,1,24415000000000,24421500000000,1,1,1,1,NQ.c.0
2026-03-09 12:05:00+00:00,1773057959996703445,10,1,42002475,C,B,4,24429250000000,1,128,11865,48127638,24430250000000,24431500000000,2,1,2,1,24430000000000,24431750000000,3,1,3,1,24429750000000,24432000000000,3,3,3,3,24429500000000,24432250000000,2,2,2,2,24429000000000,24432500000000,2,2,2,2,24428500000000,24432750000000,2,3,2,3,24428250000000,24433250000000,3,3,3,3,24428000000000,24433750000000,4,2,4,2,24427750000000,24434000000000,2,5,2,5,24427500000000,24434250000000,1,3,1,3,NQ.c.0
2026-03-09 12:06:00+00:00,1773058019858441011,10,1,42002475,C,B,0,24430500000000,1,128,12423,48182275,24430250000000,24431250000000,1,1,1,1,24430000000000,24431500000000,3,1,3,1,24429750000000,24431750000000,2,1,2,1,24429250000000,24432000000000,2,3,2,3,24429000000000,24432250000000,3,3,3,3,24428750000000,24432500000000,2,1,2,1,24428500000000,24432750000000,2,1,2,1,24428000000000,24433000000000,4,2,4,2,24427750000000,24433250000000,1,4,1,4,24426750000000,24433500000000,2,3,2,3,NQ.c.0
2026-03-09 12:07:00+00:00,1773058079970689922,10,1,42002475,M,A,7,24416500000000,1,128,13416,48245440,24413500000000,24414750000000,1,1,1,1,24413250000000,24415000000000,3,2,3,2,24413000000000,24415250000000,3,3,3,3,24412750000000,24415500000000,2,2,2,2,24412000000000,24415750000000,3,2,3,2,24411750000000,24416000000000,1,2,1,2,24411250000000,24416250000000,3,2,3,2,24411000000000,24416500000000,2,1,2,1,24410750000000,24416750000000,2,2,2,2,24410250000000,24417000000000,2,1,2,1,NQ.c.0
2026-03-09 12:08:00+00:00,1773058139982595450,10,1,42002475,C,A,0,24411500000000,1,128,12290,48307642,24410500000000,24411750000000,1,1,1,1,24410250000000,24412000000000,2,1,2,1,24410000000000,24412250000000,1,2,1,2,24409750000000,24412500000000,2,1,2,1,24409500000000,24412750000000,1,1,1,1,24409250000000,24413000000000,1,1,1,1,24409000000000,24413250000000,1,1,1,1,24408750000000,24413500000000,1,3,1,3,24408000000000,24413750000000,3,3,3,3,24407750000000,24414000000000,3,5,3,5,NQ.c.0
2026-03-09 12:09:00+00:00,1773058199836743325,10,1,42002475,A,B,1,24410750000000,1,128,13578,48350122,24411000000000,24412250000000,1,1,1,1,24410750000000,24412500000000,4,2,4,2,24410500000000,24412750000000,3,2,3,2,24410000000000,24413000000000,3,3,3,3,24409750000000,24413250000000,1,5,1,5,24409500000000,24413500000000,6,3,3,3,24409250000000,24413750000000,1,2,1,2,24409000000000,24414000000000,2,4,2,4,24408750000000,24414250000000,1,2,1,2,24408500000000,24414500000000,3,2,3,2,NQ.c.0
