ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-12 12:00:00+00:00,1781265659991434835,10,1,42004058,M,B,1,29626000000000,1,128,11501,876516467,29626250000000,29628250000000,3,1,3,1,29626000000000,29628500000000,5,1,5,1,29625750000000,29628750000000,2,2,2,2,29625500000000,29629000000000,2,3,2,3,29624750000000,29629250000000,2,3,2,3,29624500000000,29629500000000,2,2,2,2,29624250000000,29630250000000,2,2,2,2,29624000000000,29630500000000,2,3,2,3,29623500000000,29631000000000,2,3,2,3,29622750000000,29631750000000,2,1,2,1,NQ.c.0
2026-06-12 12:01:00+00:00,1781265719997325599,10,1,42004058,A,B,0,29616250000000,1,128,11200,876606487,29616250000000,29618000000000,1,1,1,1,29616000000000,29618250000000,1,1,1,1,29615750000000,29618500000000,3,3,3,3,29615500000000,29618750000000,3,3,3,3,29615250000000,29619000000000,4,2,4,2,29615000000000,29619250000000,4,2,3,2,29614750000000,29619500000000,3,2,3,2,29614500000000,29619750000000,2,1,2,1,29614250000000,29620000000000,6,2,5,2,29614000000000,29620250000000,4,3,4,3,NQ.c.0
2026-06-12 12:02:00+00:00,1781265779950634412,10,1,42004058,M,B,2,29618500000000,1,128,12733,876694800,29620000000000,29621750000000,2,1,1,1,29619250000000,29622000000000,1,4,1,4,29618500000000,29622250000000,1,4,1,4,29617750000000,29622500000000,4,3,4,3,29617500000000,29622750000000,2,3,2,3,29617250000000,29623000000000,6,2,5,2,29617000000000,29623250000000,2,2,2,2,29616750000000,29623750000000,5,4,5,2,29616500000000,29624250000000,3,3,3,3,29616250000000,29624500000000,2,3,2,3,NQ.c.0
2026-06-12 12:03:00+00:00,1781265839987915087,10,1,42004058,M,A,5,29610000000000,1,128,11537,876791730,29605750000000,29607750000000,1,2,1,2,29605500000000,29608000000000,2,1,2,1,29605250000000,29608250000000,2,1,2,1,29605000000000,29608500000000,4,3,4,3,29604750000000,29608750000000,2,1,2,1,29604500000000,29610000000000,2,1,1,1,29604250000000,29610250000000,2,2,1,2,29604000000000,29610750000000,1,4,1,4,29603500000000,29611000000000,1,2,1,2,29601500000000,29611500000000,2,3,1,3,NQ.c.0
2026-06-12 12:04:00+00:00,1781265899983716927,10,1,42004058,A,B,2,29593500000000,1,128,12507,876872511,29594000000000,29596000000000,1,3,1,3,29593750000000,29596750000000,2,2,2,2,29593500000000,29597250000000,2,1,2,1,29593250000000,29597500000000,3,2,2,2,29593000000000,29600000000000,2,2,2,2,29592750000000,29600250000000,2,2,2,2,29592000000000,29600500000000,3,2,3,2,29591250000000,29600750000000,3,2,3,2,29590750000000,29601000000000,4,4,3,4,29590500000000,29601250000000,2,3,2,3,NQ.c.0
2026-06-12 12:05:00+00:00,1781265959987042641,10,1,42004058,A,A,0,29604750000000,1,128,11521,876963358,29603000000000,29604750000000,2,1,2,1,29602750000000,29605000000000,1,1,1,1,29602500000000,29605750000000,2,3,2,3,29602250000000,29606000000000,1,2,1,2,29602000000000,29606250000000,1,3,1,3,29601500000000,29606750000000,1,2,1,2,29601250000000,29607000000000,2,3,2,3,29601000000000,29607250000000,2,2,2,2,29600750000000,29607500000000,3,2,3,2,29600500000000,29608500000000,2,2,2,2,NQ.c.0
2026-06-12 12:06:00+00:00,1781266019987043039,10,1,42004058,C,A,1,29590500000000,1,128,13636,877046760,29587500000000,29590000000000,1,1,1,1,29586500000000,29590500000000,3,1,3,1,29586000000000,29590750000000,2,3,2,3,29585250000000,29591250000000,1,3,1,3,29585000000000,29591750000000,2,2,2,2,29583750000000,29592000000000,1,4,1,4,29583250000000,29592500000000,1,2,1,2,29582750000000,29592750000000,1,2,1,2,29582000000000,29593000000000,1,1,1,1,29581500000000,29593500000000,2,1,2,1,NQ.c.0
2026-06-12 12:07:00+00:00,1781266079828538198,10,1,42004058,C,A,0,29593750000000,1,128,12440,877105024,29590750000000,29593750000000,2,1,2,1,29590500000000,29594500000000,1,2,1,2,29590250000000,29594750000000,2,2,2,2,29590000000000,29595000000000,1,1,1,1,29589750000000,29595250000000,5,1,1,1,29589500000000,29595500000000,2,1,2,1,29587500000000,29597000000000,1,1,1,1,29587250000000,29597250000000,1,2,1,2,29586750000000,29597750000000,1,2,1,2,29586500000000,29598000000000,1,2,1,2,NQ.c.0
2026-06-12 12:08:00+00:00,1781266139981911180,10,1,42004058,A,B,1,29603500000000,1,128,13316,877179850,29603750000000,29606250000000,2,2,2,2,29603500000000,29606500000000,4,4,4,4,29602750000000,29606750000000,2,3,2,3,29602250000000,29607000000000,2,2,2,2,29601750000000,29607250000000,2,3,2,3,29601500000000,29607500000000,2,2,2,2,29601000000000,29607750000000,1,2,1,2,29600750000000,29608000000000,1,1,1,1,29600500000000,29608500000000,1,4,1,4,29600250000000,29608750000000,1,3,1,3,NQ.c.0
2026-06-12 12:09:00+00:00,1781266199991843540,10,1,42004058,C,A,0,29609000000000,1,128,14381,877234443,29607000000000,29609000000000,1,1,1,1,29606750000000,29609250000000,2,4,2,4,29606250000000,29609500000000,3,2,3,2,29606000000000,29609750000000,4,2,4,2,29605750000000,29610750000000,2,2,2,2,29605500000000,29611000000000,3,2,3,2,29605000000000,29611500000000,2,4,2,4,29604750000000,29612000000000,3,3,3,3,29604500000000,29612250000000,2,3,2,3,29604250000000,29613000000000,2,2,2,2,NQ.c.0
