ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-04 13:00:00+00:00,1770210059990441695,10,1,42002475,A,B,0,25396000000000,1,128,12881,263198039,25396000000000,25397000000000,1,1,1,1,25395750000000,25397250000000,1,3,1,3,25395500000000,25397500000000,3,3,3,3,25395250000000,25397750000000,4,3,4,3,25395000000000,25398000000000,4,3,4,3,25394750000000,25398250000000,5,5,5,5,25394500000000,25398500000000,4,3,4,3,25394250000000,25398750000000,3,2,3,2,25394000000000,25399000000000,4,3,4,3,25393750000000,25399250000000,5,4,5,4,NQ.c.0
2026-02-04 13:01:00+00:00,1770210119258320591,10,1,42002475,A,A,0,25409250000000,1,128,10912,263244592,25408500000000,25409250000000,1,1,1,1,25408250000000,25409500000000,2,2,2,2,25408000000000,25409750000000,1,3,1,3,25407750000000,25410000000000,2,3,2,3,25407500000000,25410250000000,4,1,4,1,25407250000000,25410500000000,4,3,4,3,25407000000000,25410750000000,5,2,5,2,25406750000000,25411000000000,6,2,6,2,25406500000000,25411250000000,3,3,3,3,25406250000000,25411500000000,5,4,5,4,NQ.c.0
2026-02-04 13:02:00+00:00,1770210179875551255,10,1,42002475,A,A,0,25411750000000,1,128,14166,263286150,25411000000000,25411750000000,1,1,1,1,25410750000000,25412000000000,1,3,1,3,25410500000000,25412250000000,1,4,1,4,25410250000000,25412500000000,3,5,3,5,25410000000000,25412750000000,3,6,3,6,25409750000000,25413000000000,2,6,2,6,25409500000000,25413250000000,3,4,3,4,25409250000000,25413500000000,3,4,3,4,25409000000000,25413750000000,3,4,3,4,25408750000000,25414000000000,3,4,3,4,NQ.c.0
2026-02-04 13:03:00+00:00,1770210239887583287,10,1,42002475,A,B,1,25406250000000,1,128,13537,263317833,25406500000000,25407250000000,1,1,1,1,25406250000000,25407750000000,3,3,3,3,25406000000000,25408000000000,2,4,2,4,25405750000000,25408250000000,1,6,1,6,25405500000000,25408500000000,2,8,2,8,25405250000000,25408750000000,4,2,4,2,25405000000000,25409000000000,3,2,3,2,25404750000000,25409250000000,4,4,4,4,25404500000000,25409500000000,4,4,4,4,25404250000000,25409750000000,4,4,4,4,NQ.c.0
2026-02-04 13:04:00+00:00,1770210299989038287,10,1,42002475,A,B,0,25391000000000,1,128,13340,263360618,25391000000000,25391750000000,2,1,2,1,25390750000000,25392000000000,1,2,1,2,25390500000000,25392250000000,3,1,3,1,25390250000000,25392500000000,3,2,3,2,25390000000000,25392750000000,7,3,7,3,25389750000000,25393000000000,5,3,5,3,25389500000000,25393250000000,4,4,4,4,25389250000000,25393500000000,6,1,6,1,25389000000000,25393750000000,4,2,4,2,25388750000000,25394000000000,4,4,4,4,NQ.c.0
2026-02-04 13:05:00+00:00,1770210359978714188,10,1,42002475,C,A,0,25385750000000,1,128,11531,263411168,25385000000000,25386000000000,1,3,1,3,25384750000000,25386250000000,2,4,2,4,25384500000000,25386500000000,3,2,3,2,25384250000000,25386750000000,3,3,3,3,25384000000000,25387000000000,4,4,4,4,25383750000000,25387250000000,5,4,5,4,25383500000000,25387500000000,3,3,3,3,25383250000000,25387750000000,4,3,4,3,25383000000000,25388000000000,3,4,3,4,25382750000000,25388250000000,3,3,3,3,NQ.c.0
2026-02-04 13:06:00+00:00,1770210419675736783,10,1,42002475,C,A,1,25392250000000,1,128,13303,263457639,25391000000000,25392000000000,1,2,1,2,25390750000000,25392250000000,2,2,2,2,25390500000000,25392500000000,3,3,3,3,25390250000000,25392750000000,1,2,1,2,25390000000000,25393000000000,2,2,2,2,25389750000000,25393250000000,1,2,1,2,25389500000000,25393750000000,3,3,3,3,25389250000000,25394000000000,5,5,5,5,25389000000000,25394250000000,5,3,5,3,25388750000000,25394500000000,6,2,6,2,NQ.c.0
2026-02-04 13:07:00+00:00,1770210479875986889,10,1,42002475,M,A,6,25396250000000,1,128,12970,263501417,25394000000000,25394750000000,1,1,1,1,25393750000000,25395000000000,2,1,2,1,25393500000000,25395250000000,4,4,4,4,25393250000000,25395500000000,3,4,3,4,25393000000000,25395750000000,4,4,4,4,25392750000000,25396000000000,5,4,5,4,25392500000000,25396250000000,4,5,4,5,25392250000000,25396500000000,3,5,3,5,25392000000000,25396750000000,4,4,4,4,25391750000000,25397000000000,4,4,4,4,NQ.c.0
2026-02-04 13:08:00+00:00,1770210539332843225,10,1,42002475,A,B,0,25392250000000,1,128,12574,263536822,25392250000000,25393000000000,1,1,1,1,25392000000000,25393250000000,1,2,1,2,25391750000000,25393500000000,2,3,2,3,25391500000000,25393750000000,2,2,2,2,25391250000000,25394000000000,3,4,3,4,25391000000000,25394250000000,1,5,1,5,25390750000000,25394500000000,1,6,1,6,25390500000000,25394750000000,3,4,3,4,25390250000000,25395000000000,3,2,3,2,25390000000000,25395250000000,4,4,4,4,NQ.c.0
2026-02-04 13:09:00+00:00,1770210599980645642,10,1,42002475,M,A,2,25459250000000,1,128,12086,263572891,25382500000000,25383500000000,1,3,1,3,25382250000000,25383750000000,2,5,2,5,25382000000000,25384000000000,3,7,3,7,25381750000000,25384250000000,2,8,2,8,25381250000000,25384500000000,2,7,2,7,25381000000000,25384750000000,3,3,3,3,25380750000000,25385000000000,3,2,3,2,25380500000000,25385250000000,3,6,3,6,25380250000000,25385500000000,4,2,4,2,25380000000000,25385750000000,5,4,5,4,NQ.c.0
