ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-20 13:00:00+00:00,1771592459974690091,10,1,42002475,A,B,0,24825000000000,1,128,11071,375780120,24825000000000,24825750000000,1,1,1,1,24824750000000,24826000000000,2,2,2,2,24824500000000,24826250000000,4,1,4,1,24824250000000,24826500000000,1,2,1,2,24824000000000,24826750000000,4,3,4,3,24823750000000,24827000000000,2,2,2,2,24823500000000,24827250000000,2,4,2,4,24823250000000,24827500000000,3,5,3,4,24823000000000,24827750000000,4,5,4,4,24822750000000,24828000000000,4,4,4,4,NQ.c.0
2026-02-20 13:01:00+00:00,1771592519427120579,10,1,42002475,C,B,0,24822750000000,1,128,11195,375801587,24822500000000,24823500000000,2,1,2,1,24822250000000,24823750000000,2,1,2,1,24822000000000,24824000000000,2,3,2,3,24821750000000,24824250000000,1,2,1,2,24821500000000,24824500000000,3,2,3,2,24821250000000,24824750000000,3,2,3,2,24821000000000,24825000000000,3,2,3,2,24820750000000,24825250000000,3,2,3,2,24820500000000,24825500000000,3,3,3,3,24820250000000,24825750000000,2,2,2,2,NQ.c.0
2026-02-20 13:02:00+00:00,1771592579996670027,10,1,42002475,A,B,2,24827500000000,1,128,13296,375826435,24828000000000,24828750000000,1,2,1,2,24827750000000,24829000000000,1,1,1,1,24827500000000,24829250000000,4,3,4,3,24827250000000,24829500000000,2,2,2,2,24827000000000,24829750000000,1,2,1,2,24826500000000,24830000000000,3,3,3,3,24826250000000,24830250000000,3,3,3,3,24826000000000,24830500000000,4,3,4,3,24825750000000,24830750000000,3,2,3,2,24825500000000,24831000000000,2,4,2,4,NQ.c.0
2026-02-20 13:03:00+00:00,1771592639999191645,10,1,42002475,A,B,0,24828500000000,1,128,11267,375851962,24828500000000,24829500000000,1,2,1,2,24828250000000,24829750000000,2,1,2,1,24828000000000,24830000000000,3,3,3,3,24827750000000,24830250000000,1,2,1,2,24827500000000,24830500000000,1,3,1,3,24827250000000,24830750000000,2,2,2,2,24827000000000,24831000000000,2,5,2,4,24826750000000,24831250000000,3,4,3,4,24826500000000,24831500000000,4,3,4,3,24826250000000,24831750000000,2,1,2,1,NQ.c.0
2026-02-20 13:04:00+00:00,1771592699994116935,10,1,42002475,C,A,1,24829500000000,1,128,9899,375878147,24828500000000,24829250000000,1,1,1,1,24828250000000,24829500000000,1,1,1,1,24828000000000,24829750000000,2,3,2,3,24827750000000,24830000000000,3,5,3,5,24827500000000,24830250000000,3,3,3,3,24827250000000,24830500000000,3,2,3,2,24827000000000,24830750000000,1,3,1,3,24826750000000,24831000000000,2,3,2,3,24826500000000,24831250000000,3,3,3,3,24826250000000,24831500000000,2,3,2,3,NQ.c.0
2026-02-20 13:05:00+00:00,1771592759935446010,10,1,42002475,A,B,0,24822000000000,1,128,13121,375902260,24822000000000,24823000000000,2,1,2,1,24821750000000,24823250000000,2,1,2,1,24821500000000,24823500000000,3,3,3,3,24821250000000,24823750000000,2,1,2,1,24821000000000,24824000000000,2,4,2,4,24820750000000,24824250000000,3,3,3,3,24820500000000,24824500000000,3,4,3,4,24820250000000,24824750000000,3,3,3,3,24820000000000,24825000000000,7,2,7,2,24819750000000,24825250000000,4,2,4,2,NQ.c.0
2026-02-20 13:06:00+00:00,1771592818246131927,10,1,42002475,C,B,1,24823000000000,1,128,11094,375929279,24823250000000,24824000000000,1,1,1,1,24823000000000,24824500000000,1,1,1,1,24822750000000,24824750000000,6,1,6,1,24822500000000,24825000000000,1,6,1,3,24822250000000,24825250000000,1,3,1,3,24822000000000,24825500000000,4,2,4,2,24821750000000,24825750000000,2,1,2,1,24821500000000,24826000000000,2,6,2,4,24821250000000,24826250000000,2,3,2,3,24821000000000,24826500000000,2,1,2,1,NQ.c.0
2026-02-20 13:07:00+00:00,1771592879970915512,10,1,42002475,A,A,0,24825500000000,1,128,12459,375954617,24824750000000,24825500000000,2,1,2,1,24824500000000,24825750000000,1,1,1,1,24824250000000,24826000000000,1,3,1,3,24824000000000,24826250000000,4,3,4,3,24823750000000,24826500000000,1,3,1,3,24823500000000,24826750000000,1,3,1,3,24823250000000,24827000000000,3,1,3,1,24823000000000,24827250000000,4,3,4,3,24822750000000,24827750000000,4,3,4,3,24822500000000,24828000000000,4,5,4,5,NQ.c.0
2026-02-20 13:08:00+00:00,1771592939903059602,10,1,42002475,A,B,1,24817500000000,1,128,13352,375982555,24817750000000,24818750000000,1,2,1,2,24817500000000,24819000000000,5,1,5,1,24817250000000,24819250000000,3,1,3,1,24817000000000,24819500000000,5,3,5,3,24816750000000,24819750000000,4,1,4,1,24816500000000,24820000000000,2,3,2,3,24816250000000,24820250000000,3,4,3,4,24816000000000,24820500000000,5,4,5,4,24815750000000,24820750000000,4,4,4,4,24815500000000,24821000000000,4,3,4,3,NQ.c.0
2026-02-20 13:09:00+00:00,1771592999735383006,10,1,42002475,M,B,3,24751500000000,1,128,12454,376001947,24826750000000,24827500000000,1,1,1,1,24826500000000,24827750000000,2,2,2,2,24826250000000,24828000000000,3,2,3,2,24826000000000,24828250000000,3,5,3,5,24825750000000,24828500000000,3,3,3,3,24825500000000,24828750000000,3,3,3,3,24825250000000,24829000000000,4,3,4,3,24825000000000,24829250000000,4,5,4,5,24824750000000,24829500000000,4,5,4,4,24824500000000,24829750000000,4,5,4,5,NQ.c.0
