ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-03 13:00:00+00:00,1770123659720422225,10,1,42002475,A,B,1,25982500000000,1,128,13244,121818839,25982750000000,25983500000000,2,2,2,2,25982500000000,25983750000000,3,2,3,2,25982250000000,25984000000000,2,2,2,2,25982000000000,25984250000000,5,3,5,3,25981750000000,25984500000000,3,3,3,3,25981500000000,25984750000000,2,5,2,5,25981250000000,25985000000000,4,3,4,3,25981000000000,25985250000000,3,6,3,6,25980750000000,25985500000000,2,5,2,5,25980500000000,25985750000000,2,6,2,6,NQ.c.0
2026-02-03 13:01:00+00:00,1770123719380793210,10,1,42002475,A,B,0,25982250000000,1,128,16155,121845168,25982250000000,25983000000000,1,1,1,1,25982000000000,25983250000000,2,4,2,4,25981750000000,25983500000000,2,3,2,3,25981500000000,25983750000000,2,3,2,3,25981250000000,25984000000000,2,3,2,3,25981000000000,25984250000000,2,1,2,1,25980750000000,25984500000000,1,2,1,2,25980500000000,25984750000000,3,2,3,2,25980250000000,25985000000000,3,4,3,4,25980000000000,25985250000000,6,3,6,3,NQ.c.0
2026-02-03 13:02:00+00:00,1770123779940633173,10,1,42002475,C,B,1,25979500000000,1,128,12580,121870263,25979750000000,25980500000000,1,1,1,1,25979250000000,25980750000000,3,2,3,2,25979000000000,25981000000000,3,1,3,1,25978750000000,25981250000000,2,2,2,2,25978500000000,25981500000000,2,2,2,2,25978250000000,25981750000000,2,3,2,3,25978000000000,25982000000000,3,6,3,6,25977750000000,25982250000000,2,5,2,5,25977500000000,25982500000000,2,7,2,7,25977250000000,25982750000000,3,1,3,1,NQ.c.0
2026-02-03 13:03:00+00:00,1770123839839051983,10,1,42002475,A,A,0,25983500000000,1,128,12660,121898225,25982750000000,25983500000000,1,1,1,1,25982500000000,25983750000000,3,2,3,2,25982250000000,25984000000000,3,2,3,2,25982000000000,25984250000000,5,2,5,2,25981750000000,25984500000000,4,4,4,4,25981500000000,25984750000000,3,4,3,4,25981250000000,25985000000000,2,4,2,4,25981000000000,25985250000000,2,3,2,3,25980750000000,25985500000000,2,4,2,4,25980500000000,25985750000000,3,7,3,7,NQ.c.0
2026-02-03 13:04:00+00:00,1770123899855781733,10,1,42002475,C,B,0,25982250000000,1,128,11030,121924444,25982250000000,25983000000000,1,1,1,1,25982000000000,25983250000000,3,2,3,2,25981750000000,25983500000000,4,1,4,1,25981500000000,25983750000000,3,3,3,3,25981250000000,25984000000000,3,4,3,4,25981000000000,25984250000000,3,2,3,2,25980750000000,25984500000000,3,4,3,4,25980500000000,25984750000000,4,4,4,4,25980250000000,25985000000000,3,3,3,3,25980000000000,25985250000000,4,4,4,3,NQ.c.0
2026-02-03 13:05:00+00:00,1770123959776404692,10,1,42002475,A,B,4,25985250000000,1,128,12866,121951594,25986250000000,25987000000000,1,2,1,2,25986000000000,25987250000000,1,5,1,3,25985750000000,25987500000000,3,5,3,5,25985500000000,25987750000000,3,5,3,5,25985250000000,25988000000000,4,9,4,9,25985000000000,25988250000000,4,12,4,9,25984750000000,25988500000000,3,7,3,7,25984500000000,25988750000000,3,7,3,6,25984250000000,25989000000000,3,2,3,2,25984000000000,25989250000000,2,4,2,4,NQ.c.0
2026-02-03 13:06:00+00:00,1770124019970267543,10,1,42002475,C,A,0,25994500000000,1,128,11282,121983244,25994000000000,25994750000000,3,4,3,4,25993750000000,25995000000000,2,4,2,4,25993500000000,25995250000000,5,3,1,3,25993250000000,25995500000000,3,4,3,4,25993000000000,25995750000000,3,5,3,5,25992750000000,25996000000000,3,8,3,8,25992500000000,25996250000000,2,6,2,6,25992250000000,25996500000000,2,7,2,7,25992000000000,25996750000000,4,5,4,5,25991750000000,25997000000000,4,7,4,7,NQ.c.0
2026-02-03 13:07:00+00:00,1770124079965984237,10,1,42002475,A,A,0,25994250000000,1,128,11078,122007888,25993500000000,25994250000000,2,1,2,1,25993250000000,25994500000000,3,3,3,3,25993000000000,25994750000000,4,4,4,4,25992750000000,25995000000000,5,3,5,3,25992500000000,25995250000000,2,6,2,6,25992250000000,25995500000000,1,3,1,3,25992000000000,25995750000000,4,4,4,4,25991750000000,25996000000000,4,12,4,12,25991500000000,25996250000000,4,8,4,8,25991250000000,25996500000000,4,10,4,10,NQ.c.0
2026-02-03 13:08:00+00:00,1770124139951021949,10,1,42002475,M,B,0,25918000000000,1,128,11363,122034148,25993000000000,25994000000000,1,2,1,2,25992750000000,25994250000000,5,3,5,3,25992500000000,25994500000000,4,4,4,4,25992250000000,25994750000000,5,5,5,5,25992000000000,25995000000000,5,4,5,4,25991750000000,25995250000000,4,5,4,5,25991500000000,25995500000000,3,6,3,6,25991250000000,25995750000000,6,6,6,6,25991000000000,25996000000000,4,6,4,6,25990750000000,25996250000000,3,5,3,5,NQ.c.0
2026-02-03 13:09:00+00:00,1770124199873995145,10,1,42002475,A,B,1,25996500000000,1,128,12852,122056735,25996750000000,25997500000000,1,1,1,1,25996500000000,25997750000000,4,5,4,5,25996250000000,25998000000000,3,4,3,4,25996000000000,25998250000000,6,4,6,4,25995750000000,25998500000000,5,6,5,5,25995500000000,25998750000000,5,5,5,5,25995250000000,25999000000000,3,12,3,12,25995000000000,25999250000000,3,7,3,7,25994750000000,25999500000000,3,5,3,5,25994500000000,25999750000000,3,5,3,5,NQ.c.0
