ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-12 12:00:00+00:00,1778587259982566996,10,1,42004058,C,A,0,29161250000000,1,128,14069,105726224,29160500000000,29161500000000,1,1,1,1,29160250000000,29161750000000,1,3,1,3,29160000000000,29162250000000,2,2,2,2,29159750000000,29162500000000,2,2,2,2,29159500000000,29163000000000,5,4,5,4,29159250000000,29163250000000,4,4,4,4,29159000000000,29163500000000,5,3,5,3,29158750000000,29163750000000,4,4,4,4,29158500000000,29164000000000,2,3,2,3,29158250000000,29164250000000,4,2,4,2,NQ.c.0
2026-05-12 12:01:00+00:00,1778587319990092118,10,1,42004058,M,A,1,29161500000000,1,128,10954,105752243,29160250000000,29161250000000,1,1,1,1,29160000000000,29161500000000,3,3,3,3,29159750000000,29161750000000,2,5,2,5,29159500000000,29162000000000,3,10,3,2,29159000000000,29162250000000,4,3,4,3,29158750000000,29162500000000,5,4,5,4,29158500000000,29162750000000,2,2,2,2,29158250000000,29163000000000,4,3,4,3,29158000000000,29163250000000,4,3,4,3,29157750000000,29163500000000,4,2,4,2,NQ.c.0
2026-05-12 12:02:00+00:00,1778587379976933164,10,1,42004058,A,A,0,29154250000000,1,128,11545,105780090,29153250000000,29154250000000,3,1,3,1,29153000000000,29154500000000,4,2,4,2,29152750000000,29154750000000,4,1,2,1,29152250000000,29155000000000,1,2,1,2,29152000000000,29155250000000,3,1,3,1,29151500000000,29155500000000,3,1,3,1,29151250000000,29155750000000,3,3,3,3,29151000000000,29156000000000,5,2,5,2,29150500000000,29156250000000,4,2,4,2,29150250000000,29156500000000,3,3,3,3,NQ.c.0
2026-05-12 12:03:00+00:00,1778587439902713095,10,1,42004058,M,A,1,29149500000000,1,128,11153,105804903,29148250000000,29149250000000,1,1,1,1,29148000000000,29149500000000,2,4,2,4,29147750000000,29149750000000,1,2,1,2,29147500000000,29150000000000,2,2,2,2,29147250000000,29150250000000,3,3,3,3,29147000000000,29150500000000,2,3,2,3,29146750000000,29150750000000,3,2,3,2,29146500000000,29151000000000,2,1,2,1,29146000000000,29151250000000,3,2,3,2,29145500000000,29151500000000,2,2,2,2,NQ.c.0
2026-05-12 12:04:00+00:00,1778587499998063668,10,1,42004058,A,A,0,29135000000000,1,128,11895,105838853,29134500000000,29135000000000,1,1,1,1,29134250000000,29135250000000,3,2,3,2,29134000000000,29135500000000,2,4,2,4,29133750000000,29135750000000,3,1,3,1,29133500000000,29136000000000,4,2,4,2,29133250000000,29136250000000,4,3,4,3,29133000000000,29136500000000,4,3,4,3,29132750000000,29136750000000,4,3,3,1,29132250000000,29137000000000,4,2,3,2,29132000000000,29137250000000,5,3,5,3,NQ.c.0
2026-05-12 12:05:00+00:00,1778587559747526502,10,1,42004058,A,B,0,29133500000000,1,128,12618,105878929,29133500000000,29134250000000,2,1,2,1,29133250000000,29134500000000,5,3,4,3,29133000000000,29134750000000,8,3,6,3,29132750000000,29135000000000,4,1,3,1,29132250000000,29135250000000,3,2,2,2,29132000000000,29135500000000,4,3,4,3,29131750000000,29135750000000,5,3,5,3,29131500000000,29136000000000,5,3,5,3,29131250000000,29136250000000,1,4,1,4,29130750000000,29136500000000,2,3,2,3,NQ.c.0
2026-05-12 12:06:00+00:00,1778587619883762947,10,1,42004058,C,B,2,29126250000000,1,128,12833,105935985,29126750000000,29127750000000,1,2,1,2,29126500000000,29128000000000,1,5,1,5,29126250000000,29128500000000,1,2,1,2,29126000000000,29128750000000,1,3,1,3,29125750000000,29129000000000,1,3,1,3,29125500000000,29129250000000,1,3,1,3,29125250000000,29129500000000,1,2,1,2,29125000000000,29130000000000,1,2,1,2,29124750000000,29130250000000,3,2,3,2,29124500000000,29130500000000,3,3,3,3,NQ.c.0
2026-05-12 12:07:00+00:00,1778587679949180451,10,1,42004058,A,A,1,29124500000000,1,128,11174,105981584,29123250000000,29124250000000,2,2,2,1,29123000000000,29124500000000,2,3,2,3,29122750000000,29124750000000,1,3,1,3,29122500000000,29125000000000,3,2,3,2,29122250000000,29125250000000,1,3,1,3,29122000000000,29125500000000,1,3,1,3,29121750000000,29125750000000,1,4,1,4,29121500000000,29126000000000,6,2,5,2,29121250000000,29126250000000,4,3,3,3,29121000000000,29126500000000,5,2,4,2,NQ.c.0
2026-05-12 12:08:00+00:00,1778587739993247239,10,1,42004058,C,A,0,29131500000000,1,128,12690,106014783,29130750000000,29131750000000,3,2,1,2,29130250000000,29132000000000,3,4,3,4,29130000000000,29132250000000,4,2,4,2,29129500000000,29132500000000,4,4,4,4,29129250000000,29132750000000,5,2,5,2,29129000000000,29133000000000,12,5,9,5,29128750000000,29133250000000,2,4,2,4,29128500000000,29133500000000,3,4,3,4,29128250000000,29134000000000,2,5,2,5,29128000000000,29134250000000,3,2,3,2,NQ.c.0
2026-05-12 12:09:00+00:00,1778587799315730211,10,1,42004058,C,A,0,29133500000000,1,128,12438,106041130,29132750000000,29133500000000,1,1,1,1,29132500000000,29133750000000,2,1,2,1,29132250000000,29134000000000,3,3,3,3,29132000000000,29134250000000,4,2,4,2,29131750000000,29134500000000,1,1,1,1,29131500000000,29134750000000,4,3,4,3,29131250000000,29135000000000,4,3,4,3,29131000000000,29135250000000,5,3,4,3,29130750000000,29135500000000,2,2,2,2,29130500000000,29135750000000,2,3,2,3,NQ.c.0
2026-05-12 12:10:00+00:00,1778587859794210180,10,1,42004058,A,B,0,29149000000000,1,128,10964,106082540,29149000000000,29149750000000,1,2,1,2,29148750000000,29150000000000,2,2,2,2,29148500000000,29150250000000,3,3,3,3,29148250000000,29150500000000,3,4,3,4,29148000000000,29150750000000,1,4,1,4,29147750000000,29151000000000,1,5,1,5,29147500000000,29151250000000,1,2,1,2,29147250000000,29151500000000,3,2,3,2,29147000000000,29152000000000,2,4,2,4,29146750000000,29152250000000,3,2,3,2,NQ.c.0
2026-05-12 12:11:00+00:00,1778587919988344599,10,1,42004058,A,A,1,29154250000000,1,128,12506,106116576,29153250000000,29154000000000,2,1,2,1,29152750000000,29154250000000,3,4,3,4,29152500000000,29154500000000,2,1,2,1,29152250000000,29154750000000,2,2,2,2,29152000000000,29155000000000,2,3,2,3,29151750000000,29155250000000,1,2,1,2,29151500000000,29155500000000,2,1,2,1,29151250000000,29155750000000,2,2,2,2,29151000000000,29156000000000,3,3,3,3,29150750000000,29156250000000,1,1,1,1,NQ.c.0
