ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-19 12:00:00+00:00,1773921659953190987,10,1,42002475,A,A,0,24312500000000,1,128,13869,439776289,24308250000000,24312500000000,1,2,1,2,24308000000000,24312750000000,1,1,1,1,24307750000000,24313000000000,2,1,2,1,24304750000000,24313750000000,5,3,2,3,24304500000000,24315000000000,1,1,1,1,24304000000000,24315500000000,3,1,2,1,24303750000000,24316000000000,1,3,1,2,24303500000000,24316500000000,2,1,2,1,24302500000000,24319500000000,2,2,1,1,24302250000000,24319750000000,1,2,1,2,NQ.c.0
2026-03-19 12:01:00+00:00,1773921719934085040,10,1,42002475,M,A,3,24299750000000,2,128,11501,439854834,24294000000000,24297000000000,1,1,1,1,24293750000000,24298000000000,1,2,1,2,24293000000000,24298250000000,1,2,1,2,24292750000000,24298500000000,2,1,2,1,24292500000000,24298750000000,2,1,2,1,24292250000000,24299000000000,2,1,2,1,24292000000000,24299750000000,2,3,2,2,24291000000000,24300250000000,1,1,1,1,24290750000000,24300750000000,1,1,1,1,24290500000000,24301500000000,1,2,1,1,NQ.c.0
2026-03-19 12:02:00+00:00,1773921779753802368,10,1,42002475,A,B,1,24282250000000,1,128,13570,439942119,24282750000000,24285500000000,1,1,1,1,24282250000000,24287000000000,4,1,4,1,24282000000000,24287250000000,2,2,2,2,24281750000000,24287500000000,2,5,2,2,24281500000000,24287750000000,2,2,2,2,24281250000000,24288000000000,2,2,2,2,24280500000000,24288750000000,4,1,1,1,24280250000000,24289000000000,1,1,1,1,24280000000000,24289250000000,1,1,1,1,24279250000000,24289750000000,1,1,1,1,NQ.c.0
2026-03-19 12:03:00+00:00,1773921839894329442,10,1,42002475,M,B,0,24274500000000,1,128,11253,440062778,24274500000000,24277500000000,1,1,1,1,24274000000000,24277750000000,2,1,2,1,24273750000000,24278000000000,1,2,1,2,24273500000000,24278250000000,3,1,3,1,24273250000000,24278500000000,2,1,2,1,24273000000000,24278750000000,3,2,3,2,24272750000000,24279000000000,6,1,3,1,24272500000000,24279250000000,2,2,2,2,24272250000000,24279500000000,3,1,3,1,24272000000000,24279750000000,1,5,1,2,NQ.c.0
2026-03-19 12:04:00+00:00,1773921899848450264,10,1,42002475,M,B,9,24271250000000,4,128,12481,440156947,24273750000000,24276500000000,2,1,2,1,24273250000000,24276750000000,2,1,2,1,24273000000000,24277000000000,3,3,3,3,24272750000000,24277250000000,2,2,2,2,24272500000000,24277500000000,2,3,2,3,24272250000000,24277750000000,1,6,1,3,24272000000000,24278000000000,3,3,3,3,24271750000000,24278250000000,2,2,2,2,24271500000000,24278500000000,1,3,1,3,24271250000000,24278750000000,5,2,2,2,NQ.c.0
2026-03-19 12:05:00+00:00,1773921959959541267,10,1,42002475,M,A,0,24280250000000,1,128,12322,440246684,24277000000000,24280250000000,1,1,1,1,24276750000000,24280500000000,2,1,2,1,24276500000000,24280750000000,2,1,2,1,24276250000000,24281250000000,2,2,2,2,24276000000000,24281500000000,2,1,2,1,24275750000000,24281750000000,6,1,3,1,24275500000000,24282000000000,2,2,2,2,24275250000000,24282250000000,3,2,3,2,24275000000000,24282500000000,4,1,4,1,24274750000000,24282750000000,1,1,1,1,NQ.c.0
2026-03-19 12:06:00+00:00,1773922019907330249,10,1,42002475,A,A,0,24301000000000,1,128,11694,440391421,24297500000000,24301000000000,2,2,2,2,24297250000000,24301500000000,1,1,1,1,24297000000000,24301750000000,3,1,3,1,24296750000000,24302250000000,2,2,2,2,24296500000000,24302500000000,1,5,1,2,24295500000000,24302750000000,3,1,2,1,24295000000000,24303000000000,5,2,2,2,24294750000000,24303250000000,1,1,1,1,24294500000000,24303500000000,1,2,1,2,24294250000000,24303750000000,1,1,1,1,NQ.c.0
2026-03-19 12:07:00+00:00,1773922079988848872,10,1,42002475,M,A,2,24342750000000,1,128,13374,440642894,24337250000000,24340250000000,2,1,2,1,24336250000000,24341500000000,1,2,1,2,24336000000000,24342000000000,2,4,2,1,24335750000000,24342250000000,1,1,1,1,24335500000000,24342750000000,1,2,1,2,24335250000000,24343000000000,1,1,1,1,24335000000000,24343250000000,6,1,3,1,24334750000000,24343500000000,1,1,1,1,24334500000000,24343750000000,1,1,1,1,24334250000000,24344000000000,1,1,1,1,NQ.c.0
2026-03-19 12:08:00+00:00,1773922139882612122,10,1,42002475,M,A,0,24373750000000,1,128,11485,440832718,24320250000000,24323750000000,2,1,2,1,24320000000000,24324750000000,1,4,1,1,24319250000000,24325500000000,4,3,1,3,24319000000000,24325750000000,1,5,1,2,24318750000000,24326000000000,1,1,1,1,24318500000000,24326250000000,5,1,2,1,24318250000000,24326500000000,1,1,1,1,24318000000000,24326750000000,1,1,1,1,24317750000000,24327000000000,1,1,1,1,24317250000000,24327500000000,2,1,2,1,NQ.c.0
2026-03-19 12:09:00+00:00,1773922199997131910,10,1,42002475,M,A,9,24335250000000,2,128,13203,440995212,24323000000000,24325750000000,1,2,1,2,24322750000000,24327000000000,1,6,1,3,24321750000000,24327250000000,1,1,1,1,24321500000000,24327500000000,4,1,1,1,24319750000000,24327750000000,4,1,2,1,24318500000000,24330750000000,1,5,1,1,24317250000000,24331000000000,1,1,1,1,24316500000000,24332000000000,1,2,1,1,24316000000000,24332250000000,3,1,2,1,24314000000000,24335250000000,2,2,1,1,NQ.c.0
2026-03-19 12:10:00+00:00,1773922259988306543,10,1,42002475,M,A,0,24375500000000,1,128,11497,441130581,24322250000000,24325750000000,2,1,2,1,24321750000000,24326500000000,1,2,1,2,24321500000000,24326750000000,5,5,2,2,24321250000000,24327000000000,2,1,2,1,24320000000000,24327500000000,3,3,1,2,24319750000000,24327750000000,1,2,1,2,24319500000000,24328000000000,1,1,1,1,24319000000000,24328250000000,1,1,1,1,24318500000000,24328750000000,2,1,2,1,24318250000000,24329250000000,1,1,1,1,NQ.c.0
2026-03-19 12:11:00+00:00,1773922319984307469,10,1,42002475,A,B,0,24328250000000,1,128,12432,441227969,24328250000000,24331500000000,2,1,2,1,24327750000000,24332000000000,1,1,1,1,24327500000000,24332250000000,1,2,1,2,24327250000000,24332500000000,2,1,2,1,24327000000000,24332750000000,1,5,1,2,24326750000000,24333000000000,5,1,2,1,24326500000000,24333250000000,1,2,1,2,24325750000000,24333500000000,2,1,2,1,24325500000000,24333750000000,1,1,1,1,24324500000000,24334000000000,1,1,1,1,NQ.c.0
2026-03-19 12:12:00+00:00,1773922379930180072,10,1,42002475,C,A,0,24314250000000,1,128,10837,441329377,24311250000000,24314250000000,2,1,2,1,24310500000000,24315250000000,1,4,1,1,24310000000000,24315500000000,4,1,1,1,24309750000000,24317000000000,1,3,1,1,24309250000000,24317250000000,2,1,2,1,24308750000000,24317750000000,1,1,1,1,24308500000000,24318000000000,1,1,1,1,24308250000000,24318250000000,1,1,1,1,24308000000000,24318500000000,1,2,1,2,24307750000000,24319000000000,1,1,1,1,NQ.c.0
2026-03-19 12:13:00+00:00,1773922439960342264,10,1,42002475,M,B,5,24318000000000,1,128,12401,441421033,24320000000000,24323250000000,3,1,3,1,24319750000000,24323750000000,2,1,2,1,24318750000000,24324000000000,1,2,1,2,24318500000000,24324250000000,6,4,3,1,24318250000000,24325500000000,1,3,1,2,24318000000000,24325750000000,2,2,2,2,24317750000000,24326000000000,1,1,1,1,24317250000000,24326250000000,2,1,2,1,24316750000000,24326500000000,1,2,1,2,24316500000000,24326750000000,1,1,1,1,NQ.c.0
2026-03-19 12:14:00+00:00,1773922499952435061,10,1,42002475,A,B,3,24302750000000,1,128,10931,441510589,24303750000000,24307750000000,1,2,1,2,24303500000000,24308000000000,1,7,1,4,24303000000000,24308500000000,4,1,1,1,24302750000000,24308750000000,1,1,1,1,24302250000000,24309250000000,3,3,2,3,24301750000000,24309750000000,1,1,1,1,24301500000000,24310000000000,1,2,1,2,24301000000000,24310500000000,1,1,1,1,24300750000000,24311000000000,2,1,2,1,24300500000000,24311250000000,1,2,1,2,NQ.c.0
2026-03-19 12:15:00+00:00,1773922559900328077,10,1,42002475,M,A,0,24308500000000,1,128,11078,441575365,24305500000000,24308500000000,1,1,1,1,24305250000000,24308750000000,1,1,1,1,24304750000000,24309250000000,4,1,1,1,24304500000000,24309500000000,1,2,1,2,24304250000000,24310000000000,1,5,1,2,24304000000000,24310250000000,1,1,1,1,24303750000000,24311000000000,1,2,1,2,24303500000000,24311250000000,1,1,1,1,24303250000000,24311500000000,2,1,2,1,24303000000000,24311750000000,1,1,1,1,NQ.c.0
2026-03-19 12:16:00+00:00,1773922619864462791,10,1,42002475,M,B,4,24309250000000,1,128,14159,441657626,24311500000000,24314500000000,2,4,1,3,24311000000000,24316000000000,2,2,2,2,24310500000000,24316750000000,1,2,1,2,24309750000000,24317250000000,1,2,1,2,24309250000000,24317750000000,2,1,2,1,24308750000000,24318000000000,1,1,1,1,24308500000000,24318250000000,2,1,2,1,24308250000000,24318500000000,1,2,1,2,24308000000000,24319000000000,1,1,1,1,24307750000000,24319500000000,1,1,1,1,NQ.c.0
2026-03-19 12:17:00+00:00,1773922679998238371,10,1,42002475,M,B,0,24255750000000,1,128,11337,441755928,24305500000000,24308750000000,2,2,1,2,24305000000000,24309000000000,1,2,1,1,24304750000000,24309250000000,2,3,2,3,24304500000000,24309500000000,2,1,2,1,24304000000000,24311000000000,2,1,2,1,24303750000000,24311250000000,1,1,1,1,24303500000000,24311500000000,1,1,1,1,24303250000000,24311750000000,1,1,1,1,24303000000000,24312000000000,1,1,1,1,24302750000000,24312250000000,1,1,1,1,NQ.c.0
2026-03-19 12:18:00+00:00,1773922739927264461,10,1,42002475,M,B,1,24306500000000,2,128,12580,441846507,24306750000000,24309250000000,2,1,2,1,24306500000000,24309500000000,2,2,1,1,24306250000000,24310000000000,1,1,1,1,24306000000000,24311000000000,2,2,2,2,24305000000000,24311250000000,1,2,1,2,24304750000000,24311500000000,1,1,1,1,24304500000000,24311750000000,1,2,1,2,24304250000000,24312000000000,1,1,1,1,24304000000000,24312250000000,1,1,1,1,24303750000000,24312500000000,2,1,2,1,NQ.c.0
2026-03-19 12:19:00+00:00,1773922799973346837,10,1,42002475,M,B,6,24283000000000,1,128,13199,441950042,24285500000000,24288000000000,2,1,2,1,24285250000000,24288250000000,4,2,3,1,24284750000000,24288500000000,2,1,2,1,24284500000000,24288750000000,1,1,1,1,24284250000000,24289000000000,1,2,1,2,24283750000000,24289250000000,1,2,1,2,24283000000000,24289750000000,2,2,2,2,24282250000000,24290250000000,2,2,2,2,24282000000000,24290750000000,2,1,2,1,24281750000000,24291000000000,1,2,1,2,NQ.c.0
2026-03-19 12:20:00+00:00,1773922859983407482,10,1,42002475,A,B,2,24289750000000,1,128,12917,442046048,24290250000000,24293000000000,1,4,1,3,24290000000000,24293250000000,2,2,2,2,24289750000000,24293750000000,2,2,2,2,24289500000000,24294000000000,2,2,2,2,24289250000000,24294250000000,1,1,1,1,24289000000000,24294500000000,1,1,1,1,24288750000000,24294750000000,2,1,1,1,24287000000000,24295000000000,4,3,2,3,24286500000000,24295250000000,1,1,1,1,24286250000000,24295500000000,1,1,1,1,NQ.c.0
2026-03-19 12:21:00+00:00,1773922919869421877,10,1,42002475,M,A,0,24369250000000,1,128,12990,442133727,24290750000000,24293750000000,1,1,1,1,24290500000000,24294000000000,3,3,2,3,24289750000000,24294250000000,1,3,1,2,24289500000000,24294750000000,1,1,1,1,24289250000000,24295000000000,1,1,1,1,24289000000000,24295500000000,1,1,1,1,24288500000000,24295750000000,2,2,2,2,24288250000000,24296000000000,1,1,1,1,24288000000000,24296750000000,1,2,1,2,24287750000000,24297000000000,1,2,1,2,NQ.c.0
2026-03-19 12:22:00+00:00,1773922979999492501,10,1,42002475,C,B,0,24290000000000,1,128,12583,442209233,24290000000000,24293000000000,1,3,1,2,24289750000000,24293500000000,5,1,4,1,24289500000000,24294000000000,2,1,2,1,24289250000000,24294250000000,1,1,1,1,24289000000000,24295000000000,1,3,1,3,24288500000000,24295500000000,1,1,1,1,24288250000000,24295750000000,1,1,1,1,24288000000000,24296250000000,2,1,2,1,24287750000000,24296750000000,1,2,1,2,24287500000000,24297000000000,1,3,1,3,NQ.c.0
