ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-22 12:00:00+00:00,1782129659945970737,10,1,42004177,A,A,5,30767500000000,1,128,13012,27761157,30765250000000,30766250000000,1,1,1,1,30765000000000,30766500000000,10,2,1,2,30764750000000,30766750000000,5,2,5,2,30764500000000,30767000000000,3,2,3,2,30764250000000,30767250000000,3,3,3,3,30764000000000,30767500000000,6,2,4,2,30763750000000,30767750000000,4,3,4,3,30763500000000,30768000000000,3,4,3,4,30763250000000,30768250000000,2,2,2,2,30762750000000,30768500000000,5,2,5,2,NQ.c.0
2026-06-22 12:01:00+00:00,1782129719459050574,10,1,42004177,C,A,1,30761000000000,1,128,12473,27797290,30759750000000,30760750000000,1,1,1,1,30759500000000,30761000000000,2,3,2,3,30759000000000,30761250000000,2,3,2,3,30758750000000,30761500000000,1,3,1,3,30758500000000,30761750000000,3,1,3,1,30758250000000,30762250000000,5,2,5,2,30758000000000,30762500000000,5,3,5,3,30757750000000,30762750000000,4,4,4,4,30757500000000,30763000000000,3,3,3,3,30757250000000,30763250000000,3,3,3,3,NQ.c.0
2026-06-22 12:02:00+00:00,1782129779621922263,10,1,42004177,A,B,0,30755250000000,1,128,13154,27826948,30755250000000,30756500000000,2,2,2,2,30755000000000,30756750000000,4,1,4,1,30754750000000,30757000000000,1,2,1,2,30754500000000,30757250000000,3,2,3,2,30754250000000,30757500000000,2,1,2,1,30754000000000,30757750000000,1,6,1,3,30753500000000,30758000000000,3,5,3,5,30753250000000,30758250000000,1,4,1,4,30752750000000,30758500000000,3,6,3,6,30752500000000,30758750000000,2,3,2,3,NQ.c.0
2026-06-22 12:03:00+00:00,1782129839943554681,10,1,42004177,A,A,0,30762750000000,1,128,12290,27856116,30761750000000,30762750000000,2,1,2,1,30761500000000,30763000000000,4,2,4,2,30761250000000,30763250000000,2,1,2,1,30761000000000,30763500000000,2,2,2,2,30760750000000,30763750000000,2,4,2,4,30760500000000,30764000000000,2,4,2,4,30760000000000,30764250000000,2,2,2,2,30759750000000,30764500000000,2,3,2,3,30759500000000,30764750000000,2,5,2,5,30759250000000,30765000000000,2,7,2,4,NQ.c.0
2026-06-22 12:04:00+00:00,1782129899885304515,10,1,42004177,M,A,0,30769250000000,1,128,11047,27883522,30767750000000,30769250000000,1,4,1,3,30767500000000,30769500000000,4,3,1,3,30767250000000,30769750000000,3,3,3,3,30767000000000,30770000000000,5,2,5,2,30766750000000,30770250000000,4,2,4,2,30766500000000,30770500000000,4,1,4,1,30766250000000,30770750000000,2,2,2,2,30766000000000,30771000000000,2,3,2,3,30765750000000,30771250000000,1,3,1,3,30765500000000,30771500000000,2,2,2,2,NQ.c.0
2026-06-22 12:05:00+00:00,1782129959720326191,10,1,42004177,A,B,0,30765000000000,1,128,12301,27915046,30765000000000,30766250000000,3,2,3,2,30764750000000,30766500000000,5,4,5,4,30764500000000,30767000000000,2,2,2,2,30764250000000,30767250000000,3,2,3,2,30764000000000,30767500000000,5,1,5,1,30763750000000,30767750000000,5,3,5,3,30763500000000,30768000000000,2,4,2,4,30763250000000,30768500000000,2,2,2,2,30763000000000,30768750000000,3,4,3,4,30762750000000,30769000000000,5,4,5,4,NQ.c.0
2026-06-22 12:06:00+00:00,1782130019742311366,10,1,42004177,A,B,0,30767250000000,1,128,14538,27937559,30767250000000,30768750000000,4,2,4,2,30767000000000,30769000000000,2,1,2,1,30766750000000,30769250000000,3,2,3,2,30766500000000,30769500000000,2,3,2,3,30766250000000,30769750000000,4,2,4,2,30766000000000,30770000000000,3,1,3,1,30765750000000,30770250000000,4,4,4,4,30765500000000,30770500000000,3,4,3,4,30765250000000,30770750000000,3,2,3,2,30765000000000,30771000000000,7,4,7,4,NQ.c.0
2026-06-22 12:07:00+00:00,1782130079912504253,10,1,42004177,M,A,1,30767750000000,1,128,15717,27961967,30766500000000,30767500000000,1,1,1,1,30766250000000,30767750000000,1,4,1,4,30766000000000,30768000000000,4,4,4,4,30765750000000,30768250000000,1,2,1,2,30765250000000,30768750000000,2,3,2,3,30765000000000,30769000000000,6,5,6,2,30764750000000,30769250000000,4,3,4,3,30764500000000,30769500000000,2,4,2,4,30764250000000,30769750000000,4,3,4,3,30764000000000,30770000000000,4,1,4,1,NQ.c.0
2026-06-22 12:08:00+00:00,1782130139982426089,10,1,42004177,C,A,0,30771250000000,1,128,11404,27998652,30770500000000,30771500000000,1,1,1,1,30770250000000,30771750000000,2,3,2,3,30770000000000,30772000000000,3,2,3,2,30769750000000,30772250000000,3,1,3,1,30769500000000,30772500000000,3,4,3,4,30769000000000,30772750000000,3,2,3,2,30768750000000,30773000000000,8,2,4,2,30768500000000,30773250000000,3,1,3,1,30768250000000,30773500000000,2,4,2,4,30768000000000,30773750000000,4,3,4,3,NQ.c.0
2026-06-22 12:09:00+00:00,1782130199939654436,10,1,42004177,M,A,2,30849250000000,1,128,11028,28023525,30772500000000,30773750000000,1,1,1,1,30772250000000,30774000000000,2,4,2,4,30772000000000,30774250000000,1,3,1,3,30771750000000,30774500000000,4,3,4,3,30771500000000,30774750000000,4,2,4,2,30771250000000,30775000000000,5,4,5,4,30771000000000,30775250000000,5,4,5,4,30770750000000,30775500000000,2,2,2,2,30770500000000,30775750000000,7,4,7,4,30770250000000,30776000000000,5,4,5,4,NQ.c.0
2026-06-22 12:10:00+00:00,1782130259979266249,10,1,42004177,C,A,0,30770250000000,1,128,12268,28054290,30769500000000,30770500000000,1,2,1,2,30769250000000,30770750000000,2,3,2,3,30769000000000,30771000000000,4,3,4,3,30768750000000,30771250000000,2,3,2,3,30768250000000,30771500000000,3,3,3,3,30768000000000,30771750000000,5,2,5,2,30767750000000,30772000000000,4,3,4,3,30767500000000,30772250000000,4,1,4,1,30767250000000,30772500000000,3,3,3,3,30767000000000,30772750000000,2,3,2,3,NQ.c.0
2026-06-22 12:11:00+00:00,1782130319999577772,10,1,42004177,C,A,0,30776250000000,1,128,11049,28083919,30775250000000,30776500000000,2,2,2,2,30775000000000,30776750000000,3,6,3,4,30774750000000,30777000000000,2,4,2,4,30774500000000,30777250000000,3,3,3,3,30774250000000,30777500000000,3,3,3,3,30774000000000,30777750000000,2,3,2,3,30773750000000,30778000000000,1,4,1,4,30773250000000,30778250000000,1,4,1,4,30773000000000,30778500000000,2,4,2,4,30772750000000,30778750000000,3,2,3,2,NQ.c.0
2026-06-22 12:12:00+00:00,1782130379577305932,10,1,42004177,A,A,0,30778000000000,1,128,13105,28104142,30777000000000,30778000000000,1,2,1,2,30776750000000,30778250000000,1,1,1,1,30776500000000,30778500000000,2,3,2,3,30776250000000,30778750000000,3,3,3,3,30776000000000,30779000000000,3,2,3,2,30775750000000,30779250000000,3,4,3,4,30775500000000,30779500000000,1,4,1,4,30775250000000,30779750000000,3,3,3,3,30775000000000,30780000000000,2,12,2,6,30774750000000,30780250000000,4,1,4,1,NQ.c.0
