ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-13 12:00:00+00:00,1776081659914704612,10,1,42004058,C,B,0,25083250000000,1,128,11050,17641597,25083250000000,25084000000000,2,1,2,1,25083000000000,25084250000000,4,2,4,2,25082750000000,25084500000000,4,4,4,4,25082500000000,25084750000000,3,2,3,2,25082250000000,25085000000000,2,2,2,2,25082000000000,25085250000000,4,4,4,4,25081750000000,25085500000000,3,4,3,4,25081500000000,25085750000000,4,4,4,4,25081250000000,25086000000000,6,4,6,4,25081000000000,25086250000000,4,2,4,2,NQ.c.0
2026-04-13 12:01:00+00:00,1776081719780613602,10,1,42004058,C,A,0,25077750000000,1,128,11464,17679347,25077250000000,25078000000000,2,2,2,1,25077000000000,25078250000000,2,2,2,2,25076750000000,25078500000000,2,3,2,3,25076500000000,25078750000000,3,3,3,3,25076250000000,25079000000000,3,4,3,4,25076000000000,25079250000000,6,2,6,2,25075750000000,25079500000000,3,3,3,3,25075500000000,25079750000000,4,4,4,4,25075250000000,25080000000000,4,6,4,6,25075000000000,25080250000000,6,4,6,4,NQ.c.0
2026-04-13 12:02:00+00:00,1776081779971729622,10,1,42004058,C,A,0,25092500000000,1,128,11064,17788009,25091750000000,25092500000000,1,1,1,1,25091500000000,25092750000000,2,3,2,3,25091250000000,25093000000000,4,3,4,3,25091000000000,25093250000000,1,2,1,2,25090750000000,25093500000000,1,1,1,1,25090500000000,25093750000000,2,5,2,5,25090250000000,25094000000000,2,8,2,8,25090000000000,25094250000000,3,5,3,5,25089750000000,25094500000000,1,4,1,4,25089500000000,25094750000000,2,3,2,3,NQ.c.0
2026-04-13 12:03:00+00:00,1776081839758476271,10,1,42004058,C,A,0,25085000000000,1,128,14612,17836768,25084500000000,25085000000000,1,1,1,1,25084250000000,25085250000000,2,3,2,3,25083750000000,25085500000000,2,3,2,3,25083500000000,25085750000000,1,1,1,1,25083250000000,25086000000000,1,4,1,4,25083000000000,25086250000000,2,3,2,3,25082750000000,25086750000000,1,3,1,3,25082500000000,25087000000000,3,3,3,3,25082250000000,25087250000000,3,4,3,4,25082000000000,25087500000000,3,2,3,2,NQ.c.0
2026-04-13 12:04:00+00:00,1776081899984419862,10,1,42004058,A,B,0,25086000000000,1,128,11055,17877357,25086000000000,25086750000000,1,1,1,1,25085750000000,25087250000000,1,3,1,3,25085500000000,25087500000000,1,3,1,3,25085250000000,25087750000000,3,4,3,4,25085000000000,25088000000000,1,4,1,4,25084750000000,25088250000000,4,2,4,2,25084500000000,25088500000000,2,2,2,2,25084250000000,25088750000000,4,2,4,2,25084000000000,25089000000000,5,4,5,4,25083750000000,25089250000000,1,3,1,3,NQ.c.0
2026-04-13 12:05:00+00:00,1776081959999751380,10,1,42004058,C,A,0,25096500000000,1,128,11357,17914980,25095500000000,25096750000000,2,2,2,2,25095250000000,25097000000000,3,2,3,2,25095000000000,25097250000000,3,4,3,4,25094750000000,25097500000000,3,5,3,5,25094500000000,25097750000000,3,2,3,2,25094250000000,25098000000000,1,1,1,1,25094000000000,25098250000000,2,2,2,2,25093500000000,25098500000000,3,1,3,1,25093250000000,25098750000000,3,4,3,4,25093000000000,25099000000000,5,2,5,2,NQ.c.0
2026-04-13 12:06:00+00:00,1776082019996464967,10,1,42004058,C,A,0,25095250000000,1,128,10875,17951730,25094500000000,25095500000000,1,1,1,1,25094250000000,25096000000000,2,4,2,4,25094000000000,25096250000000,5,2,4,2,25093750000000,25096500000000,4,3,4,3,25093500000000,25096750000000,3,2,3,2,25093250000000,25097000000000,1,3,1,3,25093000000000,25097250000000,3,2,3,2,25092750000000,25097500000000,2,4,2,4,25092500000000,25097750000000,2,4,2,4,25092250000000,25098000000000,4,2,4,2,NQ.c.0
2026-04-13 12:07:00+00:00,1776082079565463185,10,1,42004058,C,B,1,25097000000000,1,128,12409,17977913,25097250000000,25098000000000,1,2,1,2,25097000000000,25098250000000,1,1,1,1,25096750000000,25098500000000,4,3,4,3,25096500000000,25098750000000,2,2,2,2,25096250000000,25099000000000,3,2,2,2,25096000000000,25099250000000,5,1,5,1,25095250000000,25099500000000,3,4,3,4,25095000000000,25099750000000,8,4,6,4,25094500000000,25100000000000,3,9,3,7,25094000000000,25100250000000,2,5,2,5,NQ.c.0
2026-04-13 12:08:00+00:00,1776082139834567187,10,1,42004058,C,A,0,25103750000000,1,128,12325,18018229,25103000000000,25104000000000,1,2,1,2,25102750000000,25104250000000,4,3,4,3,25102500000000,25104500000000,2,2,2,2,25102250000000,25104750000000,3,3,3,3,25102000000000,25105000000000,4,5,4,5,25101750000000,25105250000000,1,4,1,4,25101500000000,25105500000000,2,3,2,3,25101250000000,25105750000000,4,4,4,4,25101000000000,25106000000000,4,4,4,4,25100750000000,25106250000000,2,2,2,2,NQ.c.0
2026-04-13 12:09:00+00:00,1776082199899841402,10,1,42004058,C,A,0,25107250000000,1,128,13075,18045930,25106500000000,25107250000000,1,1,1,1,25106250000000,25107500000000,1,3,1,3,25106000000000,25107750000000,4,2,4,2,25105750000000,25108000000000,2,5,2,5,25105500000000,25108250000000,3,2,3,2,25105250000000,25108500000000,4,6,4,6,25105000000000,25108750000000,4,2,4,2,25104750000000,25109000000000,3,5,3,5,25104250000000,25109250000000,4,1,4,1,25104000000000,25109500000000,6,1,6,1,NQ.c.0
