ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-19 13:00:00+00:00,1771506059996161779,10,1,42002475,A,B,3,24867750000000,1,128,15202,270374376,24868500000000,24869500000000,1,2,1,2,24868250000000,24869750000000,2,4,2,4,24868000000000,24870000000000,3,4,3,4,24867750000000,24870250000000,3,4,3,4,24867500000000,24870500000000,2,1,2,1,24867250000000,24870750000000,2,2,2,2,24867000000000,24871000000000,2,3,2,3,24866750000000,24871250000000,2,4,2,4,24866500000000,24871500000000,2,6,2,6,24866250000000,24871750000000,4,4,4,4,NQ.c.0
2026-02-19 13:01:00+00:00,1771506119996196682,10,1,42002475,A,A,1,24872500000000,1,128,13343,270408073,24871250000000,24872250000000,1,1,1,1,24871000000000,24872500000000,4,1,4,1,24870750000000,24872750000000,2,2,2,2,24870500000000,24873000000000,1,3,1,3,24870250000000,24873250000000,2,3,2,3,24870000000000,24873500000000,4,2,4,2,24869750000000,24873750000000,4,2,4,1,24869250000000,24874000000000,2,5,2,5,24869000000000,24874250000000,1,3,1,3,24868750000000,24874500000000,3,4,3,4,NQ.c.0
2026-02-19 13:02:00+00:00,1771506179945660848,10,1,42002475,A,B,0,24863500000000,1,128,13392,270445760,24863500000000,24864500000000,1,1,1,1,24863250000000,24864750000000,1,3,1,3,24863000000000,24865000000000,1,2,1,2,24862750000000,24865250000000,2,1,2,1,24862500000000,24865500000000,2,4,2,4,24862250000000,24865750000000,2,2,2,2,24862000000000,24866000000000,3,3,3,3,24861750000000,24866250000000,4,1,4,1,24861500000000,24866500000000,2,4,2,4,24861250000000,24866750000000,3,3,3,3,NQ.c.0
2026-02-19 13:03:00+00:00,1771506239969446527,10,1,42002475,C,A,0,24861500000000,1,128,11237,270483138,24860750000000,24861750000000,1,1,1,1,24860500000000,24862000000000,2,1,2,1,24860250000000,24862250000000,3,3,3,3,24860000000000,24862500000000,3,3,3,3,24859750000000,24862750000000,1,2,1,2,24859500000000,24863000000000,1,4,1,4,24859250000000,24863500000000,3,3,3,3,24859000000000,24863750000000,4,2,4,2,24858750000000,24864000000000,3,5,3,5,24858500000000,24864500000000,2,3,2,3,NQ.c.0
2026-02-19 13:04:00+00:00,1771506299597501381,10,1,42002475,A,A,2,24861000000000,1,128,12788,270515163,24859500000000,24860500000000,1,1,1,1,24859250000000,24860750000000,1,2,1,2,24859000000000,24861000000000,4,3,4,3,24858750000000,24861250000000,2,2,2,2,24858500000000,24861500000000,4,1,2,1,24858250000000,24861750000000,3,3,3,3,24858000000000,24862000000000,3,3,3,3,24857750000000,24862250000000,2,2,2,2,24857500000000,24862500000000,3,2,3,2,24857250000000,24862750000000,3,3,3,3,NQ.c.0
2026-02-19 13:05:00+00:00,1771506359982531893,10,1,42002475,A,B,6,24857250000000,1,128,15415,270544456,24858750000000,24859750000000,2,1,2,1,24858500000000,24860000000000,3,1,3,1,24858250000000,24860250000000,1,2,1,2,24858000000000,24860500000000,3,3,3,3,24857750000000,24861000000000,3,1,3,1,24857500000000,24861250000000,3,3,3,3,24857250000000,24861500000000,3,4,3,4,24857000000000,24861750000000,2,5,2,5,24856500000000,24862000000000,3,3,3,3,24856250000000,24862250000000,2,3,2,3,NQ.c.0
2026-02-19 13:06:00+00:00,1771506419887925256,10,1,42002475,A,A,0,24849000000000,1,128,13038,270583188,24848250000000,24849000000000,1,1,1,1,24848000000000,24849250000000,1,1,1,1,24847750000000,24849500000000,1,4,1,4,24847500000000,24849750000000,3,1,3,1,24847250000000,24850000000000,2,3,2,3,24847000000000,24850250000000,3,3,3,3,24846750000000,24850500000000,3,4,3,4,24846500000000,24850750000000,2,3,2,3,24846250000000,24851000000000,2,3,2,3,24846000000000,24851250000000,5,2,5,2,NQ.c.0
2026-02-19 13:07:00+00:00,1771506479550204898,10,1,42002475,A,B,0,24854750000000,1,128,13075,270623336,24854750000000,24855750000000,1,1,1,1,24854500000000,24856000000000,2,3,2,2,24854250000000,24856250000000,2,2,2,2,24854000000000,24856500000000,4,2,4,2,24853750000000,24857000000000,7,2,7,2,24853500000000,24857250000000,4,1,4,1,24853250000000,24857500000000,4,1,4,1,24853000000000,24857750000000,3,2,3,2,24852750000000,24858000000000,1,3,1,3,24852500000000,24858250000000,1,3,1,3,NQ.c.0
2026-02-19 13:08:00+00:00,1771506539996120770,10,1,42002475,A,B,1,24849500000000,1,128,13236,270647978,24849750000000,24850750000000,3,1,1,1,24849500000000,24851000000000,1,1,1,1,24849250000000,24851250000000,1,2,1,2,24849000000000,24851500000000,2,1,2,1,24848750000000,24851750000000,1,1,1,1,24848500000000,24852000000000,1,5,1,5,24848250000000,24852250000000,3,2,3,2,24848000000000,24852500000000,5,3,5,3,24847750000000,24852750000000,5,4,5,4,24847500000000,24853000000000,2,4,2,4,NQ.c.0
2026-02-19 13:09:00+00:00,1771506599982627571,10,1,42002475,C,B,9,24846750000000,1,128,13648,270677850,24849000000000,24849750000000,1,2,1,2,24848750000000,24850000000000,3,2,3,2,24848500000000,24850250000000,2,3,2,3,24848250000000,24850500000000,1,2,1,2,24848000000000,24850750000000,4,2,4,2,24847750000000,24851000000000,3,4,3,4,24847500000000,24851250000000,3,3,3,3,24847250000000,24851500000000,3,2,3,2,24847000000000,24851750000000,3,4,3,4,24846750000000,24852000000000,3,5,3,5,NQ.c.0
2026-02-19 13:10:00+00:00,1771506659884132562,10,1,42002475,C,B,0,24848500000000,1,128,12465,270714209,24848500000000,24849750000000,2,1,2,1,24848250000000,24850000000000,3,2,3,2,24848000000000,24850250000000,4,4,4,4,24847750000000,24850500000000,1,1,1,1,24847500000000,24850750000000,2,2,2,2,24847250000000,24851000000000,3,2,3,2,24847000000000,24851250000000,3,3,3,3,24846750000000,24851500000000,3,2,3,2,24846500000000,24851750000000,1,3,1,3,24846250000000,24852000000000,1,6,1,6,NQ.c.0
2026-02-19 13:11:00+00:00,1771506719970730159,10,1,42002475,M,A,6,24857500000000,1,128,12946,270747095,24855000000000,24856000000000,1,2,1,2,24854750000000,24856250000000,3,3,3,3,24854500000000,24856500000000,1,2,1,2,24854000000000,24856750000000,5,1,5,1,24853750000000,24857000000000,5,3,5,3,24853500000000,24857250000000,4,2,4,2,24853250000000,24857500000000,4,3,4,3,24853000000000,24857750000000,3,2,3,2,24852750000000,24858000000000,2,4,2,4,24852500000000,24858250000000,2,2,2,2,NQ.c.0
2026-02-19 13:12:00+00:00,1771506779996393441,10,1,42002475,C,A,0,24853250000000,1,128,11082,270776029,24852250000000,24853250000000,1,1,1,1,24852000000000,24853500000000,1,3,1,3,24851750000000,24853750000000,2,2,2,2,24851500000000,24854000000000,2,6,2,6,24851250000000,24854250000000,1,4,1,4,24851000000000,24854500000000,3,7,3,4,24850750000000,24854750000000,2,1,2,1,24850500000000,24855000000000,2,3,2,3,24850250000000,24855250000000,5,3,5,3,24850000000000,24855500000000,5,3,5,3,NQ.c.0
