ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-13 12:00:00+00:00,1778673659883602923,10,1,42004058,C,B,1,29374250000000,1,128,12317,211941499,29374500000000,29376000000000,3,3,3,3,29374250000000,29376250000000,5,3,5,3,29374000000000,29376500000000,4,2,4,2,29373750000000,29376750000000,3,1,3,1,29373500000000,29377000000000,3,2,3,2,29373250000000,29377500000000,2,3,2,3,29373000000000,29377750000000,4,4,4,4,29372750000000,29378000000000,3,4,3,4,29372500000000,29378250000000,4,5,4,5,29372250000000,29378500000000,1,3,1,3,NQ.c.0
2026-05-13 12:01:00+00:00,1778673719981960739,10,1,42004058,C,B,0,29392000000000,1,128,11155,211979623,29391750000000,29392500000000,2,1,2,1,29391500000000,29392750000000,4,2,4,2,29391250000000,29393000000000,3,7,3,2,29391000000000,29393750000000,3,2,3,2,29390750000000,29394000000000,5,2,4,2,29390500000000,29394500000000,9,4,4,4,29390250000000,29395000000000,3,2,3,2,29390000000000,29395250000000,2,4,2,4,29389750000000,29395500000000,4,4,4,4,29389500000000,29395750000000,3,4,3,4,NQ.c.0
2026-05-13 12:02:00+00:00,1778673779918931865,10,1,42004058,A,A,0,29390750000000,1,128,10972,212008124,29390000000000,29390750000000,2,1,2,1,29389750000000,29391000000000,2,3,2,3,29389500000000,29391250000000,4,4,4,4,29389250000000,29391500000000,3,5,3,5,29389000000000,29391750000000,2,4,2,4,29388750000000,29392000000000,2,2,2,2,29388500000000,29392250000000,2,4,2,4,29388250000000,29392500000000,3,4,3,4,29388000000000,29393000000000,5,2,5,2,29387750000000,29393250000000,4,3,4,3,NQ.c.0
2026-05-13 12:03:00+00:00,1778673839942966047,10,1,42004058,C,B,0,29392500000000,1,128,11442,212032869,29392500000000,29393500000000,1,1,1,1,29392250000000,29393750000000,1,2,1,2,29392000000000,29394000000000,4,1,4,1,29391750000000,29394250000000,2,3,2,3,29391500000000,29394500000000,4,2,4,2,29391250000000,29394750000000,2,2,2,2,29391000000000,29395000000000,4,5,4,5,29390500000000,29395250000000,1,4,1,4,29390000000000,29395500000000,2,3,2,3,29389750000000,29395750000000,4,4,4,4,NQ.c.0
2026-05-13 12:04:00+00:00,1778673899610816245,10,1,42004058,A,B,1,29396750000000,1,128,13254,212059634,29397000000000,29398000000000,2,2,2,2,29396750000000,29398250000000,3,1,3,1,29396500000000,29398500000000,4,2,4,2,29396250000000,29398750000000,6,1,2,1,29396000000000,29399000000000,5,3,5,3,29395750000000,29399250000000,5,2,4,2,29395500000000,29399500000000,5,2,5,2,29395250000000,29399750000000,3,1,3,1,29395000000000,29400000000000,3,4,3,4,29394750000000,29400250000000,4,4,4,4,NQ.c.0
2026-05-13 12:05:00+00:00,1778673959832162139,10,1,42004058,A,B,2,29388250000000,1,128,12741,212090398,29388750000000,29389500000000,1,1,1,1,29388500000000,29389750000000,1,1,1,1,29388250000000,29390000000000,3,2,3,2,29388000000000,29390250000000,7,1,7,1,29387750000000,29390500000000,3,3,3,2,29387500000000,29390750000000,4,2,4,2,29387250000000,29391000000000,6,4,6,4,29387000000000,29391250000000,3,3,3,3,29386750000000,29391500000000,2,4,2,4,29386500000000,29391750000000,3,3,3,3,NQ.c.0
2026-05-13 12:06:00+00:00,1778674019964600857,10,1,42004058,A,B,1,29385750000000,1,128,13238,212118551,29386000000000,29387000000000,3,2,3,2,29385750000000,29387250000000,4,2,4,2,29385500000000,29387500000000,4,2,4,2,29385250000000,29387750000000,3,1,3,1,29385000000000,29388000000000,4,7,4,6,29384500000000,29388250000000,4,3,4,3,29384250000000,29388500000000,5,2,4,2,29384000000000,29388750000000,6,1,6,1,29383750000000,29389000000000,5,1,5,1,29383500000000,29389250000000,2,3,2,3,NQ.c.0
2026-05-13 12:07:00+00:00,1778674079751606555,10,1,42004058,A,B,1,29378000000000,1,128,13159,212144030,29378250000000,29379000000000,2,1,2,1,29378000000000,29379250000000,3,2,3,2,29377750000000,29379500000000,3,3,3,3,29377500000000,29379750000000,4,2,4,2,29377250000000,29380000000000,4,4,4,4,29377000000000,29380250000000,4,3,4,3,29376750000000,29380500000000,4,3,4,3,29376500000000,29381000000000,3,2,3,2,29376250000000,29381250000000,3,2,3,2,29376000000000,29381500000000,7,3,7,3,NQ.c.0
2026-05-13 12:08:00+00:00,1778674139941027495,10,1,42004058,A,A,0,29377000000000,1,128,12410,212171294,29376250000000,29377000000000,2,1,2,1,29376000000000,29377250000000,2,2,2,2,29375750000000,29377500000000,3,3,3,3,29375500000000,29377750000000,3,2,3,2,29375250000000,29378000000000,2,2,2,2,29375000000000,29378250000000,1,4,1,4,29374750000000,29378500000000,1,3,1,3,29374500000000,29378750000000,3,4,3,4,29374250000000,29379000000000,4,4,4,4,29374000000000,29379500000000,5,3,4,3,NQ.c.0
2026-05-13 12:09:00+00:00,1778674199970296756,10,1,42004058,C,B,9,29374750000000,1,128,13074,212188543,29377000000000,29377750000000,3,1,3,1,29376750000000,29378000000000,4,1,4,1,29376500000000,29378250000000,3,2,3,2,29376250000000,29378500000000,2,3,2,3,29376000000000,29378750000000,6,3,6,3,29375750000000,29379000000000,2,4,2,4,29375500000000,29379250000000,3,3,3,3,29375250000000,29379500000000,2,4,2,4,29375000000000,29379750000000,1,4,1,4,29374750000000,29380000000000,1,5,1,5,NQ.c.0
