ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-23 13:00:00+00:00,1771851659795638818,10,1,42002475,A,B,2,24908500000000,1,128,12906,16762215,24909000000000,24910250000000,1,1,1,1,24908750000000,24910500000000,1,1,1,1,24908500000000,24910750000000,3,2,3,2,24908250000000,24911000000000,1,1,1,1,24908000000000,24911250000000,2,2,2,2,24907750000000,24912000000000,2,2,2,2,24907250000000,24912250000000,2,2,2,2,24907000000000,24912500000000,2,3,2,3,24906500000000,24912750000000,2,2,2,2,24906000000000,24913000000000,3,4,3,4,NQ.c.0
2026-02-23 13:01:00+00:00,1771851719997378888,10,1,42002475,A,A,0,24905250000000,1,128,12624,16803136,24904000000000,24905250000000,1,3,1,3,24903750000000,24905500000000,1,4,1,4,24903500000000,24905750000000,1,3,1,2,24903250000000,24906000000000,2,4,2,4,24903000000000,24906250000000,1,3,1,3,24902750000000,24906500000000,1,2,1,2,24902500000000,24906750000000,1,2,1,2,24902250000000,24907000000000,2,6,2,3,24902000000000,24907250000000,5,2,5,2,24901750000000,24907500000000,4,2,4,2,NQ.c.0
2026-02-23 13:02:00+00:00,1771851779512926773,10,1,42002475,C,B,0,24907250000000,1,128,10819,16826936,24907250000000,24908500000000,1,1,1,1,24907000000000,24908750000000,3,2,3,2,24906750000000,24909000000000,2,2,2,2,24906500000000,24909250000000,2,1,2,1,24906250000000,24909500000000,1,1,1,1,24906000000000,24909750000000,4,1,4,1,24905750000000,24910000000000,2,4,2,4,24905500000000,24910250000000,3,3,3,3,24905250000000,24910500000000,2,2,2,2,24905000000000,24910750000000,1,2,1,2,NQ.c.0
2026-02-23 13:03:00+00:00,1771851839308243075,10,1,42002475,C,A,3,24911750000000,1,128,12899,16854680,24910250000000,24911000000000,2,1,2,1,24910000000000,24911250000000,1,2,1,2,24909750000000,24911500000000,2,4,2,4,24909500000000,24911750000000,1,2,1,2,24909000000000,24912000000000,1,4,1,4,24908750000000,24912250000000,2,3,2,3,24908250000000,24912500000000,2,1,2,1,24908000000000,24912750000000,4,2,4,2,24907750000000,24913000000000,3,4,3,4,24907500000000,24913250000000,3,4,3,4,NQ.c.0
2026-02-23 13:04:00+00:00,1771851899912511663,10,1,42002475,C,A,0,24913500000000,1,128,12885,16889630,24912750000000,24913750000000,1,2,1,2,24912500000000,24914000000000,1,1,1,1,24912250000000,24914250000000,1,2,1,2,24912000000000,24914500000000,3,4,3,4,24911750000000,24914750000000,2,3,2,3,24911500000000,24915000000000,3,3,3,3,24911250000000,24915250000000,4,3,4,3,24911000000000,24915500000000,4,2,4,2,24910750000000,24915750000000,2,3,2,3,24910500000000,24916000000000,3,7,3,7,NQ.c.0
2026-02-23 13:05:00+00:00,1771851959738608197,10,1,42002475,A,B,0,24915250000000,1,128,12343,16921547,24915250000000,24916000000000,1,1,1,1,24915000000000,24916250000000,1,1,1,1,24914750000000,24916500000000,1,2,1,2,24914500000000,24916750000000,2,3,2,3,24914250000000,24917000000000,1,1,1,1,24914000000000,24917250000000,3,1,3,1,24913750000000,24917500000000,3,3,3,3,24913500000000,24917750000000,3,2,3,2,24913250000000,24918000000000,3,6,3,6,24913000000000,24918250000000,1,4,1,4,NQ.c.0
2026-02-23 13:06:00+00:00,1771852019637741776,10,1,42002475,A,A,1,24910250000000,1,128,11832,16956561,24909000000000,24910000000000,1,3,1,3,24908750000000,24910250000000,1,4,1,4,24908500000000,24910500000000,3,3,3,3,24908250000000,24911000000000,1,4,1,4,24908000000000,24911250000000,2,4,2,4,24907750000000,24911500000000,1,4,1,4,24907500000000,24911750000000,2,4,2,4,24907250000000,24912000000000,4,6,4,6,24907000000000,24912250000000,5,3,5,3,24906750000000,24912500000000,4,3,4,3,NQ.c.0
2026-02-23 13:07:00+00:00,1771852079970208511,10,1,42002475,C,A,0,24921750000000,1,128,14392,16988375,24921250000000,24922000000000,1,5,1,2,24921000000000,24922250000000,1,5,1,3,24920750000000,24922500000000,3,3,3,3,24920500000000,24922750000000,1,4,1,4,24920250000000,24923000000000,2,3,2,3,24920000000000,24923250000000,5,4,5,4,24919750000000,24923500000000,4,6,4,6,24919500000000,24923750000000,4,2,4,2,24919250000000,24924000000000,3,7,3,6,24919000000000,24924250000000,4,2,4,2,NQ.c.0
2026-02-23 13:08:00+00:00,1771852139962576560,10,1,42002475,C,A,2,24923250000000,1,128,14549,17016228,24922000000000,24922750000000,1,2,1,2,24921750000000,24923000000000,1,7,1,3,24921500000000,24923250000000,3,2,3,2,24921250000000,24923500000000,2,3,2,3,24921000000000,24923750000000,1,4,1,4,24920750000000,24924000000000,3,5,3,5,24920500000000,24924250000000,4,4,4,4,24920250000000,24924500000000,4,3,4,3,24920000000000,24924750000000,7,4,7,4,24919750000000,24925000000000,3,7,3,5,NQ.c.0
2026-02-23 13:09:00+00:00,1771852199829349155,10,1,42002475,C,A,1,24930750000000,1,128,11024,17055810,24929750000000,24930500000000,1,1,1,1,24929500000000,24930750000000,2,2,2,2,24929250000000,24931000000000,3,3,3,3,24929000000000,24931250000000,1,2,1,2,24928750000000,24931500000000,2,3,2,3,24928500000000,24931750000000,4,4,4,4,24928250000000,24932000000000,4,5,4,5,24928000000000,24932250000000,6,5,6,5,24927750000000,24932500000000,5,4,5,4,24927500000000,24932750000000,4,3,4,3,NQ.c.0
