ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-15 12:00:00+00:00,1776254459947648209,10,1,42004058,C,B,0,25999750000000,1,128,11639,143955471,25999500000000,26000500000000,1,1,1,1,25999250000000,26000750000000,5,2,4,2,25998750000000,26001000000000,2,1,2,1,25998500000000,26001250000000,3,2,3,2,25998250000000,26001500000000,3,3,3,3,25998000000000,26001750000000,1,2,1,2,25997750000000,26002000000000,2,3,2,3,25997500000000,26002250000000,4,3,4,3,25997000000000,26002500000000,3,3,3,3,25996750000000,26002750000000,3,2,3,2,NQ.c.0
2026-04-15 12:01:00+00:00,1776254519992399352,10,1,42004058,C,B,0,25993750000000,1,128,11045,144003360,25993500000000,25994500000000,1,1,1,1,25993250000000,25994750000000,2,1,2,1,25993000000000,25995000000000,2,1,2,1,25992750000000,25995250000000,1,3,1,3,25992250000000,25995500000000,1,1,1,1,25992000000000,25995750000000,7,1,3,1,25991750000000,25996000000000,1,4,1,4,25991500000000,25996250000000,3,4,3,4,25991250000000,25996500000000,2,2,2,2,25991000000000,25996750000000,1,2,1,2,NQ.c.0
2026-04-15 12:02:00+00:00,1776254579949754345,10,1,42004058,M,A,6,26002250000000,1,128,11319,144047602,26000000000000,26000750000000,1,1,1,1,25999750000000,26001000000000,3,1,3,1,25999500000000,26001250000000,2,4,2,4,25999250000000,26001500000000,2,2,2,2,25999000000000,26001750000000,1,1,1,1,25998750000000,26002000000000,2,1,2,1,25998500000000,26002250000000,2,4,2,4,25998250000000,26002500000000,1,3,1,3,25998000000000,26002750000000,1,1,1,1,25997750000000,26003000000000,1,1,1,1,NQ.c.0
2026-04-15 12:03:00+00:00,1776254639984439676,10,1,42004058,C,B,3,25988000000000,1,128,12416,144085505,25988750000000,25990250000000,2,1,2,1,25988500000000,25990500000000,1,2,1,2,25988250000000,25990750000000,3,2,3,2,25988000000000,25991250000000,2,2,2,2,25987750000000,25991750000000,1,1,1,1,25987500000000,25992000000000,2,3,2,3,25987250000000,25992250000000,1,3,1,3,25987000000000,25992500000000,2,2,2,2,25986750000000,25992750000000,2,3,2,3,25986500000000,25993250000000,2,1,2,1,NQ.c.0
2026-04-15 12:04:00+00:00,1776254699933608735,10,1,42004058,C,B,0,25985000000000,1,128,11066,144125141,25985000000000,25986500000000,5,1,4,1,25984750000000,25986750000000,2,2,2,2,25984250000000,25987000000000,2,3,2,3,25984000000000,25987250000000,3,2,3,2,25983750000000,25987500000000,3,2,3,2,25983500000000,25988000000000,3,2,3,2,25983250000000,25988250000000,2,3,2,3,25983000000000,25988500000000,3,1,3,1,25982500000000,25988750000000,2,3,2,3,25982250000000,25989000000000,4,4,4,4,NQ.c.0
2026-04-15 12:05:00+00:00,1776254759999353063,10,1,42004058,C,A,3,25976000000000,1,128,11695,144189280,25974500000000,25975250000000,1,1,1,1,25974250000000,25975500000000,2,2,2,2,25974000000000,25975750000000,3,1,3,1,25973750000000,25976000000000,4,5,4,5,25973500000000,25976250000000,2,3,2,3,25973250000000,25976500000000,6,3,2,3,25973000000000,25977000000000,2,4,2,4,25972750000000,25977250000000,4,2,4,2,25972500000000,25977500000000,3,3,3,2,25972250000000,25977750000000,4,2,4,2,NQ.c.0
2026-04-15 12:06:00+00:00,1776254819994521721,10,1,42004058,A,B,7,25973250000000,1,128,13283,144234629,25975250000000,25976000000000,1,1,1,1,25975000000000,25976250000000,1,3,1,3,25974750000000,25976500000000,3,2,3,2,25974500000000,25976750000000,1,2,1,2,25974250000000,25977000000000,2,3,2,3,25974000000000,25977250000000,1,2,1,2,25973750000000,25977750000000,3,2,3,2,25973250000000,25978000000000,2,4,2,4,25973000000000,25978250000000,4,4,4,3,25972750000000,25978750000000,2,3,2,3,NQ.c.0
2026-04-15 12:07:00+00:00,1776254879870841526,10,1,42004058,C,A,0,25983250000000,1,128,11383,144269125,25982500000000,25983500000000,1,1,1,1,25982250000000,25983750000000,2,3,2,3,25982000000000,25984000000000,4,5,3,5,25981750000000,25984250000000,1,1,1,1,25981500000000,25984500000000,3,3,3,3,25981250000000,25984750000000,3,3,3,3,25981000000000,25985000000000,2,4,2,4,25980250000000,25985250000000,2,2,2,2,25980000000000,25985500000000,4,1,4,1,25979750000000,25986000000000,1,4,1,4,NQ.c.0
2026-04-15 12:08:00+00:00,1776254939115255222,10,1,42004058,A,A,0,25988250000000,1,128,11071,144298762,25987500000000,25988250000000,1,1,1,1,25987250000000,25988500000000,1,1,1,1,25987000000000,25988750000000,2,4,2,4,25986750000000,25989000000000,3,4,3,4,25986500000000,25989250000000,1,3,1,3,25986250000000,25989500000000,5,4,1,4,25986000000000,25989750000000,3,5,3,5,25985750000000,25990000000000,2,6,2,2,25985500000000,25990250000000,4,2,4,2,25985250000000,25990500000000,2,2,2,2,NQ.c.0
2026-04-15 12:09:00+00:00,1776254999992636023,10,1,42004058,A,B,2,25982250000000,1,128,11336,144322429,25982750000000,25983500000000,1,1,1,1,25982500000000,25983750000000,1,2,1,2,25982250000000,25984000000000,2,1,2,1,25982000000000,25984250000000,2,3,2,3,25981750000000,25984500000000,1,1,1,1,25981500000000,25984750000000,3,1,3,1,25981250000000,25985000000000,3,3,3,3,25981000000000,25985500000000,2,1,2,1,25980750000000,25985750000000,2,1,2,1,25980500000000,25986000000000,2,3,2,3,NQ.c.0
2026-04-15 12:10:00+00:00,1776255059565443368,10,1,42004058,M,B,9,25980000000000,1,128,13648,144346409,25982750000000,25983500000000,1,1,1,1,25982250000000,25983750000000,3,2,3,2,25982000000000,25984000000000,1,3,1,3,25981500000000,25984250000000,3,2,3,2,25981250000000,25984500000000,3,2,3,2,25981000000000,25984750000000,4,4,4,4,25980750000000,25985000000000,7,3,3,3,25980500000000,25985250000000,2,3,2,3,25980250000000,25985500000000,1,1,1,1,25980000000000,25986000000000,6,2,6,2,NQ.c.0
2026-04-15 12:11:00+00:00,1776255119983758332,10,1,42004058,C,B,4,25972000000000,1,128,12291,144374801,25973000000000,25973750000000,2,1,2,1,25972750000000,25974000000000,1,2,1,2,25972500000000,25974250000000,3,3,3,3,25972250000000,25974500000000,3,2,3,2,25972000000000,25974750000000,2,2,2,2,25971750000000,25975000000000,4,4,4,4,25971500000000,25975250000000,2,3,2,3,25971250000000,25975500000000,1,3,1,3,25971000000000,25975750000000,3,2,3,2,25970750000000,25976000000000,3,5,3,5,NQ.c.0
