ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-26 12:00:00+00:00,1774526459936625037,10,1,42004058,C,A,2,24096000000000,1,128,12664,411247339,24094750000000,24095500000000,1,1,1,1,24094500000000,24095750000000,2,1,2,1,24094250000000,24096000000000,4,3,4,3,24094000000000,24096250000000,4,3,4,3,24093750000000,24096500000000,2,3,2,3,24093500000000,24096750000000,4,2,4,2,24093250000000,24097000000000,3,4,3,4,24093000000000,24097250000000,6,4,5,4,24092750000000,24097500000000,3,5,3,5,24092500000000,24097750000000,2,3,2,3,NQ.c.0
2026-03-26 12:01:00+00:00,1774526519769829783,10,1,42004058,M,A,0,24092750000000,1,128,13113,411308459,24091750000000,24092750000000,1,2,1,2,24091500000000,24093000000000,1,4,1,4,24091250000000,24093250000000,3,1,3,1,24091000000000,24093500000000,2,2,2,2,24090750000000,24094000000000,2,6,2,6,24090500000000,24094250000000,2,3,2,3,24090250000000,24094500000000,2,1,2,1,24090000000000,24094750000000,4,2,4,2,24089750000000,24095000000000,4,4,4,4,24089500000000,24095250000000,3,4,3,4,NQ.c.0
2026-03-26 12:02:00+00:00,1774526579768980580,10,1,42004058,C,B,0,24090250000000,1,128,11243,411359883,24090000000000,24091000000000,2,1,2,1,24089750000000,24091250000000,3,2,3,2,24089500000000,24091500000000,3,4,3,4,24089000000000,24091750000000,3,3,3,3,24088750000000,24092000000000,5,4,5,4,24088500000000,24092250000000,3,3,3,3,24088250000000,24092500000000,2,3,2,3,24088000000000,24092750000000,4,4,4,4,24087750000000,24093000000000,3,3,3,3,24087500000000,24093250000000,4,4,4,4,NQ.c.0
2026-03-26 12:03:00+00:00,1774526639969731181,10,1,42004058,C,A,0,24089750000000,1,128,11225,411414354,24089000000000,24090000000000,1,2,1,2,24088750000000,24090250000000,2,2,2,2,24088500000000,24090500000000,3,3,3,3,24088250000000,24090750000000,4,3,4,3,24088000000000,24091000000000,7,2,7,2,24087750000000,24091250000000,2,4,2,4,24087250000000,24091500000000,3,4,3,4,24087000000000,24091750000000,3,3,3,3,24086500000000,24092000000000,4,5,4,5,24086250000000,24092250000000,4,8,4,4,NQ.c.0
2026-03-26 12:04:00+00:00,1774526699866861689,10,1,42004058,A,B,2,24097000000000,1,128,13207,411461038,24097500000000,24098250000000,1,1,1,1,24097250000000,24098500000000,2,2,2,2,24097000000000,24098750000000,1,5,1,5,24096750000000,24099000000000,3,3,3,3,24096500000000,24099250000000,4,4,4,4,24096250000000,24099500000000,3,2,3,2,24096000000000,24099750000000,7,3,7,3,24095500000000,24100000000000,4,6,4,6,24095250000000,24100250000000,1,2,1,2,24095000000000,24100500000000,2,4,2,4,NQ.c.0
2026-03-26 12:05:00+00:00,1774526759986438996,10,1,42004058,C,B,4,24100000000000,1,128,13944,411508894,24101000000000,24102000000000,2,1,2,1,24100750000000,24102250000000,2,2,2,2,24100500000000,24102500000000,4,4,4,4,24100250000000,24102750000000,2,5,2,5,24100000000000,24103000000000,3,3,3,3,24099750000000,24103250000000,3,3,3,3,24099500000000,24103500000000,2,4,2,4,24099250000000,24103750000000,3,1,3,1,24099000000000,24104000000000,2,6,2,6,24098750000000,24104250000000,3,4,3,4,NQ.c.0
2026-03-26 12:06:00+00:00,1774526819995381793,10,1,42004058,A,A,0,24110250000000,1,128,12569,411554771,24109500000000,24110250000000,1,1,1,1,24109250000000,24110500000000,2,2,2,2,24109000000000,24110750000000,4,4,4,4,24108750000000,24111000000000,5,4,5,4,24108500000000,24111250000000,3,3,3,3,24108250000000,24111500000000,2,3,2,3,24108000000000,24111750000000,5,4,5,4,24107750000000,24112000000000,5,8,5,8,24107500000000,24112250000000,3,3,3,3,24107250000000,24112500000000,1,2,1,2,NQ.c.0
2026-03-26 12:07:00+00:00,1774526879798132766,10,1,42004058,A,A,2,24119000000000,1,128,12998,411606358,24117750000000,24118500000000,1,1,1,1,24117500000000,24118750000000,2,1,2,1,24117250000000,24119000000000,2,5,2,5,24117000000000,24119250000000,4,3,4,3,24116750000000,24119500000000,2,2,2,2,24116500000000,24119750000000,4,3,4,3,24116250000000,24120000000000,4,7,4,7,24116000000000,24120250000000,5,6,5,6,24115750000000,24120500000000,5,5,5,5,24115500000000,24120750000000,4,3,4,3,NQ.c.0
2026-03-26 12:08:00+00:00,1774526939819138213,10,1,42004058,C,B,0,24123750000000,1,128,12434,411663845,24123500000000,24124500000000,1,1,1,1,24123250000000,24124750000000,3,1,3,1,24123000000000,24125000000000,2,3,2,3,24122750000000,24125250000000,3,4,3,4,24122500000000,24125500000000,2,2,2,2,24122250000000,24125750000000,4,3,4,3,24122000000000,24126000000000,4,5,4,5,24121750000000,24126250000000,3,2,3,2,24121500000000,24126500000000,2,2,2,2,24121250000000,24126750000000,3,2,3,2,NQ.c.0
2026-03-26 12:09:00+00:00,1774526999976528177,10,1,42004058,A,B,0,24124750000000,1,128,11623,411698599,24124750000000,24125500000000,1,1,1,1,24124500000000,24125750000000,1,1,1,1,24124250000000,24126000000000,5,4,5,4,24124000000000,24126250000000,7,1,7,1,24123750000000,24126500000000,1,4,1,4,24123250000000,24126750000000,1,2,1,2,24123000000000,24127000000000,4,2,4,2,24122750000000,24127250000000,4,4,4,4,24122500000000,24127500000000,2,2,2,2,24122250000000,24127750000000,4,5,4,5,NQ.c.0
