ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-26 12:00:00+00:00,1779796859777038377,10,1,42004058,A,B,0,29868250000000,1,128,12893,37010537,29868250000000,29869250000000,2,1,2,1,29868000000000,29869500000000,3,6,3,6,29867750000000,29869750000000,1,4,1,4,29867500000000,29870000000000,3,4,2,4,29867250000000,29870250000000,1,3,1,3,29867000000000,29870500000000,3,2,3,2,29866750000000,29870750000000,4,7,4,7,29866500000000,29871000000000,3,4,3,4,29866250000000,29871250000000,5,6,5,6,29866000000000,29871500000000,3,4,3,4,NQ.c.0
2026-05-26 12:01:00+00:00,1779796919803169147,10,1,42004058,M,B,1,29870000000000,1,128,12354,37030282,29870250000000,29871000000000,1,1,1,1,29870000000000,29871250000000,3,1,3,1,29869750000000,29871500000000,3,4,3,4,29869500000000,29871750000000,3,3,3,3,29869250000000,29872000000000,3,3,3,3,29869000000000,29872250000000,3,2,3,2,29868750000000,29872500000000,5,1,5,1,29868500000000,29872750000000,4,2,4,2,29868250000000,29873000000000,3,4,3,4,29868000000000,29873250000000,6,4,6,4,NQ.c.0
2026-05-26 12:02:00+00:00,1779796979994869889,10,1,42004058,M,B,4,29796500000000,1,128,12386,37050014,29872500000000,29873500000000,2,1,2,1,29872250000000,29873750000000,3,3,3,3,29872000000000,29874000000000,1,2,1,2,29871750000000,29874250000000,1,2,1,2,29871500000000,29874750000000,2,4,2,4,29871000000000,29875000000000,3,18,3,9,29870750000000,29875250000000,3,4,3,4,29870500000000,29875500000000,2,2,2,2,29870250000000,29876000000000,3,5,3,5,29870000000000,29876500000000,5,1,5,1,NQ.c.0
2026-05-26 12:03:00+00:00,1779797039660364926,10,1,42004058,A,B,1,29874250000000,1,128,19328,37067736,29874500000000,29875250000000,1,1,1,1,29874250000000,29875500000000,2,3,2,3,29874000000000,29875750000000,4,3,4,3,29873750000000,29876000000000,2,5,2,5,29873500000000,29876250000000,3,3,3,3,29873250000000,29876500000000,4,3,4,3,29873000000000,29876750000000,3,5,3,4,29872750000000,29877000000000,1,4,1,4,29872500000000,29877250000000,1,4,1,4,29872250000000,29877500000000,4,4,4,4,NQ.c.0
2026-05-26 12:04:00+00:00,1779797099976966379,10,1,42004058,C,B,1,29871750000000,1,128,12865,37083658,29872000000000,29872750000000,1,1,1,1,29871750000000,29873000000000,1,2,1,2,29871500000000,29873250000000,5,3,5,3,29871250000000,29873500000000,1,2,1,2,29871000000000,29873750000000,2,3,2,3,29870750000000,29874000000000,3,3,3,3,29870500000000,29874250000000,2,2,2,2,29870000000000,29874500000000,4,2,4,2,29869750000000,29874750000000,2,6,2,5,29869500000000,29875000000000,4,5,4,5,NQ.c.0
2026-05-26 12:05:00+00:00,1779797159922938771,10,1,42004058,C,A,0,29879750000000,1,128,11547,37109291,29879000000000,29880000000000,1,2,1,2,29878750000000,29880250000000,3,4,3,4,29878500000000,29880500000000,2,3,2,3,29878250000000,29880750000000,3,3,3,3,29878000000000,29881000000000,4,2,4,2,29877750000000,29881250000000,4,3,4,3,29877500000000,29881500000000,2,2,2,2,29877250000000,29881750000000,3,2,3,2,29877000000000,29882250000000,1,2,1,2,29876750000000,29882500000000,2,4,2,4,NQ.c.0
2026-05-26 12:06:00+00:00,1779797219079915223,10,1,42004058,A,B,0,29878000000000,1,128,11453,37128427,29878000000000,29878750000000,1,1,1,1,29877750000000,29879000000000,2,2,2,1,29877500000000,29879500000000,4,4,4,4,29877250000000,29880000000000,5,6,5,6,29877000000000,29880250000000,2,5,2,4,29876750000000,29880500000000,3,5,3,5,29876500000000,29880750000000,3,4,3,4,29876250000000,29881000000000,3,3,3,3,29876000000000,29881250000000,5,5,5,5,29875750000000,29881500000000,4,2,4,2,NQ.c.0
2026-05-26 12:07:00+00:00,1779797279677491391,10,1,42004058,M,A,1,29953250000000,1,128,12548,37149697,29877000000000,29877750000000,1,1,1,1,29876750000000,29878000000000,1,3,1,3,29876250000000,29878250000000,4,1,4,1,29876000000000,29878500000000,4,2,4,2,29875750000000,29878750000000,4,2,4,2,29875500000000,29879000000000,6,4,6,4,29875250000000,29879250000000,4,3,4,3,29875000000000,29879500000000,6,2,4,2,29874750000000,29880000000000,4,3,4,3,29874500000000,29880250000000,3,2,3,2,NQ.c.0
2026-05-26 12:08:00+00:00,1779797339926060734,10,1,42004058,A,A,0,29857500000000,1,128,12177,37215233,29856000000000,29857500000000,2,2,2,2,29855500000000,29857750000000,3,3,3,3,29855250000000,29858000000000,2,2,2,2,29855000000000,29858250000000,2,2,2,2,29854750000000,29858500000000,2,4,2,4,29854250000000,29858750000000,2,2,2,2,29854000000000,29859000000000,3,3,3,3,29853750000000,29859250000000,2,6,2,6,29853500000000,29859500000000,2,3,2,3,29853250000000,29859750000000,4,4,4,4,NQ.c.0
2026-05-26 12:09:00+00:00,1779797399962583331,10,1,42004058,C,B,1,29871000000000,1,128,12188,37274049,29871250000000,29872250000000,1,1,1,1,29871000000000,29872500000000,4,3,3,3,29870750000000,29872750000000,2,3,2,3,29870500000000,29873000000000,4,4,4,3,29870250000000,29873500000000,4,3,4,3,29870000000000,29873750000000,4,2,4,2,29869750000000,29874000000000,4,3,4,3,29869500000000,29874250000000,5,2,5,2,29869250000000,29874500000000,4,3,4,3,29869000000000,29874750000000,5,3,5,3,NQ.c.0
2026-05-26 12:10:00+00:00,1779797459888823388,10,1,42004058,C,B,0,29869500000000,1,128,12114,37302224,29869500000000,29870500000000,2,1,2,1,29869250000000,29870750000000,3,2,3,2,29869000000000,29871000000000,3,2,3,2,29868750000000,29871250000000,4,2,4,2,29868500000000,29871500000000,2,4,2,4,29868250000000,29871750000000,3,4,3,4,29868000000000,29872000000000,3,4,3,4,29867500000000,29872250000000,4,2,4,2,29867250000000,29872500000000,3,3,3,3,29867000000000,29872750000000,4,3,4,3,NQ.c.0
2026-05-26 12:11:00+00:00,1779797519977118044,10,1,42004058,C,A,2,29872000000000,1,128,12541,37320147,29870750000000,29871500000000,1,1,1,1,29870500000000,29871750000000,2,2,2,2,29870250000000,29872000000000,3,3,3,3,29870000000000,29872250000000,4,1,4,1,29869750000000,29872500000000,3,4,3,4,29869500000000,29872750000000,4,1,4,1,29869250000000,29873000000000,2,1,2,1,29869000000000,29873250000000,3,4,3,4,29868750000000,29873500000000,5,4,5,4,29868500000000,29874250000000,3,3,3,3,NQ.c.0
2026-05-26 12:12:00+00:00,1779797579740613892,10,1,42004058,C,B,0,29871500000000,1,128,10731,37340936,29871250000000,29872250000000,1,1,1,1,29871000000000,29872500000000,4,3,4,3,29870750000000,29872750000000,4,2,4,2,29870500000000,29873000000000,2,1,2,1,29870250000000,29873250000000,2,2,2,2,29870000000000,29874000000000,4,3,4,3,29869500000000,29874250000000,5,3,5,3,29869250000000,29874500000000,2,3,2,3,29869000000000,29874750000000,3,5,3,5,29868750000000,29875000000000,5,5,5,5,NQ.c.0
2026-05-26 12:13:00+00:00,1779797639967355788,10,1,42004058,A,A,1,29875750000000,1,128,11732,37357654,29874500000000,29875500000000,1,2,1,2,29874250000000,29875750000000,4,4,4,4,29874000000000,29876000000000,2,4,2,4,29873750000000,29876250000000,2,3,2,3,29873500000000,29876500000000,2,5,2,5,29873250000000,29876750000000,2,3,2,3,29873000000000,29877000000000,4,6,4,6,29872750000000,29877250000000,4,4,4,4,29872500000000,29877500000000,3,4,3,4,29872250000000,29877750000000,2,3,2,3,NQ.c.0
2026-05-26 12:14:00+00:00,1779797699829076105,10,1,42004058,C,A,0,29870750000000,1,128,12530,37375702,29869750000000,29871000000000,2,1,2,1,29869500000000,29871250000000,4,3,4,3,29869250000000,29871500000000,4,1,4,1,29869000000000,29871750000000,3,2,3,2,29868750000000,29872000000000,4,4,4,4,29868500000000,29872250000000,2,3,2,3,29868250000000,29872750000000,2,2,2,2,29868000000000,29873000000000,3,2,3,2,29867750000000,29873250000000,1,3,1,3,29867500000000,29873500000000,3,2,3,2,NQ.c.0
2026-05-26 12:15:00+00:00,1779797759668551907,10,1,42004058,C,B,0,29870750000000,1,128,11038,37396932,29870750000000,29871750000000,1,2,1,2,29870500000000,29872000000000,1,1,1,1,29870000000000,29872250000000,2,2,2,2,29869750000000,29872750000000,3,3,3,3,29869500000000,29873250000000,4,3,4,3,29869250000000,29873500000000,2,2,2,2,29869000000000,29873750000000,3,2,3,2,29868750000000,29874000000000,3,4,3,4,29868500000000,29874250000000,2,3,2,3,29868250000000,29874500000000,2,11,2,4,NQ.c.0
2026-05-26 12:16:00+00:00,1779797819773081470,10,1,42004058,C,A,0,29871250000000,1,128,11516,37413129,29870250000000,29871250000000,1,1,1,1,29869750000000,29871500000000,3,3,3,3,29869500000000,29871750000000,3,2,3,2,29869250000000,29872000000000,3,3,3,3,29869000000000,29872250000000,3,4,3,4,29868750000000,29872500000000,5,4,5,4,29868500000000,29872750000000,3,4,3,4,29868250000000,29873000000000,2,4,2,4,29868000000000,29873250000000,5,3,5,3,29867750000000,29873500000000,2,4,2,4,NQ.c.0
2026-05-26 12:17:00+00:00,1779797879630433932,10,1,42004058,M,B,2,29873250000000,1,128,13150,37426983,29873750000000,29874500000000,1,2,1,2,29873500000000,29874750000000,1,4,1,4,29873250000000,29875000000000,2,4,2,4,29873000000000,29875250000000,2,3,2,3,29872750000000,29875500000000,2,5,2,5,29872500000000,29875750000000,3,3,3,3,29872250000000,29876000000000,3,8,3,8,29872000000000,29876250000000,5,3,5,3,29871750000000,29876500000000,5,4,4,4,29871500000000,29876750000000,6,2,6,2,NQ.c.0
2026-05-26 12:18:00+00:00,1779797939926983711,10,1,42004058,C,A,0,29875750000000,1,128,14598,37444866,29875250000000,29875750000000,1,1,1,1,29875000000000,29876000000000,2,1,2,1,29874750000000,29876250000000,3,1,3,1,29874500000000,29876500000000,3,3,3,3,29874250000000,29876750000000,2,3,2,3,29874000000000,29877000000000,5,3,5,3,29873750000000,29877250000000,2,4,2,4,29873500000000,29877500000000,3,4,3,4,29873250000000,29877750000000,5,3,5,3,29873000000000,29878000000000,4,5,4,5,NQ.c.0
2026-05-26 12:19:00+00:00,1779797999520771467,10,1,42004058,A,A,5,29881750000000,1,128,12216,37464055,29879750000000,29880500000000,2,1,2,1,29879500000000,29880750000000,3,5,3,5,29879250000000,29881000000000,3,1,3,1,29879000000000,29881250000000,1,2,1,2,29878750000000,29881500000000,3,1,3,1,29878500000000,29881750000000,4,3,4,3,29878250000000,29882000000000,6,3,6,3,29878000000000,29882250000000,4,6,4,6,29877750000000,29882500000000,5,3,5,3,29877500000000,29882750000000,5,3,5,3,NQ.c.0
2026-05-26 12:20:00+00:00,1779798059779698841,10,1,42004058,A,B,0,29876750000000,1,128,11022,37482959,29876750000000,29877250000000,1,1,1,1,29876500000000,29877500000000,3,2,3,2,29876250000000,29877750000000,3,3,3,2,29876000000000,29878000000000,5,3,5,3,29875750000000,29878250000000,4,4,4,4,29875500000000,29878500000000,4,2,4,2,29875250000000,29878750000000,1,2,1,2,29875000000000,29879000000000,7,4,7,4,29874750000000,29879250000000,2,3,2,3,29874500000000,29879500000000,4,4,4,4,NQ.c.0
2026-05-26 12:21:00+00:00,1779798119261836676,10,1,42004058,A,A,1,29881750000000,1,128,12547,37499727,29880750000000,29881500000000,1,1,1,1,29880500000000,29881750000000,1,5,1,5,29880250000000,29882000000000,2,2,2,2,29880000000000,29882250000000,6,2,6,2,29879750000000,29882500000000,3,5,3,5,29879500000000,29882750000000,3,4,3,4,29879250000000,29883000000000,5,4,5,4,29879000000000,29883250000000,5,4,5,4,29878750000000,29883500000000,1,5,1,4,29878500000000,29883750000000,4,3,4,3,NQ.c.0
2026-05-26 12:22:00+00:00,1779798179756051983,10,1,42004058,A,A,1,29886250000000,1,128,14793,37514962,29885000000000,29885750000000,2,1,2,1,29884750000000,29886250000000,2,4,2,4,29884500000000,29886500000000,2,4,2,4,29884000000000,29886750000000,4,3,4,3,29883750000000,29887000000000,3,6,3,5,29883500000000,29887250000000,5,2,5,2,29883250000000,29887500000000,4,3,4,3,29883000000000,29887750000000,4,1,4,1,29882750000000,29888000000000,3,5,3,5,29882500000000,29888250000000,4,5,4,5,NQ.c.0
2026-05-26 12:23:00+00:00,1779798239803672227,10,1,42004058,A,B,1,29882750000000,1,128,12573,37532812,29883000000000,29884000000000,1,1,1,1,29882750000000,29884500000000,3,3,3,3,29882500000000,29884750000000,3,3,3,3,29882250000000,29885000000000,4,4,4,4,29882000000000,29885250000000,3,3,3,3,29881750000000,29885500000000,4,4,4,4,29881500000000,29885750000000,4,5,4,5,29881250000000,29886000000000,2,5,2,5,29881000000000,29886250000000,3,4,3,4,29880750000000,29886500000000,3,4,3,4,NQ.c.0
2026-05-26 12:24:00+00:00,1779798299963468107,10,1,42004058,M,A,6,29888000000000,1,128,13296,37551003,29886000000000,29886500000000,1,1,1,1,29885750000000,29886750000000,3,3,3,3,29885500000000,29887000000000,2,5,2,4,29885250000000,29887250000000,1,3,1,3,29885000000000,29887500000000,3,4,3,4,29884750000000,29887750000000,1,3,1,3,29884500000000,29888000000000,4,7,4,7,29884000000000,29888250000000,4,5,4,5,29883500000000,29888500000000,2,3,2,3,29883250000000,29889000000000,2,7,2,5,NQ.c.0
2026-05-26 12:25:00+00:00,1779798359867449175,10,1,42004058,M,A,2,29966500000000,1,128,11760,37571215,29890250000000,29891000000000,2,2,2,2,29890000000000,29891250000000,4,4,4,4,29889750000000,29891500000000,2,2,2,2,29889500000000,29891750000000,1,3,1,3,29889250000000,29892000000000,2,7,2,7,29889000000000,29892250000000,4,3,4,3,29888750000000,29892500000000,3,4,3,3,29888500000000,29893000000000,2,6,2,3,29888250000000,29893250000000,3,3,3,3,29888000000000,29893500000000,5,3,5,3,NQ.c.0
