ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-23 12:00:00+00:00,1776945659995865886,10,1,42004058,M,A,1,27041000000000,1,128,13285,265419399,27040000000000,27040750000000,1,1,1,1,27039750000000,27041000000000,1,3,1,3,27039500000000,27041250000000,3,5,3,5,27039250000000,27041750000000,2,3,2,3,27038750000000,27042000000000,3,5,2,5,27038500000000,27042250000000,3,2,2,2,27038250000000,27042500000000,5,2,4,2,27038000000000,27042750000000,3,5,2,1,27037750000000,27043000000000,3,3,3,3,27037500000000,27043250000000,1,5,1,3,NQ.c.0
2026-04-23 12:01:00+00:00,1776945719994407417,10,1,42004058,M,A,3,27123500000000,1,128,10964,265469410,27046500000000,27047250000000,4,1,4,1,27046250000000,27047500000000,4,2,3,2,27046000000000,27047750000000,4,3,3,3,27045750000000,27048000000000,5,3,4,3,27045500000000,27048250000000,3,2,3,2,27045000000000,27048500000000,7,3,5,3,27044750000000,27048750000000,5,2,4,2,27044500000000,27049000000000,7,5,6,5,27044250000000,27049250000000,2,2,2,2,27044000000000,27049500000000,3,13,3,4,NQ.c.0
2026-04-23 12:02:00+00:00,1776945779997069430,10,1,42004058,M,A,1,27041500000000,1,128,11524,265507845,27040250000000,27041250000000,4,2,3,2,27040000000000,27041500000000,17,5,7,5,27039750000000,27041750000000,4,2,3,2,27039500000000,27042000000000,7,2,4,2,27039250000000,27042250000000,2,1,2,1,27039000000000,27042500000000,3,2,3,2,27038750000000,27042750000000,6,1,3,1,27038500000000,27043000000000,3,2,2,2,27038250000000,27043250000000,4,1,3,1,27038000000000,27043500000000,3,3,2,3,NQ.c.0
2026-04-23 12:03:00+00:00,1776945839893084997,10,1,42004058,A,A,0,27038750000000,1,128,11492,265541514,27038000000000,27038750000000,1,2,1,2,27037750000000,27039000000000,3,1,2,1,27037500000000,27039250000000,4,4,3,4,27037250000000,27039500000000,4,2,3,2,27037000000000,27039750000000,4,5,3,4,27036750000000,27040000000000,5,8,4,7,27036500000000,27040250000000,4,6,3,5,27036250000000,27040500000000,5,4,4,4,27036000000000,27040750000000,6,4,5,4,27035750000000,27041000000000,4,2,3,2,NQ.c.0
2026-04-23 12:04:00+00:00,1776945899774411422,10,1,42004058,A,A,0,27040000000000,1,128,13439,265578891,27039000000000,27040000000000,1,2,1,2,27038750000000,27040250000000,1,3,1,3,27038500000000,27040500000000,5,3,4,3,27038250000000,27040750000000,4,4,3,4,27038000000000,27041000000000,4,1,3,1,27037750000000,27041250000000,6,2,5,2,27037500000000,27041750000000,3,1,2,1,27037250000000,27042000000000,4,3,3,3,27037000000000,27042250000000,3,3,3,3,27036750000000,27042500000000,4,1,4,1,NQ.c.0
2026-04-23 12:05:00+00:00,1776945959950153995,10,1,42004058,C,B,1,27049750000000,1,128,13583,265610817,27050000000000,27051000000000,2,6,2,1,27049500000000,27051250000000,3,2,3,2,27049250000000,27051500000000,5,3,4,3,27049000000000,27051750000000,5,1,4,1,27048750000000,27052000000000,6,8,5,8,27048500000000,27052250000000,4,1,4,1,27048250000000,27052500000000,3,2,2,2,27048000000000,27052750000000,9,4,8,4,27047750000000,27053000000000,1,3,1,2,27047500000000,27053250000000,5,3,3,2,NQ.c.0
2026-04-23 12:06:00+00:00,1776946019959357998,10,1,42004058,C,A,1,27054250000000,1,128,11135,265718206,27053250000000,27054000000000,1,1,1,1,27053000000000,27054250000000,1,3,1,3,27052750000000,27054500000000,3,2,3,2,27052500000000,27054750000000,3,2,3,2,27052250000000,27055000000000,6,3,4,3,27052000000000,27055250000000,7,3,7,3,27051750000000,27055500000000,4,3,3,3,27051500000000,27055750000000,4,4,3,4,27051250000000,27056000000000,2,4,2,4,27051000000000,27056250000000,4,2,4,2,NQ.c.0
2026-04-23 12:07:00+00:00,1776946079990386993,10,1,42004058,C,B,1,27063750000000,1,128,12305,265803166,27064000000000,27065000000000,1,1,1,1,27063750000000,27065250000000,1,2,1,2,27063500000000,27065750000000,3,1,3,1,27063250000000,27066000000000,2,2,2,2,27063000000000,27066250000000,2,3,2,3,27062750000000,27066750000000,2,4,2,4,27062500000000,27067000000000,4,4,4,4,27062250000000,27067250000000,3,4,3,4,27062000000000,27067500000000,3,2,3,2,27061750000000,27067750000000,1,2,1,2,NQ.c.0
2026-04-23 12:08:00+00:00,1776946139980843374,10,1,42004058,C,B,0,27064250000000,1,128,11090,265861897,27064250000000,27065250000000,1,1,1,1,27064000000000,27065500000000,1,3,1,3,27063750000000,27065750000000,2,2,2,2,27063500000000,27066000000000,3,2,3,2,27063000000000,27066250000000,3,3,3,3,27062750000000,27066500000000,3,1,3,1,27062500000000,27066750000000,2,4,2,4,27062250000000,27067250000000,3,2,3,2,27062000000000,27067500000000,5,5,4,5,27061750000000,27067750000000,3,2,2,2,NQ.c.0
2026-04-23 12:09:00+00:00,1776946199897166361,10,1,42004058,C,A,7,27071500000000,1,128,12969,265904223,27068500000000,27069500000000,1,2,1,2,27068250000000,27069750000000,1,1,1,1,27068000000000,27070000000000,2,2,2,2,27067750000000,27070250000000,2,2,2,2,27067500000000,27070500000000,2,2,2,2,27067250000000,27070750000000,3,2,3,2,27067000000000,27071000000000,5,2,4,2,27066750000000,27071500000000,9,2,6,2,27066500000000,27072000000000,5,3,4,3,27066250000000,27072250000000,5,1,4,1,NQ.c.0
