ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-26 13:00:00+00:00,1772110859960085987,10,1,42002475,A,B,0,25375500000000,1,128,12947,280089749,25375500000000,25376250000000,1,2,1,2,25375250000000,25376500000000,3,3,3,3,25375000000000,25376750000000,4,2,4,2,25374750000000,25377000000000,2,3,2,3,25374250000000,25377250000000,4,5,4,5,25374000000000,25377500000000,4,4,4,4,25373750000000,25377750000000,4,6,4,5,25373500000000,25378000000000,4,5,4,5,25373250000000,25378250000000,1,2,1,2,25373000000000,25378500000000,3,2,3,2,NQ.c.0
2026-02-26 13:01:00+00:00,1772110919989769562,10,1,42002475,A,B,1,25374000000000,1,128,12587,280111819,25374250000000,25375000000000,1,1,1,1,25374000000000,25375250000000,6,2,6,2,25373750000000,25375500000000,4,3,4,3,25373500000000,25375750000000,2,3,2,3,25373250000000,25376000000000,5,5,5,5,25373000000000,25376250000000,3,4,3,4,25372750000000,25376500000000,4,4,4,4,25372500000000,25376750000000,4,4,4,4,25372250000000,25377000000000,4,4,4,4,25372000000000,25377250000000,8,2,8,2,NQ.c.0
2026-02-26 13:02:00+00:00,1772110979173846157,10,1,42002475,A,B,0,25368250000000,1,128,10869,280130030,25368250000000,25369000000000,1,1,1,1,25368000000000,25369250000000,2,3,2,3,25367750000000,25369500000000,3,3,3,3,25367500000000,25369750000000,11,2,5,2,25367250000000,25370000000000,9,5,6,5,25367000000000,25370250000000,5,1,5,1,25366750000000,25370500000000,7,4,6,4,25366500000000,25370750000000,3,4,3,4,25366250000000,25371000000000,5,5,5,5,25366000000000,25371250000000,5,4,5,4,NQ.c.0
2026-02-26 13:03:00+00:00,1772111039994537976,10,1,42002475,C,B,4,25365500000000,1,128,10928,280148861,25366500000000,25367250000000,2,1,2,1,25366250000000,25367500000000,4,2,4,2,25366000000000,25367750000000,4,1,4,1,25365750000000,25368000000000,5,4,5,4,25365500000000,25368250000000,8,3,5,3,25365250000000,25368500000000,4,3,4,3,25365000000000,25368750000000,6,4,6,4,25364750000000,25369000000000,4,5,4,5,25364500000000,25369250000000,2,2,2,2,25364250000000,25369500000000,1,3,1,3,NQ.c.0
2026-02-26 13:04:00+00:00,1772111099967740314,10,1,42002475,A,A,0,25362750000000,1,128,12882,280172689,25362000000000,25362750000000,1,1,1,1,25361750000000,25363000000000,2,3,2,3,25361500000000,25363250000000,3,3,3,3,25361250000000,25363500000000,3,2,3,2,25361000000000,25363750000000,3,3,3,3,25360750000000,25364000000000,4,6,4,6,25360500000000,25364250000000,4,5,4,5,25360250000000,25364500000000,7,4,7,4,25360000000000,25364750000000,8,3,8,3,25359750000000,25365000000000,3,2,3,2,NQ.c.0
2026-02-26 13:05:00+00:00,1772111159974662387,10,1,42002475,A,A,0,25366000000000,1,128,11261,280192207,25365250000000,25366000000000,2,1,2,1,25365000000000,25366250000000,3,1,3,1,25364750000000,25366500000000,1,1,1,1,25364500000000,25366750000000,2,4,2,4,25364250000000,25367000000000,2,5,2,5,25364000000000,25367250000000,4,4,4,4,25363750000000,25367500000000,2,3,2,3,25363500000000,25367750000000,3,3,3,3,25363250000000,25368000000000,3,6,3,6,25363000000000,25368250000000,3,3,3,3,NQ.c.0
2026-02-26 13:06:00+00:00,1772111219944434007,10,1,42002475,A,B,4,25365000000000,1,128,14950,280209409,25366000000000,25366500000000,1,1,1,1,25365750000000,25366750000000,2,1,2,1,25365500000000,25367000000000,4,2,4,2,25365250000000,25367250000000,2,2,2,2,25365000000000,25367500000000,3,2,3,2,25364750000000,25367750000000,3,4,3,4,25364500000000,25368000000000,5,4,5,4,25364250000000,25368250000000,4,4,4,4,25364000000000,25368500000000,6,6,6,6,25363750000000,25368750000000,3,2,3,2,NQ.c.0
2026-02-26 13:07:00+00:00,1772111279921460096,10,1,42002475,A,A,0,25370250000000,1,128,12542,280228694,25369500000000,25370250000000,2,1,2,1,25369250000000,25370500000000,4,2,4,2,25369000000000,25370750000000,4,2,4,2,25368750000000,25371000000000,3,6,3,6,25368500000000,25371250000000,2,4,2,4,25368250000000,25371500000000,3,4,3,4,25368000000000,25371750000000,5,3,5,3,25367750000000,25372000000000,5,10,5,10,25367500000000,25372250000000,5,5,5,5,25367250000000,25372500000000,3,3,3,3,NQ.c.0
2026-02-26 13:08:00+00:00,1772111339849889935,10,1,42002475,C,A,0,25370000000000,1,128,11007,280247778,25369250000000,25370000000000,1,1,1,1,25369000000000,25370250000000,2,4,2,4,25368750000000,25370500000000,1,3,1,3,25368500000000,25370750000000,1,4,1,4,25368250000000,25371000000000,2,6,2,6,25368000000000,25371250000000,5,4,5,4,25367750000000,25371500000000,4,4,4,4,25367500000000,25371750000000,4,4,4,4,25367250000000,25372000000000,4,8,4,8,25367000000000,25372250000000,4,5,4,5,NQ.c.0
2026-02-26 13:09:00+00:00,1772111399894429853,10,1,42002475,C,A,2,25371750000000,1,128,14008,280266533,25370500000000,25371250000000,1,1,1,1,25370250000000,25371500000000,2,4,2,4,25370000000000,25371750000000,4,2,4,2,25369750000000,25372000000000,3,5,3,5,25369500000000,25372250000000,2,3,2,3,25369250000000,25372500000000,4,5,4,5,25369000000000,25372750000000,3,4,3,4,25368750000000,25373000000000,3,4,3,4,25368500000000,25373250000000,3,4,3,4,25368250000000,25373500000000,4,3,4,3,NQ.c.0
