ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-11 12:00:00+00:00,1781179259704135495,10,1,42004058,C,B,0,28899000000000,1,128,11167,658390713,28898750000000,28900000000000,1,2,1,2,28898500000000,28900250000000,4,1,4,1,28898250000000,28900750000000,2,2,2,2,28898000000000,28901250000000,1,3,1,3,28897750000000,28901750000000,3,4,3,4,28897500000000,28902000000000,4,5,4,5,28897250000000,28902250000000,5,3,5,3,28897000000000,28902500000000,3,3,3,3,28896750000000,28902750000000,3,2,3,2,28896500000000,28903000000000,4,3,4,3,NQ.c.0
2026-06-11 12:01:00+00:00,1781179319953956731,10,1,42004058,A,A,1,28908500000000,1,128,12420,658428579,28907250000000,28908250000000,1,1,1,1,28907000000000,28908500000000,2,1,2,1,28906750000000,28908750000000,3,2,3,2,28906500000000,28909000000000,4,3,4,3,28906250000000,28909500000000,2,4,2,4,28906000000000,28909750000000,1,5,1,4,28905750000000,28910000000000,2,3,2,3,28905500000000,28910500000000,3,2,3,2,28905250000000,28910750000000,2,4,2,4,28905000000000,28911000000000,5,2,5,2,NQ.c.0
2026-06-11 12:02:00+00:00,1781179379960364745,10,1,42004058,M,B,1,28910750000000,1,128,12588,658471429,28911250000000,28912500000000,1,1,1,1,28910750000000,28912750000000,3,3,3,3,28910500000000,28913000000000,3,3,3,3,28910250000000,28913250000000,3,2,3,2,28910000000000,28913500000000,4,4,4,4,28909750000000,28913750000000,4,3,4,3,28909500000000,28914000000000,3,2,3,2,28909250000000,28914250000000,3,3,3,3,28909000000000,28914500000000,3,4,3,4,28908750000000,28915000000000,2,3,2,3,NQ.c.0
2026-06-11 12:03:00+00:00,1781179439519122894,10,1,42004058,M,B,1,28908500000000,1,128,11230,658506642,28908750000000,28910000000000,1,1,1,1,28908500000000,28910250000000,3,2,3,2,28908250000000,28910500000000,2,3,2,3,28908000000000,28910750000000,1,3,1,3,28907750000000,28911000000000,1,2,1,2,28907500000000,28911250000000,2,3,2,3,28906750000000,28911500000000,2,2,2,2,28906500000000,28911750000000,2,3,2,3,28906000000000,28912000000000,2,3,2,3,28905750000000,28912750000000,3,2,3,2,NQ.c.0
2026-06-11 12:04:00+00:00,1781179499996951047,10,1,42004058,C,A,0,28909250000000,1,128,11271,658536517,28908250000000,28909250000000,2,1,2,1,28907750000000,28909500000000,1,1,1,1,28907500000000,28909750000000,3,1,3,1,28907250000000,28910000000000,2,1,2,1,28907000000000,28910250000000,3,1,3,1,28906750000000,28910500000000,3,2,3,2,28906500000000,28910750000000,3,3,3,3,28906250000000,28911000000000,3,2,3,2,28906000000000,28911250000000,3,3,3,3,28905750000000,28912000000000,4,2,4,2,NQ.c.0
2026-06-11 12:05:00+00:00,1781179559945326014,10,1,42004058,C,B,0,28904250000000,1,128,12638,658572148,28904250000000,28905750000000,1,2,1,2,28904000000000,28906000000000,3,1,3,1,28903750000000,28906250000000,1,3,1,3,28903500000000,28906500000000,3,3,3,3,28903250000000,28906750000000,4,6,4,2,28903000000000,28907000000000,3,1,3,1,28902750000000,28907250000000,3,1,3,1,28902500000000,28907500000000,3,4,3,4,28902000000000,28907750000000,3,2,3,2,28901750000000,28908000000000,3,3,3,3,NQ.c.0
2026-06-11 12:06:00+00:00,1781179619800341030,10,1,42004058,A,A,0,28898000000000,1,128,12600,658620546,28896750000000,28898000000000,1,1,1,1,28896500000000,28898250000000,2,2,2,2,28896250000000,28898500000000,3,2,3,2,28896000000000,28898750000000,4,1,4,1,28895750000000,28899000000000,4,2,4,2,28895500000000,28899250000000,4,3,4,3,28895250000000,28899500000000,5,3,5,3,28895000000000,28899750000000,4,4,4,4,28894750000000,28900250000000,5,2,5,2,28894500000000,28900750000000,4,3,4,3,NQ.c.0
2026-06-11 12:07:00+00:00,1781179679845201481,10,1,42004058,C,B,0,28896750000000,1,128,11380,658654839,28896750000000,28898250000000,1,2,1,2,28896500000000,28898500000000,4,4,4,4,28896250000000,28898750000000,3,3,3,3,28896000000000,28899000000000,4,2,4,2,28895750000000,28899250000000,2,3,2,3,28895500000000,28899500000000,2,5,2,4,28895250000000,28899750000000,3,4,3,4,28895000000000,28900000000000,4,2,4,2,28894750000000,28900250000000,3,2,3,2,28894500000000,28900750000000,4,3,4,3,NQ.c.0
2026-06-11 12:08:00+00:00,1781179739753169175,10,1,42004058,C,B,1,28903750000000,1,128,13091,658703834,28904000000000,28905250000000,2,1,2,1,28903750000000,28905500000000,1,2,1,2,28903500000000,28905750000000,1,2,1,2,28903250000000,28906250000000,2,2,2,2,28902500000000,28906500000000,2,4,2,4,28902250000000,28906750000000,4,3,4,3,28902000000000,28907000000000,3,5,3,5,28901750000000,28907250000000,3,4,3,4,28901500000000,28907500000000,2,6,2,5,28901250000000,28907750000000,3,2,3,2,NQ.c.0
2026-06-11 12:09:00+00:00,1781179799845360713,10,1,42004058,A,B,0,28902000000000,1,128,12466,658733331,28902000000000,28903250000000,1,1,1,1,28901750000000,28903500000000,1,1,1,1,28901500000000,28903750000000,1,1,1,1,28901250000000,28904000000000,3,2,3,2,28901000000000,28904250000000,3,4,3,4,28900750000000,28904500000000,2,3,2,3,28900250000000,28904750000000,3,2,2,2,28900000000000,28905250000000,2,1,2,1,28899750000000,28905500000000,3,2,3,2,28899500000000,28905750000000,2,1,2,1,NQ.c.0
