ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-15 12:00:00+00:00,1781524859723632086,10,1,42004058,A,B,0,30302500000000,1,128,11062,34527268,30302500000000,30304750000000,1,2,1,1,30302250000000,30306000000000,1,1,1,1,30302000000000,30306250000000,1,1,1,1,30301750000000,30306500000000,2,1,2,1,30301500000000,30306750000000,2,2,2,2,30301250000000,30307000000000,1,1,1,1,30301000000000,30307250000000,2,2,2,1,30300750000000,30307750000000,2,3,2,2,30300500000000,30308000000000,3,1,2,1,30300250000000,30308250000000,1,1,1,1,NQ.c.0
2026-06-15 12:01:00+00:00,1781524919992607918,10,1,42004058,A,A,2,30302500000000,1,128,13922,34590661,30298000000000,30300000000000,1,2,1,1,30297750000000,30301750000000,2,2,2,2,30297250000000,30302500000000,2,3,2,3,30297000000000,30302750000000,1,1,1,1,30296750000000,30303000000000,1,2,1,1,30296500000000,30303250000000,1,1,1,1,30296250000000,30304000000000,2,1,2,1,30296000000000,30304500000000,5,2,4,2,30295500000000,30304750000000,2,1,2,1,30295250000000,30305000000000,1,4,1,3,NQ.c.0
2026-06-15 12:02:00+00:00,1781524979877479551,10,1,42004058,A,B,2,30292000000000,1,128,13019,34669530,30292750000000,30294750000000,1,1,1,1,30292250000000,30296000000000,1,1,1,1,30292000000000,30296250000000,2,2,2,2,30291750000000,30296500000000,1,1,1,1,30291500000000,30297250000000,1,1,1,1,30291250000000,30297750000000,3,4,2,3,30291000000000,30298250000000,1,1,1,1,30290500000000,30299250000000,1,3,1,2,30290250000000,30299750000000,1,3,1,1,30290000000000,30300000000000,1,50,1,1,NQ.c.0
2026-06-15 12:03:00+00:00,1781525039623275672,10,1,42004058,M,A,2,30299750000000,1,128,11012,34723013,30295000000000,30298500000000,2,1,2,1,30293750000000,30298750000000,1,1,1,1,30293500000000,30299750000000,1,4,1,2,30293250000000,30300000000000,2,52,1,3,30293000000000,30300250000000,1,2,1,1,30292750000000,30300500000000,1,1,1,1,30292000000000,30300750000000,2,1,2,1,30291750000000,30301000000000,1,1,1,1,30291250000000,30301500000000,3,1,2,1,30290000000000,30301750000000,3,2,3,1,NQ.c.0
2026-06-15 12:04:00+00:00,1781525099854925332,10,1,42004058,M,B,7,30294000000000,2,128,15282,34760472,30295750000000,30298250000000,1,2,1,2,30295500000000,30298500000000,1,1,1,1,30295250000000,30298750000000,1,2,1,2,30295000000000,30299000000000,2,1,2,1,30294750000000,30299750000000,1,3,1,1,30294500000000,30300000000000,1,51,1,2,30294250000000,30300250000000,3,2,3,1,30294000000000,30300500000000,2,2,1,2,30293500000000,30300750000000,1,1,1,1,30293250000000,30301500000000,1,1,1,1,NQ.c.0
2026-06-15 12:05:00+00:00,1781525159962222086,10,1,42004058,C,A,0,30294500000000,1,128,11005,34817230,30292250000000,30294750000000,1,3,1,3,30292000000000,30295000000000,1,2,1,2,30291750000000,30295250000000,3,4,3,4,30291250000000,30295500000000,1,2,1,2,30290750000000,30295750000000,4,1,3,1,30290000000000,30296000000000,1,1,1,1,30289250000000,30296250000000,3,2,2,2,30289000000000,30296500000000,1,2,1,2,30288750000000,30296750000000,3,2,2,2,30288500000000,30297000000000,2,3,2,2,NQ.c.0
2026-06-15 12:06:00+00:00,1781525219991202910,10,1,42004058,A,A,2,30305750000000,1,128,13639,34879026,30303750000000,30305250000000,1,1,1,1,30302250000000,30305500000000,1,1,1,1,30301000000000,30305750000000,2,3,2,3,30300750000000,30306000000000,3,1,2,1,30300500000000,30306250000000,1,1,1,1,30299750000000,30306500000000,1,1,1,1,30299500000000,30306750000000,2,2,2,2,30299250000000,30307250000000,1,6,1,4,30298500000000,30307750000000,2,1,1,1,30298250000000,30308000000000,2,1,2,1,NQ.c.0
2026-06-15 12:07:00+00:00,1781525279834061916,10,1,42004058,A,B,1,30296250000000,1,128,10935,34924930,30296500000000,30299000000000,1,2,1,2,30296250000000,30299250000000,2,2,2,2,30296000000000,30299500000000,3,1,3,1,30295750000000,30299750000000,2,1,2,1,30295500000000,30300000000000,3,1,3,1,30295250000000,30300250000000,2,1,2,1,30295000000000,30300500000000,2,2,2,2,30294500000000,30300750000000,4,3,3,3,30294250000000,30301000000000,1,3,1,2,30293250000000,30301250000000,1,1,1,1,NQ.c.0
2026-06-15 12:08:00+00:00,1781525339970014370,10,1,42004058,M,B,1,30252250000000,1,128,11627,34970948,30302000000000,30304000000000,1,1,1,1,30301250000000,30304750000000,1,3,1,3,30300750000000,30305000000000,3,1,3,1,30300500000000,30305500000000,2,1,2,1,30300250000000,30306000000000,3,1,3,1,30300000000000,30306250000000,4,2,3,1,30299000000000,30306500000000,1,1,1,1,30298500000000,30306750000000,2,1,2,1,30298250000000,30307250000000,2,2,2,1,30297750000000,30307750000000,2,3,2,2,NQ.c.0
2026-06-15 12:09:00+00:00,1781525399894171478,10,1,42004058,C,B,0,30297000000000,1,128,12417,35015837,30296750000000,30299000000000,1,1,1,1,30296500000000,30300500000000,3,3,3,3,30296250000000,30300750000000,4,1,4,1,30296000000000,30301000000000,2,3,2,2,30295500000000,30301250000000,2,2,2,2,30295250000000,30301500000000,2,1,2,1,30295000000000,30303000000000,3,3,3,3,30294750000000,30303500000000,7,3,2,2,30294500000000,30304000000000,1,4,1,3,30294250000000,30304250000000,2,1,2,1,NQ.c.0
