ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-02 13:00:00+00:00,1772456459991917499,10,1,42002475,C,A,0,24640250000000,1,128,11062,31053239,24639500000000,24640500000000,1,2,1,2,24639250000000,24640750000000,1,3,1,3,24639000000000,24641000000000,2,1,2,1,24638750000000,24641250000000,3,1,3,1,24638500000000,24641500000000,2,3,2,3,24638250000000,24641750000000,3,2,3,2,24638000000000,24642000000000,4,3,4,3,24637750000000,24642250000000,3,1,3,1,24637500000000,24642500000000,2,1,2,1,24637250000000,24642750000000,1,1,1,1,NQ.c.0
2026-03-02 13:01:00+00:00,1772456519982898659,10,1,42002475,A,B,0,24646500000000,1,128,11307,31103642,24646500000000,24647500000000,1,1,1,1,24646250000000,24648000000000,2,3,2,3,24646000000000,24648250000000,4,2,4,2,24645750000000,24648500000000,2,2,2,2,24645250000000,24648750000000,2,1,1,1,24645000000000,24649000000000,1,5,1,4,24644500000000,24649250000000,1,2,1,2,24644000000000,24649500000000,3,1,3,1,24643500000000,24649750000000,2,5,2,4,24643250000000,24650000000000,1,3,1,3,NQ.c.0
2026-03-02 13:02:00+00:00,1772456579920048821,10,1,42002475,M,A,2,24639250000000,1,128,12913,31148659,24638000000000,24638750000000,1,1,1,1,24637750000000,24639000000000,2,1,2,1,24637250000000,24639250000000,2,3,2,3,24636750000000,24639500000000,1,1,1,1,24636500000000,24639750000000,3,1,3,1,24636250000000,24640000000000,1,3,1,3,24636000000000,24640250000000,6,1,6,1,24635750000000,24640500000000,1,3,1,3,24635500000000,24640750000000,2,3,2,3,24635000000000,24641500000000,1,2,1,2,NQ.c.0
2026-03-02 13:03:00+00:00,1772456639668009653,10,1,42002475,C,B,0,24633000000000,1,128,10960,31194500,24632750000000,24634000000000,1,1,1,1,24632500000000,24634250000000,3,2,3,2,24632250000000,24634500000000,2,3,2,3,24632000000000,24634750000000,4,2,4,2,24631750000000,24635250000000,2,1,2,1,24631500000000,24635500000000,3,3,3,3,24631000000000,24635750000000,1,2,1,2,24630500000000,24636000000000,4,5,3,5,24630250000000,24636750000000,1,3,1,3,24630000000000,24637000000000,2,4,2,4,NQ.c.0
2026-03-02 13:04:00+00:00,1772456699988381266,10,1,42002475,A,A,1,24635000000000,1,128,12740,31249171,24633500000000,24634750000000,1,3,1,3,24633250000000,24635000000000,1,2,1,2,24633000000000,24635250000000,1,2,1,2,24632750000000,24635500000000,3,2,3,2,24632000000000,24635750000000,3,2,3,1,24631750000000,24636000000000,3,4,3,4,24631500000000,24636250000000,2,1,2,1,24631250000000,24636750000000,3,3,3,3,24630750000000,24637000000000,1,4,1,4,24630500000000,24637250000000,2,2,2,2,NQ.c.0
2026-03-02 13:05:00+00:00,1772456759982111789,10,1,42002475,A,A,0,24643000000000,1,128,12573,31288427,24641500000000,24643000000000,1,2,1,2,24641250000000,24643250000000,3,3,3,3,24641000000000,24643500000000,3,4,3,4,24640750000000,24643750000000,4,3,4,3,24640500000000,24644000000000,3,1,3,1,24640250000000,24644750000000,2,1,2,1,24640000000000,24645250000000,3,3,3,3,24639750000000,24645500000000,2,1,2,1,24639500000000,24645750000000,3,3,3,3,24639250000000,24646000000000,3,3,3,3,NQ.c.0
2026-03-02 13:06:00+00:00,1772456819736351759,10,1,42002475,C,A,0,24641250000000,1,128,12022,31334838,24640250000000,24641500000000,1,2,1,2,24640000000000,24641750000000,1,1,1,1,24639750000000,24642000000000,1,2,1,2,24639500000000,24642250000000,1,3,1,3,24639250000000,24642750000000,2,2,2,2,24639000000000,24643000000000,2,2,2,2,24638750000000,24643250000000,1,2,1,2,24638500000000,24643500000000,3,1,3,1,24638000000000,24643750000000,4,4,4,4,24637750000000,24644000000000,4,4,4,4,NQ.c.0
2026-03-02 13:07:00+00:00,1772456879739576280,10,1,42002475,C,A,1,24638750000000,1,128,12659,31377092,24637250000000,24638500000000,3,1,3,1,24637000000000,24639000000000,2,3,2,3,24636750000000,24639250000000,2,1,2,1,24636250000000,24639500000000,1,2,1,2,24636000000000,24639750000000,4,3,4,3,24635500000000,24640000000000,1,4,1,4,24635250000000,24640250000000,2,2,2,2,24635000000000,24640500000000,1,2,1,2,24634750000000,24640750000000,2,3,2,3,24634500000000,24641000000000,1,1,1,1,NQ.c.0
2026-03-02 13:08:00+00:00,1772456939860134250,10,1,42002475,A,B,0,24652500000000,1,128,12993,31428307,24652500000000,24653500000000,1,1,1,1,24652250000000,24654000000000,1,2,1,2,24652000000000,24654250000000,2,1,2,1,24651500000000,24654750000000,3,2,3,2,24651250000000,24655000000000,3,2,3,2,24651000000000,24655250000000,2,2,2,2,24650750000000,24655500000000,4,2,4,2,24650500000000,24655750000000,3,1,3,1,24650250000000,24656000000000,2,3,2,3,24650000000000,24656250000000,4,3,4,3,NQ.c.0
2026-03-02 13:09:00+00:00,1772456999813545741,10,1,42002475,A,B,2,24641000000000,1,128,13020,31472923,24642250000000,24643250000000,1,1,1,1,24642000000000,24643500000000,1,2,1,2,24641000000000,24643750000000,3,5,3,5,24640750000000,24644000000000,2,6,2,6,24640500000000,24644250000000,1,4,1,4,24640250000000,24644500000000,2,2,2,2,24640000000000,24644750000000,4,1,4,1,24639750000000,24645000000000,2,3,2,3,24639500000000,24645250000000,2,3,1,3,24639250000000,24645500000000,2,1,2,1,NQ.c.0
