ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-12 13:00:00+00:00,1770901259903864957,10,1,42002475,A,B,0,25354250000000,1,128,13119,304256328,25354250000000,25355000000000,1,1,1,1,25354000000000,25355250000000,2,4,2,4,25353750000000,25355500000000,2,4,2,4,25353500000000,25355750000000,3,5,3,5,25353250000000,25356000000000,5,5,5,5,25353000000000,25356250000000,4,2,3,2,25352750000000,25356500000000,4,5,4,5,25352500000000,25356750000000,5,5,5,5,25352250000000,25357000000000,5,6,5,5,25352000000000,25357250000000,5,3,5,3,NQ.c.0
2026-02-12 13:01:00+00:00,1770901319949765579,10,1,42002475,C,A,0,25353000000000,1,128,11184,304278255,25352500000000,25353250000000,2,2,2,2,25352250000000,25353500000000,3,4,3,4,25352000000000,25353750000000,3,4,3,4,25351750000000,25354000000000,2,5,2,5,25351500000000,25354250000000,3,4,3,4,25351250000000,25354500000000,3,2,3,2,25351000000000,25354750000000,3,4,3,4,25350750000000,25355000000000,3,6,3,6,25350500000000,25355250000000,3,3,3,3,25350250000000,25355500000000,3,3,3,3,NQ.c.0
2026-02-12 13:02:00+00:00,1770901379952117890,10,1,42002475,C,B,4,25344500000000,1,128,10917,304299769,25345500000000,25346000000000,1,1,1,1,25345250000000,25346250000000,5,2,5,2,25345000000000,25346500000000,5,2,3,2,25344750000000,25346750000000,3,5,3,2,25344500000000,25347000000000,3,12,3,4,25344250000000,25347250000000,5,4,5,4,25344000000000,25347500000000,6,2,6,2,25343750000000,25347750000000,4,1,4,1,25343500000000,25348000000000,5,3,5,3,25343250000000,25348250000000,6,2,6,2,NQ.c.0
2026-02-12 13:03:00+00:00,1770901439930191987,10,1,42002475,C,A,0,25348000000000,1,128,10831,304324549,25347250000000,25348000000000,3,1,3,1,25347000000000,25348250000000,1,3,1,3,25346750000000,25348500000000,1,3,1,3,25346500000000,25348750000000,2,4,2,4,25346250000000,25349000000000,4,5,4,5,25346000000000,25349250000000,5,5,5,5,25345750000000,25349500000000,4,6,4,6,25345500000000,25349750000000,2,7,2,6,25345250000000,25350000000000,2,7,2,7,25345000000000,25350250000000,2,5,2,5,NQ.c.0
2026-02-12 13:04:00+00:00,1770901499966237227,10,1,42002475,C,A,3,25344750000000,1,128,12313,304348682,25343250000000,25344000000000,1,2,1,2,25343000000000,25344250000000,4,4,4,4,25342750000000,25344500000000,4,2,4,2,25342500000000,25344750000000,4,2,4,2,25342250000000,25345000000000,6,4,6,4,25342000000000,25345250000000,6,5,6,5,25341750000000,25345500000000,5,5,5,5,25341500000000,25345750000000,14,3,5,3,25341250000000,25346000000000,4,4,4,4,25341000000000,25346250000000,2,3,2,3,NQ.c.0
2026-02-12 13:05:00+00:00,1770901559985049414,10,1,42002475,C,A,0,25347500000000,1,128,11215,304373450,25347000000000,25347750000000,1,3,1,3,25346750000000,25348000000000,2,3,2,3,25346500000000,25348250000000,3,2,3,2,25346250000000,25348500000000,3,2,3,2,25346000000000,25348750000000,9,2,9,2,25345750000000,25349000000000,6,5,6,5,25345500000000,25349250000000,8,4,8,4,25345250000000,25349500000000,8,6,8,6,25345000000000,25349750000000,6,4,6,4,25344750000000,25350000000000,2,13,2,9,NQ.c.0
2026-02-12 13:06:00+00:00,1770901619745763253,10,1,42002475,C,B,0,25345750000000,1,128,12170,304389146,25345750000000,25346500000000,1,2,1,2,25345500000000,25346750000000,3,3,3,3,25345250000000,25347000000000,3,3,3,3,25345000000000,25347250000000,3,4,3,4,25344750000000,25347500000000,3,4,3,4,25344500000000,25347750000000,4,3,4,3,25344250000000,25348000000000,5,4,5,4,25344000000000,25348250000000,6,4,6,4,25343750000000,25348500000000,4,4,4,4,25343500000000,25349000000000,4,4,4,4,NQ.c.0
2026-02-12 13:07:00+00:00,1770901679715162221,10,1,42002475,M,A,2,25343750000000,1,128,12379,304407466,25342750000000,25343250000000,1,1,1,1,25342500000000,25343500000000,4,2,4,2,25342250000000,25343750000000,5,3,5,3,25342000000000,25344000000000,6,4,6,4,25341750000000,25344250000000,5,4,5,4,25341500000000,25344500000000,12,4,3,4,25341250000000,25344750000000,4,2,4,2,25341000000000,25345000000000,3,4,3,4,25340750000000,25345250000000,4,4,4,4,25340500000000,25345500000000,4,3,4,3,NQ.c.0
2026-02-12 13:08:00+00:00,1770901739218191613,10,1,42002475,M,A,1,25339750000000,1,128,12349,304436312,25338750000000,25339500000000,1,1,1,1,25338500000000,25339750000000,4,5,4,5,25338250000000,25340000000000,3,6,3,6,25338000000000,25340250000000,6,5,6,5,25337750000000,25340500000000,3,5,3,5,25337500000000,25340750000000,5,5,5,5,25337250000000,25341000000000,5,5,5,5,25337000000000,25341250000000,5,3,5,3,25336750000000,25341500000000,5,3,5,3,25336500000000,25341750000000,3,5,3,5,NQ.c.0
2026-02-12 13:09:00+00:00,1770901799906685466,10,1,42002475,A,B,0,25345500000000,1,128,10882,304460763,25345500000000,25346250000000,1,1,1,1,25345250000000,25346500000000,2,1,2,1,25345000000000,25346750000000,3,4,3,4,25344750000000,25347000000000,4,4,4,4,25344500000000,25347250000000,6,4,6,4,25344250000000,25347500000000,5,3,5,3,25344000000000,25347750000000,5,4,5,4,25343750000000,25348000000000,5,4,5,4,25343500000000,25348250000000,5,5,5,5,25343250000000,25348500000000,4,5,4,4,NQ.c.0
