ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-06 13:00:00+00:00,1772802059995522637,10,1,42002475,C,B,1,24840250000000,1,128,11696,624303021,24840500000000,24841250000000,1,1,1,1,24840250000000,24841500000000,1,1,1,1,24840000000000,24841750000000,3,2,3,2,24839750000000,24842000000000,2,2,2,2,24839500000000,24842250000000,4,1,4,1,24839000000000,24842500000000,3,1,3,1,24838750000000,24842750000000,2,1,2,1,24838500000000,24843000000000,2,2,2,2,24838250000000,24843250000000,3,2,3,2,24837750000000,24843500000000,3,2,3,2,NQ.c.0
2026-03-06 13:01:00+00:00,1772802119908569608,10,1,42002475,A,B,0,24849750000000,1,128,13198,624363903,24849750000000,24850750000000,2,1,2,1,24849500000000,24851000000000,3,1,3,1,24849250000000,24851250000000,3,3,3,3,24849000000000,24851500000000,3,1,3,1,24848750000000,24852000000000,2,2,2,2,24848500000000,24852250000000,1,2,1,2,24848250000000,24852500000000,3,3,3,3,24848000000000,24853000000000,1,1,1,1,24847750000000,24853250000000,3,2,3,2,24847500000000,24853750000000,1,3,1,3,NQ.c.0
2026-03-06 13:02:00+00:00,1772802179960612831,10,1,42002475,C,A,0,24845750000000,1,128,13596,624417759,24845000000000,24846000000000,1,1,1,1,24844750000000,24846250000000,1,1,1,1,24844500000000,24846500000000,3,2,3,2,24844250000000,24846750000000,2,2,2,2,24844000000000,24847000000000,1,1,1,1,24843750000000,24847250000000,1,3,1,1,24843500000000,24847750000000,1,2,1,2,24843250000000,24848000000000,1,1,1,1,24843000000000,24848250000000,2,2,2,2,24842750000000,24848500000000,2,3,2,3,NQ.c.0
2026-03-06 13:03:00+00:00,1772802239979513954,10,1,42002475,C,B,0,24844750000000,1,128,13677,624464689,24844500000000,24845500000000,3,1,1,1,24844000000000,24845750000000,2,2,2,2,24843750000000,24846000000000,3,3,3,3,24843250000000,24846500000000,1,3,1,3,24843000000000,24846750000000,3,2,3,2,24842750000000,24847000000000,2,2,2,2,24842500000000,24847250000000,2,2,2,2,24842250000000,24847500000000,2,2,2,2,24841750000000,24847750000000,4,3,1,3,24841500000000,24848000000000,2,2,2,2,NQ.c.0
2026-03-06 13:04:00+00:00,1772802299990191775,10,1,42002475,A,B,2,24836500000000,1,128,14230,624513204,24837000000000,24838250000000,1,2,1,2,24836750000000,24838500000000,2,3,2,3,24836500000000,24838750000000,2,2,2,2,24836250000000,24839000000000,1,2,1,2,24836000000000,24839250000000,2,2,2,2,24835750000000,24839500000000,2,3,2,3,24835500000000,24839750000000,2,2,2,2,24835250000000,24840000000000,2,2,2,2,24835000000000,24840500000000,1,3,1,3,24834750000000,24840750000000,3,3,3,3,NQ.c.0
2026-03-06 13:05:00+00:00,1772802359900856967,10,1,42002475,A,B,2,24830750000000,1,128,13289,624563558,24831250000000,24832500000000,2,1,2,1,24831000000000,24832750000000,1,2,1,2,24830750000000,24833000000000,2,2,2,2,24830500000000,24833250000000,1,2,1,2,24830250000000,24833500000000,1,1,1,1,24830000000000,24833750000000,2,2,2,2,24829750000000,24834000000000,2,2,2,2,24829500000000,24834250000000,1,2,1,2,24829250000000,24834750000000,3,2,3,2,24828500000000,24835000000000,3,2,3,2,NQ.c.0
2026-03-06 13:06:00+00:00,1772802419918909760,10,1,42002475,C,B,4,24842000000000,1,128,13193,624603376,24843250000000,24844250000000,1,1,1,1,24843000000000,24844500000000,1,1,1,1,24842750000000,24844750000000,1,2,1,2,24842250000000,24845000000000,2,3,2,3,24841750000000,24845500000000,2,1,2,1,24840750000000,24845750000000,2,2,2,2,24840500000000,24846000000000,2,1,2,1,24840000000000,24846250000000,3,3,3,3,24839250000000,24846500000000,3,2,3,2,24839000000000,24847500000000,4,1,4,1,NQ.c.0
2026-03-06 13:07:00+00:00,1772802479998489897,10,1,42002475,C,A,1,24852250000000,1,128,13076,624649222,24850750000000,24852000000000,1,1,1,1,24850500000000,24852250000000,2,2,2,2,24850250000000,24852500000000,2,1,2,1,24850000000000,24852750000000,1,2,1,2,24849750000000,24853000000000,1,2,1,2,24849500000000,24853250000000,2,2,2,2,24849250000000,24853500000000,1,1,1,1,24849000000000,24853750000000,1,1,1,1,24848750000000,24854000000000,2,2,2,2,24848500000000,24854250000000,2,1,2,1,NQ.c.0
2026-03-06 13:08:00+00:00,1772802539968913720,10,1,42002475,C,A,0,24843250000000,1,128,11667,624698675,24842250000000,24843250000000,2,1,2,1,24842000000000,24843500000000,1,1,1,1,24841750000000,24843750000000,2,3,2,3,24841500000000,24844000000000,2,1,2,1,24841250000000,24844250000000,2,2,2,2,24840750000000,24844500000000,2,2,2,2,24840500000000,24845250000000,3,2,3,2,24840000000000,24845500000000,3,2,3,2,24839250000000,24845750000000,2,1,2,1,24839000000000,24847250000000,3,2,3,2,NQ.c.0
2026-03-06 13:09:00+00:00,1772802599984900424,10,1,42002475,C,A,0,24853250000000,1,128,11047,624780497,24852250000000,24853500000000,1,1,1,1,24852000000000,24853750000000,2,4,2,4,24851750000000,24854000000000,2,3,2,3,24851500000000,24854250000000,1,2,1,2,24851250000000,24854500000000,2,2,2,2,24851000000000,24854750000000,2,2,2,2,24850250000000,24855000000000,2,2,2,2,24849500000000,24855250000000,2,1,2,1,24849250000000,24855500000000,2,1,2,1,24849000000000,24855750000000,3,1,3,1,NQ.c.0
