ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-05 12:00:00+00:00,1777982459832455369,10,1,42004058,C,A,0,27935250000000,1,128,10966,112719125,27934750000000,27935500000000,1,2,1,2,27934500000000,27935750000000,1,4,1,4,27934250000000,27936000000000,3,4,3,4,27934000000000,27936250000000,4,4,4,3,27933750000000,27936500000000,4,3,4,3,27933500000000,27936750000000,5,5,5,5,27933250000000,27937250000000,5,5,5,5,27933000000000,27937500000000,3,2,3,2,27932750000000,27937750000000,5,3,5,3,27932500000000,27938000000000,2,3,2,3,NQ.c.0
2026-05-05 12:01:00+00:00,1777982519961645716,10,1,42004058,M,A,1,27930500000000,1,128,11100,112742311,27929500000000,27930250000000,3,2,2,2,27929250000000,27930500000000,2,4,2,4,27929000000000,27930750000000,3,1,3,1,27928750000000,27931000000000,5,1,5,1,27928500000000,27931250000000,3,3,3,3,27928250000000,27931500000000,4,3,4,3,27928000000000,27931750000000,16,2,7,2,27927750000000,27932000000000,3,5,3,5,27927500000000,27932250000000,3,3,3,3,27927250000000,27932500000000,4,4,4,4,NQ.c.0
2026-05-05 12:02:00+00:00,1777982579940433651,10,1,42004058,C,A,0,27935500000000,1,128,12623,112764976,27935000000000,27935750000000,1,3,1,3,27934750000000,27936000000000,2,4,2,4,27934500000000,27936250000000,4,1,4,1,27934250000000,27936500000000,4,4,4,4,27934000000000,27936750000000,4,3,4,3,27933750000000,27937000000000,1,3,1,3,27933500000000,27937250000000,3,5,3,5,27933250000000,27937500000000,4,2,4,2,27933000000000,27937750000000,3,3,3,3,27932750000000,27938000000000,6,4,6,4,NQ.c.0
2026-05-05 12:03:00+00:00,1777982639724462348,10,1,42004058,C,A,2,27935500000000,1,128,10983,112779914,27934500000000,27935000000000,1,1,1,1,27934250000000,27935250000000,2,2,2,2,27934000000000,27935500000000,5,3,5,3,27933750000000,27935750000000,4,3,3,3,27933500000000,27936000000000,4,4,4,4,27933250000000,27936250000000,4,3,4,3,27933000000000,27936500000000,1,1,1,1,27932750000000,27936750000000,5,5,5,5,27932500000000,27937000000000,4,3,4,3,27932250000000,27937250000000,3,4,3,4,NQ.c.0
2026-05-05 12:04:00+00:00,1777982699759463993,10,1,42004058,C,B,0,27935500000000,1,128,12258,112806674,27935250000000,27935750000000,2,1,2,1,27934750000000,27936250000000,2,2,2,2,27934500000000,27936500000000,3,3,3,3,27934250000000,27936750000000,3,4,3,4,27934000000000,27937000000000,3,2,3,2,27933750000000,27937250000000,4,3,4,3,27933500000000,27937500000000,5,3,5,3,27933250000000,27937750000000,3,3,3,3,27933000000000,27938000000000,2,4,2,4,27932750000000,27938250000000,4,1,4,1,NQ.c.0
2026-05-05 12:05:00+00:00,1777982759978563791,10,1,42004058,M,A,3,28012250000000,1,128,12333,112831287,27936000000000,27936750000000,1,2,1,2,27935750000000,27937000000000,2,9,2,6,27935500000000,27937250000000,2,3,2,3,27935250000000,27937500000000,4,2,4,2,27935000000000,27937750000000,4,3,4,3,27934750000000,27938000000000,5,5,5,5,27934500000000,27938250000000,5,3,5,3,27934250000000,27938500000000,1,5,1,5,27934000000000,27938750000000,2,3,2,3,27933750000000,27939000000000,4,4,4,4,NQ.c.0
2026-05-05 12:06:00+00:00,1777982819736277641,10,1,42004058,A,A,0,27955250000000,1,128,12666,112912873,27954500000000,27955250000000,1,2,1,2,27954250000000,27955500000000,2,3,2,3,27954000000000,27955750000000,4,3,4,3,27953750000000,27956000000000,2,2,2,2,27953250000000,27956250000000,2,3,2,3,27953000000000,27956500000000,4,3,4,3,27952750000000,27956750000000,3,1,3,1,27952500000000,27957000000000,3,3,3,3,27952250000000,27957250000000,2,3,2,3,27952000000000,27957500000000,4,1,4,1,NQ.c.0
2026-05-05 12:07:00+00:00,1777982879985812662,10,1,42004058,M,B,2,27952500000000,1,128,12618,112959166,27953000000000,27954000000000,1,1,1,1,27952750000000,27954250000000,2,2,2,2,27952500000000,27954500000000,2,4,2,4,27952250000000,27955000000000,3,4,3,4,27952000000000,27955250000000,6,4,6,4,27951750000000,27955500000000,4,6,4,6,27951500000000,27955750000000,4,4,4,4,27951250000000,27956000000000,3,5,3,5,27951000000000,27956250000000,2,3,2,3,27950750000000,27956500000000,3,2,3,2,NQ.c.0
2026-05-05 12:08:00+00:00,1777982939837068524,10,1,42004058,A,A,2,27961250000000,1,128,13030,113007285,27960000000000,27960750000000,2,1,2,1,27959500000000,27961000000000,2,2,2,2,27959250000000,27961250000000,2,10,2,3,27959000000000,27961500000000,3,2,3,2,27958750000000,27961750000000,1,2,1,2,27958500000000,27962000000000,2,2,2,2,27958250000000,27962250000000,3,1,3,1,27958000000000,27962500000000,3,1,3,1,27957750000000,27962750000000,3,2,3,2,27957500000000,27963000000000,3,3,3,3,NQ.c.0
2026-05-05 12:09:00+00:00,1777982999970600998,10,1,42004058,M,B,0,27886250000000,1,128,12845,113041026,27962000000000,27962750000000,1,1,1,1,27961750000000,27963000000000,4,1,4,1,27961500000000,27963250000000,3,1,3,1,27961250000000,27963500000000,4,3,4,3,27961000000000,27963750000000,2,3,2,3,27960750000000,27964000000000,2,4,2,4,27960500000000,27964250000000,3,3,3,3,27960250000000,27964500000000,4,3,4,3,27960000000000,27964750000000,4,3,4,3,27959750000000,27965000000000,3,3,3,3,NQ.c.0
2026-05-05 12:10:00+00:00,1777983059857768160,10,1,42004058,A,B,3,27962250000000,1,128,10972,113094770,27963000000000,27964000000000,2,1,2,1,27962750000000,27964250000000,5,1,4,1,27962500000000,27964500000000,3,2,3,2,27962250000000,27964750000000,2,2,2,2,27962000000000,27965000000000,4,3,4,3,27961750000000,27965250000000,2,4,2,4,27961500000000,27965500000000,4,3,4,3,27961250000000,27965750000000,4,2,4,2,27961000000000,27966000000000,3,3,3,3,27960750000000,27966250000000,4,4,4,4,NQ.c.0
2026-05-05 12:11:00+00:00,1777983119977380316,10,1,42004058,M,A,0,28053250000000,1,128,12195,113170054,27976000000000,27977000000000,2,2,2,2,27975750000000,27977250000000,3,6,3,6,27975500000000,27977500000000,2,3,2,3,27975250000000,27977750000000,2,4,2,4,27975000000000,27978000000000,4,3,4,3,27974750000000,27978250000000,6,3,6,3,27974500000000,27978500000000,4,4,4,4,27974250000000,27978750000000,5,3,5,3,27974000000000,27979000000000,3,2,3,2,27973500000000,27979250000000,3,4,3,4,NQ.c.0
2026-05-05 12:12:00+00:00,1777983179922345683,10,1,42004058,C,B,2,27978500000000,1,128,12773,113222290,27979000000000,27980000000000,2,1,2,1,27978750000000,27980250000000,3,2,3,2,27978500000000,27980500000000,4,3,4,3,27978250000000,27980750000000,4,2,4,2,27978000000000,27981000000000,4,3,4,3,27977750000000,27981250000000,2,3,2,3,27977500000000,27981500000000,4,3,4,3,27977250000000,27981750000000,4,3,4,3,27977000000000,27982000000000,4,5,4,5,27976750000000,27982250000000,3,1,3,1,NQ.c.0
2026-05-05 12:13:00+00:00,1777983239995584292,10,1,42004058,M,A,2,28052750000000,1,128,11225,113273927,27975750000000,27976500000000,2,2,2,2,27975500000000,27976750000000,3,2,3,2,27975250000000,27977000000000,2,3,2,3,27975000000000,27977250000000,4,3,4,3,27974750000000,27977500000000,3,2,3,2,27974500000000,27977750000000,2,3,2,3,27974250000000,27978000000000,4,3,4,3,27974000000000,27978250000000,3,2,3,2,27973750000000,27978500000000,2,4,2,4,27973500000000,27978750000000,3,4,3,4,NQ.c.0
2026-05-05 12:14:00+00:00,1777983299992419655,10,1,42004058,C,B,2,27992000000000,1,128,11130,113324519,27992500000000,27993250000000,2,1,2,1,27992250000000,27993500000000,2,1,2,1,27992000000000,27993750000000,5,3,4,3,27991750000000,27994000000000,3,3,3,3,27991500000000,27994250000000,3,3,3,3,27991250000000,27994500000000,6,2,5,2,27991000000000,27994750000000,4,1,4,1,27990750000000,27995000000000,2,3,2,3,27990500000000,27995250000000,2,4,2,4,27990250000000,27995500000000,3,2,3,2,NQ.c.0
2026-05-05 12:15:00+00:00,1777983359968163287,10,1,42004058,C,A,0,27996500000000,1,128,12482,113405647,27996000000000,27996750000000,1,1,1,1,27995750000000,27997000000000,1,2,1,2,27995500000000,27997250000000,2,1,1,1,27995250000000,27997500000000,27,3,3,3,27995000000000,27997750000000,4,3,4,3,27994750000000,27998000000000,5,3,5,3,27994500000000,27998250000000,4,3,4,3,27994250000000,27998500000000,6,5,6,5,27994000000000,27998750000000,5,3,5,3,27993750000000,27999000000000,4,3,4,3,NQ.c.0
2026-05-05 12:16:00+00:00,1777983419926759425,10,1,42004058,A,A,1,27992250000000,1,128,13525,113451368,27991250000000,27992000000000,1,1,1,1,27991000000000,27992250000000,3,3,3,3,27990750000000,27992500000000,3,3,3,3,27990500000000,27992750000000,6,1,6,1,27990250000000,27993000000000,2,2,2,2,27990000000000,27993250000000,8,2,8,2,27989750000000,27993500000000,7,3,5,3,27989500000000,27993750000000,3,2,3,2,27989250000000,27994000000000,4,3,4,3,27989000000000,27994250000000,4,3,4,3,NQ.c.0
2026-05-05 12:17:00+00:00,1777983479996778268,10,1,42004058,M,A,1,27988500000000,1,128,10923,113486198,27987250000000,27988250000000,1,2,1,2,27987000000000,27988500000000,5,3,5,3,27986750000000,27988750000000,2,4,2,4,27986500000000,27989000000000,3,4,3,4,27986250000000,27989250000000,3,5,3,5,27986000000000,27989500000000,8,4,6,4,27985750000000,27989750000000,3,4,3,4,27985500000000,27990000000000,4,3,4,3,27985250000000,27990250000000,4,2,4,2,27985000000000,27990500000000,4,2,4,2,NQ.c.0
2026-05-05 12:18:00+00:00,1777983539978117780,10,1,42004058,M,A,1,27991500000000,1,128,11226,113514270,27990500000000,27991250000000,1,1,1,1,27990250000000,27991500000000,1,4,1,4,27990000000000,27991750000000,3,4,3,4,27989750000000,27992000000000,3,5,3,5,27989500000000,27992250000000,3,3,3,3,27989250000000,27992500000000,4,3,4,3,27989000000000,27992750000000,4,5,4,5,27988750000000,27993000000000,4,3,4,3,27988500000000,27993250000000,2,3,2,3,27988250000000,27993500000000,5,3,5,3,NQ.c.0
2026-05-05 12:19:00+00:00,1777983599984674974,10,1,42004058,A,B,1,27985250000000,1,128,12805,113546324,27985500000000,27986500000000,4,1,4,1,27985250000000,27986750000000,5,3,5,3,27985000000000,27987000000000,4,3,4,3,27984750000000,27987250000000,4,2,4,2,27984500000000,27987500000000,5,1,5,1,27984250000000,27987750000000,4,2,4,2,27984000000000,27988000000000,6,5,6,5,27983750000000,27988250000000,5,4,4,4,27983500000000,27988500000000,3,5,3,5,27983250000000,27988750000000,3,3,3,3,NQ.c.0
2026-05-05 12:20:00+00:00,1777983659892489857,10,1,42004058,A,A,2,27982500000000,1,128,10856,113579075,27981250000000,27982000000000,3,1,3,1,27981000000000,27982250000000,4,1,4,1,27980750000000,27982500000000,3,5,3,5,27980500000000,27982750000000,4,2,4,2,27980250000000,27983000000000,7,1,7,1,27980000000000,27983250000000,5,2,5,2,27979750000000,27983500000000,4,3,4,3,27979500000000,27983750000000,3,3,3,3,27979250000000,27984000000000,5,5,5,5,27979000000000,27984250000000,4,2,4,2,NQ.c.0
2026-05-05 12:21:00+00:00,1777983719873448507,10,1,42004058,A,B,1,27990750000000,1,128,12945,113637187,27991000000000,27992250000000,3,2,3,2,27990750000000,27992500000000,3,3,3,3,27990500000000,27992750000000,2,2,2,2,27990250000000,27993000000000,3,2,3,2,27990000000000,27993250000000,3,5,3,5,27989750000000,27993500000000,4,7,4,7,27989500000000,27993750000000,3,2,3,2,27989250000000,27994000000000,2,4,2,4,27989000000000,27994250000000,1,6,1,6,27988750000000,27994500000000,4,3,4,3,NQ.c.0
2026-05-05 12:22:00+00:00,1777983779948296028,10,1,42004058,A,A,2,27988000000000,1,128,11272,113669265,27986500000000,27987250000000,2,1,2,1,27986250000000,27987500000000,3,1,3,1,27986000000000,27988000000000,2,3,2,3,27985750000000,27988250000000,1,4,1,4,27985500000000,27988500000000,4,5,4,5,27985250000000,27988750000000,5,3,4,3,27985000000000,27989000000000,2,4,2,4,27984750000000,27989250000000,3,2,3,2,27984500000000,27989500000000,3,4,3,4,27984250000000,27989750000000,2,4,2,4,NQ.c.0
2026-05-05 12:23:00+00:00,1777983839979710607,10,1,42004058,C,B,0,27986750000000,1,128,12339,113698044,27986500000000,27987500000000,2,2,2,2,27986250000000,27987750000000,3,2,3,2,27986000000000,27988000000000,2,4,2,4,27985750000000,27988250000000,1,4,1,4,27985500000000,27988500000000,2,4,2,4,27985250000000,27988750000000,4,2,3,2,27985000000000,27989000000000,4,4,4,4,27984750000000,27989250000000,4,1,4,1,27984500000000,27989500000000,6,3,5,3,27984250000000,27989750000000,3,4,3,4,NQ.c.0
2026-05-05 12:24:00+00:00,1777983899934717839,10,1,42004058,A,A,0,27986750000000,1,128,12557,113729689,27986000000000,27986750000000,1,1,1,1,27985750000000,27987000000000,2,2,2,2,27985500000000,27987250000000,2,3,2,3,27985250000000,27987500000000,5,1,5,1,27985000000000,27987750000000,6,2,6,2,27984750000000,27988000000000,5,4,5,4,27984500000000,27988250000000,3,4,3,4,27984250000000,27988500000000,3,5,3,5,27984000000000,27988750000000,5,5,5,5,27983750000000,27989000000000,4,5,4,5,NQ.c.0
2026-05-05 12:25:00+00:00,1777983959826260339,10,1,42004058,M,A,1,27987000000000,1,128,12798,113759407,27986000000000,27986750000000,1,4,1,4,27985750000000,27987000000000,1,5,1,5,27985500000000,27987250000000,4,2,4,2,27985250000000,27987500000000,3,3,3,3,27985000000000,27987750000000,2,2,2,2,27984750000000,27988000000000,3,5,3,5,27984500000000,27988250000000,4,4,4,4,27984250000000,27988500000000,3,4,3,4,27984000000000,27988750000000,4,2,4,2,27983750000000,27989000000000,3,5,3,5,NQ.c.0
