ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-17 12:00:00+00:00,1776427258661662524,10,1,42004058,M,A,1,26563750000000,1,128,14853,284392624,26562500000000,26563000000000,1,1,1,1,26562250000000,26563500000000,1,1,1,1,26562000000000,26563750000000,5,4,4,4,26561750000000,26564000000000,5,4,4,4,26561500000000,26564250000000,2,5,2,5,26561250000000,26564500000000,4,5,3,4,26561000000000,26565000000000,5,7,4,6,26560750000000,26565250000000,7,7,6,6,26560500000000,26565500000000,4,2,3,2,26560250000000,26565750000000,4,3,3,3,NQ.c.0
2026-04-17 12:01:00+00:00,1776427319587778206,10,1,42004058,A,A,0,26570750000000,1,128,12463,284414089,26570250000000,26570750000000,1,1,1,1,26570000000000,26571000000000,4,3,4,3,26569750000000,26571250000000,2,3,2,3,26569500000000,26571500000000,2,4,2,4,26569250000000,26571750000000,4,4,4,3,26569000000000,26572000000000,5,7,4,6,26568750000000,26572250000000,4,3,3,2,26568500000000,26572500000000,6,4,5,4,26568250000000,26572750000000,3,6,3,2,26568000000000,26573000000000,6,7,6,4,NQ.c.0
2026-04-17 12:02:00+00:00,1776427379737120510,10,1,42004058,A,A,0,26576500000000,1,128,12392,284439588,26576000000000,26576500000000,2,1,2,1,26575750000000,26576750000000,3,6,3,2,26575500000000,26577000000000,3,4,3,4,26575250000000,26577250000000,3,5,3,5,26575000000000,26577750000000,8,3,7,3,26574750000000,26578000000000,2,7,2,7,26574500000000,26578250000000,3,5,3,4,26574250000000,26578500000000,3,3,2,2,26574000000000,26578750000000,8,4,8,3,26573750000000,26579000000000,4,4,4,3,NQ.c.0
2026-04-17 12:03:00+00:00,1776427439017065020,10,1,42004058,A,B,1,26583250000000,1,128,13147,284472397,26583500000000,26584000000000,2,6,2,1,26583250000000,26584250000000,4,2,4,2,26583000000000,26584500000000,6,3,5,3,26582750000000,26584750000000,3,2,3,2,26582500000000,26585000000000,6,6,4,5,26582250000000,26585250000000,4,7,4,6,26582000000000,26585500000000,3,4,3,4,26581750000000,26585750000000,6,4,6,3,26581500000000,26586000000000,5,8,5,7,26581250000000,26586250000000,3,3,3,2,NQ.c.0
2026-04-17 12:04:00+00:00,1776427499719409407,10,1,42004058,C,B,0,26584500000000,1,128,11256,284492605,26584500000000,26585250000000,2,2,2,2,26584250000000,26585500000000,2,2,2,2,26584000000000,26585750000000,5,3,5,3,26583750000000,26586000000000,5,5,5,5,26583500000000,26586250000000,1,3,1,3,26583250000000,26586500000000,2,6,2,5,26583000000000,26586750000000,4,8,4,7,26582750000000,26587000000000,1,4,1,3,26582500000000,26587250000000,5,5,5,4,26582250000000,26587500000000,5,2,5,2,NQ.c.0
2026-04-17 12:05:00+00:00,1776427559970208619,10,1,42004058,C,A,3,26589500000000,1,128,13074,284521119,26588250000000,26588750000000,2,5,1,5,26588000000000,26589000000000,4,7,4,7,26587750000000,26589250000000,6,4,5,4,26587500000000,26589500000000,4,1,3,1,26587250000000,26589750000000,7,3,6,3,26587000000000,26590000000000,5,6,4,6,26586750000000,26590250000000,3,2,3,2,26586500000000,26590500000000,5,3,5,3,26586250000000,26590750000000,3,3,2,3,26586000000000,26591000000000,8,4,8,4,NQ.c.0
2026-04-17 12:06:00+00:00,1776427619710042128,10,1,42004058,A,A,0,26592000000000,1,128,11311,284542351,26591250000000,26592000000000,2,2,2,2,26591000000000,26592250000000,7,5,6,5,26590750000000,26592500000000,5,4,4,3,26590500000000,26592750000000,7,6,6,5,26590250000000,26593000000000,2,6,2,5,26590000000000,26593250000000,6,5,5,5,26589750000000,26593500000000,6,5,5,4,26589500000000,26593750000000,4,6,3,5,26589250000000,26594000000000,3,9,3,8,26589000000000,26594250000000,5,3,5,3,NQ.c.0
2026-04-17 12:07:00+00:00,1776427679934098585,10,1,42004058,A,B,0,26583750000000,1,128,12919,284566426,26583750000000,26584500000000,2,3,2,3,26583500000000,26584750000000,4,4,2,4,26583250000000,26585000000000,5,5,4,4,26583000000000,26585250000000,5,5,4,4,26582750000000,26585500000000,3,6,2,5,26582500000000,26585750000000,12,2,5,2,26582250000000,26586000000000,3,7,3,6,26582000000000,26586250000000,8,6,7,5,26581750000000,26586500000000,3,4,3,3,26581500000000,26586750000000,3,4,3,3,NQ.c.0
2026-04-17 12:08:00+00:00,1776427739794720510,10,1,42004058,M,B,1,26586500000000,1,128,11291,284587411,26586750000000,26587250000000,1,3,1,3,26586500000000,26587500000000,4,4,4,3,26586250000000,26587750000000,4,4,4,3,26586000000000,26588000000000,4,7,4,6,26585750000000,26588250000000,3,3,3,2,26585500000000,26588500000000,3,3,3,3,26585250000000,26588750000000,2,5,2,5,26585000000000,26589000000000,7,7,6,6,26584750000000,26589250000000,5,4,4,4,26584500000000,26589500000000,3,4,2,3,NQ.c.0
2026-04-17 12:09:00+00:00,1776427799804388669,10,1,42004058,A,A,4,26587750000000,1,128,13398,284601628,26586250000000,26586750000000,1,1,1,1,26586000000000,26587000000000,5,1,5,1,26585750000000,26587250000000,2,3,2,3,26585500000000,26587500000000,4,2,4,2,26585250000000,26587750000000,5,3,4,3,26585000000000,26588000000000,9,6,7,6,26584750000000,26588250000000,5,5,4,4,26584500000000,26588500000000,4,4,3,4,26584250000000,26588750000000,6,6,5,5,26584000000000,26589000000000,8,5,7,3,NQ.c.0
