ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-02 13:00:00+00:00,1770037259910348863,10,1,42002475,C,A,3,25476000000000,1,128,13079,36196373,25474500000000,25475250000000,1,1,1,1,25474250000000,25475500000000,1,1,1,1,25474000000000,25475750000000,5,4,5,4,25473750000000,25476000000000,4,2,4,2,25473500000000,25476250000000,1,2,1,2,25473250000000,25476500000000,1,2,1,2,25473000000000,25476750000000,4,3,4,3,25472750000000,25477000000000,4,1,4,1,25472500000000,25477250000000,3,3,3,3,25472250000000,25477500000000,5,1,5,1,NQ.c.0
2026-02-02 13:01:00+00:00,1770037319834957692,10,1,42002475,A,A,0,25470000000000,1,128,12122,36240456,25469250000000,25470000000000,2,1,2,1,25469000000000,25470250000000,1,2,1,2,25468750000000,25470500000000,4,4,4,4,25468500000000,25470750000000,3,2,3,2,25468250000000,25471000000000,4,2,4,2,25468000000000,25471250000000,5,2,5,2,25467750000000,25471500000000,4,3,4,3,25467500000000,25471750000000,5,5,5,5,25467250000000,25472000000000,5,4,5,4,25467000000000,25472250000000,5,4,5,4,NQ.c.0
2026-02-02 13:02:00+00:00,1770037379932606218,10,1,42002475,C,B,0,25465250000000,1,128,12057,36287500,25465000000000,25466000000000,2,1,2,1,25464750000000,25466250000000,3,1,3,1,25464500000000,25466500000000,5,4,5,4,25464250000000,25466750000000,3,5,3,5,25464000000000,25467000000000,6,1,6,1,25463750000000,25467250000000,7,3,7,3,25463500000000,25467500000000,9,3,6,3,25463250000000,25467750000000,6,4,6,4,25463000000000,25468000000000,7,5,5,5,25462750000000,25468250000000,3,6,3,6,NQ.c.0
2026-02-02 13:03:00+00:00,1770037439989305962,10,1,42002475,C,A,0,25460250000000,1,128,12512,36334044,25459500000000,25460500000000,1,1,1,1,25459250000000,25460750000000,3,3,3,3,25459000000000,25461000000000,3,2,3,2,25458750000000,25461250000000,4,3,4,3,25458500000000,25461500000000,6,2,6,2,25458250000000,25461750000000,5,4,5,4,25458000000000,25462000000000,7,5,7,5,25457750000000,25462250000000,6,3,6,3,25457500000000,25462500000000,3,3,3,3,25457250000000,25462750000000,5,3,5,3,NQ.c.0
2026-02-02 13:04:00+00:00,1770037499928223951,10,1,42002475,A,A,0,25463750000000,1,128,12520,36379584,25462750000000,25463750000000,1,3,1,3,25462500000000,25464000000000,4,4,4,4,25462250000000,25464250000000,1,3,1,3,25462000000000,25464500000000,1,6,1,6,25461750000000,25464750000000,1,3,1,3,25461500000000,25465000000000,3,3,3,3,25461250000000,25465250000000,4,2,4,2,25461000000000,25465500000000,3,3,3,3,25460750000000,25465750000000,4,4,3,4,25460500000000,25466000000000,1,6,1,6,NQ.c.0
2026-02-02 13:05:00+00:00,1770037559999168705,10,1,42002475,A,B,3,25458000000000,1,128,11423,36412736,25458750000000,25459750000000,1,3,1,3,25458500000000,25460000000000,3,6,3,6,25458250000000,25460250000000,4,4,4,4,25458000000000,25460500000000,3,2,3,2,25457750000000,25460750000000,3,4,3,4,25457500000000,25461000000000,4,3,4,3,25457250000000,25461250000000,4,4,4,4,25457000000000,25461500000000,5,5,5,5,25456750000000,25461750000000,9,4,5,4,25456500000000,25462000000000,4,9,4,6,NQ.c.0
2026-02-02 13:06:00+00:00,1770037619984012858,10,1,42002475,M,B,7,25467500000000,1,128,12870,36455656,25469250000000,25470000000000,1,1,1,1,25469000000000,25470250000000,1,1,1,1,25468750000000,25470500000000,3,4,3,4,25468500000000,25470750000000,3,3,3,3,25468250000000,25471000000000,2,4,2,4,25468000000000,25471250000000,3,4,3,4,25467750000000,25471500000000,4,4,4,4,25467500000000,25471750000000,3,3,3,3,25467250000000,25472000000000,3,4,3,4,25466750000000,25472250000000,2,4,2,4,NQ.c.0
2026-02-02 13:07:00+00:00,1770037679927230349,10,1,42002475,M,A,0,25486500000000,1,128,11327,36500202,25485500000000,25486500000000,1,3,1,3,25485250000000,25486750000000,1,2,1,2,25485000000000,25487000000000,3,4,3,4,25484750000000,25487250000000,3,8,3,8,25484500000000,25487500000000,2,5,2,4,25484250000000,25487750000000,1,2,1,2,25484000000000,25488000000000,4,3,4,3,25483750000000,25488250000000,4,6,4,5,25483500000000,25488500000000,2,3,2,3,25483250000000,25488750000000,5,3,5,3,NQ.c.0
2026-02-02 13:08:00+00:00,1770037739895487932,10,1,42002475,A,B,0,25490250000000,1,128,11349,36530498,25490250000000,25491000000000,1,1,1,1,25490000000000,25491250000000,2,2,2,2,25489750000000,25491500000000,1,2,1,2,25489500000000,25491750000000,3,2,3,2,25489250000000,25492000000000,2,3,2,3,25489000000000,25492250000000,4,3,4,3,25488750000000,25492500000000,3,1,3,1,25488500000000,25492750000000,4,3,4,3,25488250000000,25493000000000,3,3,3,3,25488000000000,25493250000000,3,9,3,5,NQ.c.0
2026-02-02 13:09:00+00:00,1770037799888791394,10,1,42002475,C,A,0,25481250000000,1,128,11330,36571665,25480500000000,25481500000000,1,4,1,4,25480250000000,25481750000000,2,2,2,2,25480000000000,25482000000000,3,4,3,4,25479750000000,25482250000000,2,3,2,3,25479500000000,25482500000000,2,3,2,3,25479250000000,25482750000000,3,2,3,2,25479000000000,25483000000000,4,2,4,2,25478750000000,25483250000000,5,3,5,3,25478500000000,25483500000000,5,3,5,3,25478250000000,25483750000000,5,4,5,4,NQ.c.0
