ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-22 12:00:00+00:00,1779451259881573400,10,1,42004058,M,A,1,29506500000000,1,128,13919,543118794,29505000000000,29506250000000,2,1,2,1,29504750000000,29506500000000,4,4,4,4,29504500000000,29506750000000,4,4,4,4,29504250000000,29507000000000,3,2,3,2,29504000000000,29507250000000,6,4,5,4,29503750000000,29507500000000,3,3,3,3,29503250000000,29507750000000,2,3,2,3,29502750000000,29508000000000,4,5,4,5,29502500000000,29508250000000,1,2,1,2,29501500000000,29509000000000,1,4,1,4,NQ.c.0
2026-05-22 12:01:00+00:00,1779451319759535249,10,1,42004058,A,B,1,29509750000000,1,128,13007,543146384,29510000000000,29511250000000,3,1,3,1,29509750000000,29512000000000,3,7,3,7,29509500000000,29512250000000,2,3,2,3,29509250000000,29512750000000,2,3,2,3,29509000000000,29513000000000,4,2,4,2,29508750000000,29513250000000,3,2,3,2,29508250000000,29513500000000,3,2,3,2,29508000000000,29513750000000,5,2,5,2,29507750000000,29514000000000,3,4,3,3,29507500000000,29514250000000,3,3,3,3,NQ.c.0
2026-05-22 12:02:00+00:00,1779451379942042169,10,1,42004058,M,A,1,29514250000000,1,128,13058,543171659,29512500000000,29513500000000,1,1,1,1,29512250000000,29514000000000,4,2,4,2,29512000000000,29514250000000,3,3,3,3,29511500000000,29514500000000,2,4,2,4,29511250000000,29514750000000,4,3,4,3,29511000000000,29515000000000,4,3,4,3,29510750000000,29515250000000,3,2,3,2,29510250000000,29515500000000,2,2,2,2,29510000000000,29516000000000,3,4,3,4,29509750000000,29516250000000,2,2,2,2,NQ.c.0
2026-05-22 12:03:00+00:00,1779451439970237136,10,1,42004058,A,B,2,29509250000000,1,128,16196,543207761,29510000000000,29511250000000,1,1,1,1,29509750000000,29511500000000,1,2,1,2,29509250000000,29511750000000,3,3,3,3,29509000000000,29512000000000,4,5,3,5,29508750000000,29512250000000,2,3,2,3,29508500000000,29512500000000,3,2,3,2,29508250000000,29512750000000,5,3,5,3,29508000000000,29513000000000,5,2,5,2,29507750000000,29513500000000,3,2,3,2,29507500000000,29514000000000,4,4,4,4,NQ.c.0
2026-05-22 12:04:00+00:00,1779451499981786470,10,1,42004058,A,B,0,29507500000000,1,128,12925,543227832,29507500000000,29508500000000,1,1,1,1,29507250000000,29508750000000,2,1,2,1,29506750000000,29509000000000,3,5,3,5,29506500000000,29509250000000,2,1,2,1,29506250000000,29509500000000,5,1,5,1,29506000000000,29509750000000,3,2,3,2,29505750000000,29510000000000,3,4,3,4,29505500000000,29510250000000,2,2,2,2,29505250000000,29510500000000,2,3,2,3,29505000000000,29510750000000,3,2,3,2,NQ.c.0
2026-05-22 12:05:00+00:00,1779451559851571175,10,1,42004058,C,A,0,29508250000000,1,128,13080,543248238,29507500000000,29508500000000,2,1,2,1,29507250000000,29508750000000,1,2,1,2,29507000000000,29509000000000,2,3,2,3,29506750000000,29509250000000,3,2,3,2,29506500000000,29509500000000,3,2,3,2,29506250000000,29509750000000,3,3,3,3,29506000000000,29510250000000,2,4,2,4,29505750000000,29510500000000,5,4,5,4,29505500000000,29511000000000,3,2,3,2,29505000000000,29511250000000,3,2,3,2,NQ.c.0
2026-05-22 12:06:00+00:00,1779451619800444752,10,1,42004058,C,B,7,29508250000000,1,128,13833,543263480,29511750000000,29512750000000,1,3,1,3,29511500000000,29513000000000,3,3,2,3,29511000000000,29513250000000,3,3,3,3,29510500000000,29513500000000,2,2,2,2,29510000000000,29513750000000,3,2,3,2,29509000000000,29514000000000,4,4,4,4,29508750000000,29514250000000,2,2,2,2,29508250000000,29514500000000,2,4,2,4,29508000000000,29514750000000,6,2,6,2,29507750000000,29515000000000,3,2,3,2,NQ.c.0
2026-05-22 12:07:00+00:00,1779451679868013659,10,1,42004058,C,A,0,29503250000000,1,128,12663,543288940,29502500000000,29503500000000,1,1,1,1,29502250000000,29503750000000,1,3,1,3,29502000000000,29504000000000,2,6,2,6,29501750000000,29504250000000,2,4,2,4,29501500000000,29504500000000,1,3,1,3,29501250000000,29504750000000,1,3,1,3,29501000000000,29505000000000,1,3,1,3,29500750000000,29505250000000,2,1,2,1,29500500000000,29505500000000,5,2,5,2,29500250000000,29506000000000,2,2,2,2,NQ.c.0
2026-05-22 12:08:00+00:00,1779451739973645015,10,1,42004058,C,A,1,29504000000000,1,128,10015,543313444,29502750000000,29503750000000,1,2,1,2,29502500000000,29504000000000,1,5,1,5,29502250000000,29504250000000,2,4,2,4,29502000000000,29504500000000,3,2,3,2,29501750000000,29504750000000,2,4,2,4,29501500000000,29505000000000,2,2,2,2,29501250000000,29505500000000,3,3,3,3,29501000000000,29506000000000,3,2,3,2,29500750000000,29506250000000,3,3,3,3,29500500000000,29506500000000,3,3,3,3,NQ.c.0
2026-05-22 12:09:00+00:00,1779451799973796345,10,1,42004058,A,B,3,29500500000000,1,128,10940,543332927,29501250000000,29502500000000,1,2,1,2,29501000000000,29502750000000,5,4,5,4,29500750000000,29503000000000,4,3,4,3,29500500000000,29503250000000,3,3,3,3,29500250000000,29503500000000,3,3,3,3,29500000000000,29503750000000,3,3,3,3,29499750000000,29504000000000,3,5,3,5,29499500000000,29504250000000,2,4,2,4,29499250000000,29504500000000,2,5,2,5,29499000000000,29504750000000,2,3,2,3,NQ.c.0
2026-05-22 12:10:00+00:00,1779451859939896150,10,1,42004058,A,A,0,29503750000000,1,128,11343,543360023,29502500000000,29503750000000,2,2,2,2,29502000000000,29504000000000,3,1,3,1,29501750000000,29504250000000,3,3,3,3,29501500000000,29504500000000,3,3,3,3,29501000000000,29504750000000,2,3,2,3,29500500000000,29505000000000,2,3,2,3,29500000000000,29505250000000,3,3,3,3,29499750000000,29505500000000,4,3,4,3,29499500000000,29505750000000,2,4,2,4,29499250000000,29506000000000,1,2,1,2,NQ.c.0
2026-05-22 12:11:00+00:00,1779451919654114192,10,1,42004058,A,B,2,29498500000000,1,128,12751,543383363,29499000000000,29500000000000,2,1,2,1,29498750000000,29500500000000,1,4,1,4,29498500000000,29500750000000,1,2,1,2,29498250000000,29501000000000,5,3,5,3,29498000000000,29501250000000,3,4,3,4,29497750000000,29501500000000,3,2,3,2,29497500000000,29501750000000,4,1,4,1,29497250000000,29502000000000,3,2,3,2,29497000000000,29502250000000,3,2,3,2,29496750000000,29502500000000,2,3,2,3,NQ.c.0
2026-05-22 12:12:00+00:00,1779451979997165964,10,1,42004058,C,A,4,29565000000000,1,128,13295,543608106,29560000000000,29562250000000,1,1,1,1,29559750000000,29562500000000,1,1,1,1,29559500000000,29563000000000,1,3,1,3,29559250000000,29564000000000,1,2,1,2,29559000000000,29565000000000,1,1,1,1,29558750000000,29565250000000,1,1,1,1,29558500000000,29565500000000,2,1,2,1,29558250000000,29566250000000,2,1,2,1,29558000000000,29566750000000,2,1,2,1,29557750000000,29567250000000,10,1,1,1,NQ.c.0
