ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-16 12:00:00+00:00,1773662459800132362,10,1,42002475,C,A,0,24630500000000,1,128,11886,36573165,24629750000000,24630750000000,1,2,1,2,24629500000000,24631000000000,1,6,1,3,24629250000000,24631500000000,2,1,2,1,24629000000000,24631750000000,3,1,3,1,24628750000000,24632000000000,3,5,2,2,24628500000000,24632250000000,1,1,1,1,24628250000000,24632500000000,1,1,1,1,24628000000000,24632750000000,2,1,2,1,24627750000000,24633000000000,1,3,1,3,24627250000000,24633250000000,5,2,2,2,NQ.c.0
2026-03-16 12:01:00+00:00,1773662519994389487,10,1,42002475,M,A,2,24634750000000,1,128,13199,36636563,24633250000000,24634250000000,1,1,1,1,24633000000000,24634500000000,1,1,1,1,24632750000000,24634750000000,2,2,2,2,24632500000000,24635000000000,2,2,2,2,24631750000000,24635250000000,5,2,2,2,24631500000000,24635500000000,2,2,2,2,24631250000000,24635750000000,1,5,1,2,24631000000000,24636250000000,2,5,2,2,24630750000000,24636500000000,2,7,2,3,24630500000000,24636750000000,1,1,1,1,NQ.c.0
2026-03-16 12:02:00+00:00,1773662579905530805,10,1,42002475,C,A,0,24636250000000,1,128,9889,36699821,24635000000000,24636250000000,1,1,1,1,24634500000000,24636500000000,1,2,1,2,24634250000000,24636750000000,3,2,3,2,24634000000000,24637250000000,2,1,2,1,24633500000000,24637500000000,1,4,1,1,24633250000000,24637750000000,1,1,1,1,24633000000000,24638000000000,6,1,3,1,24632500000000,24638250000000,2,1,2,1,24632000000000,24638500000000,1,2,1,2,24631750000000,24638750000000,3,1,3,1,NQ.c.0
2026-03-16 12:03:00+00:00,1773662639988359104,10,1,42002475,A,B,0,24633750000000,1,128,12816,36761534,24633750000000,24635250000000,1,1,1,1,24633500000000,24635500000000,2,2,2,2,24633250000000,24635750000000,1,3,1,3,24633000000000,24636000000000,2,2,2,2,24632500000000,24636250000000,1,5,1,2,24632250000000,24636500000000,3,1,3,1,24632000000000,24636750000000,3,2,3,2,24631750000000,24637000000000,3,2,3,2,24631500000000,24637250000000,1,2,1,2,24631250000000,24637750000000,9,1,6,1,NQ.c.0
2026-03-16 12:04:00+00:00,1773662699959762619,10,1,42002475,C,B,0,24634500000000,1,128,11502,36811436,24634250000000,24635500000000,1,1,1,1,24634000000000,24635750000000,3,2,3,2,24633750000000,24636000000000,1,3,1,3,24633500000000,24636250000000,2,1,2,1,24633000000000,24636500000000,2,1,2,1,24632750000000,24636750000000,2,5,2,2,24632500000000,24637000000000,2,2,2,2,24632000000000,24637250000000,5,1,2,1,24631750000000,24637500000000,2,1,2,1,24631250000000,24637750000000,2,1,2,1,NQ.c.0
2026-03-16 12:05:00+00:00,1773662759927177799,10,1,42002475,C,B,0,24636500000000,1,128,11057,36854080,24636250000000,24637250000000,1,2,1,1,24636000000000,24638000000000,1,2,1,2,24635750000000,24638250000000,2,3,2,3,24635500000000,24638500000000,2,2,2,2,24635250000000,24639000000000,2,1,2,1,24635000000000,24639500000000,1,1,1,1,24634750000000,24639750000000,5,5,2,2,24634500000000,24640000000000,1,30,1,7,24634250000000,24640250000000,2,1,2,1,24634000000000,24640500000000,2,3,2,3,NQ.c.0
2026-03-16 12:06:00+00:00,1773662819978318568,10,1,42002475,A,B,1,24630250000000,1,128,13154,36900992,24630500000000,24632000000000,1,2,1,1,24630250000000,24632250000000,4,3,4,3,24630000000000,24632500000000,2,3,2,3,24629750000000,24632750000000,4,1,3,1,24629500000000,24633500000000,1,4,1,1,24629000000000,24634000000000,1,1,1,1,24628750000000,24634250000000,1,2,1,2,24628500000000,24634500000000,1,1,1,1,24628250000000,24634750000000,6,2,3,2,24628000000000,24635000000000,1,2,1,2,NQ.c.0
2026-03-16 12:07:00+00:00,1773662879798232650,10,1,42002475,M,B,3,24634000000000,1,128,11968,36946525,24634750000000,24636500000000,2,1,2,1,24634500000000,24636750000000,3,2,3,2,24634250000000,24637750000000,3,2,2,2,24634000000000,24638000000000,1,4,1,1,24633500000000,24638250000000,1,1,1,1,24633250000000,24638500000000,1,2,1,2,24633000000000,24638750000000,5,1,2,1,24632750000000,24639000000000,1,2,1,2,24632500000000,24639250000000,1,1,1,1,24632250000000,24639500000000,2,1,2,1,NQ.c.0
2026-03-16 12:08:00+00:00,1773662939876690395,10,1,42002475,A,B,0,24636250000000,1,128,11036,36994265,24636250000000,24637250000000,1,1,1,1,24636000000000,24637500000000,1,1,1,1,24635750000000,24637750000000,4,2,4,2,24635500000000,24638000000000,2,1,2,1,24635250000000,24638250000000,1,3,1,2,24635000000000,24638500000000,1,1,1,1,24634750000000,24638750000000,4,3,1,1,24634500000000,24639250000000,2,2,2,2,24634250000000,24639500000000,1,5,1,2,24633750000000,24639750000000,2,1,2,1,NQ.c.0
2026-03-16 12:09:00+00:00,1773662999979756304,10,1,42002475,A,B,2,24646250000000,1,128,12736,37044149,24646750000000,24647750000000,1,1,1,1,24646500000000,24648000000000,1,1,1,1,24646250000000,24648250000000,2,3,2,3,24646000000000,24648500000000,1,1,1,1,24645750000000,24648750000000,83,1,1,1,24645500000000,24649000000000,1,1,1,1,24645250000000,24649250000000,1,5,1,2,24644750000000,24649500000000,5,5,2,2,24644500000000,24649750000000,1,1,1,1,24644250000000,24650000000000,2,8,2,8,NQ.c.0
