ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-07 12:00:00+00:00,1778155259072699683,10,1,42004058,A,B,0,28722000000000,1,128,13138,275362809,28722000000000,28723000000000,2,2,2,2,28721750000000,28723250000000,3,5,3,5,28721500000000,28723500000000,2,1,2,1,28721250000000,28723750000000,3,1,3,1,28721000000000,28724000000000,3,5,3,5,28720750000000,28724250000000,2,9,2,3,28720500000000,28724500000000,3,5,3,5,28720250000000,28724750000000,3,5,3,5,28720000000000,28725000000000,8,2,7,2,28719750000000,28725250000000,3,4,3,4,NQ.c.0
2026-05-07 12:01:00+00:00,1778155319810564388,10,1,42004058,C,B,0,28723250000000,1,128,12226,275387172,28723250000000,28724000000000,1,1,1,1,28723000000000,28724250000000,3,1,3,1,28722750000000,28724500000000,1,3,1,3,28722500000000,28724750000000,2,1,2,1,28722250000000,28725000000000,3,1,3,1,28722000000000,28725250000000,5,3,5,3,28721750000000,28725750000000,4,4,4,4,28721500000000,28726000000000,3,4,3,4,28721250000000,28726250000000,3,4,3,4,28721000000000,28726500000000,3,4,3,4,NQ.c.0
2026-05-07 12:02:00+00:00,1778155379294132579,10,1,42004058,M,A,2,28720250000000,1,128,11178,275413813,28719000000000,28719750000000,2,1,2,1,28718750000000,28720000000000,5,1,5,1,28718500000000,28720250000000,3,3,3,3,28718250000000,28720500000000,3,3,3,3,28718000000000,28720750000000,1,3,1,3,28717750000000,28721000000000,4,4,4,4,28717500000000,28721250000000,4,5,3,5,28717250000000,28721500000000,3,3,3,3,28717000000000,28721750000000,4,3,4,3,28716750000000,28722250000000,4,7,4,5,NQ.c.0
2026-05-07 12:03:00+00:00,1778155439917324590,10,1,42004058,A,B,0,28722500000000,1,128,12649,275435662,28722500000000,28723250000000,1,1,1,1,28722250000000,28723500000000,2,1,2,1,28722000000000,28723750000000,4,3,4,3,28721750000000,28724000000000,2,4,2,4,28721500000000,28724250000000,3,3,3,3,28721250000000,28724500000000,4,4,4,4,28721000000000,28724750000000,2,3,2,3,28720750000000,28725000000000,2,4,2,4,28720500000000,28725250000000,3,3,3,3,28720250000000,28725750000000,1,3,1,3,NQ.c.0
2026-05-07 12:04:00+00:00,1778155499986444698,10,1,42004058,A,A,0,28725500000000,1,128,10327,275459104,28724500000000,28725500000000,2,1,2,1,28724250000000,28725750000000,2,1,2,1,28724000000000,28726000000000,5,3,5,3,28723750000000,28726250000000,5,3,5,3,28723500000000,28726500000000,4,4,4,4,28723250000000,28726750000000,2,3,2,3,28723000000000,28727000000000,2,2,2,2,28722750000000,28727250000000,3,3,3,3,28722500000000,28727500000000,1,4,1,4,28722250000000,28727750000000,2,3,2,3,NQ.c.0
2026-05-07 12:05:00+00:00,1778155559702982321,10,1,42004058,C,A,0,28722250000000,1,128,12352,275483733,28721500000000,28722500000000,1,1,1,1,28721250000000,28722750000000,3,1,3,1,28721000000000,28723000000000,3,2,3,2,28720750000000,28723250000000,2,5,2,5,28720500000000,28723500000000,3,3,3,3,28720250000000,28723750000000,3,4,3,4,28720000000000,28724000000000,5,6,5,6,28719750000000,28724500000000,4,3,4,3,28719500000000,28724750000000,4,4,4,4,28719250000000,28725250000000,3,1,3,1,NQ.c.0
2026-05-07 12:06:00+00:00,1778155619977456838,10,1,42004058,M,B,4,28721500000000,1,128,10869,275507391,28722500000000,28723250000000,2,1,2,1,28722250000000,28723500000000,4,2,4,2,28722000000000,28723750000000,3,3,3,3,28721750000000,28724000000000,4,5,4,5,28721500000000,28724250000000,25,2,6,2,28721250000000,28724500000000,4,4,4,4,28721000000000,28724750000000,2,2,2,2,28720750000000,28725000000000,2,4,2,3,28720500000000,28725250000000,3,4,3,4,28720250000000,28725500000000,1,2,1,2,NQ.c.0
2026-05-07 12:07:00+00:00,1778155679978616230,10,1,42004058,A,A,4,28734000000000,1,128,12877,275534422,28732250000000,28733000000000,2,2,2,2,28732000000000,28733250000000,2,5,2,5,28731750000000,28733500000000,4,4,4,4,28731500000000,28733750000000,4,3,4,3,28731250000000,28734000000000,5,5,5,5,28731000000000,28734250000000,4,4,4,4,28730750000000,28734500000000,3,4,3,4,28730500000000,28734750000000,3,3,3,3,28730250000000,28735000000000,4,5,4,5,28730000000000,28735250000000,3,3,3,3,NQ.c.0
2026-05-07 12:08:00+00:00,1778155739973368076,10,1,42004058,A,A,6,28735500000000,1,128,15582,275563713,28733250000000,28734000000000,1,1,1,1,28733000000000,28734250000000,7,2,7,2,28732750000000,28734500000000,3,3,3,3,28732500000000,28734750000000,5,3,5,3,28732250000000,28735000000000,4,2,4,2,28732000000000,28735250000000,6,3,6,3,28731750000000,28735500000000,1,3,1,3,28731250000000,28735750000000,3,4,3,4,28731000000000,28736000000000,5,6,5,6,28730750000000,28736250000000,6,4,6,4,NQ.c.0
2026-05-07 12:09:00+00:00,1778155799941756943,10,1,42004058,C,B,0,28735250000000,1,128,10848,275580464,28735250000000,28736000000000,2,2,2,2,28735000000000,28736500000000,3,3,3,3,28734750000000,28736750000000,3,4,3,4,28734500000000,28737000000000,5,4,5,4,28734250000000,28737250000000,2,4,2,4,28734000000000,28737500000000,4,3,4,3,28733750000000,28737750000000,1,4,1,4,28733500000000,28738000000000,2,7,2,7,28733250000000,28738250000000,4,2,4,2,28733000000000,28738500000000,4,3,4,3,NQ.c.0
2026-05-07 12:10:00+00:00,1778155859660742928,10,1,42004058,A,B,0,28735500000000,1,128,12783,275614684,28735500000000,28736250000000,1,2,1,2,28735250000000,28736500000000,3,4,3,4,28735000000000,28736750000000,4,2,4,2,28734750000000,28737000000000,4,4,4,4,28734500000000,28737250000000,4,1,4,1,28734250000000,28737500000000,1,3,1,3,28734000000000,28737750000000,3,6,3,6,28733750000000,28738000000000,3,5,3,5,28733500000000,28738250000000,3,5,3,5,28733250000000,28738500000000,3,5,3,5,NQ.c.0
2026-05-07 12:11:00+00:00,1778155919927326787,10,1,42004058,A,B,0,28741500000000,1,128,14891,275644019,28741500000000,28742500000000,2,1,2,1,28741250000000,28742750000000,4,3,4,3,28741000000000,28743000000000,1,2,1,2,28740750000000,28743250000000,1,4,1,3,28740500000000,28743500000000,4,2,4,2,28740250000000,28743750000000,4,4,4,2,28740000000000,28744000000000,7,7,6,7,28739750000000,28744250000000,4,3,4,3,28739500000000,28744500000000,3,3,3,3,28739250000000,28744750000000,22,3,3,3,NQ.c.0
2026-05-07 12:12:00+00:00,1778155979885686046,10,1,42004058,A,A,4,28745000000000,1,128,12734,275672924,28743250000000,28744000000000,1,1,1,1,28743000000000,28744250000000,2,5,2,4,28742750000000,28744500000000,4,3,4,3,28742500000000,28744750000000,4,2,4,2,28742250000000,28745000000000,4,3,4,3,28742000000000,28745250000000,25,4,7,4,28741750000000,28745500000000,4,4,4,4,28741500000000,28745750000000,4,4,4,4,28741000000000,28746000000000,3,3,3,3,28740750000000,28746250000000,1,5,1,5,NQ.c.0
2026-05-07 12:13:00+00:00,1778156039978044622,10,1,42004058,A,B,1,28740250000000,1,128,15052,275696076,28740500000000,28741250000000,2,2,2,2,28740250000000,28741500000000,3,3,3,3,28740000000000,28741750000000,2,3,2,3,28739750000000,28742000000000,4,2,4,2,28739500000000,28742250000000,3,2,3,2,28739250000000,28742500000000,2,3,2,3,28739000000000,28742750000000,4,2,4,2,28738750000000,28743000000000,4,2,4,2,28738500000000,28743250000000,3,5,3,5,28738250000000,28743500000000,3,3,3,3,NQ.c.0
2026-05-07 12:14:00+00:00,1778156099977180254,10,1,42004058,M,B,3,28737750000000,2,128,12642,275718728,28740250000000,28741250000000,1,2,1,2,28740000000000,28741500000000,5,3,5,3,28739750000000,28741750000000,4,4,4,4,28739500000000,28742000000000,3,3,3,2,28739250000000,28742250000000,3,1,3,1,28739000000000,28742500000000,3,3,3,3,28738750000000,28742750000000,6,2,6,2,28738500000000,28743000000000,4,2,4,2,28738250000000,28743250000000,4,1,4,1,28738000000000,28743500000000,6,4,6,4,NQ.c.0
2026-05-07 12:15:00+00:00,1778156159907328591,10,1,42004058,C,A,4,28738500000000,1,128,18389,275745177,28736750000000,28737500000000,1,1,1,1,28736500000000,28737750000000,2,1,2,1,28736250000000,28738000000000,3,4,3,4,28736000000000,28738250000000,3,3,3,3,28735750000000,28738500000000,4,2,4,2,28735500000000,28738750000000,3,2,3,2,28735250000000,28739000000000,3,1,3,1,28735000000000,28739250000000,5,3,5,3,28734750000000,28739500000000,5,1,5,1,28734500000000,28739750000000,4,4,4,4,NQ.c.0
2026-05-07 12:16:00+00:00,1778156219995928918,10,1,42004058,M,A,4,28817500000000,1,128,12754,275766429,28740750000000,28741500000000,1,1,1,1,28740500000000,28741750000000,4,3,4,3,28740250000000,28742000000000,3,2,3,2,28740000000000,28742250000000,4,1,4,1,28739750000000,28742500000000,4,3,4,3,28739250000000,28742750000000,3,3,3,3,28739000000000,28743000000000,1,2,1,2,28738750000000,28743250000000,3,4,3,4,28738500000000,28743500000000,4,5,4,5,28738250000000,28743750000000,4,3,4,3,NQ.c.0
2026-05-07 12:17:00+00:00,1778156279953710129,10,1,42004058,C,B,0,28734500000000,1,128,11902,275796812,28734250000000,28735250000000,1,1,1,1,28734000000000,28735500000000,6,1,6,1,28733750000000,28735750000000,5,2,1,2,28733500000000,28736000000000,2,4,2,4,28733250000000,28736250000000,2,2,2,2,28733000000000,28736500000000,3,4,3,4,28732750000000,28736750000000,3,3,3,3,28732500000000,28737000000000,2,3,2,3,28732250000000,28737250000000,2,4,2,4,28732000000000,28737500000000,10,2,7,2,NQ.c.0
2026-05-07 12:18:00+00:00,1778156339854232460,10,1,42004058,C,B,1,28733250000000,1,128,10906,275819528,28733500000000,28734250000000,2,2,2,2,28733250000000,28734500000000,4,4,1,4,28733000000000,28734750000000,2,4,2,4,28732750000000,28735000000000,2,3,2,3,28732500000000,28735250000000,2,5,2,5,28732250000000,28735500000000,2,6,2,6,28732000000000,28735750000000,11,7,8,7,28731750000000,28736000000000,3,8,3,8,28731500000000,28736250000000,3,2,3,2,28731250000000,28736500000000,5,4,4,4,NQ.c.0
2026-05-07 12:19:00+00:00,1778156399657909807,10,1,42004058,A,B,1,28728750000000,1,128,13418,275848238,28729000000000,28729750000000,2,2,2,2,28728750000000,28730000000000,6,3,4,3,28728500000000,28730250000000,4,14,4,5,28728250000000,28730500000000,6,3,6,3,28728000000000,28730750000000,4,4,4,4,28727750000000,28731000000000,2,4,2,4,28727500000000,28731250000000,3,3,3,3,28727250000000,28731500000000,2,3,2,3,28727000000000,28731750000000,3,4,3,4,28726750000000,28732000000000,2,4,2,4,NQ.c.0
2026-05-07 12:20:00+00:00,1778156459881498034,10,1,42004058,M,A,5,29301250000000,1,128,13253,275891263,28734500000000,28735000000000,1,1,1,1,28734250000000,28735250000000,2,1,2,1,28734000000000,28735500000000,4,3,4,3,28733750000000,28735750000000,1,3,1,3,28733500000000,28736000000000,2,7,2,7,28733250000000,28736250000000,3,10,3,3,28733000000000,28736500000000,5,4,5,4,28732750000000,28736750000000,2,4,2,4,28732500000000,28737000000000,3,5,3,5,28732000000000,28737250000000,5,6,5,4,NQ.c.0
2026-05-07 12:21:00+00:00,1778156519890962433,10,1,42004058,M,B,3,28656250000000,1,128,11589,275922650,28731750000000,28732500000000,2,1,2,1,28731500000000,28732750000000,3,2,3,2,28731250000000,28733000000000,4,3,4,3,28731000000000,28733250000000,3,4,3,4,28730750000000,28733500000000,2,3,2,3,28730500000000,28733750000000,1,4,1,4,28730250000000,28734000000000,2,5,2,5,28730000000000,28734250000000,2,5,2,4,28729750000000,28734500000000,2,2,2,2,28729500000000,28734750000000,1,3,1,3,NQ.c.0
2026-05-07 12:22:00+00:00,1778156579879580084,10,1,42004058,C,A,0,28726000000000,1,128,11249,275960147,28725250000000,28726000000000,1,1,1,1,28725000000000,28726250000000,1,5,1,1,28724750000000,28726500000000,3,3,3,3,28724500000000,28726750000000,3,3,3,3,28724250000000,28727000000000,3,3,3,3,28724000000000,28727250000000,6,3,6,3,28723750000000,28727500000000,3,4,3,4,28723500000000,28728000000000,1,4,1,4,28723250000000,28728500000000,2,5,2,5,28723000000000,28728750000000,3,4,3,4,NQ.c.0
2026-05-07 12:23:00+00:00,1778156639931459848,10,1,42004058,M,A,0,28723500000000,1,128,12420,275993420,28722750000000,28723500000000,2,2,2,2,28722500000000,28723750000000,3,2,3,2,28722250000000,28724000000000,2,3,2,3,28722000000000,28724250000000,4,3,4,3,28721750000000,28724500000000,7,3,4,3,28721500000000,28724750000000,3,2,3,2,28721250000000,28725000000000,2,3,2,3,28721000000000,28725250000000,9,4,4,4,28720750000000,28725500000000,5,4,4,4,28720500000000,28725750000000,5,4,5,4,NQ.c.0
2026-05-07 12:24:00+00:00,1778156699941370055,10,1,42004058,C,B,0,28727000000000,1,128,11098,276025152,28726750000000,28727500000000,1,1,1,1,28726500000000,28727750000000,3,2,3,2,28726250000000,28728000000000,3,3,3,3,28726000000000,28728250000000,2,3,2,3,28725750000000,28728500000000,3,4,3,4,28725500000000,28728750000000,3,5,3,5,28725000000000,28729000000000,4,5,4,4,28724750000000,28729250000000,2,3,2,3,28724500000000,28729500000000,3,3,3,3,28724000000000,28729750000000,4,1,4,1,NQ.c.0
