ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-01 12:00:00+00:00,1777636859718470771,10,1,42004058,M,B,4,27570000000000,1,128,11217,384099003,27571000000000,27571750000000,2,2,2,2,27570750000000,27572000000000,4,3,4,3,27570500000000,27572250000000,4,4,4,4,27570250000000,27572500000000,3,13,3,5,27570000000000,27572750000000,72,3,3,3,27569750000000,27573000000000,5,5,5,4,27569500000000,27573250000000,2,1,2,1,27569250000000,27573500000000,4,2,4,2,27569000000000,27573750000000,5,1,4,1,27568750000000,27574000000000,3,2,3,2,NQ.c.0
2026-05-01 12:01:00+00:00,1777636919922390428,10,1,42004058,A,A,0,27569000000000,1,128,14289,384127698,27568500000000,27569000000000,1,1,1,1,27568250000000,27569250000000,2,1,2,1,27568000000000,27569500000000,5,5,5,5,27567750000000,27569750000000,1,3,1,3,27567500000000,27570000000000,3,2,3,2,27567250000000,27570250000000,2,2,2,2,27567000000000,27570500000000,4,2,4,2,27566750000000,27570750000000,5,3,5,3,27566500000000,27571000000000,4,3,4,3,27566250000000,27571250000000,5,2,5,2,NQ.c.0
2026-05-01 12:02:00+00:00,1777636979887198996,10,1,42004058,A,A,5,27570000000000,1,128,14206,384144331,27567750000000,27568750000000,1,1,1,1,27567250000000,27569000000000,3,3,3,3,27567000000000,27569250000000,6,3,6,3,27566750000000,27569500000000,6,2,6,2,27566500000000,27569750000000,4,3,4,3,27566250000000,27570000000000,5,3,5,3,27566000000000,27570250000000,5,2,5,2,27565500000000,27570500000000,3,4,3,4,27565250000000,27570750000000,4,5,4,5,27565000000000,27571000000000,3,3,3,3,NQ.c.0
2026-05-01 12:03:00+00:00,1777637039866829977,10,1,42004058,M,B,2,27492500000000,1,128,13732,384161168,27568500000000,27569250000000,1,2,1,2,27568250000000,27569500000000,2,2,2,2,27568000000000,27569750000000,3,3,3,3,27567750000000,27570000000000,3,2,3,2,27567500000000,27570250000000,2,1,2,1,27567250000000,27570500000000,3,3,3,3,27567000000000,27570750000000,3,1,3,1,27566750000000,27571000000000,4,2,4,2,27566500000000,27571250000000,3,3,3,3,27566250000000,27571500000000,4,2,4,2,NQ.c.0
2026-05-01 12:04:00+00:00,1777637099991324364,10,1,42004058,A,A,0,27571750000000,1,128,10925,384175566,27571000000000,27571750000000,2,1,2,1,27570750000000,27572000000000,4,2,4,2,27570500000000,27572250000000,3,4,3,4,27570250000000,27572500000000,3,3,3,3,27570000000000,27572750000000,1,4,1,4,27569750000000,27573000000000,5,6,5,6,27569500000000,27573250000000,2,2,2,2,27569250000000,27573500000000,2,2,2,2,27569000000000,27573750000000,3,1,3,1,27568750000000,27574000000000,4,3,4,3,NQ.c.0
2026-05-01 12:05:00+00:00,1777637159992635827,10,1,42004058,A,B,4,27567500000000,1,128,13187,384189996,27568500000000,27569250000000,1,1,1,1,27568250000000,27569500000000,4,2,4,2,27568000000000,27569750000000,4,3,4,3,27567750000000,27570000000000,1,2,1,2,27567500000000,27570250000000,3,2,3,2,27567250000000,27570500000000,4,3,4,3,27567000000000,27570750000000,4,3,4,3,27566750000000,27571000000000,4,4,4,4,27566500000000,27571250000000,4,2,4,2,27566250000000,27571500000000,4,2,4,2,NQ.c.0
2026-05-01 12:06:00+00:00,1777637219968385036,10,1,42004058,C,A,1,27570250000000,1,128,10873,384203584,27569250000000,27570000000000,1,1,1,1,27569000000000,27570250000000,1,2,1,2,27568750000000,27570500000000,1,5,1,5,27568500000000,27570750000000,3,3,3,3,27568250000000,27571000000000,4,3,4,3,27568000000000,27571250000000,5,1,5,1,27567750000000,27571500000000,3,3,3,3,27567500000000,27571750000000,4,3,4,3,27567250000000,27572000000000,3,6,3,6,27567000000000,27572250000000,5,3,5,3,NQ.c.0
2026-05-01 12:07:00+00:00,1777637279955203484,10,1,42004058,A,A,0,27562250000000,1,128,11407,384220092,27561250000000,27562250000000,2,2,1,2,27561000000000,27562500000000,4,6,4,6,27560250000000,27562750000000,3,3,3,3,27560000000000,27563000000000,4,2,4,2,27559750000000,27563250000000,2,3,2,3,27559500000000,27563500000000,3,3,3,3,27559250000000,27563750000000,2,2,2,2,27559000000000,27564000000000,3,5,3,5,27558750000000,27564250000000,3,4,3,4,27558500000000,27564500000000,4,2,4,2,NQ.c.0
2026-05-01 12:08:00+00:00,1777637339955369165,10,1,42004058,A,A,2,27555500000000,1,128,13057,384253804,27554000000000,27555000000000,1,1,1,1,27553750000000,27555250000000,2,2,2,2,27553500000000,27555500000000,4,2,4,2,27553250000000,27555750000000,4,2,4,2,27553000000000,27556000000000,3,5,3,5,27552750000000,27556250000000,4,2,4,2,27552500000000,27556500000000,3,2,3,2,27552250000000,27556750000000,4,2,4,2,27552000000000,27557000000000,6,3,6,3,27551750000000,27557250000000,5,5,5,5,NQ.c.0
2026-05-01 12:09:00+00:00,1777637399913158709,10,1,42004058,C,A,0,27554250000000,1,128,11086,384273616,27553250000000,27554250000000,1,1,1,1,27553000000000,27554500000000,1,1,1,1,27552750000000,27554750000000,3,3,3,3,27552500000000,27555000000000,3,2,3,2,27552250000000,27555250000000,3,4,3,4,27552000000000,27555500000000,3,1,3,1,27551750000000,27555750000000,4,3,4,3,27551500000000,27556000000000,3,4,3,4,27551250000000,27556250000000,2,3,2,3,27551000000000,27556500000000,5,2,5,2,NQ.c.0
