ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-25 12:00:00+00:00,1782388859956620531,10,1,42004177,A,B,1,30126250000000,1,128,16085,475473767,30126500000000,30128000000000,2,2,2,2,30126250000000,30128250000000,3,2,3,2,30126000000000,30128500000000,2,1,2,1,30125750000000,30128750000000,3,1,3,1,30125500000000,30129000000000,3,1,3,1,30125250000000,30129250000000,5,1,5,1,30125000000000,30129750000000,3,1,3,1,30124750000000,30130000000000,3,1,3,1,30124500000000,30130250000000,2,2,2,2,30124000000000,30130500000000,4,1,4,1,NQ.c.0
2026-06-25 12:01:00+00:00,1782388919966050548,10,1,42004177,A,B,0,30125750000000,1,128,12457,475509923,30125750000000,30126750000000,1,1,1,1,30125500000000,30127000000000,3,1,3,1,30125250000000,30127250000000,4,3,4,3,30125000000000,30127500000000,2,1,2,1,30124750000000,30127750000000,3,2,3,2,30124500000000,30128000000000,2,3,2,3,30124250000000,30128250000000,2,2,2,2,30124000000000,30128500000000,1,1,1,1,30123750000000,30128750000000,3,2,3,2,30123500000000,30129250000000,2,1,2,1,NQ.c.0
2026-06-25 12:02:00+00:00,1782388979997238225,10,1,42004177,M,B,2,30130500000000,1,128,12211,475542756,30131000000000,30132250000000,1,3,1,3,30130750000000,30132500000000,2,3,2,3,30130500000000,30132750000000,2,1,2,1,30130250000000,30133000000000,3,2,3,2,30130000000000,30133250000000,4,2,4,2,30129750000000,30133750000000,3,3,3,3,30129500000000,30134000000000,3,2,3,2,30129250000000,30134250000000,3,2,3,2,30129000000000,30134500000000,2,3,2,3,30128500000000,30134750000000,2,3,2,3,NQ.c.0
2026-06-25 12:03:00+00:00,1782389039762305363,10,1,42004177,C,B,1,30132250000000,1,128,13278,475582906,30132500000000,30133750000000,1,1,1,1,30132250000000,30134000000000,1,2,1,2,30132000000000,30134250000000,2,3,2,3,30131750000000,30134500000000,2,2,2,2,30131500000000,30134750000000,4,5,4,5,30131250000000,30135000000000,4,4,4,4,30131000000000,30135250000000,2,3,2,3,30130750000000,30135500000000,1,4,1,4,30130500000000,30135750000000,1,4,1,4,30130250000000,30136000000000,2,6,2,6,NQ.c.0
2026-06-25 12:04:00+00:00,1782389099957215590,10,1,42004177,M,B,1,30143500000000,1,128,12427,475612392,30143750000000,30145000000000,1,2,1,2,30143500000000,30145250000000,2,1,2,1,30143250000000,30145500000000,3,4,3,4,30143000000000,30145750000000,2,6,2,5,30142750000000,30146000000000,3,4,3,4,30142500000000,30146250000000,2,3,2,3,30142000000000,30146500000000,3,2,3,2,30141750000000,30146750000000,4,2,4,2,30141500000000,30147000000000,1,3,1,3,30141000000000,30147250000000,1,1,1,1,NQ.c.0
2026-06-25 12:05:00+00:00,1782389159900903655,10,1,42004177,M,B,2,30158000000000,1,128,12947,475656585,30158750000000,30159750000000,3,1,3,1,30158500000000,30160000000000,5,1,5,1,30158000000000,30160500000000,1,2,1,2,30157500000000,30160750000000,4,2,4,2,30157250000000,30161000000000,3,2,3,2,30157000000000,30161250000000,4,4,4,4,30156750000000,30161500000000,2,3,2,3,30156500000000,30161750000000,2,4,2,4,30156000000000,30162000000000,3,6,3,4,30155750000000,30162250000000,5,3,5,3,NQ.c.0
2026-06-25 12:06:00+00:00,1782389219867873891,10,1,42004177,C,A,1,30157500000000,1,128,12821,475691671,30155750000000,30157250000000,1,2,1,2,30155500000000,30157500000000,2,2,2,2,30154250000000,30157750000000,2,3,2,3,30154000000000,30158000000000,3,1,3,1,30153750000000,30158250000000,6,3,6,3,30153500000000,30158500000000,5,3,5,3,30152500000000,30158750000000,3,3,3,3,30152250000000,30159000000000,5,3,5,3,30152000000000,30159250000000,7,2,7,2,30151750000000,30159500000000,2,2,2,1,NQ.c.0
2026-06-25 12:07:00+00:00,1782389279991382783,10,1,42004177,A,A,0,30160000000000,1,128,11038,475718907,30158750000000,30160000000000,1,1,1,1,30158500000000,30160250000000,2,1,2,1,30158250000000,30160500000000,4,2,4,2,30158000000000,30160750000000,3,1,3,1,30157500000000,30161000000000,3,2,3,2,30157250000000,30161500000000,4,3,4,3,30157000000000,30161750000000,2,4,2,4,30156750000000,30162000000000,2,4,2,4,30156250000000,30162500000000,2,2,2,2,30156000000000,30162750000000,3,5,3,5,NQ.c.0
2026-06-25 12:08:00+00:00,1782389339953477230,10,1,42004177,A,A,3,30178500000000,1,128,15565,475765949,30176250000000,30177500000000,2,2,2,2,30176000000000,30178000000000,3,2,3,2,30175750000000,30178250000000,3,2,3,2,30175000000000,30178500000000,3,2,3,2,30174750000000,30178750000000,3,1,3,1,30174500000000,30179000000000,3,1,3,1,30174250000000,30179250000000,3,3,3,3,30174000000000,30179750000000,1,4,1,4,30173750000000,30180000000000,1,4,1,4,30173500000000,30180250000000,1,2,1,2,NQ.c.0
2026-06-25 12:09:00+00:00,1782389399935511666,10,1,42004177,A,B,0,30167250000000,1,128,11079,475796107,30167250000000,30168250000000,1,1,1,1,30167000000000,30168500000000,2,3,2,3,30166750000000,30168750000000,4,3,4,3,30166500000000,30169000000000,4,2,4,2,30166250000000,30169250000000,4,2,4,2,30166000000000,30169500000000,5,2,5,2,30165750000000,30169750000000,1,1,1,1,30165250000000,30170000000000,2,2,2,2,30165000000000,30170250000000,2,3,2,3,30164750000000,30170500000000,5,3,5,3,NQ.c.0
