ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-07-01 12:00:00+00:00,1782907259970309393,10,1,42004177,A,B,2,30360000000000,1,128,13134,241713677,30360500000000,30361500000000,1,1,1,1,30360250000000,30361750000000,1,2,1,2,30360000000000,30362000000000,4,1,4,1,30359750000000,30362250000000,4,3,4,3,30359500000000,30362500000000,2,4,2,4,30359250000000,30362750000000,2,4,2,4,30359000000000,30363000000000,5,3,5,3,30358500000000,30363500000000,2,1,2,1,30358250000000,30363750000000,2,2,2,2,30358000000000,30364000000000,3,3,3,3,NQ.c.0
2026-07-01 12:01:00+00:00,1782907319939221609,10,1,42004177,A,A,1,30358750000000,1,128,12971,241755779,30357250000000,30358500000000,1,1,1,1,30357000000000,30358750000000,4,3,4,3,30356500000000,30359000000000,2,3,2,3,30356250000000,30359250000000,2,3,2,2,30356000000000,30359500000000,4,2,4,2,30355750000000,30359750000000,4,3,4,3,30355500000000,30360000000000,4,3,4,3,30355250000000,30360250000000,2,3,2,3,30355000000000,30360750000000,1,1,1,1,30354750000000,30361000000000,3,1,3,1,NQ.c.0
2026-07-01 12:02:00+00:00,1782907379997697038,10,1,42004177,M,B,2,30342750000000,1,128,12601,241804502,30343250000000,30344500000000,1,1,1,1,30343000000000,30345000000000,2,2,2,2,30342750000000,30345250000000,3,2,3,2,30342500000000,30345500000000,2,3,2,3,30342250000000,30345750000000,2,3,2,3,30342000000000,30346000000000,3,3,3,3,30341750000000,30346500000000,3,1,3,1,30341500000000,30346750000000,3,2,3,2,30341250000000,30347000000000,2,3,2,3,30341000000000,30347250000000,2,1,2,1,NQ.c.0
2026-07-01 12:03:00+00:00,1782907439775144034,10,1,42004177,M,B,0,30270250000000,1,128,10955,241837126,30345750000000,30347000000000,1,3,1,1,30345500000000,30347750000000,3,5,3,5,30345250000000,30348000000000,2,5,2,5,30344750000000,30348250000000,1,2,1,2,30344250000000,30348500000000,3,2,3,2,30344000000000,30348750000000,3,4,3,4,30343750000000,30349250000000,3,1,3,1,30343500000000,30349750000000,2,2,2,2,30343250000000,30350000000000,2,10,2,6,30343000000000,30350250000000,4,2,4,1,NQ.c.0
2026-07-01 12:04:00+00:00,1782907499999945996,10,1,42004177,C,B,0,30340750000000,1,128,11132,241868411,30340750000000,30342000000000,1,1,1,1,30340500000000,30342250000000,4,3,4,3,30340250000000,30342500000000,3,3,3,3,30340000000000,30342750000000,4,2,4,2,30339750000000,30343000000000,4,2,4,2,30339250000000,30343500000000,1,2,1,2,30339000000000,30343750000000,3,3,3,3,30338500000000,30344000000000,3,2,3,2,30338000000000,30344250000000,8,3,6,3,30337750000000,30344500000000,3,2,3,2,NQ.c.0
2026-07-01 12:05:00+00:00,1782907559917075428,10,1,42004177,A,B,2,30346500000000,1,128,12275,241914158,30347250000000,30348000000000,1,1,1,1,30346750000000,30348250000000,2,1,2,1,30346500000000,30348500000000,1,5,1,5,30346250000000,30348750000000,3,5,3,5,30346000000000,30349000000000,3,3,3,3,30345750000000,30349250000000,4,5,4,5,30345500000000,30349500000000,3,4,3,4,30345250000000,30349750000000,3,5,3,4,30345000000000,30350000000000,3,11,3,7,30344750000000,30350250000000,2,3,2,2,NQ.c.0
2026-07-01 12:06:00+00:00,1782907619565093994,10,1,42004177,M,A,1,30338750000000,1,128,13681,241949583,30337250000000,30338500000000,1,1,1,1,30337000000000,30338750000000,1,5,1,5,30336500000000,30339000000000,4,2,4,2,30336250000000,30339250000000,4,2,4,1,30336000000000,30339750000000,6,2,6,2,30335750000000,30340000000000,3,4,3,4,30335500000000,30340250000000,2,2,2,2,30335250000000,30340500000000,2,2,2,2,30335000000000,30340750000000,1,3,1,3,30334750000000,30341000000000,1,4,1,4,NQ.c.0
2026-07-01 12:07:00+00:00,1782907679242319286,10,1,42004177,C,A,0,30338000000000,1,128,10382,241993318,30337000000000,30338250000000,1,1,1,1,30336500000000,30338500000000,3,1,3,1,30336250000000,30338750000000,4,2,4,2,30336000000000,30339250000000,4,3,4,3,30335750000000,30339500000000,3,3,3,3,30335250000000,30339750000000,3,4,3,4,30335000000000,30340000000000,1,4,1,3,30334750000000,30340250000000,2,2,2,2,30334500000000,30340750000000,1,1,1,1,30334250000000,30341000000000,3,1,3,1,NQ.c.0
2026-07-01 12:08:00+00:00,1782907739974068994,10,1,42004177,A,A,2,30350000000000,1,128,13250,242026428,30348250000000,30349250000000,1,1,1,1,30348000000000,30349500000000,1,1,1,1,30347750000000,30350000000000,3,3,3,3,30347500000000,30350250000000,2,2,2,2,30347250000000,30350500000000,3,4,3,4,30347000000000,30350750000000,2,2,2,2,30346750000000,30351000000000,2,3,2,3,30346250000000,30351500000000,2,3,2,3,30346000000000,30351750000000,1,4,1,4,30345750000000,30352000000000,2,6,2,6,NQ.c.0
2026-07-01 12:09:00+00:00,1782907799675035438,10,1,42004177,C,B,0,30355500000000,1,128,11118,242054506,30355500000000,30356500000000,1,1,1,1,30355250000000,30356750000000,2,1,2,1,30355000000000,30357000000000,2,2,2,2,30354750000000,30357250000000,3,2,3,2,30354500000000,30357500000000,2,4,2,4,30354250000000,30357750000000,2,2,2,2,30354000000000,30358000000000,2,4,2,4,30353750000000,30358250000000,2,3,2,3,30353500000000,30358500000000,1,2,1,2,30353000000000,30358750000000,2,2,2,2,NQ.c.0
