ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-10 12:00:00+00:00,1773144059999400379,10,1,42002475,A,B,6,24965750000000,1,128,11949,194976813,24967250000000,24968000000000,1,1,1,1,24967000000000,24968250000000,2,1,2,1,24966750000000,24968500000000,2,1,2,1,24966500000000,24968750000000,3,3,3,3,24966250000000,24969250000000,2,2,2,2,24966000000000,24969500000000,3,3,3,3,24965750000000,24969750000000,2,3,2,3,24965500000000,24970000000000,3,3,3,3,24965250000000,24970250000000,3,1,3,1,24965000000000,24970500000000,4,2,4,2,NQ.c.0
2026-03-10 12:01:00+00:00,1773144119913506135,10,1,42002475,C,B,2,24950250000000,1,128,13622,195045922,24950750000000,24951750000000,2,1,2,1,24950500000000,24952000000000,2,1,2,1,24950250000000,24952250000000,2,2,2,2,24950000000000,24952500000000,13,2,7,2,24949750000000,24952750000000,1,1,1,1,24949500000000,24953000000000,1,1,1,1,24949250000000,24953250000000,2,1,2,1,24949000000000,24953500000000,2,1,2,1,24948750000000,24953750000000,1,2,1,2,24948500000000,24954000000000,1,4,1,4,NQ.c.0
2026-03-10 12:02:00+00:00,1773144179933999747,10,1,42002475,A,B,9,24945500000000,1,128,12337,195109622,24947750000000,24948750000000,1,1,1,1,24947500000000,24949000000000,2,2,2,2,24947250000000,24949250000000,2,3,2,3,24947000000000,24949500000000,1,1,1,1,24946750000000,24949750000000,1,2,1,2,24946500000000,24950000000000,2,3,2,3,24946250000000,24950250000000,1,2,1,2,24946000000000,24950500000000,6,2,6,2,24945750000000,24950750000000,3,2,3,2,24945500000000,24951000000000,5,2,5,2,NQ.c.0
2026-03-10 12:03:00+00:00,1773144239996423106,10,1,42002475,C,B,0,24947500000000,1,128,13204,195182156,24947500000000,24948250000000,1,1,1,1,24947250000000,24948500000000,3,2,3,2,24947000000000,24948750000000,2,2,2,2,24946750000000,24949000000000,2,2,1,2,24946500000000,24949250000000,2,2,2,2,24946250000000,24949500000000,4,2,4,2,24946000000000,24949750000000,3,3,3,3,24945750000000,24950000000000,2,3,2,3,24945500000000,24951000000000,3,2,3,2,24945250000000,24951250000000,3,2,3,2,NQ.c.0
2026-03-10 12:04:00+00:00,1773144299978276290,10,1,42002475,A,B,2,24933500000000,1,128,12799,195257789,24934250000000,24935000000000,1,1,1,1,24934000000000,24935250000000,9,3,3,3,24933500000000,24935500000000,3,2,3,2,24933250000000,24935750000000,2,2,2,2,24933000000000,24936000000000,2,4,2,4,24932750000000,24936250000000,2,3,2,3,24932500000000,24936500000000,3,1,3,1,24932250000000,24936750000000,4,2,4,2,24932000000000,24937250000000,4,3,4,3,24931750000000,24937500000000,2,2,2,2,NQ.c.0
2026-03-10 12:05:00+00:00,1773144359995867899,10,1,42002475,A,A,2,24921000000000,1,128,12801,195338351,24919500000000,24920500000000,1,1,1,1,24919250000000,24920750000000,2,1,2,1,24919000000000,24921000000000,4,3,4,3,24918750000000,24921250000000,2,1,2,1,24918500000000,24921500000000,2,4,2,4,24918250000000,24921750000000,1,2,1,2,24918000000000,24922000000000,4,2,4,2,24917750000000,24922500000000,5,2,5,2,24917500000000,24922750000000,4,2,4,2,24917250000000,24923250000000,2,3,2,3,NQ.c.0
2026-03-10 12:06:00+00:00,1773144419986243727,10,1,42002475,M,B,1,24934000000000,1,128,12887,195458016,24934750000000,24935750000000,1,1,1,1,24934250000000,24936000000000,1,1,1,1,24934000000000,24936250000000,2,1,2,1,24933750000000,24936500000000,1,3,1,3,24933250000000,24936750000000,1,1,1,1,24933000000000,24937000000000,1,1,1,1,24932750000000,24937250000000,2,2,2,2,24932250000000,24937500000000,2,3,2,3,24932000000000,24937750000000,3,4,3,4,24931750000000,24938000000000,2,4,2,4,NQ.c.0
2026-03-10 12:07:00+00:00,1773144479982366538,10,1,42002475,A,B,3,24913250000000,1,128,10970,195587750,24914250000000,24915500000000,1,1,1,1,24914000000000,24915750000000,1,2,1,2,24913500000000,24916000000000,1,3,1,3,24913250000000,24916250000000,1,2,1,2,24913000000000,24916500000000,2,2,2,2,24912750000000,24917000000000,2,1,2,1,24912500000000,24917250000000,2,2,2,2,24912250000000,24917500000000,1,2,1,2,24912000000000,24917750000000,3,1,3,1,24911000000000,24918000000000,2,3,2,3,NQ.c.0
2026-03-10 12:08:00+00:00,1773144539991021096,10,1,42002475,A,B,8,24910250000000,1,128,13621,195683966,24912250000000,24913500000000,2,1,2,1,24912000000000,24913750000000,2,1,2,1,24911750000000,24914000000000,2,2,2,2,24911500000000,24914250000000,1,5,1,5,24911250000000,24914500000000,2,1,2,1,24911000000000,24914750000000,2,3,2,3,24910750000000,24915000000000,2,3,2,3,24910500000000,24915250000000,5,2,5,2,24910250000000,24915500000000,2,1,2,1,24910000000000,24915750000000,8,2,8,2,NQ.c.0
2026-03-10 12:09:00+00:00,1773144599999951749,10,1,42002475,A,A,0,24912250000000,1,128,12474,195780666,24911000000000,24912250000000,1,2,1,2,24910750000000,24912500000000,2,1,2,1,24910500000000,24912750000000,2,2,2,2,24910250000000,24913000000000,2,2,2,2,24910000000000,24913250000000,3,2,3,1,24909750000000,24913500000000,2,1,2,1,24909500000000,24914000000000,1,3,1,3,24909250000000,24914250000000,2,4,2,4,24909000000000,24914500000000,6,1,3,1,24908750000000,24914750000000,2,3,2,2,NQ.c.0
2026-03-10 12:10:00+00:00,1773144659983959152,10,1,42002475,M,B,4,24834500000000,1,128,12753,195866560,24914000000000,24915250000000,2,1,2,1,24913750000000,24915500000000,3,2,3,2,24913500000000,24916000000000,1,2,1,2,24913250000000,24916250000000,1,1,1,1,24912750000000,24916500000000,2,1,2,1,24912500000000,24916750000000,2,6,2,4,24912250000000,24917250000000,3,2,3,2,24912000000000,24917500000000,3,3,3,3,24911750000000,24917750000000,1,2,1,2,24911500000000,24918000000000,1,6,1,6,NQ.c.0
