ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-02 12:00:00+00:00,1775131259949586990,10,1,42004058,C,A,0,23684750000000,1,128,13274,380258065,23683750000000,23684750000000,1,1,1,1,23683500000000,23685000000000,2,4,2,4,23683250000000,23685500000000,2,3,2,3,23683000000000,23685750000000,2,3,2,3,23682750000000,23686000000000,2,4,2,4,23682500000000,23686250000000,3,3,3,3,23682250000000,23686500000000,2,4,2,4,23682000000000,23686750000000,3,2,3,2,23681750000000,23687000000000,3,4,3,4,23681500000000,23687250000000,2,3,2,3,NQ.c.0
2026-04-02 12:01:00+00:00,1775131319745283452,10,1,42004058,C,B,0,23683250000000,1,128,13050,380302095,23683000000000,23684250000000,3,1,2,1,23682750000000,23684500000000,2,1,2,1,23682500000000,23684750000000,3,2,3,2,23682250000000,23685000000000,2,3,2,3,23682000000000,23685250000000,2,3,2,3,23681750000000,23685500000000,1,3,1,3,23681250000000,23685750000000,1,4,1,4,23681000000000,23686000000000,2,5,2,5,23680750000000,23686250000000,3,3,3,3,23680500000000,23686500000000,2,4,2,4,NQ.c.0
2026-04-02 12:02:00+00:00,1775131379927571547,10,1,42004058,C,A,0,23679000000000,1,128,12524,380361405,23677750000000,23679000000000,2,1,2,1,23677500000000,23679250000000,3,3,3,3,23677250000000,23679500000000,3,3,3,3,23677000000000,23679750000000,3,4,3,4,23676750000000,23680000000000,4,4,4,4,23676500000000,23680250000000,4,3,4,3,23676250000000,23680500000000,3,2,3,2,23676000000000,23680750000000,30,5,6,5,23675750000000,23681000000000,5,4,4,4,23675500000000,23681250000000,2,2,2,2,NQ.c.0
2026-04-02 12:03:00+00:00,1775131439893779071,10,1,42004058,C,B,1,23688250000000,1,128,12458,380418953,23688500000000,23689500000000,1,1,1,1,23688250000000,23689750000000,3,1,3,1,23688000000000,23690000000000,5,4,5,4,23687750000000,23690250000000,2,4,2,4,23687500000000,23690500000000,3,9,3,5,23687250000000,23690750000000,2,4,2,4,23687000000000,23691000000000,2,3,2,3,23686500000000,23691250000000,1,6,1,2,23686250000000,23691500000000,1,1,1,1,23686000000000,23691750000000,1,1,1,1,NQ.c.0
2026-04-02 12:04:00+00:00,1775131499675664340,10,1,42004058,M,A,2,23694750000000,1,128,11895,380458960,23693250000000,23694250000000,1,1,1,1,23693000000000,23694500000000,3,1,3,1,23692750000000,23694750000000,12,3,4,3,23692500000000,23695000000000,3,3,3,3,23692000000000,23695250000000,4,4,4,4,23691750000000,23695500000000,1,3,1,3,23691500000000,23695750000000,1,4,1,4,23691250000000,23696000000000,2,5,2,5,23691000000000,23696250000000,2,3,2,3,23690750000000,23696500000000,3,5,3,5,NQ.c.0
2026-04-02 12:05:00+00:00,1775131559994143863,10,1,42004058,M,B,1,23694000000000,1,128,11004,380505683,23694250000000,23695250000000,1,2,1,2,23694000000000,23695500000000,3,4,3,4,23693750000000,23695750000000,3,3,3,3,23693500000000,23696000000000,2,5,2,5,23693250000000,23696250000000,2,4,2,4,23693000000000,23696500000000,2,3,2,3,23692750000000,23696750000000,2,2,2,2,23692500000000,23697000000000,3,3,3,3,23692250000000,23697250000000,2,4,2,4,23692000000000,23697500000000,3,3,3,3,NQ.c.0
2026-04-02 12:06:00+00:00,1775131619714033855,10,1,42004058,C,B,0,23697000000000,1,128,11195,380552425,23696750000000,23698000000000,2,2,2,2,23696500000000,23698250000000,3,4,3,4,23696250000000,23698500000000,2,2,2,2,23696000000000,23698750000000,4,3,4,3,23695750000000,23699000000000,2,15,2,2,23695500000000,23699250000000,2,1,2,1,23695250000000,23699500000000,3,3,3,3,23695000000000,23699750000000,3,3,3,3,23694750000000,23700000000000,3,10,3,6,23694500000000,23700250000000,4,3,4,3,NQ.c.0
2026-04-02 12:07:00+00:00,1775131679970225884,10,1,42004058,A,A,0,23699250000000,1,128,11984,380589686,23698500000000,23699250000000,15,1,1,1,23698250000000,23699500000000,2,1,2,1,23698000000000,23699750000000,3,2,3,2,23697750000000,23700000000000,5,5,4,5,23697250000000,23700250000000,3,4,3,4,23697000000000,23700500000000,4,3,4,3,23696750000000,23700750000000,5,3,5,3,23696500000000,23701000000000,3,2,3,2,23696250000000,23701250000000,2,2,2,2,23696000000000,23701500000000,5,3,5,3,NQ.c.0
2026-04-02 12:08:00+00:00,1775131739979631392,10,1,42004058,A,A,0,23690000000000,1,128,13057,380629705,23689250000000,23690000000000,1,1,1,1,23688750000000,23690250000000,2,2,2,2,23688500000000,23690500000000,2,4,2,4,23688250000000,23690750000000,2,3,2,3,23688000000000,23691000000000,4,2,4,2,23687750000000,23691250000000,2,2,2,2,23687500000000,23691500000000,2,3,2,3,23687250000000,23691750000000,2,1,2,1,23687000000000,23692000000000,4,4,4,4,23686750000000,23692250000000,1,2,1,2,NQ.c.0
2026-04-02 12:09:00+00:00,1775131799850426131,10,1,42004058,A,A,0,23683500000000,1,128,11440,380677365,23682500000000,23683500000000,2,1,2,1,23682250000000,23683750000000,2,2,2,2,23682000000000,23684000000000,1,1,1,1,23681750000000,23684250000000,4,2,4,2,23681500000000,23684500000000,4,3,4,3,23681250000000,23684750000000,6,3,6,3,23681000000000,23685000000000,5,3,5,3,23680750000000,23685250000000,2,1,2,1,23680500000000,23685500000000,3,1,3,1,23680250000000,23685750000000,4,2,4,2,NQ.c.0
