ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-28 12:00:00+00:00,1777377659954237201,10,1,42004058,C,B,0,27086750000000,1,128,11320,95752328,27086500000000,27087250000000,2,1,2,1,27086250000000,27087500000000,3,1,3,1,27086000000000,27087750000000,1,2,1,2,27085750000000,27088000000000,1,3,1,3,27085500000000,27088250000000,2,2,2,2,27085250000000,27088500000000,1,2,1,2,27085000000000,27088750000000,2,5,2,5,27084750000000,27089000000000,2,3,2,3,27084500000000,27089250000000,2,4,2,4,27084250000000,27089500000000,2,3,2,3,NQ.c.0
2026-04-28 12:01:00+00:00,1777377719964006002,10,1,42004058,M,A,2,27167750000000,1,128,11246,95827966,27091750000000,27092500000000,1,1,1,1,27091500000000,27092750000000,3,1,3,1,27091250000000,27093000000000,2,3,2,3,27091000000000,27093250000000,2,2,2,2,27090750000000,27093500000000,2,5,2,5,27090500000000,27093750000000,3,4,3,4,27090250000000,27094000000000,3,4,3,4,27090000000000,27094250000000,2,4,2,4,27089750000000,27094500000000,2,3,2,3,27089500000000,27094750000000,3,8,3,4,NQ.c.0
2026-04-28 12:02:00+00:00,1777377779999696187,10,1,42004058,M,B,4,27100500000000,1,128,11130,95893547,27101500000000,27102500000000,2,2,2,2,27101250000000,27102750000000,1,3,1,3,27101000000000,27103000000000,4,2,4,2,27100750000000,27103250000000,2,2,2,2,27100500000000,27103500000000,4,5,4,5,27100250000000,27104000000000,1,4,1,4,27100000000000,27104250000000,7,2,3,2,27099750000000,27104500000000,2,2,2,2,27099500000000,27104750000000,2,4,2,4,27099250000000,27105000000000,3,7,3,4,NQ.c.0
2026-04-28 12:03:00+00:00,1777377839982346935,10,1,42004058,C,A,0,27095000000000,1,128,13182,95966592,27094250000000,27095250000000,2,1,2,1,27094000000000,27095500000000,3,4,3,4,27093750000000,27095750000000,3,3,3,3,27093500000000,27096000000000,3,6,3,6,27093250000000,27096250000000,1,2,1,2,27093000000000,27096500000000,3,1,3,1,27092750000000,27096750000000,3,2,3,2,27092500000000,27097000000000,1,2,1,2,27092250000000,27097750000000,1,5,1,5,27092000000000,27098000000000,5,5,5,5,NQ.c.0
2026-04-28 12:04:00+00:00,1777377899997371444,10,1,42004058,A,B,0,27094000000000,1,128,12503,96023304,27094000000000,27095000000000,2,2,2,2,27093750000000,27095250000000,4,1,4,1,27093500000000,27095500000000,3,2,3,2,27093250000000,27095750000000,1,4,1,4,27093000000000,27096000000000,2,4,2,4,27092750000000,27096250000000,3,2,3,2,27092500000000,27096500000000,1,2,1,2,27092250000000,27096750000000,3,2,3,2,27092000000000,27097000000000,6,4,6,4,27091750000000,27097250000000,1,2,1,2,NQ.c.0
2026-04-28 12:05:00+00:00,1777377959937350699,10,1,42004058,M,A,1,27104750000000,1,128,12450,96109311,27103750000000,27104500000000,1,2,1,2,27103500000000,27104750000000,2,4,2,4,27103250000000,27105000000000,2,1,2,1,27103000000000,27105250000000,2,3,2,3,27102750000000,27105500000000,3,4,3,4,27102500000000,27105750000000,2,3,2,3,27102250000000,27106000000000,3,4,3,4,27102000000000,27106250000000,3,4,3,4,27101750000000,27106500000000,2,4,2,4,27101500000000,27106750000000,6,3,6,3,NQ.c.0
2026-04-28 12:06:00+00:00,1777378019999480431,10,1,42004058,C,A,0,27101250000000,1,128,11243,96189361,27100500000000,27101500000000,2,2,2,2,27100250000000,27101750000000,3,3,3,3,27100000000000,27102000000000,4,6,4,6,27099500000000,27102250000000,2,4,2,4,27099250000000,27102500000000,2,4,2,4,27099000000000,27102750000000,2,5,2,5,27098500000000,27103000000000,3,3,3,3,27098250000000,27103250000000,2,3,2,3,27098000000000,27103500000000,6,5,6,5,27097750000000,27103750000000,3,3,3,3,NQ.c.0
2026-04-28 12:07:00+00:00,1777378079999531295,10,1,42004058,M,A,5,27093250000000,1,128,11014,96263069,27091000000000,27092000000000,1,1,1,1,27090750000000,27092250000000,3,2,3,2,27090500000000,27092500000000,5,2,5,2,27090250000000,27092750000000,6,3,6,3,27090000000000,27093000000000,5,3,5,3,27089750000000,27093250000000,1,3,1,3,27089500000000,27093500000000,2,5,2,5,27089250000000,27093750000000,2,1,2,1,27089000000000,27094000000000,3,2,2,2,27088750000000,27094250000000,1,4,1,4,NQ.c.0
2026-04-28 12:08:00+00:00,1777378139910284169,10,1,42004058,C,B,0,27089000000000,1,128,12107,96315286,27089000000000,27090000000000,1,1,1,1,27088750000000,27090250000000,1,1,1,1,27088500000000,27090500000000,3,5,3,5,27088250000000,27090750000000,3,1,3,1,27088000000000,27091000000000,4,1,4,1,27087750000000,27091250000000,5,2,5,2,27087500000000,27091500000000,4,4,4,4,27087250000000,27091750000000,3,3,3,3,27087000000000,27092000000000,2,5,2,5,27086750000000,27092250000000,2,3,2,3,NQ.c.0
2026-04-28 12:09:00+00:00,1777378199998988958,10,1,42004058,A,A,0,27081000000000,1,128,13045,96371426,27080250000000,27081000000000,1,1,1,1,27080000000000,27081250000000,5,2,5,2,27079750000000,27081500000000,2,3,2,3,27079500000000,27081750000000,1,8,1,8,27079250000000,27082000000000,2,2,2,2,27079000000000,27082250000000,5,3,5,3,27078750000000,27082500000000,3,3,3,3,27078500000000,27082750000000,3,4,2,4,27078250000000,27083000000000,3,4,3,4,27078000000000,27083250000000,6,4,5,4,NQ.c.0
