ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-16 12:00:00+00:00,1781611259841846532,10,1,42004058,A,A,2,30627750000000,1,128,12267,163358693,30624750000000,30627000000000,1,1,1,1,30624500000000,30627500000000,4,2,4,2,30623500000000,30627750000000,2,3,1,3,30623250000000,30628500000000,2,1,2,1,30623000000000,30628750000000,5,1,3,1,30622000000000,30629000000000,3,2,2,2,30621750000000,30629250000000,3,2,2,1,30621500000000,30629500000000,2,1,2,1,30621250000000,30629750000000,2,2,2,2,30620000000000,30630250000000,3,2,2,2,NQ.c.0
2026-06-16 12:01:00+00:00,1781611319998485345,10,1,42004058,C,A,0,30638000000000,1,128,11258,163410930,30636000000000,30638250000000,1,1,1,1,30635750000000,30638500000000,1,1,1,1,30635250000000,30638750000000,2,1,2,1,30635000000000,30639000000000,1,2,1,2,30634500000000,30639250000000,2,2,2,2,30634250000000,30639500000000,2,1,1,1,30634000000000,30640250000000,1,3,1,2,30633500000000,30640500000000,1,1,1,1,30633000000000,30640750000000,1,1,1,1,30632500000000,30641000000000,2,2,2,2,NQ.c.0
2026-06-16 12:02:00+00:00,1781611379969724000,10,1,42004058,C,B,0,30640250000000,1,128,10959,163451242,30640000000000,30642000000000,1,1,1,1,30639750000000,30642250000000,1,2,1,2,30639500000000,30642500000000,4,3,4,3,30639000000000,30642750000000,1,2,1,2,30638250000000,30643000000000,4,3,3,1,30638000000000,30643750000000,1,1,1,1,30637750000000,30644000000000,1,1,1,1,30637500000000,30644500000000,1,3,1,2,30637250000000,30645000000000,1,6,1,4,30637000000000,30646000000000,1,4,1,3,NQ.c.0
2026-06-16 12:03:00+00:00,1781611439997214396,10,1,42004058,C,A,1,30642000000000,1,128,11770,163488608,30639500000000,30641750000000,1,1,1,1,30639250000000,30642250000000,1,5,1,5,30638750000000,30642500000000,2,1,2,1,30638500000000,30642750000000,2,1,2,1,30638250000000,30643000000000,2,3,2,1,30638000000000,30643500000000,2,1,2,1,30637500000000,30643750000000,3,1,2,1,30637250000000,30644000000000,1,3,1,2,30637000000000,30644500000000,1,1,1,1,30636750000000,30645000000000,4,5,4,3,NQ.c.0
2026-06-16 12:04:00+00:00,1781611499994376452,10,1,42004058,M,A,0,30680250000000,1,128,11467,163535360,30628000000000,30630500000000,1,1,1,1,30627750000000,30630750000000,1,2,1,2,30627500000000,30631250000000,4,1,4,1,30627250000000,30631500000000,1,1,1,1,30627000000000,30632500000000,2,3,2,2,30626500000000,30633000000000,4,1,3,1,30626250000000,30634000000000,2,4,2,2,30625750000000,30634500000000,2,1,2,1,30625500000000,30634750000000,2,3,2,2,30625000000000,30635000000000,3,1,2,1,NQ.c.0
2026-06-16 12:05:00+00:00,1781611559973999863,10,1,42004058,M,B,0,30630750000000,1,128,10954,163578645,30630750000000,30633250000000,2,2,2,2,30630500000000,30633500000000,2,2,2,2,30630250000000,30633750000000,1,2,1,2,30630000000000,30634000000000,2,1,2,1,30629500000000,30634500000000,1,1,1,1,30629250000000,30635250000000,2,4,1,3,30629000000000,30635500000000,4,1,4,1,30628750000000,30635750000000,3,3,1,3,30628500000000,30636000000000,1,1,1,1,30628250000000,30636250000000,1,1,1,1,NQ.c.0
2026-06-16 12:06:00+00:00,1781611619990822870,10,1,42004058,A,B,0,30636250000000,1,128,10972,163616671,30636250000000,30638750000000,1,1,1,1,30636000000000,30639000000000,2,2,2,2,30635750000000,30639250000000,4,1,4,1,30635250000000,30639500000000,1,1,1,1,30635000000000,30640250000000,1,4,1,3,30634750000000,30640750000000,1,1,1,1,30634500000000,30641000000000,1,1,1,1,30634000000000,30641250000000,3,1,2,1,30633500000000,30641500000000,1,2,1,2,30633250000000,30641750000000,2,1,2,1,NQ.c.0
2026-06-16 12:07:00+00:00,1781611679847388246,10,1,42004058,A,B,1,30638250000000,1,128,12843,163652175,30638750000000,30641000000000,1,1,1,1,30638250000000,30641250000000,5,1,5,1,30638000000000,30641500000000,1,2,1,2,30637750000000,30641750000000,1,2,1,2,30637250000000,30642000000000,4,3,3,3,30636750000000,30642250000000,1,1,1,1,30636500000000,30642500000000,1,1,1,1,30636250000000,30643000000000,1,4,1,2,30636000000000,30643250000000,1,2,1,1,30635750000000,30643750000000,1,1,1,1,NQ.c.0
2026-06-16 12:08:00+00:00,1781611739785831593,10,1,42004058,C,A,0,30641250000000,1,128,11635,163704395,30639000000000,30641250000000,2,1,2,1,30638750000000,30641500000000,3,1,3,1,30638500000000,30642000000000,1,4,1,4,30638250000000,30642250000000,1,1,1,1,30638000000000,30642500000000,1,1,1,1,30637750000000,30642750000000,1,3,1,2,30637250000000,30643000000000,4,1,3,1,30636750000000,30643750000000,2,5,2,3,30636500000000,30644250000000,1,3,1,2,30636250000000,30644500000000,1,2,1,2,NQ.c.0
2026-06-16 12:09:00+00:00,1781611799184600348,10,1,42004058,C,B,1,30636750000000,1,128,11914,163743754,30637000000000,30639250000000,1,1,1,1,30636750000000,30639500000000,1,2,1,2,30636500000000,30639750000000,3,3,3,3,30636250000000,30640750000000,3,3,3,3,30636000000000,30641000000000,2,1,2,1,30635750000000,30641250000000,1,3,1,2,30635250000000,30641500000000,1,2,1,2,30635000000000,30642000000000,3,2,2,2,30633500000000,30642250000000,6,1,3,1,30633000000000,30642500000000,2,2,2,2,NQ.c.0
