ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-23 12:00:00+00:00,1782216059931486161,10,1,42004177,M,B,1,29882250000000,1,128,11041,166809827,29882500000000,29883250000000,1,2,1,2,29882250000000,29883500000000,2,4,2,4,29882000000000,29883750000000,2,4,2,4,29881750000000,29884000000000,2,2,2,2,29881250000000,29884250000000,4,2,4,2,29881000000000,29884500000000,2,2,2,2,29880500000000,29884750000000,2,2,2,2,29880250000000,29885000000000,6,4,6,4,29880000000000,29885250000000,6,4,6,4,29879750000000,29885500000000,5,3,5,3,NQ.c.0
2026-06-23 12:01:00+00:00,1782216119995205520,10,1,42004177,C,A,1,29896000000000,1,128,12259,166864701,29894750000000,29895750000000,1,1,1,1,29894500000000,29896000000000,4,3,3,3,29894250000000,29896250000000,3,2,3,2,29894000000000,29896500000000,2,4,2,4,29893500000000,29896750000000,3,3,3,3,29893250000000,29897000000000,3,3,3,3,29893000000000,29897250000000,4,5,4,5,29892750000000,29897500000000,5,2,2,2,29892500000000,29897750000000,1,4,1,4,29892250000000,29898000000000,4,5,4,5,NQ.c.0
2026-06-23 12:02:00+00:00,1782216179987628244,10,1,42004177,M,B,0,29890000000000,1,128,15045,166918267,29890000000000,29891250000000,4,1,4,1,29889750000000,29891500000000,3,2,3,2,29889500000000,29891750000000,3,3,3,3,29889000000000,29892000000000,2,4,2,4,29888750000000,29892250000000,3,3,3,3,29888500000000,29892500000000,4,2,4,2,29888250000000,29892750000000,4,3,4,3,29888000000000,29893000000000,5,2,5,2,29887750000000,29893250000000,4,4,4,4,29887500000000,29893500000000,2,5,2,5,NQ.c.0
2026-06-23 12:03:00+00:00,1782216239990758343,10,1,42004177,C,A,0,29890750000000,1,128,11780,166964972,29889500000000,29891000000000,2,2,2,2,29889000000000,29891500000000,3,3,3,3,29888500000000,29891750000000,4,2,4,2,29888250000000,29892000000000,7,3,7,3,29888000000000,29892250000000,5,3,5,3,29887750000000,29892500000000,5,2,5,2,29887500000000,29892750000000,3,3,3,3,29887250000000,29893000000000,4,2,4,2,29887000000000,29893250000000,3,4,3,4,29886750000000,29893500000000,2,4,2,4,NQ.c.0
2026-06-23 12:04:00+00:00,1782216299995788559,10,1,42004177,A,B,1,29877750000000,1,128,12612,167014137,29878000000000,29879500000000,2,1,2,1,29877750000000,29879750000000,4,2,4,2,29877500000000,29880000000000,1,5,1,5,29877250000000,29880250000000,3,2,3,2,29877000000000,29880750000000,4,2,4,2,29876750000000,29881000000000,4,4,4,2,29876500000000,29881250000000,4,4,4,4,29876250000000,29881750000000,2,3,2,3,29876000000000,29882000000000,7,5,7,5,29875750000000,29882250000000,3,5,3,5,NQ.c.0
2026-06-23 12:05:00+00:00,1782216359908603299,10,1,42004177,A,A,0,29866000000000,1,128,12330,167073669,29864750000000,29866000000000,1,1,1,1,29864500000000,29866250000000,1,4,1,2,29864250000000,29866500000000,3,5,3,5,29864000000000,29866750000000,1,4,1,4,29863750000000,29867000000000,2,2,2,2,29863250000000,29867250000000,4,7,4,7,29863000000000,29867500000000,3,6,3,6,29862750000000,29867750000000,4,6,4,6,29862500000000,29868000000000,2,5,2,5,29862250000000,29868250000000,3,3,3,3,NQ.c.0
2026-06-23 12:06:00+00:00,1782216419965880630,10,1,42004177,M,B,0,29861000000000,1,128,12292,167121505,29861000000000,29862250000000,3,1,3,1,29860750000000,29862500000000,4,2,4,2,29860500000000,29862750000000,2,4,2,4,29860250000000,29863000000000,2,1,2,1,29860000000000,29863250000000,4,1,4,1,29859750000000,29863750000000,5,4,5,4,29859500000000,29864000000000,1,4,1,4,29859000000000,29864250000000,3,4,3,4,29858750000000,29864500000000,2,4,2,4,29858500000000,29864750000000,1,6,1,6,NQ.c.0
2026-06-23 12:07:00+00:00,1782216479888857115,10,1,42004177,M,A,1,29860250000000,1,128,11484,167165494,29858750000000,29860000000000,1,1,1,1,29858500000000,29860250000000,2,4,2,4,29858250000000,29860500000000,4,3,4,3,29858000000000,29861000000000,3,3,3,3,29857750000000,29861250000000,1,1,1,1,29857500000000,29861500000000,2,4,2,4,29857250000000,29861750000000,3,2,3,2,29856750000000,29862000000000,2,4,2,4,29856500000000,29862250000000,3,4,3,4,29856250000000,29862500000000,4,4,4,4,NQ.c.0
2026-06-23 12:08:00+00:00,1782216539428236499,10,1,42004177,C,B,0,29859000000000,1,128,10970,167214943,29859000000000,29860000000000,2,1,2,1,29858750000000,29860500000000,5,3,5,3,29858500000000,29860750000000,3,2,3,2,29858250000000,29861000000000,5,6,5,6,29858000000000,29861250000000,3,2,3,2,29857750000000,29861500000000,3,2,3,2,29857500000000,29861750000000,3,2,3,2,29857250000000,29862000000000,2,4,2,4,29856750000000,29862500000000,2,4,2,4,29856500000000,29862750000000,5,4,5,4,NQ.c.0
2026-06-23 12:09:00+00:00,1782216599997774055,10,1,42004177,M,A,2,29858500000000,1,128,11612,167266845,29856750000000,29858000000000,2,1,2,1,29856500000000,29858250000000,5,2,5,2,29856250000000,29858500000000,3,3,3,3,29856000000000,29858750000000,6,2,6,2,29855750000000,29859000000000,5,4,5,4,29855500000000,29859250000000,4,3,4,3,29855250000000,29859500000000,3,3,3,3,29855000000000,29859750000000,3,7,3,7,29854750000000,29860000000000,4,7,4,7,29854500000000,29860250000000,3,3,3,3,NQ.c.0
