ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-25 12:00:00+00:00,1779710459687272868,10,1,42004058,C,A,4,29973500000000,1,128,13238,12823759,29971750000000,29972500000000,1,1,1,1,29971500000000,29972750000000,3,1,3,1,29971250000000,29973000000000,3,3,3,3,29971000000000,29973250000000,2,2,2,2,29970750000000,29973500000000,1,2,1,2,29970500000000,29973750000000,3,1,2,1,29970250000000,29974000000000,3,3,3,3,29970000000000,29974250000000,2,2,2,2,29969750000000,29974500000000,2,4,2,4,29969500000000,29974750000000,3,3,3,3,NQ.c.0
2026-05-25 12:01:00+00:00,1779710519527124895,10,1,42004058,M,B,1,29900750000000,1,128,12916,12834091,29976250000000,29977250000000,1,1,1,1,29976000000000,29977500000000,2,3,2,3,29975750000000,29977750000000,2,2,2,2,29975500000000,29978000000000,2,4,2,4,29975250000000,29978250000000,1,2,1,2,29975000000000,29978500000000,3,3,3,3,29974750000000,29978750000000,2,3,2,3,29974500000000,29979000000000,1,3,1,3,29974250000000,29979250000000,1,3,1,3,29974000000000,29979500000000,1,3,1,3,NQ.c.0
2026-05-25 12:02:00+00:00,1779710579809187230,10,1,42004058,A,A,0,29975000000000,1,128,10928,12842985,29974000000000,29975000000000,1,3,1,3,29973750000000,29975250000000,1,1,1,1,29973500000000,29975500000000,2,3,2,3,29973250000000,29975750000000,1,2,1,2,29973000000000,29976000000000,2,4,2,4,29972500000000,29976250000000,3,2,3,2,29972000000000,29976500000000,2,1,2,1,29971750000000,29976750000000,3,2,3,2,29971500000000,29977000000000,2,6,2,6,29971250000000,29977250000000,1,3,1,3,NQ.c.0
2026-05-25 12:03:00+00:00,1779710639700789258,10,1,42004058,C,B,0,29974250000000,1,128,11505,12851056,29974000000000,29975000000000,1,1,1,1,29973750000000,29975250000000,2,2,2,2,29973500000000,29975500000000,2,2,2,2,29973250000000,29975750000000,1,1,1,1,29973000000000,29976000000000,2,3,2,3,29972500000000,29976250000000,4,3,4,3,29972000000000,29976500000000,2,1,2,1,29971750000000,29976750000000,2,2,2,2,29971500000000,29977000000000,2,5,2,5,29971250000000,29977250000000,3,1,3,1,NQ.c.0
2026-05-25 12:04:00+00:00,1779710699763090423,10,1,42004058,C,A,1,29978750000000,1,128,12262,12860637,29977750000000,29978500000000,1,1,1,1,29977500000000,29978750000000,2,1,2,1,29977250000000,29979000000000,3,1,3,1,29977000000000,29979250000000,3,3,3,3,29976750000000,29979500000000,1,2,1,2,29976500000000,29979750000000,1,2,1,2,29976250000000,29980000000000,5,4,5,4,29976000000000,29980250000000,5,1,5,1,29975750000000,29980500000000,4,2,4,2,29975250000000,29980750000000,2,3,2,3,NQ.c.0
2026-05-25 12:05:00+00:00,1779710759862939275,10,1,42004058,A,A,1,29984250000000,1,128,14069,12871627,29983000000000,29984000000000,3,1,3,1,29982750000000,29984250000000,3,2,3,2,29982500000000,29984500000000,2,3,2,3,29982250000000,29984750000000,3,4,3,4,29982000000000,29985000000000,4,3,4,3,29981750000000,29985250000000,2,3,2,3,29981500000000,29985500000000,3,3,3,3,29981250000000,29985750000000,2,3,2,3,29981000000000,29986000000000,4,6,4,6,29980750000000,29986250000000,1,2,1,2,NQ.c.0
2026-05-25 12:06:00+00:00,1779710819881575417,10,1,42004058,A,A,0,29982000000000,1,128,13068,12879446,29981000000000,29982000000000,1,2,1,2,29980750000000,29982250000000,2,3,2,3,29980500000000,29982500000000,5,5,2,3,29980250000000,29982750000000,2,4,2,4,29980000000000,29983000000000,4,3,4,3,29979750000000,29983250000000,3,5,3,5,29979500000000,29983500000000,2,4,2,4,29979250000000,29983750000000,2,1,2,1,29979000000000,29984000000000,3,3,3,3,29978750000000,29984250000000,5,2,5,2,NQ.c.0
2026-05-25 12:07:00+00:00,1779710879862879206,10,1,42004058,A,B,2,29975750000000,1,128,13044,12887309,29976250000000,29977250000000,1,2,1,2,29976000000000,29977750000000,2,2,2,2,29975750000000,29978000000000,3,4,3,4,29975500000000,29978500000000,1,2,1,2,29975250000000,29978750000000,4,2,4,2,29975000000000,29979000000000,4,3,4,3,29974750000000,29979250000000,2,3,2,3,29974500000000,29979500000000,3,1,3,1,29974250000000,29979750000000,1,2,1,2,29974000000000,29980000000000,5,6,5,6,NQ.c.0
2026-05-25 12:08:00+00:00,1779710939567873142,10,1,42004058,M,A,3,29974500000000,1,128,12603,12896253,29973000000000,29973750000000,1,1,1,1,29972500000000,29974000000000,3,1,3,1,29972250000000,29974250000000,1,2,1,2,29972000000000,29974500000000,4,6,4,6,29971750000000,29974750000000,2,5,2,5,29971500000000,29975000000000,2,2,2,2,29971250000000,29975250000000,3,2,3,2,29971000000000,29975500000000,3,5,3,5,29970750000000,29975750000000,1,4,1,4,29970500000000,29976000000000,3,4,3,4,NQ.c.0
2026-05-25 12:09:00+00:00,1779710999962913654,10,1,42004058,A,B,1,29968750000000,1,128,13036,12908108,29969000000000,29970000000000,11,4,3,2,29968750000000,29970500000000,1,4,1,4,29968500000000,29970750000000,2,3,2,3,29968250000000,29971000000000,3,3,3,3,29968000000000,29971250000000,6,6,6,6,29967750000000,29971500000000,2,7,2,7,29967500000000,29972000000000,3,2,3,2,29967250000000,29972500000000,1,3,1,3,29967000000000,29972750000000,1,3,1,3,29966500000000,29973000000000,1,4,1,4,NQ.c.0
