ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-22 12:00:00+00:00,1776859259932384483,10,1,42004058,C,B,0,26841750000000,1,128,14855,183265108,26841750000000,26842500000000,1,1,1,1,26841500000000,26842750000000,1,2,1,2,26841250000000,26843000000000,3,3,3,3,26841000000000,26843250000000,9,3,6,2,26840750000000,26843500000000,4,3,3,3,26840500000000,26843750000000,6,3,5,3,26840250000000,26844000000000,4,5,4,5,26840000000000,26844250000000,6,2,5,2,26839750000000,26844500000000,3,1,3,1,26839500000000,26844750000000,3,2,3,2,NQ.c.0
2026-04-22 12:01:00+00:00,1776859319844095119,10,1,42004058,A,A,0,26849250000000,1,128,12675,183293078,26848500000000,26849250000000,2,1,2,1,26848250000000,26849500000000,3,2,3,2,26848000000000,26849750000000,5,4,4,4,26847750000000,26850000000000,4,7,4,5,26847500000000,26850250000000,3,4,3,3,26847250000000,26850500000000,4,3,4,2,26847000000000,26850750000000,5,4,4,3,26846750000000,26851250000000,4,6,3,5,26846500000000,26851500000000,2,4,2,3,26846250000000,26851750000000,3,2,2,2,NQ.c.0
2026-04-22 12:02:00+00:00,1776859379834627841,10,1,42004058,A,A,0,26850750000000,1,128,13048,183313823,26850000000000,26850750000000,3,1,3,1,26849750000000,26851000000000,3,4,3,3,26849500000000,26851250000000,2,4,2,3,26849250000000,26851500000000,4,5,4,5,26849000000000,26851750000000,2,8,2,5,26848750000000,26852000000000,17,9,4,4,26848500000000,26852250000000,4,4,3,3,26848250000000,26852500000000,3,2,2,2,26848000000000,26852750000000,6,4,5,4,26847750000000,26853000000000,2,5,2,5,NQ.c.0
2026-04-22 12:03:00+00:00,1776859439766812500,10,1,42004058,A,B,6,26855000000000,1,128,12977,183338430,26856500000000,26857250000000,2,1,2,1,26856250000000,26857500000000,5,2,4,2,26856000000000,26857750000000,4,6,4,5,26855750000000,26858000000000,4,7,3,5,26855500000000,26858250000000,5,5,4,4,26855250000000,26858500000000,4,4,3,3,26855000000000,26858750000000,5,1,5,1,26854750000000,26859000000000,3,2,3,2,26854500000000,26859250000000,5,2,1,2,26854250000000,26859750000000,2,2,2,2,NQ.c.0
2026-04-22 12:04:00+00:00,1776859499980406339,10,1,42004058,C,B,1,26860250000000,1,128,11619,183392431,26860500000000,26861000000000,1,1,1,1,26860250000000,26861250000000,4,1,4,1,26860000000000,26861500000000,7,3,7,3,26859750000000,26862000000000,3,1,3,1,26859500000000,26862250000000,7,1,7,1,26859250000000,26862500000000,3,4,3,1,26859000000000,26862750000000,3,3,3,3,26858750000000,26863000000000,3,2,3,2,26858500000000,26863250000000,1,3,1,3,26858250000000,26863500000000,1,3,1,3,NQ.c.0
2026-04-22 12:05:00+00:00,1776859559939017431,10,1,42004058,A,B,0,26859500000000,1,128,12415,183419631,26859500000000,26860250000000,2,1,2,1,26859250000000,26860500000000,3,3,3,3,26859000000000,26860750000000,4,4,4,4,26858750000000,26861000000000,5,1,5,1,26858500000000,26861250000000,4,4,4,4,26858250000000,26861500000000,3,5,3,4,26858000000000,26861750000000,4,5,4,4,26857750000000,26862000000000,4,8,4,6,26857500000000,26862250000000,2,4,2,3,26857250000000,26862750000000,1,5,1,4,NQ.c.0
2026-04-22 12:06:00+00:00,1776859619897440808,10,1,42004058,M,A,1,26868750000000,1,128,11423,183451658,26868000000000,26868500000000,1,1,1,1,26867750000000,26868750000000,3,4,3,4,26867500000000,26869000000000,3,6,3,6,26867250000000,26869250000000,2,4,2,3,26867000000000,26869500000000,3,6,3,5,26866750000000,26869750000000,2,5,2,4,26866500000000,26870000000000,3,6,3,5,26866250000000,26870250000000,1,5,1,4,26866000000000,26870500000000,3,7,3,6,26865750000000,26870750000000,3,4,3,4,NQ.c.0
2026-04-22 12:07:00+00:00,1776859679815337951,10,1,42004058,A,A,3,26870500000000,1,128,11093,183478890,26869250000000,26869750000000,1,1,1,1,26869000000000,26870000000000,2,4,2,4,26868750000000,26870250000000,4,4,4,3,26868500000000,26870500000000,5,4,5,3,26868250000000,26870750000000,1,4,1,3,26868000000000,26871000000000,3,4,3,3,26867750000000,26871250000000,3,5,3,4,26867500000000,26871750000000,2,6,2,5,26867250000000,26872000000000,4,7,4,6,26867000000000,26872250000000,2,5,2,4,NQ.c.0
2026-04-22 12:08:00+00:00,1776859739991915995,10,1,42004058,M,B,0,26794750000000,1,128,13335,183501275,26870250000000,26871000000000,2,1,2,1,26870000000000,26871250000000,2,2,2,2,26869750000000,26871500000000,4,4,4,4,26869500000000,26871750000000,8,2,3,2,26869250000000,26872000000000,11,5,3,4,26869000000000,26872250000000,5,4,4,3,26868750000000,26872500000000,3,3,2,3,26868500000000,26872750000000,5,5,4,4,26868250000000,26873000000000,5,5,5,4,26868000000000,26873250000000,7,5,6,4,NQ.c.0
2026-04-22 12:09:00+00:00,1776859799703736980,10,1,42004058,A,A,0,26867750000000,1,128,11155,183522507,26867250000000,26867750000000,1,1,1,1,26867000000000,26868000000000,1,2,1,2,26866750000000,26868250000000,2,5,2,5,26866500000000,26868500000000,5,4,5,4,26866250000000,26868750000000,4,2,3,2,26866000000000,26869000000000,5,7,4,6,26865750000000,26869250000000,4,3,3,3,26865500000000,26869500000000,5,5,4,4,26865250000000,26869750000000,2,4,2,3,26865000000000,26870000000000,1,8,1,7,NQ.c.0
