ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-14 12:00:00+00:00,1776168059972009988,10,1,42004058,M,A,0,25678500000000,1,128,11068,83906102,25677500000000,25678500000000,1,1,1,1,25677250000000,25678750000000,3,1,3,1,25677000000000,25679000000000,3,4,3,4,25676750000000,25679250000000,5,3,5,3,25676500000000,25679500000000,1,4,1,4,25676250000000,25679750000000,2,4,2,4,25676000000000,25680000000000,2,5,2,5,25675750000000,25680250000000,3,4,3,4,25675500000000,25680500000000,2,3,2,3,25675250000000,25680750000000,2,3,2,3,NQ.c.0
2026-04-14 12:01:00+00:00,1776168119910002998,10,1,42004058,A,A,1,25677000000000,1,128,12481,83943295,25676000000000,25676750000000,1,2,1,2,25675750000000,25677000000000,2,3,2,3,25675500000000,25677250000000,2,2,2,2,25675250000000,25677500000000,3,3,3,3,25675000000000,25677750000000,2,2,2,2,25674750000000,25678000000000,4,2,4,2,25674500000000,25678250000000,3,4,3,4,25674250000000,25678500000000,3,3,3,3,25674000000000,25678750000000,3,1,3,1,25673750000000,25679000000000,5,3,5,3,NQ.c.0
2026-04-14 12:02:00+00:00,1776168179188123190,10,1,42004058,C,A,0,25679750000000,1,128,11461,83974998,25679000000000,25679750000000,1,1,1,1,25678750000000,25680000000000,1,5,1,4,25678500000000,25680250000000,3,3,3,3,25678250000000,25681000000000,3,1,3,1,25678000000000,25681250000000,3,2,3,2,25677750000000,25681500000000,2,2,2,2,25677500000000,25681750000000,4,2,4,2,25677250000000,25682000000000,3,5,3,5,25677000000000,25682500000000,3,4,3,4,25676750000000,25682750000000,5,3,5,3,NQ.c.0
2026-04-14 12:03:00+00:00,1776168239931644343,10,1,42004058,M,A,1,25682000000000,1,128,12294,84005594,25680500000000,25681250000000,1,1,1,1,25680250000000,25681750000000,3,1,3,1,25680000000000,25682000000000,9,2,8,2,25679750000000,25682250000000,4,1,4,1,25679500000000,25682500000000,4,2,4,2,25679250000000,25682750000000,5,4,5,4,25679000000000,25683000000000,4,4,4,4,25678750000000,25683250000000,3,4,3,4,25678250000000,25683500000000,4,2,4,2,25678000000000,25683750000000,3,2,3,2,NQ.c.0
2026-04-14 12:04:00+00:00,1776168299965308540,10,1,42004058,A,A,0,25679500000000,1,128,13159,84033371,25678500000000,25679500000000,1,2,1,2,25678250000000,25679750000000,3,3,3,3,25678000000000,25680000000000,2,4,2,4,25677750000000,25680250000000,2,4,2,4,25677500000000,25680500000000,3,2,3,2,25677250000000,25680750000000,5,5,5,5,25677000000000,25681000000000,4,4,4,4,25676750000000,25681250000000,2,3,2,3,25676500000000,25681500000000,3,4,3,4,25676250000000,25681750000000,4,4,4,4,NQ.c.0
2026-04-14 12:05:00+00:00,1776168359942686814,10,1,42004058,C,B,2,25683250000000,1,128,13170,84063857,25683750000000,25684500000000,1,1,1,1,25683500000000,25684750000000,3,3,3,3,25683250000000,25685000000000,3,4,3,3,25683000000000,25685250000000,2,1,2,1,25682750000000,25685500000000,4,4,4,4,25682500000000,25685750000000,4,2,4,2,25682250000000,25686250000000,3,4,3,3,25682000000000,25686500000000,16,3,7,3,25681750000000,25686750000000,6,1,6,1,25681500000000,25687000000000,3,4,3,4,NQ.c.0
2026-04-14 12:06:00+00:00,1776168419751716321,10,1,42004058,C,A,0,25683000000000,1,128,12706,84091990,25682500000000,25683250000000,1,1,1,1,25682250000000,25683500000000,1,4,1,4,25682000000000,25683750000000,2,3,2,3,25681750000000,25684000000000,1,5,1,5,25681500000000,25684250000000,3,3,3,3,25681250000000,25684500000000,3,4,3,4,25681000000000,25684750000000,3,4,3,4,25680750000000,25685000000000,2,4,2,4,25680250000000,25685250000000,1,2,1,2,25680000000000,25685500000000,4,4,4,4,NQ.c.0
2026-04-14 12:07:00+00:00,1776168479987598297,10,1,42004058,M,B,3,25607000000000,1,128,12795,84110607,25682250000000,25683250000000,1,2,1,2,25682000000000,25683500000000,2,1,2,1,25681750000000,25683750000000,5,1,5,1,25681500000000,25684000000000,2,4,2,4,25681250000000,25684250000000,5,2,5,2,25681000000000,25684500000000,4,4,4,4,25680750000000,25684750000000,2,4,2,4,25680500000000,25685000000000,4,4,4,4,25680250000000,25685250000000,3,3,3,3,25680000000000,25685500000000,7,5,7,5,NQ.c.0
2026-04-14 12:08:00+00:00,1776168539851169707,10,1,42004058,C,A,2,25687750000000,1,128,12907,84132690,25686500000000,25687250000000,1,2,1,2,25686250000000,25687500000000,3,2,3,2,25686000000000,25687750000000,3,2,3,2,25685750000000,25688000000000,5,4,5,4,25685500000000,25688250000000,5,4,5,4,25685250000000,25688500000000,3,3,3,3,25684750000000,25688750000000,3,3,3,3,25684500000000,25689000000000,2,4,2,4,25684250000000,25689250000000,3,2,3,2,25684000000000,25689500000000,5,4,5,4,NQ.c.0
2026-04-14 12:09:00+00:00,1776168599976214868,10,1,42004058,A,B,0,25686500000000,1,128,12548,84154825,25686500000000,25687250000000,2,1,2,1,25686250000000,25687500000000,4,1,4,1,25686000000000,25687750000000,1,3,1,3,25685750000000,25688000000000,4,4,4,4,25685500000000,25688250000000,7,3,4,3,25685250000000,25688500000000,4,3,4,3,25685000000000,25688750000000,3,4,3,4,25684750000000,25689000000000,4,5,4,5,25684500000000,25689250000000,3,2,3,2,25684250000000,25689500000000,4,2,4,2,NQ.c.0
