ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-21 12:00:00+00:00,1779364859990938662,10,1,42004058,C,A,1,29252000000000,1,128,11314,434085871,29251000000000,29251750000000,2,1,2,1,29250750000000,29252250000000,1,2,1,2,29250500000000,29252500000000,2,5,2,4,29250250000000,29252750000000,3,4,2,4,29250000000000,29253000000000,2,2,2,2,29249750000000,29253250000000,4,2,4,2,29249500000000,29253500000000,3,3,2,3,29249250000000,29253750000000,3,2,2,2,29249000000000,29254250000000,4,4,3,4,29248750000000,29254500000000,4,2,3,2,NQ.c.0
2026-05-21 12:01:00+00:00,1779364919221869145,10,1,42004058,M,A,2,29249000000000,1,128,11904,434120135,29247500000000,29248500000000,1,1,1,1,29247250000000,29248750000000,3,1,3,1,29247000000000,29249000000000,4,4,3,4,29246750000000,29249250000000,3,3,2,2,29246500000000,29249500000000,4,4,3,3,29246250000000,29249750000000,4,4,3,3,29246000000000,29250000000000,4,3,3,2,29245750000000,29250250000000,4,4,4,3,29245500000000,29250500000000,3,5,2,4,29245250000000,29250750000000,4,3,3,3,NQ.c.0
2026-05-21 12:02:00+00:00,1779364979611060876,10,1,42004058,C,B,0,29261750000000,1,128,11074,434155127,29261750000000,29263000000000,1,2,1,2,29261500000000,29263250000000,2,3,2,2,29261250000000,29263500000000,3,3,3,2,29261000000000,29263750000000,1,3,1,2,29260750000000,29264000000000,3,6,2,5,29260500000000,29264250000000,3,4,2,3,29260250000000,29264500000000,4,3,3,3,29260000000000,29265000000000,7,2,6,2,29259500000000,29265250000000,4,4,4,3,29259250000000,29265500000000,4,4,3,4,NQ.c.0
2026-05-21 12:03:00+00:00,1779365039909445198,10,1,42004058,C,A,1,29265250000000,1,128,11151,434180398,29263750000000,29265000000000,1,1,1,1,29263500000000,29265250000000,3,4,3,4,29263250000000,29265500000000,3,3,2,3,29263000000000,29265750000000,1,4,1,3,29262750000000,29266000000000,2,5,2,4,29262250000000,29266250000000,1,3,1,2,29262000000000,29266750000000,2,4,2,3,29261750000000,29267000000000,4,1,4,1,29261500000000,29267250000000,5,1,5,1,29261250000000,29267500000000,6,1,6,1,NQ.c.0
2026-05-21 12:04:00+00:00,1779365099922247331,10,1,42004058,C,B,1,29264250000000,1,128,14128,434210665,29264500000000,29265750000000,2,2,2,2,29264250000000,29266000000000,2,5,2,4,29264000000000,29266500000000,4,4,4,3,29263750000000,29266750000000,1,5,1,4,29263250000000,29267000000000,2,5,2,4,29262500000000,29267250000000,2,2,2,2,29262250000000,29267500000000,2,3,2,2,29262000000000,29267750000000,11,5,2,4,29261750000000,29268000000000,4,7,3,6,29261500000000,29268500000000,4,4,3,3,NQ.c.0
2026-05-21 12:05:00+00:00,1779365159896538644,10,1,42004058,A,A,0,29261000000000,1,128,13224,434243562,29259750000000,29261000000000,2,2,2,2,29259500000000,29261250000000,2,4,2,4,29259250000000,29261500000000,5,2,4,2,29259000000000,29261750000000,3,5,3,5,29258750000000,29262000000000,4,3,3,2,29258500000000,29262250000000,4,2,3,2,29258250000000,29262500000000,2,2,2,2,29258000000000,29262750000000,4,4,3,4,29257750000000,29263250000000,3,3,2,2,29257500000000,29263500000000,4,4,3,4,NQ.c.0
2026-05-21 12:06:00+00:00,1779365219939104460,10,1,42004058,C,A,0,29248250000000,1,128,12559,434281847,29247000000000,29248500000000,2,3,2,2,29246750000000,29248750000000,4,3,4,2,29246500000000,29249000000000,3,5,3,4,29246250000000,29249500000000,5,5,4,4,29246000000000,29249750000000,4,6,3,4,29245750000000,29250000000000,5,2,4,2,29245500000000,29250500000000,3,3,2,2,29245250000000,29250750000000,4,4,3,3,29245000000000,29251000000000,5,4,4,4,29244750000000,29251250000000,5,3,4,3,NQ.c.0
2026-05-21 12:07:00+00:00,1779365279943644926,10,1,42004058,C,A,0,29248500000000,1,128,11329,434312677,29247500000000,29248750000000,1,1,1,1,29247250000000,29249000000000,3,3,3,3,29247000000000,29249250000000,4,3,3,3,29246750000000,29249500000000,4,4,4,3,29246500000000,29249750000000,4,4,4,3,29246250000000,29250000000000,3,4,3,3,29246000000000,29250250000000,7,3,3,2,29245750000000,29250500000000,4,3,3,2,29245500000000,29250750000000,4,4,3,3,29245250000000,29251000000000,2,4,2,3,NQ.c.0
2026-05-21 12:08:00+00:00,1779365339987445210,10,1,42004058,M,A,2,29251000000000,1,128,13410,434356360,29249250000000,29250500000000,1,1,1,1,29249000000000,29250750000000,4,2,4,2,29248750000000,29251000000000,1,3,1,3,29248500000000,29251250000000,2,3,2,2,29248250000000,29251500000000,3,4,3,3,29248000000000,29251750000000,3,4,3,3,29247750000000,29252000000000,2,4,2,3,29247250000000,29252500000000,2,2,2,2,29247000000000,29252750000000,3,2,3,2,29246500000000,29253000000000,2,2,2,2,NQ.c.0
2026-05-21 12:09:00+00:00,1779365399960315801,10,1,42004058,A,B,0,29253000000000,1,128,11230,434389138,29253000000000,29254250000000,2,1,2,1,29252750000000,29254500000000,4,1,4,1,29252500000000,29254750000000,1,3,1,3,29252250000000,29255000000000,3,1,2,1,29252000000000,29255250000000,7,3,7,2,29251750000000,29255500000000,5,4,5,3,29251500000000,29255750000000,4,3,3,2,29250750000000,29256000000000,2,5,2,4,29250500000000,29257250000000,2,5,2,4,29249750000000,29257500000000,3,5,3,4,NQ.c.0
2026-05-21 12:10:00+00:00,1779365459930386939,10,1,42004058,A,A,2,29246750000000,1,128,14754,434424125,29245250000000,29246250000000,2,1,1,1,29245000000000,29246500000000,1,1,1,1,29244750000000,29246750000000,2,4,2,3,29244500000000,29247000000000,2,4,2,3,29244000000000,29247250000000,3,3,3,2,29243750000000,29247500000000,1,2,1,2,29243500000000,29247750000000,3,3,3,2,29243250000000,29248000000000,2,3,2,3,29243000000000,29248250000000,2,5,2,4,29242750000000,29248500000000,3,3,3,3,NQ.c.0
2026-05-21 12:11:00+00:00,1779365519992851518,10,1,42004058,C,A,1,29252000000000,1,128,12638,434454907,29250250000000,29251750000000,2,1,2,1,29250000000000,29252000000000,3,3,3,3,29249750000000,29252250000000,3,2,3,2,29249500000000,29252500000000,3,1,3,1,29249250000000,29252750000000,2,4,2,4,29249000000000,29253000000000,3,5,3,4,29248750000000,29253250000000,2,3,2,2,29248500000000,29253500000000,3,3,3,2,29248250000000,29254000000000,3,2,3,2,29248000000000,29254250000000,5,2,5,2,NQ.c.0
2026-05-21 12:12:00+00:00,1779365579874412231,10,1,42004058,A,A,1,29245000000000,1,128,13774,434478967,29243500000000,29244750000000,1,1,1,1,29243250000000,29245000000000,2,3,2,3,29243000000000,29245250000000,3,2,3,2,29242750000000,29245500000000,2,3,2,3,29242500000000,29245750000000,1,4,1,3,29242250000000,29246000000000,2,3,2,3,29242000000000,29246250000000,4,4,4,3,29241750000000,29246500000000,1,4,1,3,29241500000000,29246750000000,4,3,3,2,29241250000000,29247000000000,3,4,2,3,NQ.c.0
2026-05-21 12:13:00+00:00,1779365639999630569,10,1,42004058,A,A,2,29233000000000,1,128,11024,434522235,29230750000000,29232250000000,1,1,1,1,29230500000000,29232500000000,2,1,2,1,29230250000000,29233000000000,2,3,2,3,29230000000000,29233250000000,1,1,1,1,29229750000000,29234000000000,1,2,1,2,29229500000000,29234250000000,1,2,1,2,29229250000000,29234500000000,1,3,1,3,29228750000000,29234750000000,1,1,1,1,29228500000000,29236000000000,1,4,1,4,29228000000000,29237000000000,2,2,2,2,NQ.c.0
2026-05-21 12:14:00+00:00,1779365699983931452,10,1,42004058,A,A,0,29239750000000,1,128,11331,434555139,29238250000000,29239750000000,1,2,1,2,29238000000000,29240000000000,3,5,3,5,29237750000000,29240250000000,2,3,2,2,29237500000000,29240500000000,2,4,2,3,29237250000000,29240750000000,2,4,2,3,29236750000000,29241000000000,2,5,2,3,29236500000000,29241250000000,1,4,1,3,29236250000000,29241500000000,1,4,1,3,29236000000000,29241750000000,4,2,4,2,29235750000000,29242000000000,2,3,2,1,NQ.c.0
2026-05-21 12:15:00+00:00,1779365759988207841,10,1,42004058,C,A,3,29228750000000,1,128,15908,434595980,29226750000000,29228000000000,1,1,1,1,29226500000000,29228250000000,1,1,1,1,29226250000000,29228500000000,2,3,2,2,29226000000000,29229000000000,1,2,1,2,29225750000000,29229500000000,2,1,2,1,29225500000000,29229750000000,4,2,4,2,29225250000000,29230250000000,3,2,3,2,29225000000000,29230500000000,1,3,1,3,29224750000000,29230750000000,3,3,3,3,29224500000000,29232000000000,2,5,2,5,NQ.c.0
2026-05-21 12:16:00+00:00,1779365819917107514,10,1,42004058,A,A,2,29237500000000,1,128,12572,434635449,29235750000000,29237000000000,2,1,2,1,29235500000000,29237250000000,2,2,2,2,29235250000000,29237500000000,3,1,3,1,29235000000000,29237750000000,2,4,2,3,29234750000000,29238000000000,1,4,1,3,29234500000000,29238250000000,3,3,3,2,29234250000000,29238500000000,1,3,1,3,29234000000000,29238750000000,2,4,2,4,29233750000000,29239000000000,1,3,1,3,29233500000000,29239250000000,1,3,1,3,NQ.c.0
2026-05-21 12:17:00+00:00,1779365879975442748,10,1,42004058,A,A,1,29245250000000,1,128,11561,434669794,29243750000000,29245000000000,1,4,1,4,29243500000000,29245250000000,1,1,1,1,29243250000000,29245500000000,2,6,2,5,29243000000000,29245750000000,4,4,4,3,29242750000000,29246000000000,3,3,3,3,29242500000000,29246250000000,2,5,2,4,29242250000000,29246500000000,2,2,2,2,29242000000000,29247000000000,2,2,2,2,29241750000000,29247500000000,5,3,4,3,29241500000000,29247750000000,6,2,6,2,NQ.c.0
2026-05-21 12:18:00+00:00,1779365939996490319,10,1,42004058,A,A,1,29247000000000,1,128,13153,434700455,29245250000000,29246750000000,2,1,2,1,29245000000000,29247000000000,2,5,2,4,29244750000000,29247250000000,3,3,3,2,29244500000000,29247500000000,3,3,3,3,29244000000000,29247750000000,3,4,3,3,29243250000000,29248000000000,1,4,1,4,29243000000000,29248250000000,1,3,1,2,29242750000000,29248500000000,2,3,2,3,29242500000000,29248750000000,2,2,2,2,29242000000000,29249000000000,4,3,3,3,NQ.c.0
2026-05-21 12:19:00+00:00,1779365999972317451,10,1,42004058,A,B,2,29260000000000,1,128,13018,434735328,29260500000000,29261250000000,1,1,1,1,29260250000000,29261500000000,1,2,1,2,29260000000000,29261750000000,3,4,3,3,29259750000000,29262000000000,1,3,1,2,29259500000000,29262250000000,1,3,1,2,29259250000000,29262500000000,4,3,3,2,29259000000000,29263250000000,4,4,3,3,29258750000000,29263500000000,4,1,3,1,29258500000000,29263750000000,4,1,3,1,29258250000000,29264000000000,1,2,1,2,NQ.c.0
2026-05-21 12:20:00+00:00,1779366059832504172,10,1,42004058,A,B,0,29242250000000,1,128,11141,434779250,29242250000000,29243750000000,3,2,3,2,29242000000000,29244000000000,3,5,3,4,29241500000000,29244250000000,2,3,2,2,29241000000000,29244500000000,2,5,2,4,29240750000000,29244750000000,2,5,2,4,29240500000000,29245000000000,3,4,3,4,29240250000000,29245250000000,2,3,2,3,29240000000000,29245750000000,6,5,5,4,29239750000000,29246000000000,3,2,2,2,29239250000000,29246500000000,4,3,3,3,NQ.c.0
