ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-06 12:00:00+00:00,1775476859968981071,10,1,42004058,C,B,0,24304750000000,1,128,13528,18967357,24304500000000,24305750000000,2,3,2,3,24304250000000,24306000000000,3,3,3,3,24304000000000,24306500000000,3,4,3,4,24303750000000,24306750000000,2,3,2,3,24303500000000,24307000000000,1,2,1,2,24303250000000,24307250000000,1,2,1,2,24303000000000,24307500000000,4,4,4,4,24302750000000,24307750000000,2,4,2,4,24302500000000,24308000000000,2,6,2,5,24302250000000,24308250000000,3,4,3,4,NQ.c.0
2026-04-06 12:01:00+00:00,1775476919669118975,10,1,42004058,A,B,5,24303750000000,1,128,12429,18986198,24305000000000,24306000000000,2,1,2,1,24304750000000,24306250000000,2,1,2,1,24304500000000,24306500000000,3,3,3,3,24304250000000,24306750000000,5,2,5,2,24304000000000,24307000000000,3,3,3,3,24303750000000,24307250000000,2,3,2,3,24303500000000,24307500000000,4,5,4,5,24303250000000,24307750000000,2,4,2,4,24303000000000,24308000000000,1,5,1,4,24302750000000,24308250000000,2,4,2,4,NQ.c.0
2026-04-06 12:02:00+00:00,1775476979928036795,10,1,42004058,C,B,1,24297000000000,1,128,23372,19015026,24297250000000,24298000000000,1,1,1,1,24297000000000,24298250000000,1,1,1,1,24296750000000,24298500000000,1,4,1,4,24296500000000,24299000000000,2,1,2,1,24296250000000,24299250000000,3,4,3,4,24296000000000,24299500000000,3,3,3,3,24295750000000,24299750000000,3,1,3,1,24295500000000,24300250000000,4,2,4,2,24295000000000,24301000000000,3,2,3,2,24294250000000,24301500000000,1,2,1,2,NQ.c.0
2026-04-06 12:03:00+00:00,1775477039885161204,10,1,42004058,C,A,0,24299750000000,1,128,10870,19034520,24299000000000,24300000000000,1,1,1,1,24298750000000,24300250000000,2,2,2,2,24298500000000,24300500000000,3,3,3,3,24298250000000,24301000000000,3,1,2,1,24298000000000,24301250000000,2,1,2,1,24297750000000,24301500000000,2,3,2,3,24297500000000,24301750000000,1,3,1,3,24297250000000,24302000000000,1,2,1,2,24297000000000,24302250000000,3,2,3,2,24296750000000,24302500000000,4,1,4,1,NQ.c.0
2026-04-06 12:04:00+00:00,1775477099299588006,10,1,42004058,M,A,1,24376500000000,1,128,10980,19052154,24300000000000,24301000000000,1,1,1,1,24299750000000,24301250000000,2,2,2,2,24299500000000,24301500000000,3,3,3,3,24299250000000,24301750000000,2,1,2,1,24299000000000,24302000000000,2,2,2,2,24298750000000,24302250000000,4,3,4,3,24298500000000,24302500000000,4,2,4,2,24298250000000,24302750000000,3,1,3,1,24298000000000,24303000000000,2,3,2,3,24297500000000,24303250000000,2,2,2,2,NQ.c.0
2026-04-06 12:05:00+00:00,1775477159969008019,10,1,42004058,C,B,0,24303500000000,1,128,16148,19066243,24303250000000,24304500000000,2,1,2,1,24303000000000,24304750000000,3,3,3,3,24302750000000,24305000000000,1,3,1,3,24302500000000,24305250000000,1,4,1,4,24302250000000,24305500000000,4,3,4,3,24302000000000,24305750000000,4,2,4,2,24301750000000,24306000000000,3,1,3,1,24301500000000,24306250000000,4,7,4,3,24301250000000,24306500000000,4,3,4,3,24301000000000,24306750000000,2,3,2,3,NQ.c.0
2026-04-06 12:06:00+00:00,1775477219498935577,10,1,42004058,C,B,0,24303750000000,1,128,12815,19081532,24303500000000,24304500000000,2,1,2,1,24303250000000,24304750000000,4,3,4,1,24303000000000,24305000000000,3,1,3,1,24302750000000,24305250000000,2,4,2,4,24302500000000,24305500000000,2,4,2,4,24302250000000,24305750000000,2,3,2,3,24302000000000,24306000000000,3,4,3,4,24301750000000,24306250000000,2,5,2,5,24301500000000,24306500000000,4,5,4,5,24301250000000,24306750000000,4,5,4,5,NQ.c.0
2026-04-06 12:07:00+00:00,1775477279468992574,10,1,42004058,A,B,7,24302000000000,1,128,13336,19095778,24303750000000,24304750000000,1,1,1,1,24303500000000,24305000000000,3,4,3,4,24303250000000,24305250000000,1,3,1,3,24303000000000,24305500000000,1,4,1,4,24302750000000,24305750000000,2,3,2,3,24302500000000,24306000000000,1,3,1,3,24302250000000,24306250000000,2,3,2,3,24302000000000,24306500000000,1,4,1,4,24301750000000,24306750000000,1,4,1,4,24301500000000,24307000000000,2,7,2,5,NQ.c.0
2026-04-06 12:08:00+00:00,1775477339405070982,10,1,42004058,C,A,0,24308750000000,1,128,11261,19109258,24308000000000,24309000000000,1,2,1,2,24307750000000,24309250000000,2,2,2,2,24307500000000,24309500000000,3,3,3,3,24307250000000,24309750000000,2,2,2,2,24307000000000,24310000000000,3,4,3,4,24306750000000,24310250000000,3,3,3,3,24306250000000,24310500000000,1,3,1,3,24306000000000,24310750000000,3,5,3,5,24305500000000,24311000000000,1,7,1,6,24305250000000,24311250000000,5,1,5,1,NQ.c.0
2026-04-06 12:09:00+00:00,1775477399208506940,10,1,42004058,A,B,1,24303750000000,1,128,12412,19119789,24304000000000,24304750000000,1,1,1,1,24303750000000,24305000000000,3,1,3,1,24303500000000,24305250000000,3,4,3,4,24303250000000,24305500000000,2,2,2,2,24303000000000,24305750000000,2,3,2,3,24302750000000,24306000000000,2,2,2,2,24302500000000,24306250000000,3,3,3,3,24302250000000,24306500000000,2,1,2,1,24302000000000,24306750000000,3,2,3,2,24301750000000,24307000000000,2,3,2,3,NQ.c.0
