ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-11 12:00:00+00:00,1778500859967412342,10,1,42004058,C,B,0,29348000000000,1,128,11273,19541905,29347750000000,29348750000000,1,1,1,1,29347500000000,29349000000000,3,4,3,4,29347250000000,29349250000000,4,2,4,2,29347000000000,29349500000000,2,3,2,3,29346750000000,29349750000000,2,3,2,2,29346500000000,29350000000000,2,2,2,2,29346250000000,29350250000000,2,1,2,1,29345750000000,29350500000000,2,5,2,5,29345500000000,29350750000000,3,4,3,4,29345250000000,29351000000000,3,3,3,3,NQ.c.0
2026-05-11 12:01:00+00:00,1778500919838518102,10,1,42004058,A,A,0,29351750000000,1,128,12232,19572693,29351000000000,29351750000000,1,2,1,2,29350750000000,29352000000000,2,3,2,3,29350500000000,29352250000000,3,4,3,4,29350250000000,29352500000000,2,4,2,4,29350000000000,29352750000000,4,7,4,7,29349750000000,29353000000000,4,7,4,6,29349500000000,29353250000000,5,7,5,6,29349250000000,29353500000000,3,7,3,4,29349000000000,29353750000000,3,3,3,3,29348750000000,29354000000000,3,6,3,6,NQ.c.0
2026-05-11 12:02:00+00:00,1778500979998365835,10,1,42004058,A,B,0,29335250000000,1,128,12869,19607345,29335250000000,29336000000000,1,1,1,1,29335000000000,29336250000000,4,2,3,2,29334750000000,29336500000000,4,5,4,5,29334500000000,29336750000000,2,3,2,3,29334250000000,29337000000000,2,2,2,2,29334000000000,29337250000000,6,2,6,2,29333750000000,29337500000000,2,1,2,1,29333500000000,29337750000000,1,2,1,2,29333250000000,29338000000000,3,2,3,2,29333000000000,29338250000000,3,1,3,1,NQ.c.0
2026-05-11 12:03:00+00:00,1778501039758150764,10,1,42004058,C,A,1,29333000000000,1,128,11574,19656018,29332000000000,29332750000000,2,1,2,1,29331750000000,29333000000000,3,1,3,1,29331500000000,29333250000000,3,1,3,1,29331250000000,29333500000000,3,3,3,3,29331000000000,29333750000000,4,3,4,3,29330750000000,29334000000000,2,1,2,1,29330500000000,29334250000000,4,3,4,3,29330250000000,29334500000000,3,6,3,6,29330000000000,29334750000000,4,4,4,4,29329750000000,29335000000000,3,3,3,3,NQ.c.0
2026-05-11 12:04:00+00:00,1778501099922697509,10,1,42004058,A,B,2,29323500000000,1,128,13777,19689964,29324000000000,29324750000000,2,1,2,1,29323750000000,29325000000000,2,1,2,1,29323500000000,29325250000000,2,2,2,2,29323250000000,29325500000000,1,2,1,2,29323000000000,29325750000000,4,3,4,3,29322750000000,29326000000000,2,2,2,2,29322500000000,29326250000000,3,1,3,1,29322250000000,29326500000000,2,3,2,3,29322000000000,29326750000000,2,4,2,4,29321750000000,29327000000000,1,2,1,2,NQ.c.0
2026-05-11 12:05:00+00:00,1778501159899661627,10,1,42004058,C,B,0,29318750000000,1,128,14075,19722719,29318750000000,29319500000000,1,1,1,1,29318500000000,29319750000000,4,2,4,2,29318250000000,29320000000000,3,2,3,2,29318000000000,29320250000000,1,2,1,2,29317750000000,29320500000000,3,4,3,4,29317500000000,29320750000000,3,3,3,3,29317250000000,29321250000000,3,2,3,2,29317000000000,29321500000000,2,2,2,2,29316750000000,29321750000000,2,3,2,3,29316500000000,29322000000000,3,4,3,4,NQ.c.0
2026-05-11 12:06:00+00:00,1778501219973290390,10,1,42004058,M,A,4,29315500000000,1,128,12353,19762262,29313500000000,29314250000000,1,1,1,1,29313250000000,29314500000000,3,2,3,2,29313000000000,29314750000000,3,2,3,2,29312750000000,29315000000000,3,1,3,1,29312500000000,29315500000000,12,1,3,1,29312250000000,29315750000000,3,3,3,3,29312000000000,29316000000000,4,4,4,4,29311750000000,29316250000000,4,3,4,3,29311500000000,29316500000000,2,3,2,3,29311250000000,29316750000000,3,4,3,4,NQ.c.0
2026-05-11 12:07:00+00:00,1778501279980767283,10,1,42004058,C,B,0,29306500000000,1,128,11096,19801723,29306500000000,29307250000000,3,1,3,1,29306250000000,29307500000000,3,1,3,1,29306000000000,29307750000000,3,2,3,2,29305750000000,29308000000000,4,2,4,2,29305500000000,29308250000000,4,1,2,1,29305250000000,29308500000000,2,3,2,3,29305000000000,29308750000000,4,1,4,1,29304500000000,29309250000000,1,1,1,1,29304250000000,29309500000000,3,4,3,4,29304000000000,29309750000000,4,3,4,3,NQ.c.0
2026-05-11 12:08:00+00:00,1778501339922700186,10,1,42004058,A,B,3,29311000000000,1,128,12559,19838259,29311750000000,29312750000000,1,1,1,1,29311500000000,29313000000000,2,4,2,4,29311250000000,29313250000000,1,3,1,3,29311000000000,29313500000000,3,4,3,4,29310750000000,29313750000000,2,5,2,5,29310500000000,29314000000000,3,3,3,3,29310250000000,29314500000000,3,1,3,1,29310000000000,29314750000000,3,5,3,5,29309750000000,29315000000000,1,3,1,3,29309500000000,29315250000000,4,3,4,3,NQ.c.0
2026-05-11 12:09:00+00:00,1778501399972714191,10,1,42004058,A,A,0,29305750000000,1,128,13177,19870777,29305000000000,29305750000000,1,1,1,1,29304750000000,29306000000000,2,2,2,2,29304500000000,29306250000000,3,3,3,3,29304250000000,29306500000000,1,3,1,3,29304000000000,29306750000000,2,1,2,1,29303500000000,29307000000000,2,4,2,4,29303250000000,29307250000000,2,6,2,6,29303000000000,29307500000000,1,4,1,4,29302750000000,29307750000000,2,2,2,2,29302500000000,29308000000000,2,3,2,3,NQ.c.0
