ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-25 13:00:00+00:00,1772024459996439478,10,1,42002475,M,B,6,25135750000000,1,128,13294,215662290,25137250000000,25138000000000,1,1,1,1,25137000000000,25138250000000,1,1,1,1,25136750000000,25138500000000,4,2,4,2,25136500000000,25138750000000,6,2,6,2,25136250000000,25139000000000,6,2,6,2,25136000000000,25139250000000,8,2,8,2,25135750000000,25139500000000,1,4,1,4,25135500000000,25139750000000,3,3,3,3,25135250000000,25140000000000,3,5,3,5,25135000000000,25140250000000,1,5,1,5,NQ.c.0
2026-02-25 13:01:00+00:00,1772024519398566303,10,1,42002475,A,A,2,25140000000000,1,128,12485,215682442,25138750000000,25139500000000,1,1,1,1,25138500000000,25139750000000,1,1,1,1,25138250000000,25140000000000,2,3,2,3,25138000000000,25140250000000,4,4,4,4,25137750000000,25140500000000,2,2,2,2,25137500000000,25140750000000,1,1,1,1,25137250000000,25141000000000,2,2,2,2,25137000000000,25141250000000,2,3,2,3,25136750000000,25141500000000,2,4,2,4,25136500000000,25141750000000,4,2,4,2,NQ.c.0
2026-02-25 13:02:00+00:00,1772024579700142917,10,1,42002475,C,A,3,25143500000000,1,128,16232,215701538,25141750000000,25142750000000,3,1,3,1,25141500000000,25143000000000,3,5,3,5,25141250000000,25143250000000,2,2,2,2,25141000000000,25143500000000,2,4,2,4,25140750000000,25143750000000,4,4,4,4,25140500000000,25144000000000,2,8,2,8,25140250000000,25144250000000,3,5,3,5,25140000000000,25144500000000,6,6,6,6,25139750000000,25144750000000,4,5,4,5,25139500000000,25145000000000,3,7,3,7,NQ.c.0
2026-02-25 13:03:00+00:00,1772024639980189450,10,1,42002475,C,A,0,25144500000000,1,128,12384,215718153,25143750000000,25144500000000,1,1,1,1,25143500000000,25144750000000,1,4,1,4,25143250000000,25145000000000,1,3,1,3,25143000000000,25145250000000,3,2,3,2,25142750000000,25145500000000,1,3,1,3,25142500000000,25145750000000,1,3,1,3,25142250000000,25146000000000,4,7,4,6,25142000000000,25146250000000,7,6,7,5,25141750000000,25146500000000,4,5,4,5,25141500000000,25146750000000,4,8,4,8,NQ.c.0
2026-02-25 13:04:00+00:00,1772024699990058183,10,1,42002475,A,B,1,25138750000000,1,128,13366,215745000,25139000000000,25139750000000,4,2,3,2,25138750000000,25140000000000,6,3,6,3,25138500000000,25140250000000,4,3,4,3,25138250000000,25140500000000,3,2,3,2,25138000000000,25140750000000,6,2,6,2,25137750000000,25141000000000,4,3,4,3,25137500000000,25141250000000,2,5,2,5,25137250000000,25141500000000,2,4,2,4,25137000000000,25141750000000,3,3,3,3,25136750000000,25142000000000,2,5,2,5,NQ.c.0
2026-02-25 13:05:00+00:00,1772024759680118522,10,1,42002475,A,A,7,25147500000000,1,128,13212,215765187,25145000000000,25145750000000,3,1,2,1,25144750000000,25146000000000,2,8,2,4,25144500000000,25146250000000,2,5,2,4,25144250000000,25146500000000,2,4,2,4,25144000000000,25146750000000,6,7,6,7,25143750000000,25147000000000,5,7,5,7,25143500000000,25147250000000,1,4,1,4,25143250000000,25147500000000,3,7,3,7,25143000000000,25147750000000,1,4,1,4,25142750000000,25148000000000,2,13,2,11,NQ.c.0
2026-02-25 13:06:00+00:00,1772024819980076543,10,1,42002475,C,A,3,25143500000000,1,128,13364,215787262,25142250000000,25142750000000,1,1,1,1,25142000000000,25143000000000,2,1,2,1,25141750000000,25143250000000,5,3,5,3,25141500000000,25143500000000,3,2,3,2,25141250000000,25143750000000,4,4,4,4,25141000000000,25144000000000,4,7,4,7,25140750000000,25144250000000,4,4,4,4,25140500000000,25144500000000,3,4,3,4,25140250000000,25144750000000,3,3,3,3,25140000000000,25145000000000,5,3,5,3,NQ.c.0
2026-02-25 13:07:00+00:00,1772024879715631280,10,1,42002475,C,B,0,25143000000000,1,128,11046,215801900,25142750000000,25143500000000,1,1,1,1,25142500000000,25143750000000,3,2,3,2,25142250000000,25144000000000,2,4,2,4,25142000000000,25144250000000,3,3,3,3,25141750000000,25144500000000,2,4,2,4,25141500000000,25144750000000,2,3,2,3,25141250000000,25145000000000,4,3,4,3,25141000000000,25145250000000,7,3,7,3,25140750000000,25145500000000,2,4,2,4,25140500000000,25145750000000,2,4,2,4,NQ.c.0
2026-02-25 13:08:00+00:00,1772024939903216384,10,1,42002475,A,B,0,25142500000000,1,128,10857,215819706,25142500000000,25143250000000,1,1,1,1,25142250000000,25143500000000,1,3,1,3,25142000000000,25143750000000,2,2,2,2,25141750000000,25144000000000,4,4,4,4,25141500000000,25144500000000,3,3,3,3,25141250000000,25144750000000,5,1,5,1,25141000000000,25145000000000,5,3,5,3,25140750000000,25145250000000,3,4,3,4,25140500000000,25145500000000,2,5,2,5,25140250000000,25145750000000,4,3,4,3,NQ.c.0
2026-02-25 13:09:00+00:00,1772024999896978234,10,1,42002475,M,B,1,25139500000000,1,128,12941,215832952,25139750000000,25140250000000,2,2,2,2,25139500000000,25140750000000,3,1,3,1,25139250000000,25141000000000,2,2,2,2,25139000000000,25141250000000,2,2,2,2,25138750000000,25141500000000,5,3,5,3,25138500000000,25141750000000,4,5,4,5,25138250000000,25142000000000,5,6,5,6,25138000000000,25142250000000,7,4,7,4,25137750000000,25142500000000,4,6,4,6,25137500000000,25142750000000,3,3,3,3,NQ.c.0
2026-02-25 13:10:00+00:00,1772025059968103528,10,1,42002475,A,B,0,25141000000000,1,128,11031,215850461,25141000000000,25141750000000,2,1,2,1,25140750000000,25142000000000,4,2,4,2,25140500000000,25142250000000,2,3,2,3,25140250000000,25142500000000,6,3,6,3,25140000000000,25142750000000,6,2,6,2,25139750000000,25143000000000,4,4,4,4,25139500000000,25143250000000,5,4,5,4,25139250000000,25143500000000,2,4,2,4,25139000000000,25143750000000,3,7,3,7,25138750000000,25144000000000,5,6,5,6,NQ.c.0
2026-02-25 13:11:00+00:00,1772025119880346831,10,1,42002475,C,A,1,25148250000000,1,128,11031,215862980,25147250000000,25148000000000,1,1,1,1,25147000000000,25148250000000,4,3,4,3,25146750000000,25148500000000,14,5,5,5,25146500000000,25148750000000,3,5,3,5,25146250000000,25149000000000,2,5,2,5,25146000000000,25149250000000,4,6,4,6,25145750000000,25149500000000,4,4,4,4,25145500000000,25149750000000,3,7,3,7,25145250000000,25150000000000,4,13,4,10,25145000000000,25150250000000,4,2,4,2,NQ.c.0
2026-02-25 13:12:00+00:00,1772025179603043739,10,1,42002475,C,B,2,25144500000000,1,128,13408,215877734,25145000000000,25145500000000,1,1,1,1,25144750000000,25145750000000,1,3,1,2,25144500000000,25146000000000,1,3,1,3,25144250000000,25146250000000,3,2,3,2,25144000000000,25146500000000,3,6,3,6,25143750000000,25146750000000,3,8,3,8,25143500000000,25147000000000,5,4,1,4,25143250000000,25147250000000,3,3,3,3,25143000000000,25147500000000,4,4,4,4,25142750000000,25147750000000,4,5,4,5,NQ.c.0
2026-02-25 13:13:00+00:00,1772025239980081082,10,1,42002475,A,A,1,25149250000000,1,128,13034,215893386,25148250000000,25149000000000,2,2,2,1,25148000000000,25149250000000,4,3,4,3,25147750000000,25149500000000,3,2,3,2,25147500000000,25149750000000,3,4,3,4,25147250000000,25150000000000,4,15,4,11,25147000000000,25150250000000,4,4,4,4,25146750000000,25150500000000,4,5,4,5,25146500000000,25150750000000,4,5,4,5,25146250000000,25151000000000,5,6,5,6,25146000000000,25151250000000,5,3,5,3,NQ.c.0
2026-02-25 13:14:00+00:00,1772025299756799775,10,1,42002475,C,B,0,25149000000000,1,128,12264,215909764,25149000000000,25149750000000,1,1,1,1,25148750000000,25150000000000,5,3,5,2,25148500000000,25150250000000,4,3,4,3,25148250000000,25150500000000,2,2,2,2,25148000000000,25150750000000,6,4,6,4,25147750000000,25151000000000,4,2,4,2,25147500000000,25151250000000,4,5,4,5,25147250000000,25151500000000,4,1,4,1,25147000000000,25151750000000,4,4,4,4,25146750000000,25152000000000,4,6,4,6,NQ.c.0
2026-02-25 13:15:00+00:00,1772025359993947647,10,1,42002475,A,A,0,25144250000000,1,128,13087,215930870,25143500000000,25144250000000,1,2,1,2,25143250000000,25144500000000,4,1,4,1,25143000000000,25144750000000,3,4,3,4,25142750000000,25145000000000,3,6,3,6,25142500000000,25145250000000,5,5,5,5,25142250000000,25145500000000,8,7,8,7,25142000000000,25145750000000,9,8,9,8,25141750000000,25146000000000,5,8,5,8,25141500000000,25146250000000,3,6,3,4,25141250000000,25146500000000,4,4,4,4,NQ.c.0
2026-02-25 13:16:00+00:00,1772025419211285143,10,1,42002475,A,B,4,25139250000000,1,128,13308,215948423,25140250000000,25141000000000,1,1,1,1,25140000000000,25141250000000,6,3,4,3,25139750000000,25141500000000,3,2,3,2,25139500000000,25141750000000,4,3,4,3,25139250000000,25142000000000,4,4,4,4,25139000000000,25142250000000,4,4,4,4,25138750000000,25142500000000,4,7,4,7,25138500000000,25142750000000,5,4,5,4,25138250000000,25143000000000,6,5,6,5,25138000000000,25143250000000,9,2,9,2,NQ.c.0
2026-02-25 13:17:00+00:00,1772025479704221834,10,1,42002475,A,A,0,25144250000000,1,128,12470,215963267,25143500000000,25144250000000,1,1,1,1,25143250000000,25144500000000,2,3,2,3,25143000000000,25144750000000,1,4,1,4,25142750000000,25145000000000,1,5,1,5,25142500000000,25145250000000,3,2,3,2,25142250000000,25145500000000,5,2,5,2,25142000000000,25145750000000,5,3,5,3,25141750000000,25146000000000,4,4,4,4,25141500000000,25146250000000,5,3,5,3,25141250000000,25146500000000,4,6,4,5,NQ.c.0
2026-02-25 13:18:00+00:00,1772025539987007922,10,1,42002475,C,A,0,25145000000000,1,128,10965,215975717,25144250000000,25145000000000,1,2,1,2,25144000000000,25145250000000,2,5,2,4,25143750000000,25145500000000,3,2,3,2,25143500000000,25145750000000,2,3,2,3,25143250000000,25146000000000,2,4,2,4,25143000000000,25146250000000,4,5,4,5,25142750000000,25146500000000,4,3,4,3,25142500000000,25146750000000,5,6,5,6,25142250000000,25147000000000,5,6,5,6,25142000000000,25147250000000,5,2,5,2,NQ.c.0
2026-02-25 13:19:00+00:00,1772025599080159912,10,1,42002475,A,A,5,25141750000000,1,128,13977,215991261,25139750000000,25140500000000,1,1,1,1,25139500000000,25140750000000,2,3,2,3,25139250000000,25141000000000,2,4,2,4,25139000000000,25141250000000,3,3,3,3,25138750000000,25141500000000,5,3,5,3,25138500000000,25141750000000,4,3,4,3,25138250000000,25142000000000,3,5,3,5,25138000000000,25142250000000,8,5,8,5,25137750000000,25142500000000,4,5,4,5,25137500000000,25142750000000,5,6,5,6,NQ.c.0
2026-02-25 13:20:00+00:00,1772025659780098338,10,1,42002475,C,A,4,25140500000000,1,128,12880,216008804,25138750000000,25139500000000,12,3,3,3,25138500000000,25139750000000,3,5,2,5,25138250000000,25140000000000,1,5,1,5,25138000000000,25140250000000,5,3,5,3,25137750000000,25140500000000,3,3,3,3,25137500000000,25140750000000,3,5,3,5,25137250000000,25141000000000,4,5,4,5,25137000000000,25141250000000,3,4,3,4,25136750000000,25141500000000,4,5,4,5,25136500000000,25141750000000,5,3,5,3,NQ.c.0
