ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-07-03 12:00:00+00:00,1783080059944167214,10,1,42004177,M,B,0,29914000000000,1,128,12552,505667995,29914000000000,29915750000000,3,1,3,1,29913750000000,29916000000000,3,1,3,1,29913500000000,29916250000000,2,3,2,3,29913250000000,29916500000000,3,3,3,3,29913000000000,29916750000000,4,2,4,2,29912750000000,29917000000000,4,2,4,2,29912500000000,29917500000000,3,2,3,2,29912250000000,29917750000000,1,2,1,2,29912000000000,29918750000000,4,1,4,1,29911750000000,29919000000000,6,1,3,1,NQ.c.0
2026-07-03 12:01:00+00:00,1783080119875399595,10,1,42004177,A,A,3,29919000000000,1,128,13312,505681336,29917000000000,29918250000000,1,1,1,1,29916750000000,29918500000000,1,1,1,1,29916500000000,29918750000000,3,1,3,1,29916250000000,29919000000000,2,1,2,1,29916000000000,29919500000000,1,3,1,3,29915750000000,29919750000000,4,2,4,2,29915500000000,29920000000000,3,8,3,3,29915000000000,29920250000000,4,1,4,1,29914750000000,29920500000000,3,1,3,1,29914500000000,29920750000000,2,2,2,1,NQ.c.0
2026-07-03 12:02:00+00:00,1783080179518051761,10,1,42004177,A,B,4,29914000000000,1,128,13491,505697232,29915000000000,29917000000000,3,1,3,1,29914750000000,29917250000000,3,1,3,1,29914500000000,29917500000000,2,3,2,3,29914250000000,29917750000000,2,2,2,2,29914000000000,29918000000000,1,1,1,1,29913750000000,29918250000000,2,2,2,2,29913500000000,29918500000000,1,2,1,2,29913250000000,29919000000000,2,2,2,2,29913000000000,29919500000000,3,1,3,1,29912750000000,29919750000000,1,4,1,4,NQ.c.0
2026-07-03 12:03:00+00:00,1783080239975727270,10,1,42004177,A,A,2,29914500000000,1,128,12843,505713421,29912250000000,29914000000000,2,2,2,2,29912000000000,29914250000000,4,1,4,1,29911750000000,29914500000000,2,3,2,3,29911250000000,29915000000000,2,5,2,5,29911000000000,29915250000000,3,2,2,2,29910750000000,29915500000000,1,2,1,2,29910500000000,29915750000000,3,4,3,4,29910250000000,29916000000000,2,1,2,1,29910000000000,29916250000000,1,3,1,3,29909750000000,29916500000000,1,3,1,3,NQ.c.0
2026-07-03 12:04:00+00:00,1783080299985500430,10,1,42004177,A,B,5,29908750000000,1,128,12768,505728425,29910250000000,29911500000000,1,1,1,1,29910000000000,29911750000000,3,3,3,3,29909750000000,29912000000000,3,3,1,3,29909500000000,29912250000000,1,2,1,2,29909000000000,29912500000000,2,2,2,2,29908750000000,29912750000000,3,1,3,1,29908500000000,29913000000000,3,1,3,1,29908250000000,29913250000000,3,1,3,1,29908000000000,29913500000000,3,2,3,2,29907750000000,29914000000000,3,1,3,1,NQ.c.0
2026-07-03 12:05:00+00:00,1783080357758081945,10,1,42004177,A,B,0,29909000000000,1,128,13129,505742305,29909000000000,29910000000000,2,1,2,1,29908750000000,29910500000000,1,2,1,2,29908500000000,29910750000000,3,2,3,2,29908250000000,29911250000000,1,2,1,2,29908000000000,29911500000000,3,2,3,2,29907750000000,29911750000000,3,1,3,1,29907500000000,29912000000000,2,3,2,3,29907250000000,29912250000000,3,2,3,2,29906750000000,29912500000000,1,3,1,3,29906500000000,29912750000000,2,1,2,1,NQ.c.0
2026-07-03 12:06:00+00:00,1783080419989914283,10,1,42004177,A,A,1,29919750000000,1,128,11129,505766087,29917750000000,29919500000000,3,2,3,2,29917500000000,29919750000000,3,4,3,4,29917000000000,29920000000000,2,9,2,4,29916750000000,29920250000000,2,3,2,2,29916500000000,29920750000000,3,3,3,2,29916250000000,29921000000000,3,2,3,2,29916000000000,29921250000000,1,1,1,1,29915750000000,29921500000000,3,5,3,5,29915500000000,29921750000000,3,1,3,1,29915250000000,29922000000000,2,3,2,3,NQ.c.0
2026-07-03 12:07:00+00:00,1783080479895346859,10,1,42004177,M,A,1,29914250000000,1,128,11757,505782184,29912500000000,29914000000000,2,1,2,1,29912250000000,29914250000000,3,3,3,3,29912000000000,29914500000000,2,3,2,3,29911750000000,29914750000000,3,2,3,2,29911500000000,29915000000000,2,2,2,2,29911250000000,29915500000000,2,7,2,4,29911000000000,29915750000000,2,3,2,3,29910750000000,29916000000000,1,3,1,3,29910500000000,29916250000000,3,2,3,2,29910250000000,29916500000000,2,2,2,2,NQ.c.0
2026-07-03 12:08:00+00:00,1783080539972367059,10,1,42004177,C,B,1,29914250000000,1,128,10945,505792506,29914500000000,29915500000000,1,1,1,1,29914000000000,29915750000000,2,2,2,2,29913750000000,29916000000000,2,2,2,2,29913500000000,29916250000000,2,3,2,3,29913250000000,29916500000000,2,2,2,2,29912500000000,29916750000000,3,2,3,2,29912250000000,29917000000000,2,3,2,3,29912000000000,29917500000000,3,3,3,3,29911750000000,29917750000000,2,2,2,2,29911500000000,29918000000000,3,1,3,1,NQ.c.0
2026-07-03 12:09:00+00:00,1783080599640789907,10,1,42004177,M,A,1,29910750000000,1,128,12678,505808277,29909250000000,29910500000000,1,1,1,1,29909000000000,29910750000000,2,4,2,4,29908750000000,29911000000000,2,2,2,2,29908500000000,29911250000000,2,1,2,1,29908250000000,29911500000000,2,3,2,3,29908000000000,29911750000000,2,1,2,1,29907750000000,29912000000000,4,3,4,3,29907500000000,29912250000000,1,3,1,3,29907250000000,29912500000000,3,4,3,4,29907000000000,29912750000000,3,1,3,1,NQ.c.0
