ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-07-08 12:00:00+00:00,1783512059918714030,10,1,42004177,C,A,1,29057250000000,1,128,11063,261396474,29055250000000,29057000000000,1,1,1,1,29055000000000,29057500000000,2,2,2,2,29054750000000,29057750000000,3,3,3,3,29054500000000,29058000000000,2,3,2,3,29054250000000,29058250000000,2,4,2,4,29054000000000,29058500000000,3,2,3,2,29053750000000,29058750000000,2,2,2,2,29053250000000,29059250000000,1,1,1,1,29052750000000,29059500000000,2,3,2,3,29052500000000,29059750000000,2,3,2,3,NQ.c.0
2026-07-08 12:01:00+00:00,1783512119999738363,10,1,42004177,M,B,0,29075250000000,1,128,12737,261468253,29075250000000,29078000000000,2,3,2,3,29075000000000,29078250000000,4,3,4,3,29074750000000,29078500000000,3,2,3,2,29074500000000,29078750000000,5,2,5,2,29074250000000,29079000000000,2,1,2,1,29074000000000,29079750000000,4,1,4,1,29073500000000,29080000000000,1,2,1,2,29073250000000,29080500000000,2,1,2,1,29073000000000,29081000000000,2,1,2,1,29072750000000,29081250000000,5,2,5,2,NQ.c.0
2026-07-08 12:02:00+00:00,1783512179873755919,10,1,42004177,A,B,0,29088000000000,1,128,11258,261514133,29088000000000,29089750000000,2,1,2,1,29087750000000,29090000000000,3,1,3,1,29087500000000,29090250000000,2,2,2,2,29087250000000,29090500000000,2,1,2,1,29087000000000,29090750000000,1,2,1,2,29086750000000,29091250000000,1,4,1,4,29086500000000,29091500000000,2,2,2,2,29086000000000,29091750000000,1,3,1,3,29085750000000,29092000000000,2,7,2,6,29085500000000,29092250000000,3,2,3,2,NQ.c.0
2026-07-08 12:03:00+00:00,1783512239895028751,10,1,42004177,M,A,2,29101250000000,1,128,12322,261565602,29098750000000,29100750000000,1,1,1,1,29098500000000,29101000000000,2,1,2,1,29098000000000,29101250000000,1,4,1,4,29097750000000,29101500000000,1,2,1,2,29097500000000,29101750000000,1,2,1,2,29097250000000,29102000000000,1,3,1,3,29097000000000,29102250000000,2,1,2,1,29096750000000,29102500000000,3,2,3,2,29096500000000,29102750000000,3,1,3,1,29096250000000,29103000000000,3,2,3,2,NQ.c.0
2026-07-08 12:04:00+00:00,1783512299997283544,10,1,42004177,C,B,0,29107750000000,1,128,11029,261602237,29107500000000,29109250000000,2,1,2,1,29107000000000,29109500000000,2,3,2,3,29106500000000,29109750000000,2,3,2,3,29106250000000,29111000000000,1,2,1,2,29106000000000,29111250000000,2,4,2,4,29105750000000,29111500000000,2,4,2,4,29105500000000,29111750000000,1,2,1,2,29105250000000,29112000000000,1,2,1,2,29104750000000,29112250000000,2,4,2,3,29104500000000,29112500000000,1,2,1,2,NQ.c.0
2026-07-08 12:05:00+00:00,1783512359920699119,10,1,42004177,M,B,0,29135250000000,1,128,12898,261694699,29135250000000,29137250000000,3,2,3,2,29135000000000,29137500000000,2,3,2,3,29134750000000,29137750000000,3,2,3,2,29134500000000,29138000000000,3,2,3,2,29134250000000,29138250000000,3,2,3,2,29134000000000,29138500000000,2,1,2,1,29133750000000,29138750000000,5,1,5,1,29133500000000,29139000000000,2,1,2,1,29133250000000,29139250000000,3,4,3,4,29133000000000,29139500000000,2,2,2,2,NQ.c.0
2026-07-08 12:06:00+00:00,1783512419955478367,10,1,42004177,A,A,0,29144750000000,1,128,13488,261760613,29142750000000,29144750000000,1,2,1,2,29142000000000,29145000000000,3,2,3,2,29141750000000,29145250000000,1,2,1,2,29141500000000,29145750000000,2,2,2,2,29141250000000,29147000000000,1,6,1,6,29140500000000,29147250000000,3,3,3,3,29140250000000,29147500000000,1,2,1,2,29140000000000,29147750000000,3,2,3,2,29139750000000,29148000000000,1,12,1,3,29139500000000,29148250000000,2,1,2,1,NQ.c.0
2026-07-08 12:07:00+00:00,1783512479994788027,10,1,42004177,C,A,0,29177000000000,1,128,15320,261858438,29175500000000,29177000000000,1,1,1,1,29175250000000,29177250000000,1,1,1,1,29175000000000,29177500000000,1,3,1,3,29174750000000,29177750000000,1,1,1,1,29174500000000,29178000000000,2,1,2,1,29174250000000,29178250000000,3,2,3,2,29174000000000,29178500000000,2,3,2,3,29173750000000,29178750000000,2,3,2,3,29173500000000,29179000000000,2,3,2,3,29173250000000,29179250000000,1,2,1,2,NQ.c.0
2026-07-08 12:08:00+00:00,1783512539968962241,10,1,42004177,C,B,0,29166500000000,1,128,11086,261939500,29166500000000,29168000000000,1,3,1,3,29166250000000,29168250000000,5,3,5,3,29166000000000,29168500000000,2,1,2,1,29165750000000,29168750000000,1,2,1,2,29165500000000,29169000000000,4,2,2,2,29165250000000,29169250000000,2,4,2,3,29165000000000,29169500000000,3,2,3,2,29164750000000,29169750000000,4,3,4,3,29164500000000,29170000000000,4,3,4,3,29164250000000,29170250000000,1,3,1,3,NQ.c.0
2026-07-08 12:09:00+00:00,1783512599391283343,10,1,42004177,M,B,6,29171000000000,1,128,11708,261996541,29173250000000,29174500000000,1,2,1,2,29172750000000,29174750000000,1,2,1,2,29172250000000,29175000000000,2,3,2,3,29172000000000,29175250000000,4,2,4,2,29171750000000,29175750000000,3,1,3,1,29171500000000,29176000000000,2,3,2,3,29171250000000,29176500000000,2,1,2,1,29171000000000,29177000000000,3,2,3,2,29170750000000,29177250000000,3,3,3,3,29170500000000,29177500000000,2,2,2,2,NQ.c.0
