ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-30 12:00:00+00:00,1777550459763605635,10,1,42004058,M,A,1,27523500000000,1,128,11218,293398701,27447000000000,27447750000000,1,1,1,1,27446750000000,27448000000000,3,2,3,2,27446500000000,27448250000000,2,5,2,5,27446250000000,27448500000000,1,3,1,3,27446000000000,27448750000000,4,2,3,2,27445750000000,27449000000000,4,2,4,2,27445500000000,27449250000000,2,4,2,4,27445250000000,27449500000000,3,2,3,2,27445000000000,27449750000000,3,3,3,3,27444750000000,27450000000000,2,7,2,4,NQ.c.0
2026-04-30 12:01:00+00:00,1777550519967107375,10,1,42004058,A,A,0,27453750000000,1,128,15459,293439506,27453000000000,27453750000000,1,2,1,2,27452750000000,27454000000000,1,5,1,5,27452500000000,27454250000000,3,2,3,2,27452250000000,27454500000000,2,6,2,6,27452000000000,27454750000000,3,2,3,2,27451750000000,27455000000000,2,3,2,3,27451500000000,27455250000000,2,2,2,2,27451000000000,27455500000000,3,2,3,2,27450750000000,27455750000000,3,2,3,2,27450500000000,27456000000000,4,4,4,4,NQ.c.0
2026-04-30 12:02:00+00:00,1777550579972953648,10,1,42004058,A,B,6,27443000000000,1,128,12867,293480296,27444500000000,27445000000000,1,1,1,1,27444250000000,27445250000000,2,2,2,2,27444000000000,27445500000000,2,3,2,3,27443750000000,27445750000000,2,3,2,3,27443500000000,27446000000000,2,2,2,2,27443250000000,27446250000000,3,3,3,3,27443000000000,27446500000000,6,3,6,3,27442750000000,27446750000000,4,4,4,4,27442500000000,27447000000000,3,2,3,2,27442250000000,27447250000000,2,3,2,3,NQ.c.0
2026-04-30 12:03:00+00:00,1777550639952000215,10,1,42004058,A,B,0,27441750000000,1,128,12415,293519528,27441750000000,27442750000000,3,1,3,1,27441500000000,27443000000000,4,3,4,3,27441250000000,27443250000000,3,1,3,1,27441000000000,27443500000000,4,1,4,1,27440750000000,27443750000000,2,1,2,1,27440500000000,27444000000000,2,4,2,4,27440000000000,27444250000000,4,4,4,4,27439750000000,27444500000000,4,3,4,3,27439500000000,27444750000000,1,3,1,3,27439250000000,27445000000000,2,3,2,3,NQ.c.0
2026-04-30 12:04:00+00:00,1777550699870541857,10,1,42004058,M,A,0,27452500000000,1,128,11134,293551000,27451500000000,27452500000000,2,5,1,5,27451250000000,27452750000000,2,5,1,5,27451000000000,27453000000000,1,5,1,5,27450750000000,27453250000000,4,4,4,4,27450500000000,27453500000000,3,3,3,3,27450250000000,27453750000000,4,6,4,2,27450000000000,27454000000000,3,5,3,4,27449750000000,27454250000000,2,3,2,3,27449500000000,27454500000000,3,2,3,2,27449250000000,27454750000000,3,2,3,2,NQ.c.0
2026-04-30 12:05:00+00:00,1777550759973976411,10,1,42004058,C,A,0,27442750000000,1,128,11185,293589483,27441750000000,27442750000000,1,1,1,1,27441500000000,27443000000000,3,4,3,4,27441250000000,27443250000000,3,2,3,2,27441000000000,27443500000000,2,4,2,4,27440750000000,27443750000000,3,3,3,3,27440500000000,27444000000000,2,3,2,3,27440000000000,27444500000000,2,2,2,2,27439750000000,27444750000000,3,3,3,3,27439500000000,27445000000000,2,2,2,2,27439250000000,27445250000000,3,1,3,1,NQ.c.0
2026-04-30 12:06:00+00:00,1777550819591079385,10,1,42004058,M,A,0,27456750000000,1,128,10965,293630924,27456000000000,27456750000000,1,1,1,1,27455750000000,27457000000000,2,1,2,1,27455500000000,27457250000000,2,4,2,4,27455250000000,27457500000000,2,3,2,3,27455000000000,27457750000000,2,3,2,3,27454750000000,27458000000000,2,3,2,3,27454500000000,27458250000000,6,3,6,3,27454250000000,27458500000000,5,2,5,2,27453750000000,27458750000000,4,2,4,2,27453500000000,27459000000000,5,3,5,3,NQ.c.0
2026-04-30 12:07:00+00:00,1777550879939986393,10,1,42004058,A,A,1,27463000000000,1,128,13199,293662584,27461750000000,27462750000000,1,6,1,5,27461500000000,27463000000000,1,3,1,3,27461250000000,27463250000000,3,3,3,3,27461000000000,27463500000000,3,5,3,5,27460500000000,27463750000000,5,4,3,4,27460250000000,27464000000000,4,5,4,5,27460000000000,27464250000000,3,4,3,4,27459750000000,27464500000000,3,1,3,1,27459500000000,27464750000000,2,2,2,2,27459250000000,27465000000000,3,4,3,4,NQ.c.0
2026-04-30 12:08:00+00:00,1777550939808287340,10,1,42004058,M,A,0,27462000000000,1,128,11403,293696927,27460750000000,27462000000000,2,4,2,4,27460500000000,27462250000000,2,4,2,4,27460250000000,27462500000000,3,3,3,3,27460000000000,27462750000000,2,2,2,2,27459750000000,27463000000000,2,3,2,3,27459500000000,27463250000000,3,3,3,3,27459250000000,27463500000000,4,3,4,3,27459000000000,27463750000000,4,3,4,3,27458750000000,27464000000000,4,2,4,2,27458500000000,27464250000000,3,4,3,4,NQ.c.0
2026-04-30 12:09:00+00:00,1777550999984603679,10,1,42004058,M,A,3,27539500000000,1,128,11180,293717303,27463750000000,27464250000000,1,4,1,4,27463500000000,27464500000000,2,1,2,1,27463250000000,27464750000000,3,1,3,1,27463000000000,27465000000000,1,1,1,1,27462750000000,27465250000000,1,2,1,2,27462500000000,27465500000000,2,3,1,3,27462250000000,27465750000000,1,4,1,4,27461750000000,27466000000000,3,4,3,4,27461500000000,27466500000000,3,3,3,3,27461250000000,27466750000000,3,4,3,4,NQ.c.0
