ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-18 12:00:00+00:00,1773835259961682713,10,1,42002475,C,A,0,24894250000000,1,128,12342,288162052,24892750000000,24894250000000,1,2,1,2,24892500000000,24894500000000,1,3,1,3,24892250000000,24894750000000,4,1,4,1,24892000000000,24895000000000,2,2,2,2,24891750000000,24895250000000,1,4,1,4,24891500000000,24895500000000,1,2,1,2,24891250000000,24895750000000,1,2,1,2,24891000000000,24896250000000,6,7,2,3,24890750000000,24896500000000,2,3,2,3,24890500000000,24896750000000,2,3,2,3,NQ.c.0
2026-03-18 12:01:00+00:00,1773835319993352018,10,1,42002475,C,A,0,24880750000000,1,128,10942,288238213,24879000000000,24880750000000,1,1,1,1,24878750000000,24881000000000,1,1,1,1,24878500000000,24881250000000,4,3,4,3,24878250000000,24881500000000,1,1,1,1,24878000000000,24881750000000,1,2,1,2,24877750000000,24882000000000,1,3,1,3,24877500000000,24882250000000,2,2,2,2,24877250000000,24882500000000,7,1,3,1,24877000000000,24882750000000,2,7,2,3,24876750000000,24883000000000,1,1,1,1,NQ.c.0
2026-03-18 12:02:00+00:00,1773835379950196899,10,1,42002475,A,A,0,24880750000000,1,128,10764,288319576,24879500000000,24880750000000,1,1,1,1,24879250000000,24881000000000,5,1,1,1,24879000000000,24881250000000,1,3,1,3,24878750000000,24881500000000,2,2,2,2,24878500000000,24881750000000,1,2,1,2,24878250000000,24882000000000,2,1,2,1,24878000000000,24882250000000,2,3,2,3,24877750000000,24882500000000,2,2,2,2,24877500000000,24882750000000,6,9,2,5,24877250000000,24883000000000,1,1,1,1,NQ.c.0
2026-03-18 12:03:00+00:00,1773835439959909360,10,1,42002475,C,A,0,24863500000000,1,128,11104,288413404,24862500000000,24863750000000,1,2,1,2,24862250000000,24864000000000,1,2,1,2,24862000000000,24864500000000,2,3,1,3,24861750000000,24864750000000,1,4,1,4,24861500000000,24865000000000,1,6,1,2,24861250000000,24865250000000,3,2,3,2,24861000000000,24865500000000,3,2,3,2,24860750000000,24865750000000,2,2,2,2,24860500000000,24866000000000,1,2,1,2,24860250000000,24866250000000,6,3,2,3,NQ.c.0
2026-03-18 12:04:00+00:00,1773835499871939587,10,1,42002475,A,A,0,24859250000000,1,128,11038,288514828,24857500000000,24859250000000,1,2,1,2,24857250000000,24859500000000,3,1,3,1,24857000000000,24859750000000,1,1,1,1,24856750000000,24860000000000,1,2,1,2,24856500000000,24860250000000,3,2,3,2,24856250000000,24860500000000,2,2,2,2,24856000000000,24860750000000,1,2,1,2,24855750000000,24861000000000,6,7,2,3,24855500000000,24861250000000,2,2,2,2,24855250000000,24861500000000,2,2,2,2,NQ.c.0
2026-03-18 12:05:00+00:00,1773835559951994155,10,1,42002475,M,A,0,24855250000000,1,128,11270,288617119,24854000000000,24855250000000,1,2,1,2,24853750000000,24855500000000,3,1,3,1,24853500000000,24855750000000,1,3,1,3,24853250000000,24856000000000,2,2,2,2,24853000000000,24856250000000,2,1,2,1,24852750000000,24856500000000,1,6,1,2,24852500000000,24856750000000,2,1,2,1,24852250000000,24857000000000,2,2,2,2,24852000000000,24857250000000,1,2,1,2,24851750000000,24857500000000,6,2,2,2,NQ.c.0
2026-03-18 12:06:00+00:00,1773835619969365959,10,1,42002475,A,A,1,24847000000000,1,128,11877,288721734,24845500000000,24846750000000,1,1,1,1,24845250000000,24847000000000,1,4,1,4,24845000000000,24847250000000,1,3,1,3,24844750000000,24847500000000,2,3,2,3,24844500000000,24847750000000,1,3,1,3,24844250000000,24848000000000,2,7,2,3,24844000000000,24848250000000,1,1,1,1,24843750000000,24848500000000,1,1,1,1,24843500000000,24848750000000,1,2,1,2,24843250000000,24849000000000,1,3,1,3,NQ.c.0
2026-03-18 12:07:00+00:00,1773835679981136067,10,1,42002475,M,B,2,24845000000000,1,128,12391,288809557,24845500000000,24847000000000,2,1,2,1,24845250000000,24847250000000,1,2,1,2,24845000000000,24847750000000,3,1,3,1,24844750000000,24848000000000,2,1,2,1,24844500000000,24848250000000,1,2,1,2,24844250000000,24848500000000,1,1,1,1,24844000000000,24848750000000,2,7,2,3,24843750000000,24849250000000,1,1,1,1,24843500000000,24849500000000,2,3,2,3,24843250000000,24849750000000,6,2,2,2,NQ.c.0
2026-03-18 12:08:00+00:00,1773835739901723704,10,1,42002475,M,B,8,24766250000000,1,128,18282,288888611,24844000000000,24846750000000,1,4,1,4,24843750000000,24847000000000,2,4,2,4,24843500000000,24847250000000,2,3,2,3,24843250000000,24847500000000,1,2,1,2,24843000000000,24847750000000,2,7,2,3,24842750000000,24848000000000,2,2,2,2,24842500000000,24848250000000,7,3,3,3,24842250000000,24848500000000,1,1,1,1,24842000000000,24848750000000,1,2,1,2,24841750000000,24849250000000,2,3,2,2,NQ.c.0
2026-03-18 12:09:00+00:00,1773835799970261105,10,1,42002475,M,A,2,24841750000000,1,128,11921,288974765,24840250000000,24841250000000,1,1,1,1,24840000000000,24841500000000,1,2,1,2,24839750000000,24841750000000,3,2,3,2,24839500000000,24842000000000,2,2,2,2,24839250000000,24842250000000,2,2,2,2,24839000000000,24842500000000,2,2,2,2,24838750000000,24842750000000,1,1,1,1,24838500000000,24843000000000,6,2,2,2,24838250000000,24843250000000,2,6,2,2,24838000000000,24843500000000,1,2,1,2,NQ.c.0
