ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-24 13:00:00+00:00,1771938059828401259,10,1,42002475,C,B,2,24828000000000,1,128,10896,124191411,24828500000000,24829250000000,1,1,1,1,24828250000000,24829500000000,1,2,1,2,24828000000000,24829750000000,2,3,2,3,24827750000000,24830000000000,2,8,2,4,24827500000000,24830250000000,3,2,3,2,24827250000000,24830500000000,4,2,4,2,24827000000000,24830750000000,4,8,4,8,24826750000000,24831000000000,3,3,3,3,24826500000000,24831250000000,3,4,3,4,24826250000000,24831500000000,3,14,3,8,NQ.c.0
2026-02-24 13:01:00+00:00,1771938119957492762,10,1,42002475,A,B,0,24832000000000,1,128,13023,124247431,24832000000000,24832750000000,1,1,1,1,24831750000000,24833000000000,2,4,2,4,24831500000000,24833250000000,1,2,1,2,24831250000000,24833500000000,2,1,2,1,24831000000000,24833750000000,1,4,1,4,24830750000000,24834000000000,3,3,3,3,24830500000000,24834250000000,10,1,6,1,24830250000000,24834500000000,2,4,2,4,24830000000000,24834750000000,5,3,5,3,24829750000000,24835000000000,2,5,2,5,NQ.c.0
2026-02-24 13:02:00+00:00,1771938179958171208,10,1,42002475,A,B,4,24822750000000,1,128,11315,124282476,24823750000000,24824500000000,1,1,1,1,24823500000000,24824750000000,2,1,2,1,24823250000000,24825000000000,2,3,2,3,24823000000000,24825250000000,1,3,1,3,24822750000000,24825500000000,3,3,3,3,24822500000000,24825750000000,3,2,3,2,24822250000000,24826000000000,3,5,3,5,24822000000000,24826250000000,6,3,6,3,24821750000000,24826500000000,3,2,3,2,24821500000000,24826750000000,3,2,3,2,NQ.c.0
2026-02-24 13:03:00+00:00,1771938239958179318,10,1,42002475,C,B,3,24826250000000,1,128,15806,124318786,24827000000000,24828000000000,2,1,2,1,24826750000000,24828250000000,3,2,3,2,24826500000000,24828500000000,1,2,1,2,24826250000000,24828750000000,1,2,1,2,24826000000000,24829000000000,2,1,2,1,24825750000000,24829250000000,1,1,1,1,24825500000000,24829500000000,2,2,2,2,24825250000000,24829750000000,4,3,4,3,24825000000000,24830000000000,6,9,6,9,24824750000000,24830250000000,3,1,3,1,NQ.c.0
2026-02-24 13:04:00+00:00,1771938299931885868,10,1,42002475,A,B,1,24832500000000,1,128,13423,124349676,24832750000000,24833500000000,1,2,1,2,24832500000000,24833750000000,4,1,4,1,24832250000000,24834000000000,3,3,3,3,24832000000000,24834250000000,2,3,2,3,24831750000000,24834500000000,1,2,1,2,24831500000000,24834750000000,1,2,1,2,24831250000000,24835000000000,3,2,3,2,24831000000000,24835250000000,4,2,4,2,24830750000000,24835500000000,2,2,2,2,24830500000000,24835750000000,5,2,5,2,NQ.c.0
2026-02-24 13:05:00+00:00,1771938359858165536,10,1,42002475,C,A,0,24827250000000,1,128,13963,124376672,24826250000000,24827250000000,1,1,1,1,24826000000000,24827500000000,4,1,4,1,24825750000000,24827750000000,1,2,1,2,24825500000000,24828000000000,1,4,1,4,24825250000000,24828250000000,2,3,2,3,24825000000000,24828500000000,5,2,5,2,24824750000000,24828750000000,3,4,3,4,24824500000000,24829000000000,1,3,1,3,24824250000000,24829250000000,2,5,2,5,24824000000000,24829500000000,7,3,7,3,NQ.c.0
2026-02-24 13:06:00+00:00,1771938419837679199,10,1,42002475,A,B,0,24825750000000,1,128,12459,124406359,24825750000000,24826750000000,1,1,1,1,24825500000000,24827000000000,3,1,3,1,24825250000000,24827250000000,3,2,3,2,24825000000000,24827500000000,1,2,1,2,24824750000000,24827750000000,1,1,1,1,24824500000000,24828000000000,2,3,2,3,24824250000000,24828250000000,4,2,4,2,24824000000000,24828500000000,5,3,5,3,24823750000000,24828750000000,2,4,2,4,24823500000000,24829000000000,1,2,1,2,NQ.c.0
2026-02-24 13:07:00+00:00,1771938479807712675,10,1,42002475,C,A,0,24831000000000,1,128,12629,124442016,24830000000000,24831250000000,1,1,1,1,24829750000000,24831500000000,2,3,2,3,24829500000000,24831750000000,3,1,3,1,24829250000000,24832000000000,2,2,2,2,24829000000000,24832250000000,1,2,1,2,24828750000000,24832500000000,2,1,2,1,24828500000000,24832750000000,4,3,4,3,24828250000000,24833000000000,2,7,2,6,24828000000000,24833250000000,4,3,4,3,24827750000000,24833500000000,4,2,4,2,NQ.c.0
2026-02-24 13:08:00+00:00,1771938539958173640,10,1,42002475,C,B,4,24835000000000,1,128,13793,124470907,24836000000000,24837000000000,1,1,1,1,24835750000000,24837250000000,3,2,3,1,24835500000000,24837500000000,4,1,4,1,24835250000000,24837750000000,1,2,1,2,24835000000000,24838000000000,1,2,1,2,24834750000000,24838250000000,3,3,3,3,24834500000000,24838500000000,4,3,4,3,24834250000000,24838750000000,3,3,3,3,24834000000000,24839000000000,4,3,4,3,24833750000000,24839250000000,4,4,4,4,NQ.c.0
2026-02-24 13:09:00+00:00,1771938599973710299,10,1,42002475,A,A,2,24836750000000,1,128,13263,124525239,24835250000000,24836250000000,1,1,1,1,24835000000000,24836500000000,1,1,1,1,24834750000000,24836750000000,3,5,3,5,24834500000000,24837000000000,2,1,2,1,24834250000000,24837250000000,3,1,3,1,24834000000000,24837500000000,4,1,4,1,24833750000000,24837750000000,3,7,3,7,24833500000000,24838000000000,2,4,2,4,24833250000000,24838250000000,3,2,3,2,24833000000000,24838500000000,3,2,3,2,NQ.c.0
