ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-24 12:00:00+00:00,1777032059959567135,10,1,42004058,M,A,1,27285250000000,1,128,12915,369198771,27284000000000,27285000000000,1,1,1,1,27283750000000,27285250000000,8,3,8,3,27283500000000,27285500000000,5,3,4,3,27283250000000,27285750000000,3,3,2,2,27283000000000,27286000000000,9,3,8,2,27282750000000,27286250000000,4,7,4,6,27282500000000,27286500000000,4,52,3,3,27282000000000,27286750000000,5,4,4,3,27281750000000,27287000000000,5,4,4,3,27281500000000,27287250000000,2,5,2,4,NQ.c.0
2026-04-24 12:01:00+00:00,1777032119991695177,10,1,42004058,C,A,2,27277250000000,1,128,12319,369256065,27276000000000,27276750000000,6,2,2,2,27275500000000,27277000000000,2,1,2,1,27275250000000,27277250000000,2,1,2,1,27275000000000,27277500000000,4,1,3,1,27274750000000,27277750000000,1,1,1,1,27274500000000,27278000000000,1,4,1,4,27274250000000,27278500000000,3,3,3,3,27274000000000,27278750000000,1,3,1,3,27273750000000,27279000000000,1,4,1,4,27273500000000,27279250000000,1,2,1,2,NQ.c.0
2026-04-24 12:02:00+00:00,1777032179791857571,10,1,42004058,C,A,2,27284000000000,1,128,13895,369302873,27282500000000,27283500000000,5,1,5,1,27282250000000,27283750000000,1,3,1,3,27282000000000,27284000000000,2,3,2,3,27281750000000,27284250000000,1,4,1,4,27281500000000,27284500000000,2,4,2,3,27281250000000,27284750000000,1,3,1,3,27281000000000,27285000000000,2,5,2,4,27280750000000,27285250000000,2,5,2,4,27280500000000,27285500000000,4,5,4,4,27280250000000,27285750000000,3,3,3,3,NQ.c.0
2026-04-24 12:03:00+00:00,1777032239997262548,10,1,42004058,A,A,0,27283750000000,1,128,10936,369343755,27283000000000,27283750000000,2,1,2,1,27282750000000,27284000000000,2,4,2,3,27282500000000,27284250000000,3,2,3,2,27282000000000,27284500000000,3,1,3,1,27281500000000,27284750000000,1,4,1,4,27281250000000,27285000000000,2,4,2,4,27280750000000,27285250000000,2,2,2,2,27280500000000,27285500000000,1,4,1,4,27280250000000,27285750000000,1,3,1,3,27280000000000,27286000000000,4,2,4,2,NQ.c.0
2026-04-24 12:04:00+00:00,1777032299996751390,10,1,42004058,A,B,1,27272250000000,1,128,13179,369400931,27272500000000,27273750000000,3,1,3,1,27272250000000,27274000000000,3,2,3,2,27272000000000,27274250000000,4,4,4,4,27271750000000,27274500000000,2,2,2,2,27271500000000,27274750000000,2,2,2,2,27271000000000,27275000000000,4,1,4,1,27270500000000,27275250000000,2,4,2,3,27270250000000,27275500000000,2,3,2,3,27270000000000,27275750000000,1,2,1,2,27269750000000,27276000000000,3,4,3,4,NQ.c.0
2026-04-24 12:05:00+00:00,1777032359664177548,10,1,42004058,A,B,1,27273000000000,1,128,13100,369438597,27273250000000,27274250000000,2,1,2,1,27273000000000,27274500000000,3,1,3,1,27272750000000,27274750000000,2,2,2,2,27272500000000,27275000000000,3,3,3,3,27272250000000,27275250000000,1,4,1,4,27272000000000,27275500000000,3,6,3,5,27271750000000,27275750000000,4,4,4,3,27271500000000,27276000000000,2,5,2,4,27271250000000,27276250000000,1,5,1,5,27271000000000,27276500000000,2,5,2,4,NQ.c.0
2026-04-24 12:06:00+00:00,1777032419895427828,10,1,42004058,C,A,0,27274500000000,1,128,12637,369482802,27273500000000,27274500000000,1,1,1,1,27273250000000,27274750000000,2,3,2,3,27273000000000,27275000000000,4,6,4,5,27272750000000,27275250000000,4,4,4,3,27272500000000,27275500000000,5,3,4,2,27272250000000,27275750000000,3,4,3,3,27272000000000,27276000000000,3,4,3,4,27271750000000,27276250000000,1,4,1,4,27271000000000,27276500000000,1,6,1,6,27270750000000,27276750000000,3,5,3,4,NQ.c.0
2026-04-24 12:07:00+00:00,1777032479679777948,10,1,42004058,A,B,1,27276750000000,1,128,12404,369517463,27277000000000,27278000000000,1,2,1,2,27276750000000,27278250000000,2,2,2,2,27276500000000,27278500000000,4,4,4,4,27276250000000,27278750000000,3,2,3,2,27276000000000,27279000000000,6,2,6,2,27275750000000,27279250000000,2,1,2,1,27275000000000,27279500000000,4,2,4,2,27274750000000,27279750000000,2,4,2,3,27274500000000,27280000000000,2,4,2,3,27273750000000,27280250000000,3,3,3,2,NQ.c.0
2026-04-24 12:08:00+00:00,1777032539881127230,10,1,42004058,C,B,0,27283500000000,1,128,11086,369559600,27283250000000,27284250000000,1,2,1,2,27283000000000,27284500000000,3,3,2,3,27282750000000,27284750000000,1,2,1,2,27282500000000,27285000000000,1,2,1,2,27282250000000,27285250000000,2,2,2,2,27282000000000,27285500000000,2,2,2,2,27281750000000,27285750000000,2,1,2,1,27281500000000,27286000000000,2,1,2,1,27281250000000,27286250000000,3,4,3,4,27281000000000,27286500000000,3,3,2,3,NQ.c.0
2026-04-24 12:09:00+00:00,1777032599966707044,10,1,42004058,A,A,4,27284750000000,2,128,13836,369587209,27282750000000,27283750000000,2,4,2,4,27282500000000,27284000000000,3,4,3,4,27282250000000,27284250000000,2,1,2,1,27282000000000,27284500000000,1,2,1,2,27281750000000,27284750000000,2,5,2,4,27281500000000,27285000000000,2,2,2,2,27281250000000,27285250000000,3,1,3,1,27281000000000,27285500000000,3,4,2,4,27280750000000,27285750000000,5,3,4,3,27280500000000,27286000000000,4,5,3,4,NQ.c.0
