ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-27 12:00:00+00:00,1779883259973351100,10,1,42004058,A,A,1,30260000000000,1,128,12838,121858303,30259000000000,30259750000000,2,3,2,3,30258750000000,30260000000000,4,3,4,3,30258500000000,30260250000000,5,2,4,2,30258250000000,30260500000000,2,2,2,2,30258000000000,30260750000000,2,5,2,5,30257750000000,30261000000000,2,3,2,3,30257500000000,30261250000000,3,2,3,2,30257250000000,30261500000000,4,3,4,3,30257000000000,30261750000000,2,3,2,3,30256750000000,30262000000000,4,4,4,4,NQ.c.0
2026-05-27 12:01:00+00:00,1779883318878109542,10,1,42004058,C,A,0,30259000000000,1,128,12463,121895656,30258500000000,30259250000000,1,2,1,2,30258250000000,30259500000000,3,1,3,1,30258000000000,30259750000000,3,4,3,4,30257750000000,30260000000000,2,7,2,7,30257500000000,30260250000000,7,3,2,3,30257250000000,30260500000000,2,5,2,5,30257000000000,30260750000000,3,2,3,2,30256750000000,30261000000000,3,3,3,3,30256500000000,30261250000000,5,4,3,4,30256250000000,30261500000000,5,4,4,4,NQ.c.0
2026-05-27 12:02:00+00:00,1779883379321672843,10,1,42004058,M,B,4,30257250000000,1,128,13040,121930650,30258250000000,30259000000000,1,2,1,2,30258000000000,30259250000000,5,5,5,5,30257750000000,30259500000000,3,6,3,6,30257500000000,30259750000000,5,2,5,2,30257250000000,30260000000000,6,5,6,5,30257000000000,30260250000000,2,2,2,2,30256750000000,30260500000000,2,6,2,5,30256500000000,30260750000000,2,2,2,2,30256250000000,30261000000000,2,3,2,3,30256000000000,30261250000000,5,3,5,3,NQ.c.0
2026-05-27 12:03:00+00:00,1779883439982528819,10,1,42004058,C,A,0,30263500000000,1,128,12252,121960342,30263000000000,30263750000000,1,1,1,1,30262750000000,30264000000000,2,4,2,4,30262500000000,30264250000000,4,3,4,3,30262250000000,30264500000000,2,4,2,4,30262000000000,30264750000000,2,5,2,5,30261750000000,30265000000000,4,5,4,5,30261500000000,30265250000000,3,4,3,4,30261250000000,30265500000000,2,4,2,4,30261000000000,30265750000000,4,2,4,2,30260750000000,30266000000000,3,3,3,3,NQ.c.0
2026-05-27 12:04:00+00:00,1779883499887592292,10,1,42004058,M,B,1,30259750000000,1,128,11023,121985661,30260000000000,30260500000000,1,2,1,2,30259750000000,30261000000000,5,1,5,1,30259500000000,30261250000000,4,2,4,2,30259250000000,30261500000000,4,3,4,3,30259000000000,30261750000000,4,3,4,3,30258750000000,30262000000000,2,3,2,3,30258500000000,30262250000000,4,2,4,2,30258250000000,30262500000000,4,1,4,1,30258000000000,30262750000000,3,2,3,2,30257750000000,30263000000000,2,3,2,3,NQ.c.0
2026-05-27 12:05:00+00:00,1779883559671233457,10,1,42004058,C,A,0,30266500000000,1,128,12367,122010966,30265750000000,30266500000000,1,4,1,4,30265500000000,30266750000000,3,3,3,3,30265250000000,30267000000000,3,4,3,4,30265000000000,30267250000000,2,2,2,2,30264500000000,30267500000000,4,2,3,2,30264250000000,30267750000000,2,4,2,4,30264000000000,30268000000000,4,6,4,6,30263750000000,30268250000000,7,3,7,3,30263500000000,30268500000000,5,2,5,2,30263250000000,30268750000000,2,4,2,4,NQ.c.0
2026-05-27 12:06:00+00:00,1779883619861237498,10,1,42004058,C,B,1,30269500000000,1,128,11348,122039761,30269750000000,30270500000000,2,1,2,1,30269500000000,30270750000000,3,3,3,3,30269250000000,30271000000000,4,3,4,3,30269000000000,30271250000000,5,2,5,2,30268500000000,30271500000000,2,2,2,2,30268250000000,30271750000000,2,3,2,3,30268000000000,30272000000000,6,7,6,7,30267750000000,30272250000000,4,3,4,3,30267500000000,30272500000000,2,3,2,3,30267250000000,30272750000000,3,5,3,5,NQ.c.0
2026-05-27 12:07:00+00:00,1779883679702082820,10,1,42004058,M,B,0,30276500000000,1,128,12672,122066811,30276500000000,30277500000000,3,2,3,2,30276250000000,30277750000000,4,5,4,5,30276000000000,30278000000000,5,4,5,4,30275750000000,30278250000000,4,2,4,2,30275500000000,30278500000000,2,4,2,4,30275250000000,30278750000000,4,4,4,4,30275000000000,30279000000000,2,7,2,7,30274750000000,30279250000000,4,5,4,5,30274500000000,30279500000000,4,3,4,3,30274250000000,30279750000000,4,3,4,3,NQ.c.0
2026-05-27 12:08:00+00:00,1779883739902627424,10,1,42004058,A,B,0,30270000000000,1,128,15007,122096702,30270000000000,30270750000000,3,1,3,1,30269750000000,30271000000000,2,1,2,1,30269500000000,30271250000000,3,2,3,2,30269250000000,30271500000000,3,2,3,2,30269000000000,30271750000000,4,4,4,4,30268750000000,30272000000000,2,6,2,6,30268500000000,30272250000000,3,3,3,3,30268250000000,30272500000000,2,3,2,3,30268000000000,30272750000000,7,5,7,5,30267750000000,30273250000000,3,3,3,3,NQ.c.0
2026-05-27 12:09:00+00:00,1779883799805274678,10,1,42004058,A,B,0,30271250000000,1,128,13485,122120562,30271250000000,30272000000000,2,1,2,1,30271000000000,30272250000000,4,3,4,3,30270750000000,30272500000000,2,4,2,4,30270500000000,30272750000000,1,3,1,3,30270250000000,30273000000000,3,3,3,3,30270000000000,30273250000000,3,2,3,2,30269750000000,30273500000000,3,2,3,2,30269500000000,30273750000000,4,3,4,3,30269250000000,30274000000000,3,2,3,2,30269000000000,30274250000000,2,4,2,4,NQ.c.0
