ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-19 12:00:00+00:00,1781870459993702259,10,1,42004177,A,B,3,30589250000000,1,128,12272,629743833,30590500000000,30592500000000,1,2,1,2,30590250000000,30592750000000,1,4,1,4,30589500000000,30593000000000,1,2,1,2,30589250000000,30593250000000,1,3,1,3,30589000000000,30594250000000,1,1,1,1,30588750000000,30594500000000,2,2,2,2,30588250000000,30594750000000,1,1,1,1,30588000000000,30595000000000,2,2,2,2,30587750000000,30595250000000,2,2,2,2,30587250000000,30595750000000,1,2,1,2,NQ.c.0
2026-06-19 12:01:00+00:00,1781870519964699335,10,1,42004177,M,A,2,30594500000000,1,128,12566,629756732,30591750000000,30594000000000,2,1,2,1,30590500000000,30594250000000,1,1,1,1,30590250000000,30594500000000,3,4,3,4,30590000000000,30594750000000,1,2,1,2,30589750000000,30595000000000,1,2,1,2,30589250000000,30595750000000,1,2,1,2,30589000000000,30596000000000,1,7,1,5,30588500000000,30596250000000,1,1,1,1,30588250000000,30596750000000,1,1,1,1,30588000000000,30597000000000,2,2,2,2,NQ.c.0
2026-06-19 12:02:00+00:00,1781870579757211441,10,1,42004177,C,A,0,30583000000000,1,128,11138,629771310,30581250000000,30583250000000,3,1,3,1,30581000000000,30583500000000,2,2,2,2,30580750000000,30583750000000,1,3,1,3,30580500000000,30584000000000,1,3,1,3,30580250000000,30584250000000,2,2,2,2,30580000000000,30585500000000,4,1,4,1,30579750000000,30585750000000,2,1,2,1,30579250000000,30586000000000,1,2,1,2,30578750000000,30586250000000,2,4,2,4,30578250000000,30587750000000,1,2,1,2,NQ.c.0
2026-06-19 12:03:00+00:00,1781870639329433413,10,1,42004177,C,A,1,30587000000000,1,128,12869,629784456,30584500000000,30586750000000,3,2,3,2,30584000000000,30587250000000,1,2,1,2,30583750000000,30587500000000,2,3,2,3,30583500000000,30587750000000,2,2,2,2,30583250000000,30588000000000,1,2,1,2,30582750000000,30588750000000,1,1,1,1,30582500000000,30589000000000,2,1,2,1,30582250000000,30589250000000,3,1,3,1,30582000000000,30589500000000,4,3,4,3,30580750000000,30590000000000,2,2,2,2,NQ.c.0
2026-06-19 12:04:00+00:00,1781870698285853426,10,1,42004177,M,B,2,30589500000000,1,128,13041,629801152,30590500000000,30592500000000,2,1,2,1,30589750000000,30592750000000,2,2,2,2,30589500000000,30593000000000,3,7,3,3,30589250000000,30593250000000,2,1,2,1,30589000000000,30594250000000,2,3,2,3,30588250000000,30594500000000,2,2,2,2,30588000000000,30595000000000,2,3,2,3,30587750000000,30595750000000,2,2,2,2,30586750000000,30596000000000,2,4,2,4,30585250000000,30596750000000,1,1,1,1,NQ.c.0
2026-06-19 12:05:00+00:00,1781870759528645356,10,1,42004177,M,A,1,30582500000000,1,128,13211,629820722,30580000000000,30581750000000,2,1,2,1,30579750000000,30582250000000,4,1,4,1,30579250000000,30582500000000,1,3,1,3,30579000000000,30582750000000,1,2,1,2,30578000000000,30583000000000,2,1,2,1,30577000000000,30583750000000,2,2,2,2,30576750000000,30584000000000,2,1,2,1,30576500000000,30584750000000,2,2,2,2,30576250000000,30585000000000,1,1,1,1,30576000000000,30585750000000,1,2,1,2,NQ.c.0
2026-06-19 12:06:00+00:00,1781870819914444972,10,1,42004177,A,A,0,30580000000000,1,128,12405,629840691,30577750000000,30580000000000,3,3,3,3,30577500000000,30580250000000,1,2,1,2,30577250000000,30580500000000,3,2,3,2,30577000000000,30580750000000,2,2,2,2,30576750000000,30581000000000,1,2,1,2,30576500000000,30581500000000,2,1,2,1,30576000000000,30582000000000,1,1,1,1,30575750000000,30582250000000,1,1,1,1,30575000000000,30582500000000,4,1,3,1,30574250000000,30582750000000,2,1,2,1,NQ.c.0
2026-06-19 12:07:00+00:00,1781870879989220663,10,1,42004177,A,A,9,30575000000000,1,128,13515,629858309,30570500000000,30572500000000,1,3,1,3,30570250000000,30572750000000,2,2,2,2,30570000000000,30573000000000,4,2,4,2,30569750000000,30573250000000,2,2,2,2,30569000000000,30573500000000,4,2,4,2,30568750000000,30573750000000,2,2,2,2,30568500000000,30574000000000,1,2,1,2,30568250000000,30574250000000,1,2,1,2,30568000000000,30574750000000,3,1,3,1,30567750000000,30575000000000,3,1,3,1,NQ.c.0
2026-06-19 12:08:00+00:00,1781870939873915321,10,1,42004177,A,A,0,30578750000000,1,128,11261,629873746,30576500000000,30578750000000,1,2,1,2,30576000000000,30579000000000,1,2,1,2,30575750000000,30579500000000,1,1,1,1,30575500000000,30579750000000,3,3,3,3,30575250000000,30580000000000,1,5,1,3,30575000000000,30580250000000,3,1,3,1,30574750000000,30580500000000,2,1,2,1,30574500000000,30580750000000,1,2,1,2,30574250000000,30581750000000,3,1,3,1,30574000000000,30582000000000,4,2,4,2,NQ.c.0
2026-06-19 12:09:00+00:00,1781870999998278713,10,1,42004177,C,A,1,30585500000000,1,128,13130,629890832,30583250000000,30585250000000,1,2,1,2,30583000000000,30585750000000,1,3,1,3,30582750000000,30586000000000,2,1,2,1,30582500000000,30586250000000,4,1,3,1,30582000000000,30586500000000,2,1,2,1,30581250000000,30586750000000,2,1,2,1,30580750000000,30587250000000,3,2,3,2,30580500000000,30587750000000,2,2,2,2,30580000000000,30588000000000,1,4,1,4,30579750000000,30588250000000,2,2,2,2,NQ.c.0
