ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-15 12:00:00+00:00,1778846459994260449,10,1,42004058,C,B,0,29250000000000,1,128,12539,414755238,29249750000000,29251000000000,1,1,1,1,29249250000000,29251250000000,2,3,2,3,29249000000000,29251500000000,4,5,4,5,29248500000000,29251750000000,2,4,2,4,29248250000000,29252000000000,3,4,3,4,29248000000000,29252250000000,5,3,5,3,29247750000000,29252500000000,2,2,2,2,29247500000000,29252750000000,2,4,2,4,29247250000000,29253000000000,4,3,4,3,29247000000000,29253250000000,4,2,4,2,NQ.c.0
2026-05-15 12:01:00+00:00,1778846519940756239,10,1,42004058,A,A,0,29249500000000,1,128,11501,414821875,29248500000000,29249500000000,1,1,1,1,29248250000000,29249750000000,3,1,3,1,29248000000000,29250000000000,5,3,5,3,29247750000000,29250250000000,3,3,3,3,29247500000000,29250500000000,2,3,2,3,29247250000000,29250750000000,4,3,4,3,29247000000000,29251000000000,2,4,2,4,29246750000000,29251250000000,3,3,3,3,29246500000000,29251500000000,2,2,2,2,29246250000000,29252000000000,2,5,2,5,NQ.c.0
2026-05-15 12:02:00+00:00,1778846579995725780,10,1,42004058,A,B,0,29233000000000,1,128,12454,414878113,29233000000000,29234250000000,3,1,3,1,29232750000000,29234500000000,4,2,4,2,29232500000000,29234750000000,2,2,2,2,29232000000000,29235000000000,3,3,3,3,29231750000000,29235250000000,1,1,1,1,29231500000000,29235500000000,2,2,2,2,29231250000000,29235750000000,6,2,5,2,29231000000000,29236000000000,2,6,2,6,29230750000000,29236250000000,1,3,1,3,29230250000000,29236500000000,1,4,1,4,NQ.c.0
2026-05-15 12:03:00+00:00,1778846639823820645,10,1,42004058,A,A,0,29238250000000,1,128,14320,414927271,29237000000000,29238250000000,1,3,1,3,29236750000000,29238500000000,3,1,3,1,29236500000000,29238750000000,2,3,2,3,29236250000000,29239000000000,2,3,2,3,29236000000000,29239250000000,3,2,3,2,29235750000000,29239500000000,3,4,3,4,29235500000000,29240000000000,3,6,3,6,29235000000000,29240250000000,4,1,4,1,29234750000000,29240500000000,1,3,1,3,29234500000000,29240750000000,2,3,2,3,NQ.c.0
2026-05-15 12:04:00+00:00,1778846699979221633,10,1,42004058,M,B,3,29238000000000,1,128,12549,414979893,29238750000000,29239750000000,2,1,2,1,29238500000000,29240000000000,4,2,4,2,29238250000000,29240250000000,3,2,3,2,29238000000000,29240500000000,2,3,2,3,29237750000000,29240750000000,3,4,3,4,29237500000000,29241000000000,1,2,1,2,29237250000000,29241500000000,1,2,1,2,29237000000000,29241750000000,3,3,1,3,29236750000000,29242000000000,1,4,1,4,29236500000000,29242250000000,1,4,1,4,NQ.c.0
2026-05-15 12:05:00+00:00,1778846759993276177,10,1,42004058,M,B,0,29237750000000,1,128,11411,415023183,29237750000000,29239000000000,2,1,2,1,29237500000000,29239250000000,2,1,2,1,29237250000000,29239500000000,2,2,2,2,29237000000000,29239750000000,4,2,4,2,29236750000000,29240000000000,2,5,2,5,29236250000000,29240500000000,2,3,2,3,29236000000000,29240750000000,4,3,4,3,29235750000000,29241000000000,4,2,4,2,29235500000000,29241250000000,3,3,3,3,29235250000000,29241500000000,2,5,2,5,NQ.c.0
2026-05-15 12:06:00+00:00,1778846819990645302,10,1,42004058,A,B,0,29224500000000,1,128,12824,415083243,29224500000000,29225500000000,1,3,1,3,29224250000000,29225750000000,2,1,2,1,29224000000000,29226000000000,3,1,3,1,29223750000000,29226250000000,1,1,1,1,29223500000000,29226500000000,2,2,2,2,29223250000000,29226750000000,2,3,2,3,29223000000000,29227250000000,1,4,1,4,29222750000000,29227500000000,1,3,1,3,29222250000000,29227750000000,3,3,3,3,29222000000000,29228000000000,3,4,3,4,NQ.c.0
2026-05-15 12:07:00+00:00,1778846879889538230,10,1,42004058,A,A,0,29212000000000,1,128,11072,415147952,29211000000000,29212000000000,1,1,1,1,29210750000000,29212250000000,1,1,1,1,29210500000000,29212500000000,2,4,2,4,29210250000000,29212750000000,2,3,2,3,29210000000000,29213000000000,5,2,5,2,29209750000000,29213250000000,1,1,1,1,29209500000000,29213500000000,2,2,2,2,29209250000000,29213750000000,2,3,2,2,29209000000000,29214500000000,1,4,1,4,29208750000000,29215000000000,1,3,1,3,NQ.c.0
2026-05-15 12:08:00+00:00,1778846939997243153,10,1,42004058,A,A,1,29218750000000,1,128,12196,415212627,29217500000000,29218500000000,2,2,2,2,29217250000000,29218750000000,2,3,2,3,29217000000000,29219000000000,4,4,4,4,29216750000000,29219250000000,2,4,2,4,29216500000000,29219500000000,3,3,3,3,29216250000000,29219750000000,2,3,2,3,29216000000000,29220000000000,5,5,5,5,29215750000000,29220250000000,4,4,4,4,29215500000000,29220500000000,4,4,4,4,29215250000000,29220750000000,2,3,2,3,NQ.c.0
2026-05-15 12:09:00+00:00,1778846999997262534,10,1,42004058,M,B,5,29224000000000,1,128,12283,415282616,29225250000000,29226250000000,1,1,1,1,29225000000000,29226500000000,1,3,1,3,29224750000000,29226750000000,3,4,3,4,29224500000000,29227000000000,1,2,1,2,29224250000000,29227250000000,3,3,3,3,29224000000000,29227500000000,4,4,4,4,29223750000000,29227750000000,1,4,1,4,29223500000000,29228000000000,3,4,3,4,29223250000000,29228250000000,3,3,3,3,29223000000000,29228500000000,5,3,5,3,NQ.c.0
2026-05-15 12:10:00+00:00,1778847059872835831,10,1,42004058,A,B,1,29234750000000,1,128,11035,415350318,29235000000000,29236000000000,1,1,1,1,29234750000000,29236250000000,2,4,2,4,29234250000000,29236500000000,3,2,3,2,29234000000000,29236750000000,3,4,3,4,29233750000000,29237000000000,3,4,3,4,29233500000000,29237250000000,2,6,2,6,29233250000000,29237500000000,3,3,3,3,29233000000000,29237750000000,3,3,3,3,29232750000000,29238000000000,4,3,4,3,29232500000000,29238250000000,3,2,3,2,NQ.c.0
2026-05-15 12:11:00+00:00,1778847119698544454,10,1,42004058,A,B,0,29222500000000,1,128,15038,415408939,29222500000000,29223500000000,2,1,2,1,29222250000000,29223750000000,4,2,4,2,29222000000000,29224000000000,2,4,2,4,29221750000000,29224250000000,2,3,2,3,29221500000000,29224500000000,3,2,3,2,29221250000000,29224750000000,2,4,2,4,29221000000000,29225000000000,3,5,3,2,29220750000000,29225250000000,2,4,2,4,29220500000000,29225500000000,4,3,4,3,29220250000000,29225750000000,3,2,3,2,NQ.c.0
2026-05-15 12:12:00+00:00,1778847179868839247,10,1,42004058,M,B,3,29138750000000,1,128,11234,415474834,29215750000000,29217000000000,2,1,2,1,29215500000000,29217250000000,3,2,3,2,29215250000000,29217500000000,4,1,4,1,29215000000000,29217750000000,4,2,4,2,29214750000000,29218000000000,4,1,4,1,29214500000000,29218250000000,3,4,3,4,29214250000000,29218500000000,4,4,4,4,29214000000000,29219000000000,4,6,4,6,29213750000000,29219250000000,2,6,2,6,29213500000000,29219500000000,2,4,2,4,NQ.c.0
2026-05-15 12:13:00+00:00,1778847239845347297,10,1,42004058,C,B,0,29203750000000,1,128,16009,415531146,29203750000000,29205250000000,3,2,3,2,29203500000000,29205500000000,4,3,4,3,29203250000000,29205750000000,3,4,3,4,29203000000000,29206000000000,3,3,2,3,29202750000000,29206250000000,1,3,1,3,29202500000000,29206500000000,1,2,1,2,29202250000000,29206750000000,3,3,3,3,29202000000000,29207000000000,3,1,3,1,29201750000000,29207500000000,2,3,2,3,29201500000000,29207750000000,4,3,4,3,NQ.c.0
