ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-17 13:00:00+00:00,1771333259671844499,10,1,42002475,A,B,0,24583250000000,1,128,15787,42036842,24583250000000,24584250000000,1,1,1,1,24583000000000,24584500000000,2,1,1,1,24582500000000,24584750000000,1,3,1,3,24582250000000,24585000000000,3,3,3,3,24582000000000,24585250000000,2,2,2,2,24581750000000,24585500000000,3,2,3,2,24581500000000,24585750000000,4,2,4,2,24581250000000,24586000000000,3,5,3,5,24581000000000,24586250000000,4,4,4,4,24580750000000,24586500000000,3,3,3,3,NQ.c.0
2026-02-17 13:01:00+00:00,1771333319665640586,10,1,42002475,C,B,0,24583750000000,1,128,12597,42080329,24583750000000,24584750000000,1,1,1,1,24583250000000,24585000000000,1,1,1,1,24583000000000,24585250000000,3,1,3,1,24582750000000,24585500000000,3,2,3,2,24582500000000,24585750000000,4,2,4,2,24582250000000,24586000000000,2,3,2,3,24582000000000,24586250000000,5,1,5,1,24581750000000,24586500000000,6,2,6,2,24581500000000,24586750000000,4,3,4,3,24581250000000,24587000000000,3,2,3,2,NQ.c.0
2026-02-17 13:02:00+00:00,1771333379864340689,10,1,42002475,A,B,0,24580000000000,1,128,13579,42128108,24580000000000,24581250000000,2,1,2,1,24579750000000,24581500000000,1,3,1,3,24579500000000,24581750000000,2,1,2,1,24579250000000,24582000000000,3,3,3,3,24578750000000,24582250000000,3,2,3,2,24578500000000,24582500000000,5,1,5,1,24578250000000,24582750000000,4,5,4,5,24578000000000,24583000000000,5,4,5,4,24577750000000,24583250000000,4,2,4,2,24577500000000,24583500000000,4,3,4,3,NQ.c.0
2026-02-17 13:03:00+00:00,1771333439993236979,10,1,42002475,A,A,6,24582000000000,1,128,11970,42178167,24579250000000,24580250000000,3,1,2,1,24579000000000,24580500000000,1,1,1,1,24578750000000,24580750000000,2,1,2,1,24578500000000,24581000000000,2,3,2,3,24578250000000,24581250000000,2,2,2,2,24578000000000,24581750000000,5,1,5,1,24577750000000,24582000000000,3,4,3,4,24577500000000,24582250000000,4,2,4,2,24577250000000,24582500000000,3,1,3,1,24577000000000,24582750000000,1,3,1,3,NQ.c.0
2026-02-17 13:04:00+00:00,1771333499715619318,10,1,42002475,M,B,1,24565250000000,1,128,11531,42227633,24565500000000,24566250000000,1,1,1,1,24565250000000,24566500000000,3,1,3,1,24565000000000,24566750000000,14,3,7,3,24564750000000,24567000000000,6,2,2,2,24564500000000,24567250000000,2,3,2,3,24564250000000,24567500000000,3,2,3,2,24564000000000,24567750000000,5,3,5,3,24563750000000,24568000000000,2,5,2,5,24563500000000,24568250000000,1,3,1,3,24563250000000,24568500000000,2,2,2,2,NQ.c.0
2026-02-17 13:05:00+00:00,1771333559988411914,10,1,42002475,A,B,8,24562250000000,1,128,13257,42283578,24564250000000,24565000000000,1,1,1,1,24564000000000,24565250000000,1,2,1,2,24563750000000,24565500000000,2,2,2,2,24563500000000,24565750000000,1,2,1,2,24563250000000,24566000000000,1,4,1,4,24563000000000,24566250000000,1,2,1,2,24562750000000,24566500000000,1,4,1,4,24562500000000,24566750000000,1,3,1,3,24562250000000,24567000000000,4,2,4,2,24562000000000,24567250000000,9,3,4,3,NQ.c.0
2026-02-17 13:06:00+00:00,1771333619990172967,10,1,42002475,C,A,0,24550250000000,1,128,11160,42351830,24549500000000,24550500000000,1,1,1,1,24549250000000,24550750000000,2,3,2,3,24549000000000,24551250000000,1,4,1,2,24548750000000,24551500000000,3,1,3,1,24548500000000,24551750000000,1,3,1,3,24548250000000,24552000000000,1,4,1,4,24548000000000,24552250000000,5,3,5,3,24547750000000,24552500000000,4,4,4,4,24547500000000,24552750000000,4,3,4,3,24547250000000,24553000000000,12,3,3,3,NQ.c.0
2026-02-17 13:07:00+00:00,1771333679953105312,10,1,42002475,C,B,0,24549500000000,1,128,11131,42411141,24549500000000,24550500000000,1,1,1,1,24549250000000,24550750000000,2,2,2,2,24549000000000,24551000000000,1,1,1,1,24548750000000,24551250000000,1,3,1,3,24548500000000,24551500000000,2,9,2,2,24548250000000,24551750000000,1,2,1,2,24548000000000,24552000000000,3,3,3,3,24547750000000,24552250000000,2,1,2,1,24547500000000,24552500000000,2,2,2,2,24547250000000,24552750000000,3,4,3,4,NQ.c.0
2026-02-17 13:08:00+00:00,1771333739978106973,10,1,42002475,A,A,0,24559750000000,1,128,13376,42460307,24558750000000,24559750000000,1,2,1,2,24558500000000,24560000000000,3,2,3,2,24558250000000,24560250000000,3,2,3,2,24558000000000,24560500000000,3,1,3,1,24557750000000,24560750000000,2,1,2,1,24557500000000,24561000000000,4,2,4,2,24557250000000,24561250000000,3,2,3,2,24557000000000,24561500000000,2,2,2,2,24556750000000,24561750000000,3,4,3,4,24556500000000,24562000000000,9,4,2,4,NQ.c.0
2026-02-17 13:09:00+00:00,1771333799922951159,10,1,42002475,C,B,0,24551250000000,1,128,11725,42502954,24551250000000,24552000000000,1,1,1,1,24551000000000,24552250000000,3,1,3,1,24550750000000,24552500000000,2,3,2,3,24550500000000,24552750000000,2,2,2,2,24550250000000,24553000000000,2,1,2,1,24550000000000,24553250000000,8,1,7,1,24549750000000,24553500000000,5,1,5,1,24549250000000,24553750000000,2,1,2,1,24549000000000,24554000000000,1,4,1,4,24548750000000,24554250000000,1,1,1,1,NQ.c.0
2026-02-17 13:10:00+00:00,1771333859954662903,10,1,42002475,A,A,1,24549750000000,1,128,13403,42553395,24547750000000,24549500000000,2,2,2,2,24547500000000,24549750000000,4,5,4,5,24547250000000,24550000000000,1,3,1,3,24547000000000,24550250000000,1,2,1,2,24546750000000,24550500000000,2,2,2,2,24546500000000,24550750000000,3,3,1,3,24546250000000,24551000000000,3,2,3,2,24546000000000,24551250000000,4,1,4,1,24545750000000,24551500000000,1,2,1,2,24545500000000,24551750000000,1,1,1,1,NQ.c.0
2026-02-17 13:11:00+00:00,1771333919971937277,10,1,42002475,C,A,0,24531000000000,1,128,12660,42620642,24530250000000,24531250000000,1,1,1,1,24530000000000,24531500000000,1,1,1,1,24529750000000,24531750000000,3,3,3,3,24529500000000,24532000000000,2,7,2,7,24529250000000,24532250000000,4,3,4,3,24529000000000,24532500000000,4,1,4,1,24528750000000,24532750000000,3,1,3,1,24528500000000,24533000000000,4,3,4,3,24528250000000,24533250000000,4,2,4,2,24528000000000,24533500000000,4,2,4,2,NQ.c.0
2026-02-17 13:12:00+00:00,1771333979857471770,10,1,42002475,M,A,6,24524500000000,1,128,13921,42689106,24522250000000,24523000000000,1,1,1,1,24522000000000,24523250000000,1,2,1,2,24521750000000,24523500000000,2,3,2,3,24521500000000,24523750000000,1,1,1,1,24521250000000,24524000000000,2,5,2,5,24521000000000,24524250000000,3,3,3,3,24520750000000,24524500000000,3,3,3,3,24520500000000,24524750000000,2,2,2,2,24520250000000,24525000000000,3,3,3,3,24520000000000,24525250000000,15,3,9,3,NQ.c.0
2026-02-17 13:13:00+00:00,1771334039961211911,10,1,42002475,A,A,0,24543750000000,1,128,13071,42762534,24542500000000,24543750000000,1,1,1,1,24542250000000,24544000000000,1,1,1,1,24542000000000,24544250000000,4,1,4,1,24541750000000,24544500000000,2,3,2,3,24541500000000,24545000000000,1,2,1,2,24541250000000,24545250000000,4,3,4,3,24541000000000,24545500000000,2,3,2,3,24540750000000,24545750000000,1,1,1,1,24540500000000,24546000000000,3,5,3,5,24540250000000,24546250000000,3,5,3,5,NQ.c.0
2026-02-17 13:14:00+00:00,1771334099773795371,10,1,42002475,C,A,0,24548750000000,1,128,11659,42813766,24547000000000,24548750000000,2,1,2,1,24546750000000,24549000000000,2,2,2,2,24546500000000,24549250000000,2,6,2,2,24546000000000,24550000000000,3,1,3,1,24545750000000,24550500000000,1,2,1,2,24545500000000,24550750000000,1,2,1,2,24544000000000,24551000000000,3,1,3,1,24543000000000,24551250000000,3,1,3,1,24542250000000,24551500000000,1,3,1,3,24542000000000,24552000000000,2,2,2,2,NQ.c.0
2026-02-17 13:15:00+00:00,1771334159992157658,10,1,42002475,A,B,0,24553250000000,1,128,11469,42882283,24553250000000,24554250000000,1,1,1,1,24553000000000,24554500000000,2,2,2,2,24552750000000,24554750000000,1,1,1,1,24552500000000,24555000000000,2,2,2,2,24552250000000,24555500000000,1,3,1,3,24552000000000,24555750000000,4,2,4,2,24551750000000,24556000000000,2,4,2,4,24551500000000,24556250000000,2,3,2,3,24551250000000,24556500000000,3,2,3,2,24551000000000,24556750000000,3,2,3,2,NQ.c.0
2026-02-17 13:16:00+00:00,1771334219844322368,10,1,42002475,M,A,7,24558500000000,1,128,11039,42926531,24556000000000,24556750000000,1,1,1,1,24555750000000,24557000000000,2,1,2,1,24555500000000,24557250000000,2,2,2,2,24555000000000,24557500000000,2,2,2,2,24554500000000,24557750000000,3,1,3,1,24554000000000,24558000000000,4,4,4,4,24553750000000,24558250000000,2,4,2,3,24553500000000,24558500000000,2,7,2,3,24553250000000,24558750000000,1,3,1,3,24553000000000,24559000000000,2,1,2,1,NQ.c.0
2026-02-17 13:17:00+00:00,1771334279962933800,10,1,42002475,A,B,1,24554250000000,1,128,13146,42971250,24554500000000,24556000000000,2,1,2,1,24554250000000,24556250000000,3,2,3,2,24554000000000,24556500000000,2,3,2,3,24553750000000,24556750000000,4,4,4,4,24553500000000,24557000000000,2,7,2,7,24553250000000,24557250000000,2,1,2,1,24553000000000,24557500000000,2,3,2,3,24552750000000,24557750000000,5,1,5,1,24552500000000,24558000000000,2,5,2,5,24552250000000,24558250000000,2,3,2,3,NQ.c.0
2026-02-17 13:18:00+00:00,1771334339993099224,10,1,42002475,C,A,1,24542000000000,1,128,12977,43036469,24539250000000,24541750000000,6,2,6,2,24539000000000,24542000000000,4,1,4,1,24538750000000,24542250000000,3,1,3,1,24538500000000,24542500000000,2,2,2,2,24538250000000,24542750000000,2,1,2,1,24538000000000,24543250000000,4,1,4,1,24537750000000,24543500000000,2,2,2,2,24537000000000,24543750000000,1,2,1,2,24536750000000,24544000000000,2,3,2,3,24536250000000,24544750000000,1,1,1,1,NQ.c.0
2026-02-17 13:19:00+00:00,1771334399640500029,10,1,42002475,A,B,5,24552000000000,1,128,12562,43108547,24553250000000,24554500000000,2,1,2,1,24553000000000,24554750000000,1,1,1,1,24552750000000,24555000000000,2,1,2,1,24552500000000,24555250000000,1,3,1,3,24552250000000,24555500000000,1,3,1,3,24552000000000,24556000000000,4,5,4,5,24551750000000,24556250000000,4,2,4,2,24551250000000,24556500000000,1,2,1,2,24551000000000,24556750000000,1,1,1,1,24550750000000,24557000000000,2,2,2,2,NQ.c.0
2026-02-17 13:20:00+00:00,1771334459905187059,10,1,42002475,A,A,0,24567750000000,1,128,13116,43175345,24566250000000,24567750000000,2,4,2,4,24566000000000,24568000000000,1,4,1,4,24565750000000,24568750000000,2,2,2,2,24565500000000,24569000000000,2,1,2,1,24565250000000,24569250000000,1,2,1,2,24565000000000,24569750000000,1,2,1,2,24564750000000,24570000000000,2,5,2,5,24564500000000,24570250000000,2,3,2,3,24564250000000,24570500000000,4,3,4,3,24564000000000,24570750000000,7,1,7,1,NQ.c.0
2026-02-17 13:21:00+00:00,1771334519945066335,10,1,42002475,M,B,2,24589250000000,1,128,11610,43264427,24589750000000,24590750000000,2,1,2,1,24589500000000,24591000000000,1,1,1,1,24589250000000,24591250000000,2,3,2,3,24589000000000,24591500000000,1,3,1,2,24588750000000,24591750000000,2,2,2,2,24588500000000,24592000000000,1,1,1,1,24588250000000,24592250000000,1,2,1,2,24588000000000,24592500000000,6,1,6,1,24587750000000,24592750000000,4,3,3,3,24587500000000,24593000000000,3,1,3,1,NQ.c.0
2026-02-17 13:22:00+00:00,1771334579999471838,10,1,42002475,M,B,7,24594750000000,1,128,14075,43332395,24600000000000,24601000000000,3,1,3,1,24599750000000,24601250000000,2,1,2,1,24599500000000,24601500000000,1,3,1,3,24599250000000,24601750000000,3,2,3,2,24599000000000,24602000000000,4,2,4,2,24598750000000,24602250000000,4,2,4,2,24598500000000,24602500000000,4,3,4,3,24598250000000,24602750000000,3,4,3,4,24598000000000,24603000000000,4,4,4,4,24597750000000,24603250000000,3,4,3,4,NQ.c.0
2026-02-17 13:23:00+00:00,1771334639592116471,10,1,42002475,A,A,1,24599750000000,1,128,14334,43396128,24598500000000,24599500000000,1,1,1,1,24598000000000,24599750000000,3,2,3,2,24597750000000,24600000000000,4,3,4,3,24597500000000,24600250000000,2,2,2,2,24597250000000,24600500000000,4,2,4,2,24597000000000,24600750000000,4,1,4,1,24596750000000,24601000000000,2,1,2,1,24596500000000,24601250000000,3,3,3,3,24596250000000,24601500000000,3,4,3,4,24596000000000,24601750000000,4,4,4,4,NQ.c.0
2026-02-17 13:24:00+00:00,1771334699972763080,10,1,42002475,C,B,0,24611750000000,1,128,13310,43443869,24611750000000,24613000000000,4,2,4,2,24611500000000,24613250000000,5,2,5,2,24611250000000,24613500000000,4,3,4,3,24611000000000,24613750000000,3,2,3,2,24610750000000,24614000000000,6,4,4,4,24610500000000,24614250000000,5,3,5,3,24610250000000,24614500000000,3,3,3,3,24610000000000,24614750000000,5,3,5,3,24609750000000,24615000000000,5,4,5,3,24609500000000,24615250000000,2,1,2,1,NQ.c.0
2026-02-17 13:25:00+00:00,1771334759797417917,10,1,42002475,A,B,0,24605750000000,1,128,11349,43509041,24605750000000,24606750000000,1,1,1,1,24605500000000,24607250000000,1,4,1,4,24605250000000,24607500000000,3,4,3,2,24605000000000,24607750000000,4,1,4,1,24604750000000,24608000000000,1,3,1,3,24604500000000,24608250000000,2,3,2,3,24604250000000,24608500000000,3,1,3,1,24604000000000,24608750000000,5,3,5,3,24603750000000,24609000000000,3,3,3,3,24603500000000,24609250000000,4,3,4,3,NQ.c.0
2026-02-17 13:26:00+00:00,1771334819965772229,10,1,42002475,A,B,3,24602000000000,1,128,11059,43554936,24602750000000,24603500000000,1,1,1,1,24602500000000,24603750000000,1,2,1,2,24602250000000,24604000000000,1,2,1,2,24602000000000,24604250000000,4,2,4,2,24601750000000,24604500000000,3,4,3,4,24601500000000,24604750000000,2,4,2,4,24601250000000,24605000000000,2,3,2,3,24601000000000,24605250000000,2,5,2,4,24600500000000,24605500000000,3,5,3,5,24600250000000,24605750000000,4,3,4,3,NQ.c.0
2026-02-17 13:27:00+00:00,1771334879933139179,10,1,42002475,A,A,6,24618000000000,1,128,13371,43606348,24615500000000,24616500000000,1,1,1,1,24615250000000,24616750000000,1,1,1,1,24615000000000,24617000000000,3,2,3,2,24614750000000,24617250000000,2,3,2,3,24614500000000,24617500000000,2,2,2,2,24614250000000,24617750000000,1,2,1,2,24614000000000,24618000000000,3,6,3,6,24613750000000,24618250000000,2,1,2,1,24613500000000,24618500000000,2,2,2,2,24613250000000,24618750000000,2,3,2,3,NQ.c.0
2026-02-17 13:28:00+00:00,1771334939914721511,10,1,42002475,C,A,0,24611250000000,1,128,11035,43646609,24610500000000,24611500000000,1,1,1,1,24610250000000,24611750000000,2,2,2,2,24610000000000,24612000000000,2,1,2,1,24609750000000,24612500000000,3,1,3,1,24609500000000,24612750000000,4,2,4,2,24609250000000,24613000000000,1,2,1,2,24609000000000,24613250000000,1,3,1,3,24608750000000,24613500000000,2,2,2,2,24608500000000,24613750000000,4,1,4,1,24608250000000,24614000000000,3,3,3,3,NQ.c.0
