ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-18 12:00:00+00:00,1.7817840599907837e+18,10.0,1.0,42004058.0,M,A,5.0,30112250000000.0,1.0,128.0,11835.0,524284868.0,30104750000000.0,30109500000000.0,1.0,2.0,1.0,2.0,30104250000000.0,30109750000000.0,1.0,1.0,1.0,1.0,30104000000000.0,30110000000000.0,3.0,1.0,3.0,1.0,30103750000000.0,30110250000000.0,2.0,1.0,2.0,1.0,30103500000000.0,30110500000000.0,2.0,1.0,2.0,1.0,30103250000000.0,30112250000000.0,1.0,1.0,1.0,1.0,30102750000000.0,30112500000000.0,1.0,1.0,1.0,1.0,30102000000000.0,30114000000000.0,1.0,1.0,1.0,1.0,30101250000000.0,30114750000000.0,1.0,1.0,1.0,1.0,30101000000000.0,30115000000000.0,1.0,2.0,1.0,1.0,NQ.c.0
2026-06-18 12:01:00+00:00,1.7817841195609551e+18,10.0,1.0,42004058.0,M,A,2.0,30106000000000.0,1.0,128.0,10993.0,524328464.0,30100250000000.0,30105250000000.0,1.0,1.0,1.0,1.0,30099750000000.0,30105750000000.0,1.0,1.0,1.0,1.0,30099500000000.0,30106000000000.0,2.0,2.0,2.0,2.0,30099250000000.0,30106250000000.0,1.0,1.0,1.0,1.0,30099000000000.0,30106500000000.0,1.0,1.0,1.0,1.0,30098750000000.0,30106750000000.0,1.0,1.0,1.0,1.0,30098500000000.0,30107750000000.0,1.0,1.0,1.0,1.0,30097500000000.0,30108500000000.0,2.0,1.0,2.0,1.0,30097250000000.0,30109500000000.0,1.0,1.0,1.0,1.0,30096750000000.0,30109750000000.0,1.0,1.0,1.0,1.0,NQ.c.0
2026-06-18 12:02:00+00:00,1.7817841799186386e+18,10.0,1.0,42004058.0,M,A,0.0,30103250000000.0,1.0,128.0,11785.0,524370277.0,30098500000000.0,30103250000000.0,1.0,2.0,1.0,2.0,30096750000000.0,30103500000000.0,1.0,2.0,1.0,2.0,30096500000000.0,30103750000000.0,1.0,3.0,1.0,3.0,30096250000000.0,30104000000000.0,2.0,2.0,2.0,2.0,30096000000000.0,30104250000000.0,1.0,1.0,1.0,1.0,30095750000000.0,30104500000000.0,1.0,1.0,1.0,1.0,30095500000000.0,30105500000000.0,2.0,1.0,2.0,1.0,30094750000000.0,30106250000000.0,1.0,1.0,1.0,1.0,30093750000000.0,30106500000000.0,2.0,2.0,2.0,2.0,30093000000000.0,30107250000000.0,1.0,1.0,1.0,1.0,NQ.c.0
2026-06-18 12:03:00+00:00,1.781784239881533e+18,10.0,1.0,42004058.0,M,B,0.0,30103750000000.0,1.0,128.0,11539.0,524427991.0,30103750000000.0,30108500000000.0,1.0,1.0,1.0,1.0,30102750000000.0,30108750000000.0,2.0,1.0,2.0,1.0,30102500000000.0,30109000000000.0,1.0,1.0,1.0,1.0,30102250000000.0,30109250000000.0,1.0,2.0,1.0,2.0,30102000000000.0,30109500000000.0,1.0,1.0,1.0,1.0,30101750000000.0,30109750000000.0,2.0,2.0,2.0,2.0,30101250000000.0,30110250000000.0,1.0,1.0,1.0,1.0,30101000000000.0,30110500000000.0,1.0,1.0,1.0,1.0,30099500000000.0,30111000000000.0,1.0,1.0,1.0,1.0,30099000000000.0,30111250000000.0,1.0,1.0,1.0,1.0,NQ.c.0
2026-06-18 12:04:00+00:00,1.7817842997714504e+18,10.0,1.0,42004058.0,M,A,0.0,30106500000000.0,1.0,128.0,12866.0,524472653.0,30101750000000.0,30106500000000.0,1.0,1.0,1.0,1.0,30101000000000.0,30106750000000.0,2.0,1.0,2.0,1.0,30100750000000.0,30107000000000.0,1.0,2.0,1.0,2.0,30100500000000.0,30107250000000.0,2.0,1.0,2.0,1.0,30100250000000.0,30107500000000.0,1.0,1.0,1.0,1.0,30100000000000.0,30107750000000.0,1.0,2.0,1.0,2.0,30098500000000.0,30108000000000.0,1.0,1.0,1.0,1.0,30098000000000.0,30109000000000.0,1.0,1.0,1.0,1.0,30097750000000.0,30109750000000.0,1.0,1.0,1.0,1.0,30097500000000.0,30110250000000.0,1.0,2.0,1.0,2.0,NQ.c.0
2026-06-18 12:05:00+00:00,1.7817843597687404e+18,10.0,1.0,42004058.0,M,B,1.0,30089500000000.0,1.0,128.0,11449.0,524521341.0,30091250000000.0,30096000000000.0,1.0,1.0,1.0,1.0,30091000000000.0,30096250000000.0,2.0,2.0,2.0,2.0,30090750000000.0,30096500000000.0,1.0,1.0,1.0,1.0,30090500000000.0,30096750000000.0,1.0,1.0,1.0,1.0,30090250000000.0,30097000000000.0,1.0,1.0,1.0,1.0,30089500000000.0,30097250000000.0,2.0,1.0,2.0,1.0,30089250000000.0,30098500000000.0,1.0,1.0,1.0,1.0,30088000000000.0,30099500000000.0,1.0,1.0,1.0,1.0,30087000000000.0,30099750000000.0,1.0,2.0,1.0,2.0,30086750000000.0,30100500000000.0,1.0,1.0,1.0,1.0,NQ.c.0
2026-06-18 12:06:00+00:00,1.781784419979045e+18,10.0,1.0,42004058.0,M,A,0.0,30100250000000.0,1.0,128.0,14153.0,524564980.0,30095500000000.0,30100250000000.0,1.0,1.0,1.0,1.0,30095000000000.0,30101000000000.0,1.0,2.0,1.0,2.0,30094750000000.0,30101250000000.0,2.0,1.0,2.0,1.0,30094500000000.0,30101500000000.0,1.0,1.0,1.0,1.0,30094250000000.0,30101750000000.0,1.0,1.0,1.0,1.0,30094000000000.0,30102000000000.0,1.0,1.0,1.0,1.0,30093750000000.0,30103500000000.0,1.0,1.0,1.0,1.0,30092750000000.0,30103750000000.0,1.0,1.0,1.0,1.0,30092500000000.0,30104000000000.0,1.0,2.0,1.0,2.0,30092250000000.0,30104500000000.0,1.0,1.0,1.0,1.0,NQ.c.0
2026-06-18 12:07:00+00:00,1.7817844796486026e+18,10.0,1.0,42004058.0,M,A,1.0,30090250000000.0,1.0,128.0,10983.0,524629556.0,30083500000000.0,30088500000000.0,1.0,1.0,1.0,1.0,30083250000000.0,30089250000000.0,2.0,1.0,2.0,1.0,30083000000000.0,30089500000000.0,2.0,2.0,2.0,2.0,30082750000000.0,30089750000000.0,1.0,1.0,1.0,1.0,30082500000000.0,30090000000000.0,2.0,1.0,2.0,1.0,30082250000000.0,30090250000000.0,1.0,1.0,1.0,1.0,30081750000000.0,30091500000000.0,1.0,1.0,1.0,1.0,30081000000000.0,30092500000000.0,1.0,1.0,1.0,1.0,30080250000000.0,30093750000000.0,2.0,1.0,2.0,1.0,30079500000000.0,30094750000000.0,1.0,2.0,1.0,1.0,NQ.c.0
2026-06-18 12:08:00+00:00,1.781784539928246e+18,10.0,1.0,42004058.0,M,B,9.0,30081500000000.0,2.0,128.0,11837.0,524676865.0,30086750000000.0,30091750000000.0,2.0,1.0,2.0,1.0,30086500000000.0,30092750000000.0,1.0,2.0,1.0,2.0,30086250000000.0,30093000000000.0,2.0,1.0,2.0,1.0,30086000000000.0,30093250000000.0,2.0,1.0,2.0,1.0,30085750000000.0,30093500000000.0,1.0,1.0,1.0,1.0,30085250000000.0,30093750000000.0,1.0,2.0,1.0,2.0,30083000000000.0,30094250000000.0,1.0,1.0,1.0,1.0,30082500000000.0,30095250000000.0,2.0,1.0,2.0,1.0,30082250000000.0,30095500000000.0,1.0,1.0,1.0,1.0,30081750000000.0,30096000000000.0,1.0,1.0,1.0,1.0,NQ.c.0
2026-06-18 12:09:00+00:00,1.7817845999471892e+18,10.0,1.0,42004058.0,M,A,0.0,30087250000000.0,1.0,128.0,11149.0,524721672.0,30082250000000.0,30087250000000.0,1.0,1.0,1.0,1.0,30082000000000.0,30087750000000.0,1.0,1.0,1.0,1.0,30081750000000.0,30088000000000.0,1.0,1.0,1.0,1.0,30081500000000.0,30088250000000.0,1.0,1.0,1.0,1.0,30081250000000.0,30088500000000.0,1.0,1.0,1.0,1.0,30081000000000.0,30088750000000.0,2.0,1.0,2.0,1.0,30080750000000.0,30089250000000.0,2.0,2.0,2.0,2.0,30079750000000.0,30089500000000.0,1.0,1.0,1.0,1.0,30079500000000.0,30090500000000.0,1.0,2.0,1.0,2.0,30078750000000.0,30090750000000.0,1.0,1.0,1.0,1.0,NQ.c.0
