ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-07 12:00:00+00:00,1775563259974774766,10,1,42004058,C,A,8,24204000000000,1,128,11078,101497330,24200750000000,24201750000000,1,1,1,1,24200500000000,24202250000000,2,2,2,2,24200250000000,24202500000000,1,3,1,3,24200000000000,24202750000000,3,4,3,4,24199750000000,24203000000000,2,4,2,4,24199500000000,24203250000000,1,3,1,3,24199250000000,24203500000000,3,4,3,4,24199000000000,24203750000000,4,5,4,5,24198500000000,24204000000000,4,6,4,6,24198250000000,24204250000000,4,3,4,3,NQ.c.0
2026-04-07 12:01:00+00:00,1775563319678045067,10,1,42004058,C,B,3,24197000000000,1,128,10951,101533137,24197750000000,24199000000000,1,1,1,1,24197500000000,24199250000000,3,2,3,2,24197250000000,24199500000000,2,3,2,3,24197000000000,24199750000000,3,2,3,2,24196750000000,24200000000000,3,4,3,4,24196500000000,24200250000000,3,5,3,4,24196250000000,24200500000000,3,3,3,3,24196000000000,24200750000000,3,3,3,3,24195750000000,24201000000000,3,2,3,2,24195500000000,24201250000000,3,3,3,3,NQ.c.0
2026-04-07 12:02:00+00:00,1775563379611058827,10,1,42004058,C,B,0,24199250000000,1,128,11076,101561765,24199000000000,24200500000000,2,1,2,1,24198750000000,24200750000000,2,1,2,1,24198500000000,24201000000000,3,1,3,1,24198250000000,24201250000000,3,3,3,3,24198000000000,24201500000000,2,2,2,2,24197750000000,24201750000000,1,3,1,3,24197500000000,24202000000000,2,3,2,3,24197250000000,24202250000000,3,4,3,4,24197000000000,24202500000000,4,2,4,2,24196750000000,24202750000000,3,4,3,4,NQ.c.0
2026-04-07 12:03:00+00:00,1775563439737260835,10,1,42004058,M,A,7,24199750000000,1,128,11190,101590566,24196750000000,24198000000000,1,1,1,1,24196500000000,24198250000000,1,2,1,2,24196250000000,24198500000000,3,5,3,5,24196000000000,24198750000000,3,2,3,2,24195500000000,24199000000000,3,2,3,2,24195250000000,24199250000000,3,3,3,3,24195000000000,24199500000000,2,1,2,1,24194750000000,24199750000000,2,4,2,4,24194500000000,24200000000000,2,4,2,4,24194250000000,24200250000000,2,2,2,2,NQ.c.0
2026-04-07 12:04:00+00:00,1775563499903406268,10,1,42004058,M,B,2,24195000000000,1,128,15795,101618582,24195500000000,24196750000000,1,1,1,1,24195250000000,24197000000000,2,4,2,4,24195000000000,24197250000000,3,1,3,1,24194750000000,24197500000000,3,2,3,2,24194500000000,24197750000000,5,2,5,2,24194250000000,24198000000000,3,3,3,3,24194000000000,24198250000000,3,3,3,3,24193750000000,24198500000000,2,3,2,3,24193500000000,24198750000000,3,1,3,1,24193250000000,24199000000000,3,4,3,4,NQ.c.0
2026-04-07 12:05:00+00:00,1775563559689819452,10,1,42004058,C,B,4,24187000000000,1,128,11535,101654679,24188000000000,24189000000000,1,2,1,2,24187750000000,24189250000000,2,1,2,1,24187500000000,24189500000000,4,2,4,2,24187250000000,24189750000000,3,2,3,2,24186750000000,24190000000000,2,2,2,2,24186500000000,24190250000000,4,5,4,5,24186250000000,24190500000000,4,2,4,2,24186000000000,24190750000000,3,1,3,1,24185750000000,24191000000000,4,3,4,3,24185500000000,24191250000000,3,3,3,3,NQ.c.0
2026-04-07 12:06:00+00:00,1775563619993714667,10,1,42004058,A,A,2,24167750000000,1,128,12364,101846789,24165000000000,24167250000000,1,3,1,3,24164000000000,24167500000000,1,3,1,3,24163750000000,24167750000000,1,3,1,3,24163500000000,24168000000000,1,6,1,6,24163000000000,24168250000000,1,3,1,3,24162250000000,24168500000000,1,3,1,3,24161750000000,24169750000000,1,2,1,2,24161500000000,24170250000000,2,2,2,2,24160500000000,24170500000000,1,2,1,2,24160000000000,24170750000000,2,3,2,3,NQ.c.0
2026-04-07 12:07:00+00:00,1775563679991890307,10,1,42004058,C,B,0,24158000000000,1,128,12244,102028745,24157750000000,24159750000000,1,1,1,1,24157500000000,24160000000000,2,3,2,3,24157250000000,24160250000000,3,1,3,1,24157000000000,24160500000000,2,1,2,1,24156750000000,24161000000000,2,2,2,2,24156500000000,24161500000000,1,3,1,3,24156250000000,24162250000000,2,2,2,2,24156000000000,24162750000000,6,2,6,2,24155750000000,24163000000000,3,4,3,4,24155500000000,24163250000000,3,4,3,4,NQ.c.0
2026-04-07 12:08:00+00:00,1775563739935675036,10,1,42004058,C,B,2,24167250000000,1,128,16149,102160598,24167750000000,24169500000000,2,1,2,1,24167500000000,24169750000000,3,4,3,4,24166750000000,24170000000000,3,4,3,4,24166500000000,24170250000000,3,4,3,4,24166250000000,24170500000000,2,2,2,2,24166000000000,24170750000000,6,2,6,2,24165750000000,24171000000000,1,3,1,3,24165500000000,24171250000000,2,3,2,3,24165250000000,24171750000000,3,4,3,4,24165000000000,24172000000000,5,5,5,5,NQ.c.0
2026-04-07 12:09:00+00:00,1775563799987759107,10,1,42004058,A,A,0,24179500000000,1,128,14370,102247538,24177250000000,24179500000000,1,8,1,8,24177000000000,24179750000000,4,5,4,5,24176750000000,24180000000000,2,8,2,8,24176250000000,24180250000000,3,3,3,3,24176000000000,24180500000000,4,3,4,3,24175750000000,24180750000000,3,2,3,2,24175500000000,24181000000000,5,4,5,4,24175250000000,24181250000000,5,4,5,4,24175000000000,24181500000000,4,4,4,4,24174750000000,24181750000000,5,2,5,2,NQ.c.0
2026-04-07 12:10:00+00:00,1775563859975592009,10,1,42004058,M,B,1,24100750000000,1,128,11042,102328057,24176500000000,24178250000000,1,1,1,1,24176250000000,24178500000000,2,3,2,3,24176000000000,24178750000000,4,2,4,2,24175750000000,24179000000000,3,2,3,2,24175500000000,24179250000000,4,2,4,2,24175250000000,24179500000000,2,2,2,2,24175000000000,24179750000000,3,2,3,2,24174750000000,24180000000000,3,4,3,4,24174500000000,24180250000000,4,3,4,3,24174250000000,24180500000000,3,2,3,2,NQ.c.0
2026-04-07 12:11:00+00:00,1775563919923897127,10,1,42004058,A,B,1,24179250000000,1,128,12298,102389380,24179500000000,24180750000000,1,1,1,1,24179250000000,24181500000000,2,2,2,2,24179000000000,24181750000000,4,2,4,2,24178750000000,24182000000000,2,2,2,2,24178250000000,24182250000000,2,3,2,3,24178000000000,24182500000000,4,2,4,2,24177500000000,24182750000000,3,1,3,1,24177250000000,24183000000000,2,4,2,4,24177000000000,24183250000000,3,3,3,3,24176750000000,24183500000000,3,3,3,3,NQ.c.0
2026-04-07 12:12:00+00:00,1775563979918538699,10,1,42004058,A,B,1,24175000000000,1,128,12462,102440748,24175250000000,24177000000000,2,1,2,1,24175000000000,24177250000000,2,3,2,3,24174750000000,24177500000000,3,3,3,3,24174500000000,24177750000000,3,2,3,2,24174250000000,24178000000000,2,1,2,1,24174000000000,24178250000000,2,3,2,3,24173750000000,24178500000000,3,3,3,3,24173500000000,24178750000000,3,1,3,1,24173250000000,24179000000000,4,2,4,2,24173000000000,24179250000000,4,3,4,3,NQ.c.0
