ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-24 12:00:00+00:00,1774353659922632076,10,1,42004058,A,B,0,24392250000000,1,128,10953,185264515,24392250000000,24393250000000,1,1,1,1,24392000000000,24393500000000,1,3,1,3,24391750000000,24393750000000,1,1,1,1,24391500000000,24394000000000,2,2,2,2,24391250000000,24394250000000,2,2,2,2,24391000000000,24394500000000,1,2,1,2,24390750000000,24394750000000,1,3,1,3,24390500000000,24395000000000,3,4,3,4,24390250000000,24395250000000,2,3,2,3,24390000000000,24395500000000,4,4,4,4,NQ.c.0
2026-03-24 12:01:00+00:00,1774353719901150891,10,1,42004058,A,A,0,24380500000000,1,128,11420,185313616,24379500000000,24380500000000,1,1,1,1,24379250000000,24380750000000,2,1,2,1,24379000000000,24381000000000,1,1,1,1,24378750000000,24381250000000,1,3,1,3,24378500000000,24381750000000,2,2,2,2,24378250000000,24382000000000,3,2,3,2,24378000000000,24382250000000,5,1,5,1,24377500000000,24382500000000,4,2,4,2,24377250000000,24382750000000,2,3,2,3,24377000000000,24383000000000,2,2,2,2,NQ.c.0
2026-03-24 12:02:00+00:00,1774353779980928662,10,1,42004058,A,B,0,24380250000000,1,128,10931,185358080,24380250000000,24381500000000,1,1,1,1,24380000000000,24381750000000,1,2,1,2,24379750000000,24382000000000,1,4,1,4,24379500000000,24382250000000,2,3,2,3,24379250000000,24382500000000,3,4,3,4,24379000000000,24382750000000,1,4,1,4,24378750000000,24383000000000,1,4,1,4,24378500000000,24383250000000,1,2,1,2,24378250000000,24383500000000,3,2,3,2,24378000000000,24383750000000,3,4,3,4,NQ.c.0
2026-03-24 12:03:00+00:00,1774353839983630260,10,1,42004058,C,B,0,24377500000000,1,128,10951,185404043,24377250000000,24378500000000,1,1,1,1,24377000000000,24378750000000,2,1,2,1,24376750000000,24379000000000,3,1,3,1,24376500000000,24379250000000,2,3,2,3,24376250000000,24379750000000,2,3,2,3,24376000000000,24380000000000,5,4,5,4,24375750000000,24380250000000,4,4,4,4,24375500000000,24380500000000,4,3,4,3,24375250000000,24381000000000,2,2,2,2,24375000000000,24381250000000,3,5,3,3,NQ.c.0
2026-03-24 12:04:00+00:00,1774353899945105267,10,1,42004058,C,A,0,24354250000000,1,128,13607,185455552,24353500000000,24354500000000,1,1,1,1,24353250000000,24354750000000,1,3,1,3,24353000000000,24355000000000,4,1,4,1,24352750000000,24355250000000,3,1,3,1,24352500000000,24355500000000,3,2,3,2,24352250000000,24355750000000,3,3,3,3,24352000000000,24356000000000,4,4,4,4,24351750000000,24356250000000,2,3,2,3,24351000000000,24356500000000,2,3,2,3,24350500000000,24356750000000,4,3,4,3,NQ.c.0
2026-03-24 12:05:00+00:00,1774353959733944748,10,1,42004058,A,B,0,24343750000000,1,128,12685,185519139,24343750000000,24345000000000,2,1,2,1,24343500000000,24345250000000,2,5,2,5,24343250000000,24345500000000,3,2,3,2,24343000000000,24345750000000,2,3,2,3,24342750000000,24346000000000,2,6,2,6,24342500000000,24346250000000,5,7,4,7,24342250000000,24346500000000,3,5,3,5,24342000000000,24347000000000,4,2,4,2,24341750000000,24347250000000,2,2,2,2,24341500000000,24347500000000,3,4,3,4,NQ.c.0
2026-03-24 12:06:00+00:00,1774354019831121835,10,1,42004058,C,B,1,24348000000000,1,128,11802,185566927,24348250000000,24349500000000,1,1,1,1,24348000000000,24349750000000,1,2,1,2,24347750000000,24350000000000,1,5,1,5,24347500000000,24350250000000,3,2,3,2,24347000000000,24350500000000,2,4,2,4,24346750000000,24350750000000,3,2,3,2,24346500000000,24351000000000,2,4,2,4,24346250000000,24351250000000,2,3,2,3,24346000000000,24351500000000,5,2,5,2,24345750000000,24351750000000,2,2,2,2,NQ.c.0
2026-03-24 12:07:00+00:00,1774354079887099907,10,1,42004058,A,B,1,24343250000000,1,128,12915,185610682,24343500000000,24344750000000,1,1,1,1,24343250000000,24345000000000,4,4,4,2,24343000000000,24345250000000,2,3,2,3,24342750000000,24345500000000,2,5,2,5,24342500000000,24345750000000,2,3,2,3,24342250000000,24346000000000,3,6,3,6,24342000000000,24346250000000,4,1,4,1,24341750000000,24346500000000,4,1,3,1,24341500000000,24346750000000,3,1,3,1,24341250000000,24347000000000,3,3,3,3,NQ.c.0
2026-03-24 12:08:00+00:00,1774354139970477331,10,1,42004058,C,A,0,24337750000000,1,128,11190,185659338,24337000000000,24338000000000,1,1,1,1,24336750000000,24338250000000,1,2,1,2,24336500000000,24338500000000,2,4,2,4,24336250000000,24338750000000,4,2,4,2,24336000000000,24339000000000,4,2,4,2,24335750000000,24339250000000,2,3,2,3,24335500000000,24339500000000,4,4,4,4,24335250000000,24339750000000,3,1,3,1,24335000000000,24340000000000,2,5,2,5,24334750000000,24340250000000,2,2,2,2,NQ.c.0
2026-03-24 12:09:00+00:00,1774354199999696005,10,1,42004058,M,A,1,24342000000000,1,128,13205,185711242,24340750000000,24341750000000,1,1,1,1,24340500000000,24342000000000,1,5,1,5,24340250000000,24342250000000,2,5,2,5,24340000000000,24342500000000,2,4,2,4,24339750000000,24342750000000,3,3,3,3,24339500000000,24343000000000,2,5,2,5,24339250000000,24343250000000,3,3,3,3,24339000000000,24343500000000,4,2,4,2,24338750000000,24343750000000,2,2,2,2,24338500000000,24344000000000,3,3,3,3,NQ.c.0
