ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-19 12:00:00+00:00,1779192059944910756,10,1,42004058,A,A,0,28848750000000,1,128,15678,188131770,28847750000000,28848750000000,3,2,2,2,28847500000000,28849000000000,4,2,4,2,28847250000000,28849250000000,2,3,2,3,28847000000000,28849500000000,3,3,3,3,28846750000000,28849750000000,3,3,3,3,28846500000000,28850000000000,4,7,3,5,28846250000000,28850250000000,3,6,2,5,28846000000000,28850500000000,4,4,4,3,28845750000000,28850750000000,4,5,3,5,28845500000000,28851000000000,4,3,3,2,NQ.c.0
2026-05-19 12:01:00+00:00,1779192119948172482,10,1,42004058,C,B,0,28847500000000,1,128,12523,188225026,28847250000000,28848750000000,2,2,2,2,28847000000000,28849000000000,2,4,2,4,28846750000000,28849250000000,2,1,2,1,28846500000000,28849500000000,1,4,1,4,28846250000000,28849750000000,2,1,2,1,28846000000000,28850000000000,3,3,3,3,28845500000000,28850250000000,2,3,2,3,28845250000000,28850750000000,2,2,2,2,28844750000000,28851000000000,2,1,2,1,28844500000000,28851250000000,3,3,3,3,NQ.c.0
2026-05-19 12:02:00+00:00,1779192179994910729,10,1,42004058,A,B,0,28860750000000,1,128,12643,188295763,28860750000000,28861750000000,1,2,1,2,28860500000000,28862000000000,1,5,1,4,28860250000000,28862250000000,4,3,4,2,28860000000000,28862500000000,6,3,6,2,28859750000000,28862750000000,5,4,4,3,28859500000000,28863000000000,4,4,3,4,28859250000000,28863250000000,3,3,2,3,28859000000000,28863500000000,3,3,2,3,28858750000000,28863750000000,4,4,3,4,28858250000000,28864000000000,4,5,3,4,NQ.c.0
2026-05-19 12:03:00+00:00,1779192239914106742,10,1,42004058,A,B,0,28863000000000,1,128,13199,188366189,28863000000000,28864000000000,3,1,3,1,28862750000000,28864250000000,7,2,6,2,28862500000000,28864500000000,4,1,3,1,28862250000000,28864750000000,6,1,5,1,28862000000000,28865000000000,1,1,1,1,28861750000000,28865250000000,2,3,2,3,28861500000000,28865500000000,4,3,3,3,28861250000000,28865750000000,4,3,3,3,28861000000000,28866000000000,5,2,4,2,28860750000000,28866250000000,5,4,4,4,NQ.c.0
2026-05-19 12:04:00+00:00,1779192299994910686,10,1,42004058,A,B,0,28863750000000,1,128,15830,188410075,28863750000000,28864750000000,1,2,1,2,28863500000000,28865000000000,3,3,3,1,28863250000000,28865250000000,2,3,2,2,28862750000000,28865500000000,2,4,2,3,28862500000000,28865750000000,3,4,3,3,28862250000000,28866000000000,4,4,4,2,28862000000000,28866250000000,2,5,2,5,28861750000000,28866500000000,2,3,2,2,28861500000000,28866750000000,3,5,3,4,28861250000000,28867000000000,2,3,2,2,NQ.c.0
2026-05-19 12:05:00+00:00,1779192359897560403,10,1,42004058,C,A,0,28865250000000,1,128,11820,188465389,28864000000000,28865250000000,2,1,2,1,28863750000000,28865500000000,3,3,3,3,28863500000000,28865750000000,3,1,3,1,28863250000000,28866000000000,3,1,3,1,28863000000000,28866250000000,3,4,3,4,28862750000000,28866500000000,2,3,2,2,28862500000000,28866750000000,2,4,2,3,28862250000000,28867000000000,1,6,1,5,28862000000000,28867250000000,3,3,3,2,28861750000000,28867500000000,2,4,2,4,NQ.c.0
2026-05-19 12:06:00+00:00,1779192419983917299,10,1,42004058,A,B,0,28854500000000,1,128,11042,188521045,28854500000000,28855500000000,2,2,2,2,28854250000000,28855750000000,3,1,3,1,28854000000000,28856000000000,5,5,5,5,28853750000000,28856250000000,2,1,2,1,28853500000000,28856750000000,1,1,1,1,28853250000000,28857000000000,4,4,4,4,28853000000000,28857250000000,3,2,3,2,28852750000000,28857500000000,2,2,2,2,28852250000000,28857750000000,5,3,5,3,28852000000000,28858250000000,5,4,5,4,NQ.c.0
2026-05-19 12:07:00+00:00,1779192479911531203,10,1,42004058,A,A,3,28864000000000,1,128,13611,188555015,28862250000000,28863250000000,1,1,1,1,28862000000000,28863500000000,2,1,2,1,28861750000000,28863750000000,2,2,2,2,28861500000000,28864000000000,3,4,3,4,28861000000000,28864250000000,3,3,3,3,28860750000000,28864500000000,3,4,3,4,28860500000000,28864750000000,4,2,4,2,28860250000000,28865000000000,3,3,3,3,28860000000000,28865250000000,5,4,5,3,28859750000000,28865500000000,1,7,1,6,NQ.c.0
2026-05-19 12:08:00+00:00,1779192539897526396,10,1,42004058,C,A,0,28873250000000,1,128,12781,188591747,28872500000000,28873500000000,1,2,1,1,28872250000000,28874000000000,1,4,1,4,28872000000000,28874250000000,3,4,3,3,28871750000000,28874500000000,3,4,3,3,28871500000000,28874750000000,3,4,3,3,28871250000000,28875000000000,2,8,2,8,28871000000000,28875250000000,1,1,1,1,28870750000000,28875500000000,4,2,4,2,28870500000000,28875750000000,1,1,1,1,28870250000000,28876000000000,4,3,4,3,NQ.c.0
2026-05-19 12:09:00+00:00,1779192599306449461,10,1,42004058,A,A,1,28866750000000,1,128,15691,188632723,28865000000000,28866500000000,3,3,3,3,28864750000000,28866750000000,2,2,2,2,28864500000000,28867000000000,3,3,3,3,28864000000000,28867250000000,2,5,2,5,28863500000000,28867500000000,1,8,1,7,28863250000000,28867750000000,2,3,2,3,28863000000000,28868000000000,2,7,2,6,28862750000000,28868250000000,3,2,3,2,28862500000000,28868500000000,2,2,2,2,28862250000000,28869000000000,2,6,2,6,NQ.c.0
2026-05-19 12:10:00+00:00,1779192659656698935,10,1,42004058,A,A,0,28877250000000,1,128,13104,188692268,28876250000000,28877250000000,1,1,1,1,28876000000000,28877500000000,3,1,3,1,28875750000000,28877750000000,1,3,1,3,28875500000000,28878000000000,4,5,3,5,28875250000000,28878250000000,4,4,3,3,28875000000000,28878500000000,4,4,3,4,28874750000000,28878750000000,5,12,4,2,28874500000000,28879000000000,5,6,4,5,28874250000000,28879250000000,3,4,2,3,28874000000000,28879500000000,4,5,3,4,NQ.c.0
2026-05-19 12:11:00+00:00,1779192719763454315,10,1,42004058,A,A,1,28886500000000,1,128,13824,188739129,28885250000000,28886250000000,1,1,1,1,28885000000000,28886500000000,3,3,3,3,28884750000000,28886750000000,4,3,3,3,28884500000000,28887000000000,3,3,2,2,28884000000000,28887250000000,7,3,6,2,28883750000000,28887500000000,4,6,3,3,28883500000000,28887750000000,3,3,2,2,28883250000000,28888000000000,5,6,4,5,28882750000000,28888500000000,3,8,3,7,28882500000000,28889000000000,4,4,4,3,NQ.c.0
2026-05-19 12:12:00+00:00,1779192779908306156,10,1,42004058,A,B,0,28880250000000,1,128,10832,188773706,28880250000000,28881250000000,2,1,2,1,28880000000000,28881500000000,2,1,2,1,28879750000000,28881750000000,3,3,3,3,28879500000000,28882000000000,3,2,3,2,28879000000000,28882250000000,3,3,3,2,28878500000000,28882500000000,4,4,3,4,28878250000000,28882750000000,4,4,3,3,28878000000000,28883000000000,4,4,3,3,28877750000000,28883250000000,3,4,2,3,28877500000000,28883500000000,3,3,2,2,NQ.c.0
2026-05-19 12:13:00+00:00,1779192838845023842,10,1,42004058,C,B,0,28879750000000,1,128,10962,188796726,28879500000000,28880500000000,1,1,1,1,28879250000000,28880750000000,4,1,4,1,28879000000000,28881250000000,5,2,4,2,28878750000000,28881500000000,4,4,3,3,28878500000000,28882000000000,3,4,3,3,28878250000000,28882500000000,3,5,2,5,28878000000000,28882750000000,4,4,3,3,28877750000000,28883000000000,3,4,2,4,28877500000000,28883250000000,2,4,2,3,28877250000000,28883500000000,4,4,3,3,NQ.c.0
2026-05-19 12:14:00+00:00,1779192899981772247,10,1,42004058,A,B,0,28880000000000,1,128,12411,188821517,28880000000000,28882000000000,2,1,2,1,28879500000000,28882250000000,2,3,2,3,28879000000000,28882500000000,2,4,2,4,28878250000000,28883000000000,1,2,1,2,28878000000000,28883500000000,3,2,3,2,28877500000000,28883750000000,4,2,3,2,28877250000000,28884000000000,3,5,2,4,28876750000000,28884250000000,9,2,4,2,28876500000000,28884500000000,4,3,4,2,28876250000000,28885000000000,3,3,2,2,NQ.c.0
2026-05-19 12:15:00+00:00,1779192959054114271,10,1,42004058,A,B,0,28880500000000,1,128,12845,188860101,28880500000000,28881500000000,2,1,2,1,28880250000000,28881750000000,3,1,3,1,28880000000000,28882000000000,4,2,4,2,28879500000000,28882250000000,4,1,4,1,28879250000000,28882500000000,2,3,2,3,28879000000000,28883000000000,1,3,1,3,28878500000000,28883500000000,2,1,2,1,28878250000000,28883750000000,2,2,2,2,28878000000000,28884000000000,4,5,4,5,28877750000000,28884250000000,3,3,3,3,NQ.c.0
