ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-28 12:00:00+00:00,1779969659776075673,10,1,42004058,A,A,0,29934500000000,1,128,12381,229712654,29933750000000,29934500000000,1,2,1,2,29933500000000,29934750000000,2,2,2,2,29933250000000,29935000000000,5,4,1,4,29933000000000,29935250000000,2,4,2,4,29932750000000,29935500000000,3,2,3,2,29932250000000,29935750000000,3,4,3,4,29932000000000,29936000000000,5,6,5,6,29931750000000,29936500000000,4,4,4,4,29931500000000,29936750000000,5,3,5,3,29931250000000,29937000000000,2,3,2,3,NQ.c.0
2026-05-28 12:01:00+00:00,1779969719917958902,10,1,42004058,C,B,2,29924000000000,1,128,12337,229737131,29924500000000,29925500000000,1,1,1,1,29924250000000,29925750000000,3,2,3,2,29924000000000,29926000000000,2,5,2,5,29923750000000,29926250000000,4,2,4,2,29923500000000,29926500000000,3,8,3,4,29923250000000,29926750000000,3,2,3,2,29923000000000,29927000000000,9,3,5,3,29922750000000,29927500000000,3,3,3,3,29922500000000,29927750000000,2,2,2,2,29922250000000,29928000000000,3,4,3,4,NQ.c.0
2026-05-28 12:02:00+00:00,1779969779867953043,10,1,42004058,A,B,0,29927750000000,1,128,14158,229760449,29927750000000,29928500000000,1,1,1,1,29927500000000,29928750000000,2,4,2,4,29927250000000,29929000000000,4,4,4,4,29927000000000,29929250000000,2,3,2,3,29926750000000,29929500000000,3,3,3,3,29926500000000,29929750000000,2,6,2,6,29926250000000,29930000000000,3,3,3,3,29926000000000,29930250000000,2,3,2,3,29925750000000,29930500000000,2,4,2,4,29925250000000,29930750000000,3,2,3,2,NQ.c.0
2026-05-28 12:03:00+00:00,1779969839911410054,10,1,42004058,A,B,2,29929000000000,1,128,12832,229779293,29929500000000,29930250000000,1,1,1,1,29929250000000,29930500000000,1,1,1,1,29929000000000,29930750000000,3,3,3,3,29928750000000,29931000000000,2,2,2,2,29928250000000,29931250000000,5,3,5,3,29928000000000,29931750000000,6,2,6,2,29927500000000,29932000000000,4,3,4,3,29927250000000,29932250000000,3,5,3,5,29927000000000,29932500000000,2,3,2,3,29926750000000,29933000000000,5,3,5,3,NQ.c.0
2026-05-28 12:04:00+00:00,1779969899968033355,10,1,42004058,A,A,0,29926250000000,1,128,12344,229798692,29925250000000,29926250000000,3,2,3,2,29925000000000,29926500000000,2,2,2,2,29924750000000,29926750000000,2,3,2,3,29924500000000,29927000000000,2,1,2,1,29924250000000,29927250000000,3,1,3,1,29924000000000,29927500000000,6,2,6,2,29923750000000,29927750000000,4,4,4,4,29923500000000,29928000000000,3,4,3,4,29923250000000,29928250000000,4,3,4,3,29923000000000,29928500000000,5,2,5,2,NQ.c.0
2026-05-28 12:05:00+00:00,1779969959877943356,10,1,42004058,C,A,1,29931750000000,1,128,12401,229819592,29930750000000,29931500000000,1,1,1,1,29930500000000,29931750000000,2,3,2,3,29930250000000,29932000000000,3,2,3,2,29930000000000,29932250000000,2,1,2,1,29929750000000,29932750000000,2,3,2,3,29929500000000,29933000000000,3,5,3,5,29929250000000,29933250000000,3,3,3,3,29929000000000,29933500000000,3,6,3,6,29928750000000,29933750000000,3,2,3,2,29928500000000,29934000000000,2,5,2,5,NQ.c.0
2026-05-28 12:06:00+00:00,1779970019996715660,10,1,42004058,A,A,0,29944250000000,1,128,10641,229855659,29943500000000,29944250000000,1,1,1,1,29943250000000,29944500000000,3,1,3,1,29943000000000,29944750000000,1,2,1,2,29942750000000,29945000000000,1,2,1,2,29942500000000,29945250000000,2,4,2,4,29942250000000,29945500000000,3,3,3,3,29942000000000,29945750000000,4,4,4,4,29941750000000,29946000000000,3,6,3,6,29941500000000,29946250000000,3,3,3,3,29941250000000,29946500000000,2,2,2,2,NQ.c.0
2026-05-28 12:07:00+00:00,1779970079812827678,10,1,42004058,C,B,1,29960000000000,1,128,12101,229894645,29960250000000,29961000000000,2,1,2,1,29960000000000,29961250000000,1,3,1,3,29959750000000,29961500000000,2,2,2,2,29959500000000,29961750000000,3,2,3,2,29959250000000,29962000000000,3,1,3,1,29959000000000,29962250000000,3,3,3,3,29958750000000,29962500000000,6,2,2,2,29958500000000,29962750000000,4,4,4,4,29958250000000,29963000000000,3,4,3,4,29958000000000,29963250000000,4,3,4,3,NQ.c.0
2026-05-28 12:08:00+00:00,1779970139923110774,10,1,42004058,C,B,0,29951750000000,1,128,13392,229928034,29951750000000,29952500000000,3,1,3,1,29951500000000,29952750000000,2,1,2,1,29951250000000,29953000000000,2,2,2,2,29951000000000,29953250000000,2,4,2,4,29950750000000,29953500000000,1,3,1,3,29950500000000,29953750000000,1,2,1,2,29950250000000,29954000000000,2,4,2,4,29950000000000,29954500000000,4,1,4,1,29949750000000,29954750000000,4,2,4,2,29949500000000,29955000000000,3,2,3,2,NQ.c.0
2026-05-28 12:09:00+00:00,1779970199857140262,10,1,42004058,M,A,4,30022750000000,1,128,24050,229950025,29946250000000,29947250000000,1,1,1,1,29946000000000,29947500000000,4,2,4,2,29945750000000,29947750000000,4,3,4,3,29945500000000,29948000000000,4,4,4,4,29945250000000,29948250000000,3,2,3,2,29945000000000,29948500000000,2,3,2,3,29944750000000,29948750000000,2,2,2,2,29944500000000,29949000000000,2,1,2,1,29944000000000,29949250000000,5,2,5,2,29943750000000,29949500000000,3,2,3,2,NQ.c.0
