ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-07-06 12:00:00+00:00,1783339259988614873,10,1,42004177,C,B,0,29880250000000,1,128,12823,28820004,29880000000000,29881500000000,1,1,1,1,29879750000000,29881750000000,2,2,2,2,29879500000000,29882000000000,2,5,2,5,29879250000000,29882250000000,1,5,1,5,29878750000000,29882500000000,1,2,1,2,29878500000000,29882750000000,3,1,3,1,29878250000000,29883000000000,2,1,2,1,29878000000000,29883250000000,2,1,2,1,29877750000000,29883500000000,3,7,3,3,29877500000000,29883750000000,3,3,3,3,NQ.c.0
2026-07-06 12:01:00+00:00,1783339319994650086,10,1,42004177,C,B,0,29903750000000,1,128,11733,28892795,29903750000000,29905250000000,1,1,1,1,29903500000000,29905500000000,3,2,3,2,29903250000000,29905750000000,2,2,2,2,29903000000000,29906000000000,2,2,2,2,29902750000000,29906250000000,2,1,2,1,29902250000000,29906500000000,2,2,2,2,29902000000000,29906750000000,2,2,2,2,29901750000000,29907000000000,3,2,3,2,29901250000000,29907250000000,2,3,2,3,29901000000000,29907500000000,1,3,1,3,NQ.c.0
2026-07-06 12:02:00+00:00,1783339379747569038,10,1,42004177,A,B,0,29884750000000,1,128,13188,28977656,29884750000000,29886500000000,2,1,2,1,29884500000000,29886750000000,4,3,4,3,29884250000000,29887000000000,1,3,1,3,29884000000000,29887250000000,2,1,2,1,29883750000000,29887500000000,1,2,1,2,29883500000000,29887750000000,1,2,1,2,29883250000000,29888000000000,1,1,1,1,29883000000000,29888250000000,2,3,2,3,29882750000000,29888500000000,2,2,2,2,29882500000000,29888750000000,2,1,2,1,NQ.c.0
2026-07-06 12:03:00+00:00,1783339439673766670,10,1,42004177,A,B,0,29906250000000,1,128,12567,29040850,29906250000000,29908250000000,2,1,2,1,29906000000000,29908500000000,6,3,6,3,29905750000000,29908750000000,3,2,3,2,29905500000000,29909000000000,3,2,3,2,29905250000000,29909250000000,4,3,4,3,29905000000000,29909750000000,2,2,2,2,29904750000000,29910000000000,2,2,2,2,29904500000000,29910750000000,2,2,2,2,29904250000000,29911000000000,3,2,3,2,29904000000000,29911750000000,4,4,4,4,NQ.c.0
2026-07-06 12:04:00+00:00,1783339499896140111,10,1,42004177,A,A,0,29911000000000,1,128,13482,29083955,29909750000000,29911000000000,1,1,1,1,29909500000000,29911250000000,1,1,1,1,29909250000000,29911500000000,3,2,3,2,29909000000000,29911750000000,1,3,1,3,29908750000000,29912000000000,2,2,2,2,29908500000000,29912250000000,3,4,3,4,29908250000000,29912500000000,2,4,2,4,29908000000000,29912750000000,3,2,3,2,29907750000000,29913000000000,2,3,2,3,29907500000000,29913500000000,2,1,2,1,NQ.c.0
2026-07-06 12:05:00+00:00,1783339559790264790,10,1,42004177,M,B,0,29823500000000,1,128,12578,29120868,29901000000000,29902500000000,1,1,1,1,29900750000000,29902750000000,3,1,3,1,29900500000000,29903000000000,1,1,1,1,29900250000000,29903250000000,1,3,1,3,29900000000000,29903500000000,4,1,4,1,29899750000000,29903750000000,2,3,2,3,29899500000000,29904000000000,2,4,2,4,29899250000000,29904250000000,1,2,1,2,29899000000000,29904750000000,2,1,2,1,29898750000000,29905000000000,2,3,2,3,NQ.c.0
2026-07-06 12:06:00+00:00,1783339619970812982,10,1,42004177,A,A,2,29912500000000,1,128,12554,29157706,29910500000000,29912000000000,1,2,1,1,29910000000000,29912250000000,1,2,1,2,29909750000000,29912500000000,4,3,4,3,29909500000000,29912750000000,2,3,2,3,29908750000000,29913000000000,4,3,4,3,29908250000000,29913500000000,2,2,2,2,29908000000000,29913750000000,2,1,2,1,29907750000000,29914000000000,2,3,2,3,29907500000000,29914500000000,1,3,1,3,29907000000000,29914750000000,3,3,3,3,NQ.c.0
2026-07-06 12:07:00+00:00,1783339679784296151,10,1,42004177,A,A,5,29922500000000,1,128,13430,29201193,29919750000000,29921250000000,1,1,1,1,29919500000000,29921500000000,2,2,2,2,29919250000000,29921750000000,2,3,2,3,29919000000000,29922000000000,1,2,1,2,29918750000000,29922250000000,1,2,1,2,29918500000000,29922500000000,1,2,1,2,29918250000000,29922750000000,1,3,1,3,29918000000000,29923000000000,1,3,1,3,29917750000000,29923250000000,2,3,2,3,29917500000000,29923500000000,2,2,2,2,NQ.c.0
2026-07-06 12:08:00+00:00,1783339739796239049,10,1,42004177,M,A,2,29916250000000,1,128,12892,29245338,29914250000000,29915750000000,1,1,1,1,29914000000000,29916000000000,4,1,4,1,29913750000000,29916250000000,2,2,2,2,29913250000000,29916500000000,2,1,2,1,29913000000000,29916750000000,4,2,4,2,29912750000000,29917000000000,3,3,3,3,29912500000000,29917250000000,4,2,4,2,29912250000000,29917500000000,3,1,3,1,29912000000000,29917750000000,3,2,3,2,29911750000000,29918000000000,4,1,4,1,NQ.c.0
2026-07-06 12:09:00+00:00,1783339799785152934,10,1,42004177,C,B,1,29926500000000,1,128,10970,29279029,29926750000000,29927750000000,1,1,1,1,29926500000000,29928000000000,1,1,1,1,29926250000000,29928250000000,1,4,1,3,29926000000000,29928500000000,2,2,2,2,29925750000000,29928750000000,1,4,1,4,29925500000000,29929000000000,1,2,1,2,29925250000000,29929250000000,1,2,1,2,29925000000000,29929750000000,1,2,1,2,29924000000000,29930000000000,2,2,2,2,29923750000000,29930250000000,3,1,3,1,NQ.c.0
2026-07-06 12:10:00+00:00,1783339859997527171,10,1,42004177,A,A,5,29934250000000,1,128,12804,29321876,29931000000000,29933000000000,2,2,2,2,29930250000000,29933250000000,2,4,2,4,29930000000000,29933500000000,1,2,1,2,29929750000000,29933750000000,1,1,1,1,29929500000000,29934000000000,3,3,3,3,29929250000000,29934250000000,2,4,2,4,29929000000000,29934500000000,6,4,2,4,29928500000000,29934750000000,2,4,2,4,29928250000000,29935000000000,1,2,1,2,29928000000000,29935250000000,3,2,3,2,NQ.c.0
2026-07-06 12:11:00+00:00,1783339919737118262,10,1,42004177,A,A,0,29932250000000,1,128,13008,29349084,29930750000000,29932250000000,1,2,1,2,29930500000000,29932500000000,2,3,2,3,29930250000000,29932750000000,5,2,5,2,29930000000000,29933250000000,5,3,5,3,29929750000000,29933500000000,3,4,3,4,29929500000000,29933750000000,13,3,3,3,29929250000000,29934000000000,2,3,2,3,29928750000000,29934250000000,4,2,4,2,29928500000000,29934500000000,3,4,3,4,29928250000000,29934750000000,2,3,2,3,NQ.c.0
2026-07-06 12:12:00+00:00,1783339979872198159,10,1,42004177,A,B,2,29927000000000,1,128,12349,29378509,29927750000000,29928500000000,1,1,1,1,29927500000000,29928750000000,1,2,1,2,29927000000000,29929000000000,2,2,2,2,29926750000000,29929250000000,1,1,1,1,29926250000000,29929750000000,2,2,2,2,29926000000000,29930500000000,2,1,2,1,29925750000000,29930750000000,2,3,2,3,29925500000000,29931250000000,3,3,3,3,29925250000000,29931500000000,2,3,2,3,29925000000000,29931750000000,2,4,2,4,NQ.c.0
2026-07-06 12:13:00+00:00,1783340039911984028,10,1,42004177,M,A,1,29925250000000,1,128,10995,29406941,29923500000000,29925000000000,1,2,1,2,29923250000000,29925250000000,3,4,3,4,29923000000000,29925500000000,2,3,2,3,29922750000000,29925750000000,3,2,3,2,29922500000000,29926000000000,2,2,2,2,29922250000000,29926250000000,5,2,5,2,29922000000000,29926500000000,4,1,3,1,29921750000000,29926750000000,2,2,2,2,29921500000000,29927000000000,8,6,4,6,29921250000000,29927250000000,4,2,4,2,NQ.c.0
2026-07-06 12:14:00+00:00,1783340099857141228,10,1,42004177,A,B,0,29931000000000,1,128,11232,29437593,29931000000000,29932500000000,1,1,1,1,29930750000000,29932750000000,2,3,2,2,29930500000000,29933000000000,4,2,4,2,29930250000000,29933250000000,1,4,1,4,29930000000000,29933500000000,2,1,2,1,29929500000000,29933750000000,2,2,2,2,29929250000000,29934000000000,2,3,2,3,29929000000000,29934250000000,2,3,2,3,29928750000000,29934500000000,1,1,1,1,29928500000000,29934750000000,2,3,2,3,NQ.c.0
